name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalAssets,"1,540,359,000,000","1,522,695,000,000","1,517,885,000,000","1,512,096,000,000","1,506,151,000,000","1,459,271,000,000","1,444,687,000,000","1,433,833,000,000","1,438,470,000,000","1,444,305,000,000","1,468,030,000,000","1,445,260,000,000","1,351,956,000,000","1,339,125,000,000","1,329,538,000,000","1,342,906,000,000","1,324,200,000,000","1,340,260,000,000","1,320,427,000,000","1,339,376,000,000","1,369,690,000,000","1,266,296,000,000","1,240,979,000,000","1,188,043,000,000","1,168,718,000,000","1,115,638,000,000","1,192,181,000,000","1,223,118,000,000","1,281,698,000,000","1,269,628,000,000","1,300,632,000,000","1,292,677,000,000","1,251,526,000,000","1,250,476,000,000","1,231,907,696,000","1,208,563,000,000","1,217,500,683,000","1,235,712,000,000","1,220,024,502,000","1,142,360,000,000","1,110,529,458,000","1,082,370,000,000","1,148,459,632,000","1,115,365,000,000","1,049,631,550,000","951,953,030,945.41","919,156,184,250","877,077,058,680","914,353,689,286.84","886,915,535,100","885,537,216,784.53","843,988,674,480","833,872,099,407.21","797,722,036,440","818,677,077,400","814,330,245,550","808,492,709,042.23","778,254,002,470","727,660,022,670","698,314,836,601.8","663,995,462,590.56","359,939,818,044.3","356,494,832,077.44","348,596,480,952.7","351,176,487,389.71","344,799,217,440.3","341,343,888,531.47","329,641,008,928","324,501,296,183.44","335,067,420,797.34","337,887,067,791","356,883,075,533.6","358,761,023,943.15","374,480,708,459.4","365,468,008,824","359,335,292,793.95","349,895,238,912.18","330,540,444,702.38","317,816,661,709.96","269,638,342,339","256,833,795,673","243,748,090,728","254,669,966,720","242,033,180,438","154,993,721,022","155,774,935,134","120,483,218,992","105,477,446,121","93,181,391,010","65,510,710,475","50,820,259,275","45,068,962,484"
TotalLiabilitiesNetMinorityInterest,"1,434,246,000,000","1,412,036,000,000","1,409,359,000,000","1,402,111,000,000","1,395,786,000,000","1,351,910,000,000","1,339,019,000,000","1,329,388,000,000","1,333,004,000,000","1,337,472,000,000","1,359,306,000,000","1,344,305,000,000","1,247,087,000,000","1,236,426,000,000","1,228,416,000,000","1,242,560,000,000","1,225,419,000,000","1,241,507,000,000","1,221,740,000,000","1,237,424,000,000","1,267,585,000,000","1,176,582,000,000","1,152,694,000,000","1,102,327,000,000","1,086,196,000,000","1,035,736,000,000","1,110,542,000,000","1,141,724,000,000","1,197,157,000,000","1,185,302,000,000","1,216,270,000,000","1,210,856,000,000","1,168,667,000,000","1,172,187,000,000","1,152,244,895,000","1,128,810,000,000","1,136,586,225,000","1,159,453,000,000","1,141,606,349,000","1,066,728,000,000","1,036,658,816,000","1,012,784,000,000","1,081,614,159,000","1,053,501,000,000","989,630,058,000","895,690,034,283.82","863,354,142,500","823,124,838,350","857,428,002,604.11","838,019,308,350","839,280,712,724.79","796,827,897,360","786,799,831,524.96","750,353,821,040","773,672,881,800","769,630,378,740","768,973,128,866.18","728,968,591,420","679,651,189,560","653,914,760,208.16","629,298,417,488.08","331,373,175,570.84","328,044,821,462.4","318,317,348,813.98","245,280,572,421.78","315,089,699,006.25","312,608,595,858.02","299,274,551,548","297,267,385,278.37","304,517,536,449.06","307,777,455,323.8","327,439,917,928.2","328,427,979,920.1","343,116,454,571.7","336,046,319,853","330,238,558,861.7","320,598,979,567.1","302,703,232,947.5","295,372,930,141.65","251,989,652,134.5","240,103,639,160","226,719,634,824","237,011,672,690","225,818,997,208","145,698,192,234","147,860,215,776","114,567,349,729","99,456,696,903","87,739,418,700","61,913,861,261","47,936,909,565","42,553,069,559"
TotalEquityGrossMinorityInterest,"106,113,000,000","110,659,000,000","108,526,000,000","109,985,000,000","110,365,000,000","107,361,000,000","105,668,000,000","104,445,000,000","105,466,000,000","106,833,000,000","108,724,000,000","100,955,000,000","104,869,000,000","102,699,000,000","101,122,000,000","100,346,000,000","98,781,000,000","98,753,000,000","98,687,000,000","101,952,000,000","102,105,000,000","89,714,000,000","88,285,000,000","85,716,000,000","82,522,000,000","79,902,000,000","81,639,000,000","81,394,000,000","84,541,000,000","84,326,000,000","84,362,000,000","81,821,000,000","82,859,000,000","78,289,000,000","79,662,801,000","79,753,000,000","80,914,458,000","76,259,000,000","78,418,153,000","75,632,000,000","73,870,642,000","69,586,000,000","66,845,473,000","61,864,000,000","60,001,492,000","56,262,996,661.59","55,802,041,750","53,952,220,330","56,925,686,682.73","48,896,226,750","46,256,504,059.74","47,160,777,120","47,072,267,882.25","47,368,215,400","45,004,195,600","44,699,866,810","39,519,580,176.05","49,285,411,050","48,008,833,110","44,400,076,393.64","34,697,045,102.48","28,566,642,473.46","28,450,010,615.04","30,279,132,138.72","105,895,914,967.93","29,709,518,434.05","28,735,292,673.45","30,366,457,380","27,233,910,905.07","30,549,884,348.28","30,109,612,467.2","29,443,157,605.4","30,333,044,023.05","31,364,253,887.7","29,421,688,971","29,096,733,932.25","29,296,259,345.08","27,837,211,754.88","22,443,731,568.31","17,648,690,204.5","16,730,156,513","17,028,455,904","17,658,294,030","16,214,183,230","9,295,528,788","7,914,719,358","5,915,869,263","6,020,749,218","5,441,972,310","3,596,849,214","2,883,349,710","2,515,892,925"
	StockholdersEquity,"96,378,000,000","100,071,000,000","97,947,000,000","98,629,000,000","98,845,000,000","96,472,000,000","94,977,000,000","94,050,000,000","94,968,000,000","94,489,000,000","95,900,000,000","88,767,000,000","92,584,000,000","90,938,000,000","88,895,000,000","88,610,000,000","87,315,000,000","88,040,000,000","88,319,000,000","91,497,000,000","91,916,000,000","80,805,000,000","77,587,000,000","75,178,000,000","72,379,000,000","70,588,000,000","71,821,000,000","71,299,000,000","73,144,000,000","74,654,000,000","74,569,000,000","73,637,000,000","76,414,000,000","72,625,000,000","77,696,767,000","73,777,000,000","75,018,339,000","70,887,000,000","72,285,030,000","69,985,000,000","68,666,584,000","66,958,000,000","64,162,785,000","59,244,000,000","57,586,886,000","53,738,520,321.39","53,464,856,650","51,640,443,640","54,563,701,294.13","46,563,363,420","43,952,749,548.69","45,106,728,480","44,851,526,226.72","44,913,720,000","42,103,880,000","41,757,056,140","36,673,519,237.73","46,660,513,030","45,551,691,360","42,117,946,538.91","32,613,269,506.56","22,942,359,543.48","23,178,518,939.52","24,620,427,735.5","100,465,892,377.1","23,893,836,737.4","22,362,414,101.06","23,741,882,456.25","21,191,740,894.78","24,177,726,361.58","23,727,985,892.8","22,323,193,931.5","22,886,772,754.48","22,773,947,871.3","21,062,957,847","19,908,713,050.05","20,941,439,412.5","20,427,002,353.12","14,911,733,248.01","10,600,376,051.1","9,782,471,244","10,673,228,304","10,359,663,860","10,582,948,950","5,117,750,586","4,006,995,993","3,759,275,436","4,192,016,250","3,757,558,134","2,634,588,537","2,209,972,275","2,054,328,367"
		CapitalStock,"8,309,000,000","8,309,000,000","8,309,000,000","8,118,000,000","8,118,000,000","8,118,000,000","8,068,000,000","8,068,000,000","8,068,000,000","8,068,000,000","8,020,000,000","7,291,000,000","7,291,000,000","7,291,000,000","7,217,000,000","7,217,000,000","7,217,000,000","7,217,000,000","7,158,000,000","7,158,000,000","7,030,000,000","6,292,000,000","5,994,000,000","5,889,000,000","5,781,000,000","5,667,000,000","5,546,000,000","5,405,000,000","5,269,000,000","5,161,000,000","4,949,000,000","4,718,000,000","4,455,000,000","4,220,000,000","4,220,137,000","4,220,000,000","4,164,561,000","4,114,000,000","4,114,413,000","4,114,000,000","4,114,413,000","4,078,000,000","4,077,803,000","4,078,000,000","3,997,030,000","3,123,598,837.01","3,129,591,250","3,125,425,840","3,132,076,109.38","3,685,349,430","3,126,914,208.15","3,795,947,760","3,127,145,744.9","4,305,413,440","4,386,473,000","4,417,103,540","3,124,774,423.8","11,238,519,990","11,658,001,950","10,184,118,773.73","3,124,838,298.8","2,383,811,473.68","2,381,756,536.32","2,381,214,018.28","2,380,039,020.51","2,382,348,960.6","2,379,636,216.65","2,377,658,416","2,386,356,954.22","2,381,306,445.76","2,380,256,690","2,327,530,951.9","2,333,737,299.95","2,480,851,396.5","2,279,171,857.8","2,282,096,577.55","2,286,438,647.1","2,258,983,064.36","2,057,050,204.5","1,999,916,653.4","1,836,722,678",,,"1,270,139,662",,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"557,812,920",,"669,961,200",,"1,181,940,000","1,257,638,200","1,291,965,660",,"8,114,907,970","8,537,638,410","7,058,309,870.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"8,309,000,000","8,309,000,000","8,309,000,000","8,118,000,000","8,118,000,000","8,118,000,000","8,068,000,000","8,068,000,000","8,068,000,000","8,068,000,000","8,020,000,000","7,291,000,000","7,291,000,000","7,291,000,000","7,217,000,000","7,217,000,000","7,217,000,000","7,217,000,000","7,158,000,000","7,158,000,000","7,030,000,000","6,292,000,000","5,994,000,000","5,889,000,000","5,781,000,000","5,667,000,000","5,546,000,000","5,405,000,000","5,269,000,000","5,161,000,000","4,949,000,000","4,718,000,000","4,455,000,000","4,220,000,000","4,220,137,000","4,220,000,000","4,164,561,000","4,114,000,000","4,114,413,000","4,114,000,000","4,114,413,000","4,078,000,000","4,077,803,000","4,078,000,000","3,997,030,000","3,123,598,837.01","3,129,591,250","3,125,425,840","3,132,076,109.38","3,127,536,510","3,126,914,208.15","3,125,986,560","3,127,145,744.9","3,123,473,440","3,128,834,800","3,125,137,880","3,124,774,423.8","3,123,612,020","3,120,363,540","3,125,808,902.81","3,124,838,298.8","2,383,811,473.68","2,381,756,536.32","2,381,214,018.28","2,380,039,020.51","2,382,348,960.6","2,379,636,216.65","2,377,658,416","2,386,356,954.22","2,381,306,445.76","2,380,256,690","2,327,530,951.9","2,333,737,299.95","2,480,851,396.5","2,279,171,857.8","2,282,096,577.55","2,286,438,647.1","2,258,983,064.36","2,057,050,204.5","1,999,916,653.4","1,836,722,678",,,"1,270,139,662",,,,,,,,
		AdditionalPaidInCapital,"52,446,000,000","52,446,000,000","52,446,000,000","50,993,000,000","50,993,000,000","50,993,000,000","51,053,000,000","51,053,000,000","51,053,000,000","51,053,000,000","51,110,000,000","44,912,000,000","44,912,000,000","44,912,000,000","45,001,000,000","45,001,000,000","45,001,000,000","45,001,000,000","45,072,000,000","45,072,000,000","45,226,000,000","38,611,000,000","36,411,000,000","36,537,000,000","36,668,000,000","36,804,000,000",,"37,119,000,000",,"37,412,000,000",,,"31,223,000,000",,"29,446,037,000",,"29,457,152,000",,,,"29,305,257,000",,,,"28,103,802,000","20,347,006,516.77",,,"20,402,230,583.26",,"20,368,604,029.36",,"20,370,113,016.55",,,,"20,354,664,318.26",,,,"20,355,080,870",,,,"8,705,500,358.76",,,,"8,987,856,505.52",,,,"8,666,065,402.4",,,,"8,100,633,487.64",,,,"3,224,947,929",,,,,,,,,,,
		RetainedEarnings,"66,263,000,000","65,881,000,000","63,114,000,000","64,280,000,000","63,949,000,000","62,329,000,000","61,658,000,000","59,670,000,000","59,025,000,000","58,027,000,000","57,664,000,000","56,297,000,000","56,219,000,000","54,490,000,000","53,774,000,000","52,077,000,000","1,633,000,000","4,420,000,000","5,225,000,000","3,545,000,000","1,717,000,000","5,345,000,000","4,135,000,000","2,756,000,000","1,303,000,000","3,964,000,000","3,088,000,000","2,255,000,000","1,205,000,000","1,555,000,000","1,804,000,000","1,704,000,000","5,351,000,000","5,303,000,000","3,500,860,000","2,108,000,000","8,180,909,000","70,752,000,000","29,173,565,000","71,984,000,000","24,607,287,000","67,558,000,000","24,897,959,000","67,465,000,000","21,158,869,000","6,927,324,478.99","3,887,683,100","2,204,767,580","9,074,536,779.65",,"4,458,036,643.08","-1,453,703,520","7,595,941,507.39","4,273,895,040","2,548,928,200","1,492,443,090","6,215,382,154.83","3,874,176,590","2,545,516,260","30,199,489,582.02","3,603,206,812.16","20,558,548,069.8","20,796,762,403.2","22,239,213,717.22","7,443,763,661.89","21,511,487,776.8","19,982,777,884.41","21,364,224,040.25","7,467,460,531.39","21,796,418,903.16","21,347,730,209.4","19,995,662,979.6","8,765,882,097.32","20,293,096,474.8","18,783,785,989.2","17,626,616,472.5","8,476,994,588.62","18,168,019,288.76","12,854,684,093.32","8,600,460,444","3,129,941,605","4,228,494,408","3,364,229,700","3,180,133,196","2,503,836,090","2,382,815,799","1,234,531,655","1,178,599,992","975,290,160","1,544,617,935","750,174,075","1,408,900,038"
		TreasuryStock,"74,000,000","31,000,000","23,000,000","12,000,000","6,000,000","59,000,000","56,000,000","61,000,000","36,000,000","22,000,000","64,000,000","28,000,000","6,000,000","7,000,000","218,000,000","190,000,000","131,000,000","210,000,000","245,000,000","103,000,000","238,000,000","10,000,000","58,000,000","137,000,000","5,000,000","9,000,000",,"79,000,000",,"287,000,000",,,"251,000,000",,"159,681,000",,"192,288,000",,"156,342,000",,"29,755,000",,"320,299,000",,"421,198,000","76,599,741.46",,,"192,043.6",,"109,340,176.31",,"126,800,936.88",,,,"53,027,733.86",,,,"126,406,631.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
