name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"46,457,800,000","43,565,118,000","39,546,444,000","36,745,034,000","33,706,614,000","30,355,440,000","28,274,294,000","26,675,793,000","25,214,984,000","23,350,584,000","20,243,124,000","20,113,911,000","18,663,376,000","17,999,953,000","17,435,166,000","16,783,808,000","16,530,670,000","16,331,937,000","15,836,723,830.5"
	CurrentAssets,"4,896,138,000","5,602,242,000","4,574,085,000","3,823,635,000","3,450,333,000","3,215,445,000","3,254,087,000","3,336,865,000","3,725,833,000","3,590,121,000","2,271,123,000","2,238,412,000","2,224,517,000","1,919,032,000","1,725,386,000","1,229,790,000","1,157,721,000","1,592,186,000","1,364,089,163.5"
		CashCashEquivalentsAndShortTermInvestments,"2,253,210,000","3,029,191,000","2,283,047,000","1,886,221,000","1,639,214,000","1,722,991,000","1,782,001,000","1,921,178,000","2,149,989,000","1,989,179,000","771,008,000","625,732,000","464,997,000","328,206,000","435,827,068.5","105,557,000","281,013,000","462,138,000","457,874,095.5"
			CashAndCashEquivalents,"2,253,210,000","3,029,191,000","2,283,047,000","1,886,221,000","1,639,214,000","1,722,991,000","1,782,001,000","1,921,178,000","2,149,989,000","1,989,179,000","771,008,000","625,732,000","72,833,000","328,206,000","280,173,000","105,557,000","281,013,000","462,138,000","457,874,095.5"
				CashFinancial,"176,497,000","151,558,000","171,951,000","137,395,000","77,233,000","118,226,000","189,836,000","119,846,000",,,,,,,,,,,
				CashEquivalents,"2,076,713,000","2,877,633,000","2,111,096,000","1,748,826,000","1,561,981,000","1,604,765,000","1,592,165,000","1,801,332,000",,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,"392,164,000",,"155,654,068.5",,,,
		Receivables,"2,546,456,000","2,475,555,000","2,186,545,000","1,855,334,000","1,717,897,000","1,406,217,000","1,403,352,000","1,297,620,000","1,376,108,000","1,217,765,000","1,318,734,000","1,344,542,000","1,555,805,000","1,510,735,000","1,361,605,000","1,031,126,000","811,701,000","911,235,000","807,598,307"
			AccountsReceivable,"2,137,752,000","1,843,333,000","1,672,595,000","1,557,472,000","1,326,972,000","1,034,820,000","1,120,053,000","1,043,166,000","1,072,659,000","1,109,090,000","1,315,717,000","1,129,746,000","1,207,885,000","1,111,289,000","1,195,249,000","949,792,000","811,701,000","911,235,000","807,598,307"
			TaxesReceivable,"141,266,000","380,703,000","276,585,000","42,633,000","77,828,000","148,768,000","87,405,000","129,141,000","118,116,000","108,675,000","3,017,000","4,665,000","9,414,000",,,,,,
			DuefromRelatedPartiesCurrent,"192,906,000","174,148,000","180,773,000","202,553,000","156,155,000","121,965,000","134,855,000","109,273,000","185,333,000",,,,"338,506,000",,,,,,
			OtherReceivables,"74,532,000","77,371,000","56,592,000","52,676,000","156,942,000","100,664,000","61,039,000","16,040,000",,"44,511,000","141,504,000","210,131,000",,"399,446,000","166,356,000","81,334,000",,,
		Inventory,"70,454,000","65,596,000","85,671,000","58,002,000","64,066,000","66,487,000","58,401,000","53,090,000","44,611,000","36,096,000","39,877,000","47,678,000","53,141,000","48,889,000","36,070,000","29,604,000","22,308,000","22,642,000","21,776,462.5"
		RestrictedCash,"26,018,000","31,900,000","18,822,000","24,078,000","29,156,000","19,750,000","10,333,000","64,977,000","99,729,000","302,570,000","112,750,000",,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,"258,551,000","170,982,000","108,792,000","7,078,000","23,515,000","30,215,000","29,684,000","58,505,580",
			CurrentDeferredTaxesAssets,,,,,,,,,,,"258,551,000","170,982,000","108,792,000","7,078,000","23,515,000","30,215,000","29,684,000","58,505,580",
		OtherCurrentAssets,,,,,,,,,"55,396,000","44,511,000","28,754,000","49,478,000","41,782,000","24,124,000","-131,631,068.5","33,288,000","13,015,000","137,665,420","76,840,298.5"
	TotalNonCurrentAssets,"41,561,662,000","37,962,876,000","34,972,359,000","32,921,399,000","30,256,281,000","27,139,995,000","25,020,207,000","23,338,928,000","21,489,151,000","19,760,463,000","17,972,001,000","17,875,499,000","16,438,859,000","16,080,921,000","15,709,780,000","15,554,018,000","15,372,949,000","14,739,751,000","14,472,634,667"
		NetPPE,"314,393,000","267,612,000","255,050,000","302,383,000","325,076,000","304,845,000","199,496,000","383,383,000","356,468,000","249,606,000","50,552,000","14,926,616,000","14,060,073,000","13,837,498,000","13,613,581,000","14,040,922,000","14,063,248,000","13,608,369,000","13,441,065,732"
			GrossPPE,"625,825,000","585,179,000","538,687,000","544,693,000","539,831,000","505,984,000","377,134,000","570,443,000","536,099,000","415,519,000","104,225,000","22,231,848,000","20,841,288,000","20,052,709,310","19,276,621,993","19,228,331,696","18,668,631,200","17,706,835,860","17,041,256,795.5"
				NetUtilityPlant,,,,,,,,,,,"11,759,187,000","12,182,369,000","18,355,386,000",,,,,,
					WaterProduction,,,,,,,,,,,"18,530,316,000","18,709,352,000","18,355,386,000",,,,,,
					CommonUtilityPlant,,,,,,,,,,,"-6,771,129,000","-6,526,983,000",,,,,,,
				ConstructionInProgress,,,,,,,,"2,540,000","174,668,000","43,222,000","3,684,009,000","2,744,247,000","1,756,373,000","2,160,393,690","2,123,630,446.5","1,827,173,952","2,183,157,395","2,493,264,480","2,391,566,203"
				OtherProperties,"625,825,000","585,179,000","538,687,000","544,693,000","539,831,000","505,984,000","377,134,000","567,903,000","361,431,000","372,297,000","7,534,963,000","7,305,232,000","729,529,000","17,892,315,620","17,152,991,546.5","17,401,157,744","16,485,473,805","15,213,571,380","14,649,690,592.5"
			AccumulatedDepreciation,"-311,432,000","-317,567,000","-283,637,000","-242,310,000","-214,755,000","-201,139,000","-177,638,000","-187,060,000","-179,631,000","-165,913,000","-53,673,000","-7,305,232,000","-6,781,215,000","-6,215,211,310","-5,663,040,993","-5,187,409,696","-4,605,383,200","-4,098,466,860","-3,600,191,063.5"
		GoodwillAndOtherIntangibleAssets,"32,325,447,000","29,012,460,000","33,466,132,000","31,246,788,000","28,513,626,000","25,979,526,000","23,846,231,000","21,991,922,000","20,141,677,000","18,546,836,000","17,057,295,000","815,416,000","507,789,000","495,118,000","502,518,000",,,,
			OtherIntangibleAssets,"32,325,447,000","29,012,460,000","33,466,132,000","31,246,788,000","28,513,626,000","25,979,526,000","23,846,231,000","21,991,922,000","20,141,677,000","18,546,836,000","17,057,295,000","815,416,000","507,789,000","495,118,000","502,518,000",,,,
		InvestmentProperties,"47,562,000","47,620,000","57,652,000","57,968,000","56,957,000","54,039,000","54,039,000","54,046,000",,,,,,,,,,,
		InvestmentsAndAdvances,"53,187,000","44,587,000","36,932,000","31,096,000","28,105,000","21,223,000","23,660,000","0","52,585,000",,"720,000","720,000","720,000","720,000","740,000","5,100,000","740,000","740,000",
			LongTermEquityInvestment,"53,187,000","44,587,000","36,932,000","31,096,000","28,105,000","21,223,000","23,660,000","0",,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,"195,583,000","146,213,000","1,129,550,000",,"1,308,823,000","1,212,744,000","1,018,669,000","840,253,000",,
		NonCurrentAccountsReceivable,"8,610,625,000","8,389,443,000","963,420,000","937,683,000","1,039,244,000","378,762,000","620,921,000","715,063,000","564,296,000","730,128,000","526,908,000","326,472,000","1,414,569,000",,,,,,
		DuefromRelatedPartiesNonCurrent,"657,990,000","669,102,000","634,387,000","669,156,000","715,952,000","102,018,000","130,457,000","153,098,000","170,288,000",,,,"986,988,000",,,,,,
		NonCurrentDeferredAssets,,,"0","186,345,000","128,242,000","209,478,000","114,030,000","141,356,000","179,463,000","78,440,000","43,636,000","435,341,000","360,700,000","342,654,000","298,820,000","0","222,804,000","206,042,160","90,874,275.5"
			NonCurrentDeferredTaxesAssets,,,"0","186,345,000","128,242,000","209,478,000","114,030,000","141,356,000","179,463,000","78,440,000","43,636,000","435,341,000","357,226,000","342,654,000","298,820,000","0","222,804,000","206,042,160","90,874,275.5"
		OtherNonCurrentAssets,"210,448,000","201,154,000","193,173,000","159,136,000","165,031,000","192,122,000","161,830,000","53,158,000","194,662,000","155,453,000","147,397,000","241,384,000","95,008,000","96,108,000","81,377,000","489,327,000","245,904,000","924,599,840","940,694,659.5"
TotalLiabilitiesNetMinorityInterest,"24,822,017,000","24,013,430,000","22,033,435,000","21,325,823,000","19,990,008,000","17,051,037,000","15,343,493,000","14,960,216,000","14,669,088,000","13,668,784,000","11,804,540,000","10,565,996,000","8,879,370,000","8,981,471,000","8,952,618,000","8,832,220,000","8,953,727,000","9,085,461,000","7,880,805,893"
	CurrentLiabilities,"6,453,424,000","5,398,632,000","4,771,880,000","4,302,508,000","3,740,316,000","3,480,576,000","2,972,381,000","3,797,370,000","3,968,668,000","3,506,114,000","3,081,130,000","3,016,919,000","2,454,737,000","2,101,936,000","1,691,966,000","2,100,889,000","1,728,322,000","2,021,285,000","1,510,817,466"
		PayablesAndAccruedExpenses,"2,488,658,000","2,359,173,000","2,123,872,000","2,099,104,000","1,218,149,000","1,319,118,000","1,485,542,000","1,521,628,000","1,067,281,000","1,281,070,000","1,258,720,000","987,146,000","973,341,000","427,424,000","301,201,000","273,925,000","271,716,000","36,611,000","80,611,034.5"
			Payables,"1,094,027,000","1,120,578,000","937,187,000","940,771,000","742,732,000","716,624,000","713,641,000","839,410,000","819,795,000","680,349,000","654,126,000","516,064,000","293,002,000","249,719,000","183,912,000","166,697,000","136,422,000","36,611,000","80,611,034.5"
				AccountsPayable,"369,631,000","465,993,000","344,947,000","311,960,000","248,158,000","323,513,000","275,051,000","297,198,000","255,557,000","522,299,000","435,259,000","385,654,000","165,267,000","144,167,000","77,781,000","51,578,000","51,934,000","36,611,000","80,611,034.5"
				TotalTaxPayable,"250,318,000","200,563,000","183,965,000","168,757,000","107,295,000","74,138,000","115,382,000","153,121,000","181,122,000","158,050,000","218,867,000","130,410,000","127,735,000","105,552,000","106,131,000","115,119,000","84,488,000",,
					IncomeTaxPayable,,,,"62,771,000","11,126,000","17,377,000",,,,"0","88,637,000",,,,,,,,
				OtherPayable,"474,078,000","454,022,000","408,275,000","460,054,000","387,279,000","318,973,000","323,208,000","389,091,000","383,116,000","360,341,000","354,629,000",,,,,,,,
			CurrentAccruedExpenses,"1,394,631,000","1,238,595,000","1,186,685,000","1,158,333,000","475,417,000","602,494,000","771,901,000","682,218,000","247,486,000","600,721,000","604,594,000","471,082,000","680,339,000","177,705,000","117,289,000","107,228,000","135,294,000",,
				InterestPayable,"800,352,000","673,765,000","598,612,000","700,034,000","127,441,000","214,523,000","456,975,000","414,355,000","247,486,000","354,254,000","365,442,000","275,007,000","680,339,000",,,,,,
		CurrentProvisions,"550,247,000","458,387,000","607,959,000","730,334,000","631,890,000","625,092,000","631,374,000","565,083,000","764,070,000","766,603,000","643,863,000","459,395,000","290,172,000",,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"243,876,000",,,,"166,797,000",,,,,,
		CurrentDebtAndCapitalLeaseObligation,"2,859,843,000","2,103,612,000","1,746,755,000","1,246,567,000","1,526,262,000","1,207,126,000","640,940,000","1,367,391,000","1,630,010,000","1,242,143,000","1,009,947,000","1,448,860,000","742,114,000","852,475,000","759,013,000","1,496,810,000","996,998,000","1,332,533,880","546,521,049"
			CurrentDebt,"2,859,843,000","2,084,535,000","1,729,182,000","1,231,653,000","1,514,307,000","1,198,129,000","640,940,000","1,367,391,000","1,630,010,000","1,242,143,000","1,009,947,000","1,448,860,000","742,114,000","852,475,000","759,013,000","1,496,810,000","996,998,000","1,332,533,880","546,521,049"
				OtherCurrentBorrowings,"2,781,441,000","2,084,535,000","1,729,182,000","1,231,653,000","1,514,307,000","1,198,129,000","640,940,000","1,367,391,000",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"78,402,000","19,077,000","17,573,000","14,914,000","11,955,000","8,997,000","0",,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,"37,912,000","64,369,000","232,236,000","76,359,000","70,893,000","71,902,000","45,502,000","9,903,000",
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,"37,912,000","64,369,000","75,249,000","76,359,000","70,893,000","71,902,000","45,502,000","9,903,000",
			CurrentDeferredRevenue,,,,,,,,,,,,,"156,987,000",,,,,,
		OtherCurrentLiabilities,"554,676,000","477,460,000","293,294,000","226,503,000","364,015,000","329,240,000","214,525,000","343,268,000","263,431,000","216,298,000","168,600,000","57,149,000","50,077,000","745,678,000","560,859,000","258,252,000","414,106,000","642,237,120","883,685,382.5"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"18,368,593,000","18,614,798,000","17,261,555,000","17,023,315,000","16,249,692,000","13,570,461,000","12,371,112,000","11,162,846,000","10,700,420,000","10,162,670,000","8,723,410,000",,"6,424,633,000","6,879,535,000","7,260,652,000","6,731,331,000","7,225,405,000","7,064,176,000","6,369,988,427"
		TotalDeferredCreditsAndOtherNonCurrentLiabilities,"7,983,727,000","7,565,614,000","6,907,344,000","6,305,739,000","4,654,354,000","3,991,820,000","3,561,978,000","3,460,917,000","3,734,135,000","3,140,198,000","3,175,387,000",,"1,481,512,000","1,405,281,000","1,355,444,000","1,177,488,000","958,140,000","471,191,500","479,546,585.5"
			LongTermProvisions,"485,561,000","434,475,000","470,245,000","442,741,000","450,324,000","595,255,000","549,008,000","624,074,000","807,759,000","693,227,000","824,957,000","1,233,688,000","655,084,000",,,,,,
			NonCurrentDeferredLiabilities,"577,689,000","402,072,000","166,936,000","138,071,000","132,921,000","129,351,000","129,849,000","125,404,000",,"112,962,000","0","141,492,000","159,865,000","146,901,000","133,443,000","130,055,000","121,117,000","75,883,440","255,529,747.5"
				NonCurrentDeferredTaxesLiabilities,"433,996,000","261,242,000","36,754,000",,,,,,,"112,962,000","0","141,492,000","159,865,000","146,901,000","133,443,000","130,055,000","121,117,000","75,883,440","255,529,747.5"
			TradeandOtherPayablesNonCurrent,,,,,,,"0","125,404,000","133,320,000","53,045,000",,,"197,635,000",,,,,,
			NonCurrentAccruedExpenses,,,,,,,,,,"112,962,000","120,417,000",,,"321,212,000","276,558,000","222,176,000","145,540,000","68,336,000",
			EmployeeBenefits,"3,360,932,000","2,970,009,000","2,932,338,000","3,265,250,000","2,832,216,000","2,729,598,000","2,327,016,000","2,124,330,000","2,050,697,000","1,804,038,000","1,831,753,000","419,871,000","365,234,000",,,,,,
				NonCurrentPensionAndOtherPostretirementBenefitPlans,"3,360,932,000","2,970,009,000","2,932,338,000","3,265,250,000","2,832,216,000","2,729,598,000","2,327,016,000","2,124,330,000","2,050,697,000","1,804,038,000","1,831,753,000","419,871,000","365,234,000",,,,,,
			OtherNonCurrentLiabilities,"3,559,545,000","3,759,058,000","3,337,825,000","2,459,677,000","1,238,893,000","537,616,000","556,105,000","587,109,000","742,359,000","476,926,000","398,260,000",,"103,694,000","937,168,000","945,443,000","825,257,000","691,483,000","326,972,060","224,016,838"
		LongTermDebtAndCapitalLeaseObligation,"10,384,866,000","11,049,184,000","10,354,211,000","10,717,576,000","11,595,338,000","9,578,641,000","8,809,134,000","7,701,929,000","6,966,285,000","7,022,472,000","5,548,023,000","5,416,248,000","4,943,121,000","5,474,254,000","5,905,208,000","5,553,843,000","6,267,265,000","6,592,984,500","5,890,441,841.5"
			LongTermDebt,"10,384,866,000","10,499,595,000","9,810,167,000","10,179,974,000","11,072,398,000","9,105,048,000","8,426,642,000","7,701,929,000","6,966,285,000","7,022,472,000","5,548,023,000","5,416,248,000","4,943,121,000","5,474,254,000","5,905,208,000","5,553,843,000","6,267,265,000","6,592,984,500","5,890,441,841.5"
			LongTermCapitalLeaseObligation,"455,722,000","549,589,000","544,044,000","537,602,000","522,940,000","473,593,000","382,492,000",,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"21,635,783,000","19,551,688,000","17,513,009,000","15,419,211,000","13,716,606,000","13,304,403,000","12,930,801,000","11,715,577,000","10,545,896,000","9,681,800,000","8,438,584,000","9,547,915,000","9,784,006,000","9,018,482,000","8,482,548,000","7,951,588,000","7,576,943,000","7,246,476,000","7,955,917,937.5"
	StockholdersEquity,"21,635,783,000","19,551,688,000","17,513,009,000","15,419,211,000","13,716,606,000","13,304,403,000","12,930,801,000","11,715,577,000","10,545,896,000","9,681,800,000","8,438,584,000","9,547,915,000","9,784,006,000","9,018,482,000","8,482,548,000","7,951,588,000","7,576,943,000","7,246,476,000","7,955,917,937.5"
		CapitalStock,"15,000,000,000","15,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","6,203,688,000","6,203,688,000","6,203,688,000","0","0","0","0","0","0","65,308,384","50,530,775","49,506,900","3,386,333,494"
			CommonStock,"15,000,000,000","15,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","6,203,688,000","6,203,688,000","6,203,688,000","0","0","0","0","0","0","65,308,384","50,530,775","49,506,900","3,386,333,494"
		RetainedEarnings,,,,,,,,,"4,217,953,000","3,353,857,000","2,110,641,000","966,960,000",,"3,080,605,000","2,470,269,000","1,863,389,000","1,398,796,000",,
		AdditionalPaidInCapital,,"15,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","6,203,688,000","6,203,688,000","124,255,000","6,327,943,000","6,327,943,000","6,327,943,000","3,527,943,000","3,403,688,000","3,403,688,000","3,403,688,000","3,403,688,000","3,403,688,000","40,771,083"
		GainsLossesNotAffectingRetainedEarnings,"6,635,783,000","4,551,688,000","7,513,009,000","5,419,211,000","3,716,606,000","3,304,403,000","6,727,113,000","5,511,889,000",,,,,"6,256,063,000","2,427,499,000","2,529,771,000","2,619,220,000","2,723,720,000","2,857,965,000",
			OtherEquityAdjustments,"6,635,783,000","4,551,688,000","7,513,009,000","5,419,211,000","3,716,606,000","3,304,403,000","6,727,113,000","5,511,889,000",,,,,"3,916,234,000",,,,,,
			FixedAssetsRevaluationReserve,,,,,,,,,,,,,"2,339,829,000",,,,,,
		OtherEquityInterest,,,,,,,,,,"3,478,112,000","2,145,100,000","2,253,012,000",,"106,690,000","78,820,000","-17,384","208,225","935,316,100","4,528,813,360.5"
TotalCapitalization,"32,020,649,000","30,051,283,000","27,323,176,000","25,599,185,000","24,789,004,000","22,409,451,000","21,357,443,000","19,417,506,000","17,512,181,000","16,704,272,000","13,986,607,000","14,964,163,000","14,727,127,000","14,492,736,000","14,387,756,000","13,505,431,000","13,844,208,000","13,839,460,500","13,846,359,779"
CommonStockEquity,"21,635,783,000","19,551,688,000","17,513,009,000","15,419,211,000","13,716,606,000","13,304,403,000","12,930,801,000","11,715,577,000","10,545,896,000","9,681,800,000","8,438,584,000","9,547,915,000","9,784,006,000","9,018,482,000","8,482,548,000","7,951,588,000","7,576,943,000","7,246,476,000","7,955,917,937.5"
CapitalLeaseObligations,"534,124,000","568,666,000","561,617,000","552,516,000","534,895,000","482,590,000","382,492,000",,,,,,,,,,,,
NetTangibleAssets,"-10,689,664,000","-9,460,772,000","-15,953,123,000","-15,827,577,000","-14,797,020,000","-12,675,123,000","-10,915,430,000","-10,276,345,000","-9,595,781,000","-8,865,036,000","-8,618,711,000","8,732,499,000","9,276,217,000","8,523,364,000","7,980,030,000","7,951,588,000","7,576,943,000","7,246,476,000","7,955,917,937.5"
WorkingCapital,"-1,557,286,000","203,610,000","-197,795,000","-478,873,000","-289,983,000","-265,131,000","281,706,000","-460,505,000","-242,835,000","84,007,000","-810,007,000","-778,507,000","-230,220,000","-182,904,000","33,420,000","-871,099,000","-570,601,000","-429,099,000","-146,728,302.5"
InvestedCapital,"34,880,492,000","32,135,818,000","29,052,358,000","26,830,838,000","26,303,311,000","23,607,580,000","21,998,383,000","20,784,897,000","19,142,191,000","17,946,415,000","14,996,554,000","16,413,023,000","15,469,241,000","15,345,211,000","15,146,769,000","15,002,241,000","14,841,206,000","15,171,994,380","14,392,880,828"
TangibleBookValue,"-10,689,664,000","-9,460,772,000","-15,953,123,000","-15,827,577,000","-14,797,020,000","-12,675,123,000","-10,915,430,000","-10,276,345,000","-9,595,781,000","-8,865,036,000","-8,618,711,000","8,732,499,000","9,276,217,000","8,523,364,000","7,980,030,000","7,951,588,000","7,576,943,000","7,246,476,000","7,955,917,937.5"
TotalDebt,"13,244,709,000","13,152,796,000","12,100,966,000","11,964,143,000","13,121,600,000","10,785,767,000","9,450,074,000","9,069,320,000","8,596,295,000","8,264,615,000","6,557,970,000","6,865,108,000","5,685,235,000","6,326,729,000","6,664,221,000","7,050,653,000","7,264,263,000","7,925,518,380","6,436,962,890.5"
NetDebt,"10,991,499,000","9,554,939,000","9,256,302,000","9,525,406,000","10,947,491,000","8,580,186,000","7,285,581,000","7,148,142,000","6,446,306,000","6,275,436,000","5,786,962,000","6,239,376,000","5,612,402,000","5,998,523,000","6,384,048,000","6,945,096,000","6,983,250,000","7,463,380,380","5,979,088,795"
ShareIssued,"683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,867","683,509,867","683,509,867","683,509,867","683,509,867","683,509,866"
OrdinarySharesNumber,"683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,869","683,509,867","683,509,867","683,509,867","683,509,867","683,509,867","683,509,866"
