name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,03/31/2013,12/31/2012
TotalAssets,"47,106,931,000","48,933,529,000","47,279,015,000","46,416,093,000","45,045,906,000","43,959,855,000","42,806,955,000","41,173,136,000","40,045,188,000","39,422,304,000","38,765,557,000","39,507,482,000","39,061,940,000","38,539,104,000","38,771,636,000","38,490,611,000","37,904,607,000","36,570,373,000","35,991,228,000","36,039,919,000","34,665,571,000","32,342,176,000","30,641,292,000","29,732,396,000","28,796,233,000","26,401,896,000","25,608,280,000","19,594,411,000","18,741,644,000"
TotalLiabilitiesNetMinorityInterest,"41,960,828,000","41,614,909,000","39,933,813,000","39,078,832,000","37,887,376,000","36,941,497,000","35,665,740,000","34,127,402,000","33,319,173,000","32,941,803,000","32,880,323,000","33,828,749,000","33,642,942,000","33,300,485,000","33,653,979,000","33,613,899,000","33,315,060,000","32,145,410,000","31,630,387,000","31,794,469,000","30,815,090,000","28,783,827,000","27,338,079,000","26,630,138,000","25,888,215,000","23,715,064,000","23,039,122,000","17,306,246,000","16,502,178,000"
TotalEquityGrossMinorityInterest,"5,146,103,000","7,318,620,000","7,345,202,000","7,337,261,000","7,158,530,000","7,018,358,000","7,141,215,000","7,045,734,000","6,726,015,000","6,480,501,000","5,885,234,000","5,678,733,000","5,418,998,000","5,238,619,000","5,117,657,000","4,876,712,000","4,589,547,000","4,424,963,000","4,360,841,000","4,245,450,000","3,850,481,000","3,558,349,000","3,303,213,000","3,102,258,000","2,908,018,000","2,686,832,000","2,569,158,000","2,288,165,000","2,239,466,000"
	StockholdersEquity,"5,146,103,000","7,318,620,000","7,345,202,000","7,337,261,000","7,158,530,000","7,018,358,000","7,141,215,000","7,045,734,000","6,726,015,000","6,480,501,000","5,885,234,000","5,678,733,000","5,418,998,000","5,238,619,000","5,117,657,000","4,876,712,000","4,589,547,000","4,424,963,000","4,360,841,000","4,245,450,000","3,850,481,000","3,558,349,000","3,303,213,000","3,102,258,000","2,908,018,000","2,686,832,000","2,569,158,000","2,249,776,000","2,199,534,000"
		CapitalStock,"3,211,000","3,392,000","3,429,000","3,481,000","3,517,000","3,523,000","3,593,000","3,614,000","3,610,000","3,605,000","3,598,000","3,595,000","3,594,000","3,589,000","3,584,000","3,583,000","3,580,000","3,579,000","3,579,000","3,578,000","3,500,000","3,490,000","3,490,000","3,489,000","3,488,000","3,468,000","3,462,000","1,264,789,000","3,462,000"
			CommonStock,"3,211,000","3,392,000","3,429,000","3,481,000","3,517,000","3,523,000","3,593,000","3,614,000","3,610,000","3,605,000","3,598,000","3,595,000","3,594,000","3,589,000","3,584,000","3,583,000","3,580,000","3,579,000","3,579,000","3,578,000","3,500,000","3,490,000","3,490,000","3,489,000","3,488,000","3,468,000","3,462,000","1,264,789,000","3,462,000"
		AdditionalPaidInCapital,"707,384,000","1,173,262,000","1,276,314,000","1,413,461,000","1,499,092,000","1,515,572,000","1,647,738,000","1,693,896,000","1,689,996,000","1,681,558,000","1,672,392,000","1,664,903,000","1,662,200,000","1,657,611,000","1,652,786,000","1,649,557,000","1,567,936,000","1,565,856,000","1,592,100,000","1,682,097,000","1,576,234,000","1,560,519,000","1,551,413,000","1,550,513,000","1,547,075,000","1,409,463,000","1,409,463,000","123,108,000","1,335,572,000"
		RetainedEarnings,"4,499,163,000","6,168,659,000","6,097,295,000","5,940,886,000","5,642,983,000","5,465,748,000","5,433,283,000","5,285,775,000","4,969,198,000","4,751,076,000","4,181,763,000","3,982,375,000","3,717,700,000","3,549,160,000","3,487,885,000","3,274,338,000","3,054,096,000","2,853,403,000","2,789,401,000","2,565,501,000","2,280,037,000","1,990,787,000","1,743,754,000","1,552,385,000","1,358,220,000","1,276,754,000","1,162,828,000","869,665,000","869,664,000"
		GainsLossesNotAffectingRetainedEarnings,"-63,655,000","-26,693,000","-31,836,000","-20,567,000","12,938,000","33,515,000","56,601,000","62,449,000","63,211,000","44,262,000","27,481,000","27,860,000","35,504,000","28,259,000","-26,598,000","-50,766,000","-36,065,000","2,125,000","-24,239,000","-5,726,000","-9,290,000","3,553,000","4,556,000","-4,129,000","-765,000","-2,853,000","-6,595,000","-7,786,000","-9,164,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","38,389,000","39,932,000"
