name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,03/31/2012
TotalRevenue,"6,694,652,000","1,751,322,000","1,608,856,000","1,685,331,000","1,649,143,000","1,630,090,000","1,532,804,000","1,557,806,000","1,451,358,000","1,409,577,000","1,342,363,000","1,457,649,000","1,457,745,000","1,459,635,000","1,362,207,000","1,458,032,000","1,482,697,000","1,563,410,000","1,065,642,000","1,692,659,000","1,741,476,000","1,568,616,000","1,447,358,000","1,464,314,000","1,393,677,000","1,298,779,000","1,129,211,000","1,020,371,000","879,494,000","807,724,000","761,800,000","723,425,000","672,607,000"
	OperatingRevenue,"6,694,652,000","1,751,322,000","1,608,856,000","1,685,331,000","1,649,143,000","1,630,090,000","1,532,804,000","1,557,806,000","1,451,358,000","1,409,577,000","1,342,363,000","1,457,649,000","1,457,745,000","1,459,635,000","1,362,207,000","1,458,032,000","1,482,697,000","1,563,410,000","1,065,642,000","1,692,659,000","1,741,476,000","1,568,616,000","1,447,358,000","1,464,314,000","1,393,677,000","1,298,779,000","1,129,211,000","1,020,371,000","879,494,000","807,724,000","761,800,000","723,425,000","672,607,000"
PretaxIncome,"1,010,556,000","-6,445,000","222,276,000","314,694,000","480,031,000","337,267,000","143,633,000","296,822,000","448,645,000","299,610,000","-23,795,000","277,773,000","348,108,000","221,428,000","90,186,000","304,020,000","437,563,000","316,822,000","54,949,000","353,006,000","446,694,000","430,676,000","408,591,000","281,766,000","390,124,000","129,507,000","180,931,000","177,307,000","285,193,000","441,657,000","204,579,000","353,820,000","409,095,000"
TaxProvision,"267,676,000","-2,458,000","76,214,000","82,156,000","111,764,000","89,764,000","39,295,000","64,874,000","114,004,000","57,311,000","-603,911,000","78,385,000","83,433,000","78,001,000","28,911,000","90,473,000","154,218,000","116,129,000","26,270,000","129,106,000","161,230,000","141,426,000","161,558,000","90,397,000","143,643,000","48,041,000","67,005,000","65,486,000","104,129,000","152,798,000","81,349,000","141,261,000","152,662,000"
NetIncomeCommonStockholders,"742,880,000","-3,987,000","146,062,000","232,538,000","368,267,000","247,503,000","104,338,000","231,948,000","334,641,000","242,299,000","580,116,000","199,388,000","264,675,000","143,427,000","61,275,000","213,547,000","283,345,000","200,693,000","28,679,000","223,900,000","285,464,000","289,250,000","247,033,000","191,369,000","246,481,000","81,466,000","113,926,000","111,245,000","181,918,000","290,402,000","119,157,000","168,467,000","254,192,000"
	NetIncome,"742,880,000","-3,987,000","146,062,000","232,538,000","368,267,000","247,503,000","104,338,000","231,948,000","334,641,000","242,299,000","580,116,000","199,388,000","264,675,000","143,427,000","61,275,000","213,547,000","283,345,000","200,693,000","28,679,000","223,900,000","285,464,000","289,250,000","247,033,000","191,369,000","246,481,000","81,466,000","113,926,000","111,245,000","181,918,000","290,402,000","119,157,000","168,467,000","254,192,000"
		NetIncomeIncludingNoncontrollingInterests,"742,880,000","-3,987,000","146,062,000","232,538,000","368,267,000","247,503,000","104,338,000","231,948,000","334,641,000","242,299,000","580,116,000","199,388,000","264,675,000","143,427,000","61,275,000","213,547,000","283,345,000","200,693,000","28,679,000","223,900,000","285,464,000","289,250,000","247,033,000","191,369,000","246,481,000","81,466,000","113,926,000","111,821,000","181,064,000","288,859,000","123,230,000","212,559,000","256,433,000"
			NetIncomeContinuousOperations,"742,880,000","-3,987,000","146,062,000","232,538,000","368,267,000","247,503,000","104,338,000","231,948,000","334,641,000","242,299,000","580,116,000","199,388,000","264,675,000","143,427,000","61,275,000","213,547,000","283,345,000","200,693,000","28,679,000","223,900,000","285,464,000","289,250,000","247,033,000","191,369,000","246,481,000","81,466,000","113,926,000","111,821,000","181,064,000","288,859,000","123,230,000","212,559,000","256,433,000"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-576,000","854,000","1,543,000","-4,073,000","-44,092,000","-2,241,000"
DilutedNIAvailtoComStockholders,"742,880,000","-3,987,000","146,062,000","232,538,000","368,267,000","247,503,000","104,338,000","231,948,000","334,641,000","242,299,000","580,116,000","199,388,000","264,675,000","143,427,000","61,275,000","213,547,000","283,345,000","200,693,000","28,679,000","223,900,000","285,464,000","289,250,000","247,033,000","191,369,000","246,481,000","81,466,000","113,926,000","111,245,000","181,918,000","290,402,000","119,157,000","168,467,000","254,192,000"
