name,ttm,12/31/2019,12/31/2018,12/31/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012
TotalRevenue,"1,585,007,000","1,425,660,000","937,237,000","607,045,000","489,843,000","325,078,000","133,217,000","79,035,000","75,351,000"
	OperatingRevenue,"1,585,007,000","1,425,660,000","849,376,000","577,488,000","468,608,000","315,497,000","127,103,000","73,759,000","72,233,000"
CostOfRevenue,"1,051,771,000","946,322,000","618,001,000","392,279,000","337,887,000","243,295,000","111,246,000","74,626,000","76,028,000"
GrossProfit,"533,236,000","479,338,000","319,236,000","214,766,000","151,956,000","81,783,000","21,971,000","4,409,000","-677,000"
OperatingExpense,"303,563,000","289,392,000","179,816,000","123,680,000","80,197,000","53,526,000","40,342,000","31,869,000","26,783,000"
	SellingGeneralAndAdministration,"145,920,000","137,345,000","97,571,000","68,714,000","46,966,000","31,508,000","22,086,000","16,046,000","13,000,000"
		GeneralAndAdministrativeExpense,"53,855,000","49,361,000","29,264,000","18,682,000","12,133,000","6,535,000","4,294,000","3,262,000","3,074,000"
			OtherGandA,"53,855,000","49,361,000","29,264,000","18,682,000","12,133,000","6,535,000","4,294,000","3,262,000","3,074,000"
		SellingAndMarketingExpense,"92,065,000","87,984,000","68,307,000","50,032,000","34,833,000","24,973,000","17,792,000","12,784,000","9,926,000"
	ResearchAndDevelopment,"131,847,000","121,351,000","82,245,000","54,966,000","33,231,000","22,018,000","18,256,000","15,823,000","13,783,000"
	OtherOperatingExpenses,,"30,696,000",,,,,,,
OperatingIncome,"229,673,000","189,946,000","139,420,000","91,086,000","71,759,000","28,257,000","-18,371,000","-27,460,000","-27,460,000"
NetNonOperatingInterestIncomeExpense,"-11,333,000","-879,000","2,972,000","4,398,000","1,112,000","-1,268,000","-1,990,000","-1,091,000","-58,000"
	InterestIncomeNonOperating,,"4,590,000","5,629,000","4,398,000","1,112,000",,,,
	InterestExpenseNonOperating,,"4,805,000","2,536,000","0","0","895,000","1,990,000","1,070,000","58,000"
	TotalOtherFinanceCost,"11,118,000","664,000","121,000","-9,158,000","-471,000","373,000",,"21,000",
OtherIncomeExpense,,"-10,464,000","-5,269,000","4,760,000","-641,000","-3,913,000","-797,000","479,000","-229,000"
	GainOnSaleOfSecurity,,"-10,342,000","-4,027,000","6,777,000","-109,000","-3,809,000","-797,000","479,000","-229,000"
	SecuritiesAmortization,,"122,000","1,242,000","2,017,000","532,000",,,,
	SpecialIncomeCharges,,,,"0","0","-104,000",,"0",
		GainOnSaleOfPPE,,,,"0","0","-104,000",,"0",
	OtherNonOperatingIncomeExpenses,,,"-435,000",,,,,,
PretaxIncome,"207,876,000","178,603,000","137,123,000","100,244,000","72,230,000","23,076,000","-21,158,000","-28,072,000","-27,747,000"
TaxProvision,"38,646,000","33,646,000","9,077,000","16,072,000","-4,379,000","1,955,000","220,000","108,000","36,000"
NetIncomeCommonStockholders,"169,781,000","146,549,000","128,833,000","84,172,000","76,609,000","3,571,000","-21,378,000","-28,180,000","-27,783,000"
	NetIncome,"169,781,000","146,549,000","128,833,000","84,172,000","76,609,000","21,121,000","-21,378,000","-28,180,000","-27,783,000"
		NetIncomeIncludingNoncontrollingInterests,"169,230,000","144,957,000","128,046,000","84,172,000","76,609,000","21,121,000","-21,378,000","-28,180,000","-27,783,000"
			NetIncomeContinuousOperations,"169,230,000","144,957,000","128,046,000","84,172,000","76,609,000","21,121,000","-21,378,000","-28,180,000","-27,783,000"
		MinorityInterests,"551,000","1,592,000","787,000",,,,,,
	OtherunderPreferredStockDividend,,,,"0","0","17,550,000",,"0",
AverageDilutionEarnings,,,,"0","0",,,,
DilutedNIAvailtoComStockholders,"169,781,000","146,549,000","128,833,000","84,172,000","76,609,000","3,571,000","-21,378,000","-28,180,000","-27,783,000"
BasicEPS,,,"2.85","1.99","1.92","0.3","-0.562","-0.949","-0.73"
DilutedEPS,,,"2.69","1.85","1.73","0.27","-0.562","-0.949","-0.73"
BasicAverageShares,,,"45,204,561","42,297,487","39,987,935","11,902,911","38,065,042","29,703,142","38,065,042"
DilutedAverageShares,,,"47,980,002","45,425,307","44,376,075","15,269,448","39,115,042","31,641,743","39,115,042"
TotalOperatingIncomeAsReported,"229,673,000","189,946,000","139,420,000","91,086,000","71,759,000","28,257,000","-18,371,000","-27,460,000","-27,460,000"
TotalExpenses,"1,355,334,000","1,235,714,000","797,817,000","515,959,000","418,084,000","296,821,000","151,588,000","106,495,000","102,811,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"169,781,000","146,549,000","128,833,000","84,172,000","76,609,000","21,121,000","-21,378,000","-28,180,000","-27,783,000"
NormalizedIncome,"169,781,000","154,946,704","132,593,428.535","78,481,548.262","76,674,400","24,702,490.423","-20,859,950","-28,491,350","-27,634,150"
InterestIncome,,"4,590,000","5,629,000","4,398,000","1,112,000",,,,
InterestExpense,,"4,805,000","2,536,000","0","0","895,000","1,990,000","1,070,000","58,000"
NetInterestIncome,"-11,333,000","-879,000","2,972,000","4,398,000","1,112,000","-1,268,000","-1,990,000","-1,091,000","-58,000"
EBIT,"223,135,000","183,408,000","139,659,000","100,244,000","72,230,000","23,971,000","-19,168,000","-27,002,000","-27,689,000"
EBITDA,"251,514,000"
