name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014
TotalAssets,"1,513,840,000","1,494,624,000","1,337,592,000","1,221,694,000","1,176,923,000","964,472,000","852,178,000","783,230,000","731,561,000","641,305,000","549,206,000","492,422,000","456,970,000","412,945,000","397,438,000","366,372,000","349,573,000","316,975,000","305,658,000","285,989,000","133,287,000","74,998,000"
	CurrentAssets,"955,919,000","932,763,000","834,803,000","730,544,000","717,532,000","678,113,000","655,653,000","616,047,000","571,212,000","476,686,000","424,587,000","364,939,000","369,466,000","323,354,000","309,750,000","289,345,000","295,022,000","298,323,000","290,412,000","273,706,000","123,729,000","69,273,000"
		CashCashEquivalentsAndShortTermInvestments,"427,300,000","320,756,000","338,454,000","292,146,000","339,599,000","316,314,000","348,907,000","349,361,000","310,448,000","240,427,000","230,936,000","193,677,000","201,733,000","151,800,000","133,195,000","128,129,000","133,287,000","146,729,000","144,750,000","135,204,000","23,774,000","9,754,000"
			CashAndCashEquivalents,"324,072,000","223,901,000","247,342,000","176,575,000","226,478,000","191,633,000","192,876,000","214,540,000","229,219,000","163,163,000","149,448,000","113,452,000","119,933,000","90,014,000","74,032,000","84,070,000","106,150,000","146,729,000","144,750,000","135,204,000","23,774,000","9,754,000"
			OtherShortTermInvestments,"103,228,000","96,855,000","91,112,000","115,571,000","113,121,000","124,681,000","156,031,000","134,821,000","81,229,000","77,264,000","81,488,000","80,225,000","81,800,000","61,786,000","59,163,000","44,059,000","27,137,000",,,,,
		Receivables,"235,673,000","382,300,000","292,232,000","237,804,000","187,496,000","201,863,000","151,088,000","118,103,000","127,479,000","143,247,000","91,694,000","79,851,000","79,268,000","84,898,000","88,112,000","56,145,000","46,685,000","47,366,000","60,491,000","45,093,000","44,192,000","29,501,000"
			AccountsReceivable,"235,673,000","298,383,000","292,232,000","237,804,000","187,496,000","173,579,000","151,088,000","118,103,000","127,479,000","109,528,000","91,694,000","79,851,000","79,268,000","84,898,000","72,737,000","56,145,000","46,685,000","47,366,000","35,428,000","45,093,000","25,099,000","19,267,000"
				GrossAccountsReceivable,"240,182,000","300,856,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,509,000","-2,473,000",,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"83,917,000",,,,"28,284,000",,,,"33,719,000",,,,,"15,375,000",,,,"25,063,000",,"19,093,000","10,234,000"
