Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,41.040001,42.000000,40.280998,41.450001,31.171669,124400
2015-05-13,42.000000,45.130001,41.980000,42.970001,32.314751,371900
2015-05-14,43.320000,45.430000,42.860001,44.110001,33.172070,415600
2015-05-15,44.029999,44.750000,43.820000,44.189999,33.232239,148900
2015-05-18,44.400002,44.400002,43.770000,43.860001,32.984070,99700
2015-05-19,43.939999,44.080002,43.500000,43.650002,32.826134,221900
2015-05-20,43.820000,43.980000,43.500000,43.750000,32.901340,141000
2015-05-21,43.660000,44.375000,42.360001,42.730000,32.134270,105000
2015-05-22,42.709999,44.500000,42.299999,44.320000,33.329998,275900
2015-05-26,44.320000,44.520000,43.619999,44.250000,33.277367,156000
2015-05-27,44.680000,44.680000,43.660000,44.230000,33.262314,185200
2015-05-28,44.259998,45.290001,43.634998,44.970001,33.818821,293300
2015-05-29,44.889999,44.990002,44.529999,44.900002,33.766182,181300
2015-06-01,44.860001,47.580002,44.730000,46.730000,35.142395,451100
2015-06-02,47.029999,48.189999,46.740002,48.000000,36.097473,403900
2015-06-03,48.000000,48.610001,47.240002,47.349998,35.608646,354300
2015-06-04,47.270000,47.950001,46.759998,47.009998,35.352959,360600
2015-06-05,46.860001,47.509998,46.804001,47.389999,35.638737,253100
2015-06-08,47.189999,47.389999,46.759998,46.799999,35.195034,343300
2015-06-09,46.799999,47.215000,46.720001,46.950001,35.307842,463300
2015-06-10,47.150002,47.650002,47.029999,47.299999,35.571049,420900
2015-06-11,47.299999,48.320000,46.720001,47.740002,35.901947,405700
2015-06-12,49.250000,49.770000,47.099998,47.160000,35.465771,1174600
2015-06-15,46.799999,46.880001,44.860001,45.490002,34.209869,650700
2015-06-16,45.490002,46.498001,45.360001,45.660000,34.337719,506100
2015-06-17,45.849998,46.770000,45.660000,46.380001,34.879185,442000
2015-06-18,46.740002,47.180000,46.220001,46.410000,34.901737,544900
2015-06-19,46.490002,47.000000,45.669998,46.500000,34.969429,7100500
2015-06-22,46.500000,46.724998,45.619999,46.619999,35.059669,550600
2015-06-23,46.560001,47.099998,46.259998,46.500000,34.969429,629700
2015-06-24,46.360001,47.150002,46.240002,47.150002,35.458244,165800
2015-06-25,46.990002,47.919998,46.990002,47.220001,35.510887,165300
2015-06-26,47.750000,47.750000,47.146999,47.590000,35.789139,621600
2015-06-29,47.110001,47.389000,45.939999,46.130001,34.691177,213700
2015-06-30,46.230000,46.939999,45.509998,45.650002,34.330200,238900
2015-07-01,46.180000,46.529999,45.450001,45.470001,34.194832,118900
2015-07-02,45.759998,45.799999,44.599998,45.700001,34.367805,148100
2015-07-06,45.520000,46.070000,44.860001,45.400002,34.142189,160500
2015-07-07,45.459999,46.060001,44.700001,46.060001,34.638531,317800
2015-07-08,45.849998,46.099998,44.910000,45.490002,34.209869,147600
2015-07-09,45.599998,46.029999,45.209999,45.500000,34.217392,106000
2015-07-10,45.689999,46.540001,45.180000,45.889999,34.510689,225400
2015-07-13,45.840000,48.389999,45.840000,47.009998,35.352959,263600
