name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"17,743,702,000,000","17,743,702,000,000","16,873,960,000,000","17,520,013,000,000","17,091,816,000,000","17,136,734,000,000","17,163,798,000,000","16,602,054,000,000","16,300,479,000,000","15,988,278,000,000","15,435,373,000,000","14,555,465,000,000","14,020,984,000,000","12,024,964,444,968.58","10,518,974,508,992.4","10,608,237,237,574.87","10,212,000,000,000","10,772,500,000,000","9,323,843,413,200","8,375,500,677,550.2","7,406,798,970,105","4,428,232,158,165.07","3,461,339,595,728"
	OperatingRevenue,"17,743,702,000,000","17,743,702,000,000","16,873,960,000,000","17,520,013,000,000","17,091,816,000,000","17,136,734,000,000","17,163,798,000,000","16,602,054,000,000","16,300,479,000,000","15,988,278,000,000","15,435,373,000,000","14,555,465,000,000","14,020,984,000,000","12,024,964,444,968.58","10,518,974,508,992.4","10,608,237,237,574.87","10,212,000,000,000","10,772,500,000,000","9,323,843,413,200","8,375,500,677,550.2","7,406,798,970,105","4,428,232,158,165.07","3,461,339,595,728"
CostOfRevenue,"2,858,312,000,000","2,858,312,000,000","2,914,322,000,000","3,103,809,000,000","3,187,047,000,000","3,303,285,000,000","3,076,443,000,000","2,792,941,000,000","2,823,135,000,000","959,276,000,000","634,614,000,000","380,512,000,000","233,200,000,000","311,853,933,245.4","2,098,451,160,131.04","2,234,146,098,497.9","3,244,000,000,000","2,146,250,000,000","2,359,430,604,180","2,501,743,764,342.15","1,195,417,190,437.5","830,072,479,259.82","696,239,717,025"
GrossProfit,"14,885,390,000,000","14,885,390,000,000","13,959,638,000,000","14,416,204,000,000","13,904,769,000,000","13,833,449,000,000","14,087,355,000,000","13,809,113,000,000","13,477,344,000,000","15,029,002,000,000","14,800,759,000,000","14,174,953,000,000","13,787,784,000,000","11,713,110,511,723.18","8,420,523,348,861.36","8,374,091,139,076.97","6,968,000,000,000","8,626,250,000,000","6,964,412,809,020","5,873,756,913,208.05","6,211,381,779,667.5","3,598,159,678,905.25","2,765,099,878,703"
OperatingExpense,"13,734,943,000,000","13,734,943,000,000","12,772,538,000,000","13,041,211,000,000","12,417,791,000,000","12,169,188,000,000","12,321,436,000,000","11,875,827,000,000","11,736,176,000,000","12,873,394,000,000","12,205,397,000,000","12,296,409,000,000","12,035,316,000,000","9,827,244,402,856.23","5,856,442,810,210.08","5,731,766,765,231.71","4,611,000,000,000","5,370,000,000,000","4,167,259,785,060","3,548,252,308,299","4,719,185,828,910","3,291,869,758,520.43","2,297,649,820,589"
	SellingGeneralAndAdministration,"8,921,172,000,000","8,921,172,000,000","8,685,255,000,000","8,880,162,000,000","8,569,506,000,000","8,379,025,000,000","8,606,857,000,000","8,259,752,000,000","8,471,905,000,000","10,231,128,000,000","9,131,467,000,000","8,534,123,000,000","8,509,635,000,000","7,830,016,870,532.22","4,236,267,174,218.64","3,535,814,930,762.1","3,058,000,000,000","3,786,250,000,000","2,731,909,844,860","1,990,524,314,995.05","3,385,506,944,760","2,584,927,516,949.53","1,370,505,286,019"
		GeneralAndAdministrativeExpense,"3,484,437,000,000","3,484,437,000,000","3,214,148,000,000","2,871,146,000,000","2,754,327,000,000","2,767,069,000,000","2,498,320,000,000","2,366,991,000,000","2,046,738,000,000","4,210,411,000,000","3,293,363,000,000","3,052,067,000,000","3,261,404,000,000","7,437,764,060,711.88","3,943,255,554,421.92","3,259,384,432,016.34","2,717,000,000,000","3,391,250,000,000","2,283,511,268,500","1,674,467,809,621.5","3,097,566,363,937.5",,
			SalariesAndWages,"2,857,677,000,000","2,857,677,000,000","2,324,229,000,000","1,999,009,000,000","1,903,066,000,000","1,931,023,000,000","1,702,558,000,000","1,601,804,000,000","1,322,901,000,000","1,173,247,000,000","936,489,000,000","720,071,000,000","731,418,000,000",,,,,,,,,,
			RentAndLandingFees,"231,934,000,000","231,934,000,000","529,453,000,000","520,244,000,000","517,305,000,000","493,586,000,000","460,309,000,000","443,639,000,000","424,476,000,000","401,706,000,000","349,773,000,000","326,547,000,000","290,655,000,000",,,,,,,,,,
			OtherGandA,"394,826,000,000","394,826,000,000","360,466,000,000","351,893,000,000","333,956,000,000","342,460,000,000","335,453,000,000","321,548,000,000","299,361,000,000","2,635,458,000,000","2,007,101,000,000","2,005,449,000,000","2,239,331,000,000","7,437,764,060,711.88","3,943,255,554,421.92","3,259,384,432,016.34","2,717,000,000,000","3,391,250,000,000","2,283,511,268,500","1,674,467,809,621.5","3,097,566,363,937.5",,
		SellingAndMarketingExpense,"5,436,735,000,000","5,436,735,000,000","5,471,107,000,000","6,009,016,000,000","5,815,179,000,000","5,611,956,000,000","6,108,537,000,000","5,892,761,000,000","6,425,167,000,000","6,020,717,000,000","5,838,104,000,000","5,482,056,000,000","5,248,231,000,000","392,252,809,820.34","293,011,619,796.72","276,430,498,745.76","341,000,000,000","395,000,000,000","448,398,576,360","316,056,505,373.55","287,940,580,822.5",,
	ResearchAndDevelopment,"391,327,000,000","391,327,000,000","387,675,000,000","395,276,000,000","344,787,000,000","315,790,000,000","390,943,000,000","352,385,000,000","304,557,000,000","271,382,000,000","270,378,000,000","236,269,000,000","226,714,000,000","218,777,154,021.86","202,177,769,278.65","249,375,437,279.5",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"3,771,486,000,000","3,771,486,000,000","3,126,118,000,000","3,097,466,000,000","2,941,886,000,000","2,845,295,000,000","2,714,730,000,000","2,661,623,000,000","2,432,287,000,000","2,331,268,000,000","2,723,580,000,000","2,593,625,000,000","2,599,791,000,000","1,852,880,153,740.84","1,481,925,836,003.25","1,529,904,067,677.75","1,553,000,000,000","1,583,750,000,000","1,435,349,940,200","1,555,147,178,580.15","1,333,678,884,150","706,942,241,570.9","927,144,534,570"
		DepreciationAndAmortizationInIncomeStatement,"3,771,486,000,000","3,771,486,000,000","3,126,118,000,000","3,097,466,000,000","2,941,886,000,000","2,845,295,000,000","2,714,730,000,000","2,661,623,000,000","2,432,287,000,000","2,331,268,000,000","2,723,580,000,000","2,593,625,000,000","2,599,791,000,000","1,852,880,153,740.84","1,481,925,836,003.25","1,529,904,067,677.75","1,553,000,000,000","1,583,750,000,000","1,435,349,940,200","1,555,147,178,580.15","1,333,678,884,150","706,942,241,570.9","927,144,534,570"
			DepreciationIncomeStatement,,,,,,,,,,,,"1,895,880,390,000","1,804,910,219,000",,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,"0","0","-359,000,000","-5,343,000,000","12,847,000,000","79,972,000,000","199,958,000,000","62,973,000,000",,,,,,,,,,
	OtherTaxes,"44,761,000,000","44,761,000,000","37,290,000,000","27,819,000,000","35,020,000,000","36,118,000,000","33,500,000,000","29,873,000,000","91,846,000,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,"606,197,000,000","606,197,000,000","536,200,000,000","640,488,000,000","526,592,000,000","592,960,000,000","575,406,000,000","572,553,000,000","440,924,000,000","26,769,000,000","419,613,000,000","732,434,000,000","636,203,000,000","-74,429,775,438.69","-63,927,969,290.46","416,672,329,512.36",,,,"2,580,814,723.8",,,
OperatingIncome,"1,150,447,000,000","1,150,447,000,000","1,187,100,000,000","1,374,993,000,000","1,486,978,000,000","1,664,261,000,000","1,765,919,000,000","1,933,286,000,000","1,741,168,000,000","2,155,608,000,000","2,595,362,000,000","1,878,544,000,000","1,752,468,000,000","1,885,866,108,866.95","2,564,080,538,651.28","2,642,324,373,845.26","2,357,000,000,000","3,256,250,000,000","2,797,153,023,960","2,325,504,604,909.05","1,492,195,950,757.5","306,289,920,384.82","467,450,058,114"
NetNonOperatingInterestIncomeExpense,"-334,489,000,000","-334,489,000,000","-237,383,000,000","-258,955,000,000","-241,356,000,000","-273,565,000,000","-288,437,000,000","-318,332,000,000","-503,032,000,000","98,549,000,000","-161,495,000,000","-253,186,000,000","-230,016,000,000",,,,,,,,,,
	InterestIncomeNonOperating,"63,401,000,000","63,401,000,000","69,936,000,000","76,045,000,000","54,353,000,000","45,884,000,000","60,006,000,000","65,560,000,000","99,967,000,000","442,325,000,000","235,556,000,000","187,095,000,000","136,006,000,000",,,,,,,,,,
	InterestExpenseNonOperating,"397,890,000,000","397,890,000,000","307,319,000,000","299,100,000,000","290,454,000,000","297,662,000,000","323,910,000,000","331,834,000,000","412,379,000,000","343,776,000,000","397,051,000,000","440,281,000,000","366,022,000,000",,,,,,,,,,
	TotalOtherFinanceCost,,,,"35,900,000,000","5,255,000,000","21,787,000,000","24,533,000,000","52,058,000,000","190,620,000,000",,,,,,,,,,,,,,
OtherIncomeExpense,"346,697,000,000","346,697,000,000","3,026,249,000,000","2,287,211,000,000","850,517,000,000","644,669,000,000","776,346,000,000","212,147,000,000","312,751,000,000","-71,299,000,000","-760,179,000,000","-224,860,000,000","-257,526,000,000","581,905,431,945.25","-420,058,545,694.92","-334,276,006,909.9","-91,000,000,000","-75,000,000,000","-353,499,406,760","-174,010,512,909.9","-61,662,452,437.5","118,741,789,222.67","-73,678,025,751"
	GainOnSaleOfSecurity,"36,663,000,000","36,663,000,000","90,098,000,000","188,331,000,000","474,956,000,000","27,891,000,000","38,471,000,000","-11,384,000,000","320,530,000,000",,"18,808,000,000","121,482,000,000","17,409,000,000",,,,,,,,,,
	EarningsFromEquityInterest,"449,543,000,000","449,543,000,000","3,270,912,000,000","2,245,732,000,000","544,501,000,000","786,140,000,000","906,338,000,000","706,509,000,000","-24,279,000,000","-47,149,000,000","-29,395,000,000","-63,980,000,000","-29,374,000,000","71,948,502,025.19","-158,030,692,325.88","-50,336,764,282.28","-12,000,000,000","-7,500,000,000","1,186,239,620","4,295,663,611.05",,,
	SpecialIncomeCharges,"-139,522,000,000","-139,522,000,000","-333,226,000,000","-146,174,000,000","-164,922,000,000","-168,836,000,000","-158,093,000,000","-348,746,000,000","24,293,000,000","-24,150,000,000","-749,592,000,000","-282,362,000,000","-245,561,000,000","509,956,929,920.06","-262,027,853,369.04","-283,939,242,627.62","-79,000,000,000","-67,500,000,000","-354,685,646,380","-178,306,176,520.95","-61,662,452,437.5","118,741,789,222.67","-73,678,025,751"
		ImpairmentOfCapitalAssets,"65,935,000,000","65,935,000,000","255,839,000,000","54,946,000,000","24,506,000,000","35,845,000,000","47,489,000,000","13,770,000,000","38,623,000,000","2,580,000,000",,"16,146,000,000","237,961,000,000",,,,,,,,,,
		WriteOff,"36,313,000,000","36,313,000,000","49,086,000,000","53,999,000,000","102,165,000,000","118,739,000,000","86,446,000,000","75,499,000,000","82,458,000,000",,,,,,,,,,,,,,
		OtherSpecialCharges,,,"59,012,000,000","112,634,000,000","96,633,000,000","72,454,000,000","67,823,000,000","82,057,000,000","2,099,000,000","21,570,000,000","690,781,000,000","202,319,000,000","-52,714,000,000",,,,,,,,,,
		GainOnSaleOfPPE,"-37,274,000,000","-37,274,000,000","-28,301,000,000","-37,229,000,000","-38,251,000,000","-14,252,000,000","-24,158,000,000","-259,477,000,000","147,473,000,000",,"-58,811,000,000","-63,897,000,000","-60,314,000,000",,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"13,000,000","13,000,000","-1,535,000,000","-678,000,000","-4,018,000,000","-526,000,000","-10,370,000,000","-134,232,000,000","-7,793,000,000",,,,,,,,,,,,,,
PretaxIncome,"1,162,655,000,000","1,162,655,000,000","3,975,966,000,000","3,403,249,000,000","2,096,139,000,000","2,035,365,000,000","2,253,828,000,000","1,827,101,000,000","1,550,887,000,000","2,182,858,000,000","1,673,688,000,000","1,400,498,000,000","1,258,733,000,000","1,986,415,734,548.28","1,928,271,084,359.4","2,534,429,899,939.96","2,051,000,000,000","2,888,750,000,000","2,186,239,619,660","1,997,207,626,443.75","1,336,633,372,132.5","382,184,597,537.27","280,258,519,005"
TaxProvision,"300,713,000,000","300,713,000,000","843,978,000,000","745,654,000,000","436,038,000,000","519,480,000,000","454,508,000,000","400,797,000,000","295,887,000,000","599,093,000,000","404,306,000,000","355,670,000,000","298,850,000,000","686,549,626,923.65","545,624,055,825.42","685,914,859,833.55","608,000,000,000","827,500,000,000","698,695,136,180","850,670,172,912","366,501,895,417.5","100,870,894,565.27","129,847,238,365"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"23,406,000,000",,,,,,,,,,,,
NetIncomeCommonStockholders,"875,141,000,000","875,141,000,000","3,112,084,000,000","2,599,829,000,000","1,659,127,000,000","1,501,764,000,000","1,784,338,000,000","1,630,544,000,000","1,151,705,000,000","1,612,889,000,000","1,379,613,000,000","1,247,182,000,000","1,215,719,000,000","1,649,808,992,261.64","1,384,496,580,555.33","1,853,136,804,872.66","1,441,000,000,000","2,062,500,000,000","1,487,544,483,480","1,146,537,453,531.75","970,131,476,715","281,313,702,972","150,411,280,640"
