name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"17,743,702,000,000","9,172,227,000,000","2,911,550,000,000","4,437,029,000,000","4,334,906,000,000","4,351,707,000,000","4,186,392,000,000","4,154,324,000,000","4,181,537,000,000","4,497,316,000,000","4,442,739,000,000","4,345,593,000,000","4,234,365,000,000","4,352,260,000,000","4,243,804,000,000","4,267,289,000,000","4,228,463,000,000","4,379,349,000,000","4,261,360,000,000","4,255,739,000,000","4,240,286,000,000","4,289,026,000,000","4,367,484,000,000","4,305,368,000,000","4,201,920,000,000","4,294,841,000,000","4,124,594,000,000","4,164,223,000,000","4,112,637,000,000","4,197,388,000,000","4,125,516,000,000","4,015,277,000,000","3,985,569,000,000","3,973,663,000,000","4,065,138,000,000","4,040,953,000,000","3,908,861,000,000","6,147,808,000,000","3,180,747,000,000","3,088,572,000,000","3,018,246,000,000","5,554,384,000,000","3,056,721,000,000","3,067,899,000,000","2,876,461,000,000","5,353,140,000,000","2,899,562,000,000","2,931,263,000,000",,"3,250,256,402,915.74","2,924,902,984,349.52","2,899,282,993,402.62","2,877,972,390,467.58","2,425,471,762,111.92","2,722,734,744,119.64","2,762,230,779,892.98","2,762,357,988,255.6","2,297,436,580,353.89","2,770,267,233,687.44","2,653,916,000,000","2,653,916,000,000","2,019,777,785,970","3,154,444,441,290","2,518,888,886,370","2,536,666,664,130","4,645,833,339,460","3,792,222,218,430","2,626,772,500,000","2,626,771,250,000","1,955,352,163,200","2,456,163,750,000","2,456,163,750,000","2,606,009,289,813.45","2,118,541,270,485.36","2,085,653,135,688.28","2,066,717,248,381.54","2,116,120,852,578.75","2,508,153,492,993","1,632,881,825,704","1,632,881,825,704","1,620,237,831,469.55","860,597,128,019.11","1,189,211,676,715.32","1,131,402,780,312.12","1,102,065,392,963.04","865,334,898,932","865,334,898,932","865,334,898,932","865,334,898,932"
	OperatingRevenue,"17,743,702,000,000","9,172,227,000,000","2,911,550,000,000","4,437,029,000,000","4,334,906,000,000","4,351,707,000,000","4,186,392,000,000","4,154,324,000,000","4,181,537,000,000","4,497,316,000,000","4,442,739,000,000","4,345,593,000,000","4,234,365,000,000","4,352,260,000,000","4,243,804,000,000","4,267,289,000,000","4,228,463,000,000","4,379,349,000,000","4,261,360,000,000","4,255,739,000,000","4,240,286,000,000","4,289,026,000,000","4,367,484,000,000","4,305,368,000,000","4,201,920,000,000","4,294,841,000,000","4,124,594,000,000","4,164,223,000,000","4,112,637,000,000","4,197,388,000,000","4,125,516,000,000","4,007,863,000,000","3,970,983,000,000","4,039,514,000,000","4,018,905,000,000","4,029,134,000,000","3,901,012,000,000","6,147,808,000,000","3,180,747,000,000","3,088,572,000,000","3,018,246,000,000","5,554,384,000,000","3,056,721,000,000","3,067,899,000,000","2,876,461,000,000","5,353,140,000,000","2,899,562,000,000","2,931,263,000,000",,"3,250,256,402,915.74","2,924,902,984,349.52","2,899,282,993,402.62","2,877,972,390,467.58","2,425,471,762,111.92","2,722,734,744,119.64","2,762,230,779,892.98","2,762,357,988,255.6","2,297,436,580,353.89","2,770,267,233,687.44","2,653,916,000,000","2,653,916,000,000","2,019,777,785,970","3,154,444,441,290","2,518,888,886,370","2,536,666,664,130","4,645,833,339,460","3,792,222,218,430","2,626,772,500,000","2,626,771,250,000","1,955,352,163,200","2,456,163,750,000","2,456,163,750,000","2,606,009,289,813.45","2,118,541,270,485.36","2,085,653,135,688.28","2,066,717,248,381.54","2,116,120,852,578.75","2,508,153,492,993","1,632,881,825,704","1,632,881,825,704","1,620,237,831,469.55","860,597,128,019.11","1,189,211,676,715.32","1,131,402,780,312.12","1,102,065,392,963.04","865,334,898,932","865,334,898,932","865,334,898,932","865,334,898,932"
CostOfRevenue,"2,858,312,000,000","1,953,885,000,000","297,477,000,000","694,091,000,000","637,405,000,000","803,457,000,000","710,111,000,000","694,274,000,000","706,480,000,000","862,230,000,000","788,707,000,000","741,814,000,000","711,058,000,000","805,214,000,000","773,326,000,000","815,990,000,000","792,517,000,000","881,238,000,000","810,698,000,000","783,168,000,000","828,181,000,000","720,820,000,000","862,099,000,000","775,869,000,000","717,655,000,000","748,856,000,000","684,873,000,000","675,583,000,000","686,851,000,000","624,541,000,000","826,446,000,000","299,334,000,000","271,436,000,000","311,032,000,000","244,720,000,000","217,050,000,000","186,474,000,000","577,019,000,000","25,657,000,000","16,352,000,000","15,586,000,000","355,868,000,000","8,450,000,000","8,887,000,000","7,307,000,000","179,723,000,000","15,445,000,000","16,834,000,000",,,,,,,,,,,,,,,,"653,333,332,680",,,,"635,133,750,000",,,,,,,,,,,,,,,,,,,,,
GrossProfit,"14,885,390,000,000","7,218,342,000,000","2,614,073,000,000","3,742,938,000,000","3,697,501,000,000","3,548,250,000,000","3,476,281,000,000","3,460,050,000,000","3,475,057,000,000","3,635,086,000,000","3,654,032,000,000","3,603,779,000,000","3,523,307,000,000","3,547,046,000,000","3,470,478,000,000","3,451,299,000,000","3,435,946,000,000","3,498,111,000,000","3,450,662,000,000","3,472,571,000,000","3,412,105,000,000","3,568,206,000,000","3,505,385,000,000","3,529,499,000,000","3,484,265,000,000","3,545,985,000,000","3,439,721,000,000","3,488,640,000,000","3,425,786,000,000","3,572,847,000,000","3,299,070,000,000","3,715,943,000,000","3,714,133,000,000","3,662,631,000,000","3,820,418,000,000","3,823,903,000,000","3,722,387,000,000","5,570,789,000,000","3,155,090,000,000","3,072,220,000,000","3,002,660,000,000","5,198,516,000,000","3,048,271,000,000","3,059,012,000,000","2,869,154,000,000","5,173,417,000,000","2,884,117,000,000","2,914,429,000,000",,,,,,,,,,,,,,,,"1,865,555,553,690",,,,"1,991,638,750,000",,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"13,734,943,000,000","6,904,386,000,000","2,361,565,000,000","3,414,844,000,000","3,364,940,000,000","3,364,972,000,000","3,165,040,000,000","3,102,765,000,000","3,139,761,000,000","3,510,417,000,000","3,255,906,000,000","3,168,594,000,000","3,106,294,000,000","3,326,552,000,000","3,036,128,000,000","3,029,334,000,000","3,025,170,000,000","3,183,859,000,000","2,951,174,000,000","3,037,711,000,000","2,994,290,000,000","3,171,176,000,000","2,958,539,000,000","2,966,043,000,000","3,225,678,000,000","3,158,082,000,000","2,871,640,000,000","2,916,833,000,000","3,003,040,000,000","3,083,502,000,000","2,985,730,000,000","3,295,845,000,000","3,237,449,000,000","3,981,752,000,000","3,056,746,000,000","3,155,459,000,000","2,895,313,000,000","4,557,282,000,000","2,635,767,000,000","2,490,158,000,000","2,522,190,000,000","5,385,008,000,000","2,323,685,000,000","2,505,612,000,000","2,305,147,000,000","5,012,007,000,000","2,380,002,000,000","2,381,478,000,000",,,,,,,,,,,,,,,,"1,279,999,998,720",,,,"1,156,616,250,000",,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"8,921,172,000,000","4,533,576,000,000","1,527,994,000,000","2,214,293,000,000","2,212,815,000,000","2,296,995,000,000","2,165,345,000,000","2,080,722,000,000","2,142,193,000,000","2,324,977,000,000","2,245,367,000,000","2,171,628,000,000","2,138,190,000,000","2,249,145,000,000","2,096,445,000,000","2,115,230,000,000","2,108,686,000,000","2,112,799,000,000","2,021,947,000,000","2,129,808,000,000","2,114,471,000,000","2,136,190,000,000","2,065,606,000,000","2,062,293,000,000","2,342,768,000,000","2,094,344,000,000","2,020,324,000,000","2,056,722,000,000","2,156,521,000,000","2,142,068,000,000","2,189,604,000,000","2,597,518,000,000","2,555,042,000,000","3,309,548,000,000","2,371,158,000,000","2,478,537,000,000","2,260,802,000,000","3,522,421,000,000","1,904,743,000,000","1,871,241,000,000","1,912,737,000,000","3,075,464,000,000","1,812,993,000,000","1,885,708,000,000","1,721,002,000,000","3,425,595,000,000","1,667,977,000,000","1,752,975,000,000",,,,,,,,,,,,,,,,"925,555,554,630",,,,"774,460,000,000",,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"3,484,437,000,000","2,512,351,000,000","335,609,000,000","853,244,000,000","853,279,000,000","901,451,000,000","779,329,000,000","753,391,000,000","779,977,000,000","756,602,000,000","744,230,000,000","680,888,000,000","689,426,000,000","698,504,000,000","677,965,000,000","680,124,000,000","697,734,000,000","674,967,000,000","654,559,000,000","747,188,000,000","690,355,000,000","636,392,000,000","634,053,000,000","598,100,000,000","629,775,000,000","598,020,000,000","579,100,000,000","560,091,000,000","640,857,000,000","534,831,000,000","503,900,000,000","949,638,000,000","1,066,228,000,000","1,743,254,000,000","842,451,000,000","968,079,000,000","845,491,000,000","1,592,629,000,000","561,495,000,000","560,981,000,000","657,933,000,000","1,216,798,000,000","576,957,000,000","543,918,000,000","675,438,000,000","1,720,542,000,000","488,408,000,000","490,414,000,000",,,,,,,,,,,,,,,,"834,444,443,610",,,,"672,033,750,000",,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"2,857,677,000,000","2,258,879,000,000","202,893,000,000","706,228,000,000","699,853,000,000","674,065,000,000","548,968,000,000","542,781,000,000","558,415,000,000","539,461,000,000","518,589,000,000","471,242,000,000","469,717,000,000","489,653,000,000","457,036,000,000","472,697,000,000","483,680,000,000","461,217,000,000","436,375,000,000","551,009,000,000","482,422,000,000","432,514,000,000","423,174,000,000","410,154,000,000","436,716,000,000","409,294,000,000","374,769,000,000","372,182,000,000","455,007,000,000","339,411,000,000","319,972,000,000","292,918,000,000","355,533,000,000","313,658,000,000","294,097,000,000","253,379,000,000","313,585,000,000","541,627,000,000","98,961,000,000","95,786,000,000","200,115,000,000","364,704,000,000","84,319,000,000","81,597,000,000","189,451,000,000","420,013,000,000","75,095,000,000","71,727,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"231,934,000,000","63,729,000,000","55,541,000,000","58,999,000,000","58,417,000,000","132,557,000,000","134,139,000,000","131,144,000,000","131,613,000,000","125,392,000,000","129,367,000,000","132,414,000,000","133,071,000,000","128,400,000,000","130,104,000,000","130,777,000,000","128,024,000,000","128,874,000,000","125,224,000,000","117,037,000,000","122,451,000,000","119,493,000,000","118,240,000,000","113,376,000,000","109,200,000,000","107,253,000,000","115,331,000,000","111,366,000,000","110,866,000,000","111,500,000,000","105,708,000,000","100,393,000,000","106,876,000,000","110,787,000,000","98,265,000,000","93,662,000,000","99,271,000,000","134,348,000,000","71,703,000,000","70,739,000,000","72,984,000,000","128,714,000,000","67,891,000,000","66,182,000,000","63,760,000,000","120,103,000,000","60,645,000,000","56,407,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"394,826,000,000","189,743,000,000","77,175,000,000","88,017,000,000","95,009,000,000","94,829,000,000","96,222,000,000","79,466,000,000","89,949,000,000","91,749,000,000","96,274,000,000","77,232,000,000","86,638,000,000","80,451,000,000","90,825,000,000","76,650,000,000","86,030,000,000","84,876,000,000","92,960,000,000","79,142,000,000","85,482,000,000","84,385,000,000","92,639,000,000","74,570,000,000","83,859,000,000","81,473,000,000","89,000,000,000","76,543,000,000","74,984,000,000","83,920,000,000","78,220,000,000","556,327,000,000","603,819,000,000","1,318,809,000,000","450,089,000,000","621,038,000,000","432,635,000,000","916,654,000,000","390,831,000,000","394,456,000,000","384,834,000,000","723,380,000,000","424,747,000,000","396,139,000,000","422,227,000,000","1,180,426,000,000","352,668,000,000","362,280,000,000",,,,,,,,,,,,,,,,"834,444,443,610",,,,"672,033,750,000",,,,,,,,,,,,,,,,,,,,,
