name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"5,693,500,000","5,373,100,000","5,249,100,000","4,723,200,000","4,486,900,000","4,310,100,000","4,110,000,000","3,902,300,000","3,672,900,000","3,729,400,000","3,447,400,000","2,710,300,000","2,765,100,000","2,654,500,000","2,008,400,000","2,290,100,000","2,138,500,000","1,994,100,000","1,974,300,000","2,050,400,000","2,149,800,000","1,674,900,000","1,641,400,000","1,520,800,000","1,361,000,000","1,234,900,000","1,218,900,000","1,177,400,000","915,400,000","907,900,000","777,600,000","667,500,000","615,800,000","526,600,000","459,900,000"
	CurrentAssets,"2,380,500,000","2,216,900,000","2,119,300,000","1,884,000,000","1,898,700,000","1,858,600,000","1,796,200,000","1,669,000,000","1,530,700,000","1,765,500,000","1,676,100,000","1,140,700,000","1,187,400,000","1,113,200,000","1,072,900,000","1,192,600,000","1,131,700,000","1,051,000,000","1,139,400,000","1,186,400,000","1,206,300,000","1,079,800,000","1,021,700,000","1,017,300,000","946,700,000","873,000,000","854,600,000","837,600,000","666,600,000","675,000,000","564,600,000","505,000,000","470,500,000","392,200,000","360,800,000"
		CashCashEquivalentsAndShortTermInvestments,"184,500,000","140,900,000","92,000,000","77,600,000","92,800,000","132,900,000","217,600,000","214,500,000","185,600,000","572,200,000","699,400,000","115,800,000","93,000,000","63,400,000","170,400,000","150,000,000","96,100,000","18,400,000","6,700,000","6,100,000","17,600,000","15,000,000","25,700,000","15,400,000","16,200,000","9,000,000","6,700,000","59,000,000","10,900,000","6,600,000","5,100,000","16,900,000","64,600,000","27,300,000","1,500,000"
			CashAndCashEquivalents,"184,500,000","140,900,000","92,000,000","77,600,000","92,800,000","132,900,000","217,600,000","214,500,000","185,600,000","572,200,000","699,400,000","115,800,000","93,000,000","63,400,000","170,400,000","150,000,000","96,100,000","18,400,000","6,700,000","6,100,000","17,600,000","15,000,000","25,700,000","15,400,000","16,200,000","9,000,000","6,700,000","59,000,000","10,900,000","6,600,000","5,100,000","16,900,000","64,600,000","27,300,000","1,500,000"
		Receivables,"1,325,400,000","1,309,400,000","1,277,800,000","1,159,400,000","1,091,900,000","1,027,700,000","974,600,000","883,700,000","790,400,000","704,200,000","569,600,000","522,100,000","586,900,000","559,200,000","485,900,000","542,000,000","546,800,000","556,200,000","615,200,000","644,500,000","617,600,000","554,700,000","539,600,000","651,700,000","610,100,000","568,400,000","539,900,000","508,100,000","461,600,000","459,400,000","403,900,000","336,600,000","277,400,000","226,600,000","197,700,000"
			AccountsReceivable,"1,325,400,000","1,309,400,000","1,277,800,000","1,159,400,000","1,091,900,000","1,027,700,000","974,600,000","883,700,000","463,500,000","443,300,000","414,400,000","522,100,000","586,900,000","559,200,000","485,900,000","542,000,000","546,800,000","556,200,000","615,200,000","644,500,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"1,367,500,000","1,347,700,000","1,311,400,000","1,190,200,000","1,123,400,000","1,057,100,000","1,001,400,000","912,300,000","485,500,000","470,300,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-42,100,000","-38,300,000","-33,600,000","-30,800,000","-31,500,000","-29,400,000","-26,800,000","-28,600,000","-22,000,000","-27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,"326,900,000","260,900,000","155,200,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"760,400,000","673,800,000","638,800,000","530,500,000","497,800,000","475,500,000","434,400,000","404,200,000","386,400,000","329,400,000","274,700,000","359,200,000","322,400,000","323,000,000","283,200,000","341,900,000","351,100,000","369,900,000","375,200,000","418,900,000","454,800,000","375,400,000","373,200,000","269,800,000","250,400,000","229,000,000","249,100,000","221,300,000","160,100,000","182,100,000","137,100,000","139,500,000","120,100,000","124,800,000","113,100,000"
			RawMaterials,"126,800,000","123,500,000","122,700,000","93,600,000","90,300,000","87,500,000","87,300,000","83,800,000","80,500,000","64,100,000","60,500,000","69,800,000","64,000,000","64,100,000","62,700,000","69,600,000","80,700,000","86,200,000","77,200,000",,,,,,,,,,,,,,,,
			WorkInProcess,"57,100,000","51,700,000","49,300,000","42,700,000","42,900,000","45,300,000","45,000,000","38,600,000","32,200,000","25,000,000","28,300,000","30,500,000","33,600,000","35,200,000","33,600,000","40,000,000","46,500,000","42,000,000","41,500,000",,,,,,,,,,,,,,,,
			FinishedGoods,"661,000,000","577,000,000","541,900,000","467,400,000","437,900,000","415,300,000","374,700,000","353,600,000","343,800,000","308,700,000","254,300,000","342,200,000","299,800,000","310,400,000","269,000,000","308,600,000","305,700,000","337,500,000","351,400,000",,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-84,500,000","-78,400,000","-75,100,000","-73,200,000","-73,300,000","-72,600,000","-72,600,000","-71,800,000","-70,100,000","-68,400,000","-68,400,000","-83,300,000","-75,000,000","-86,700,000","-82,100,000","-76,300,000","-81,800,000","-95,800,000","-94,900,000",,,,,,,,,,,,,,,,
		PrepaidAssets,"110,200,000","92,800,000","110,700,000","116,500,000","106,300,000","121,500,000","84,200,000","84,800,000","75,700,000","72,700,000","62,900,000","79,500,000","98,100,000","91,600,000","57,100,000","81,600,000","66,300,000","106,500,000","142,300,000",,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"109,900,000","101,000,000","85,400,000","81,800,000","92,600,000","87,000,000","69,500,000","64,100,000","87,000,000","76,000,000","76,300,000","77,100,000","71,400,000",,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"109,900,000","101,000,000","85,400,000","81,800,000","92,600,000","87,000,000","69,500,000","64,100,000","87,000,000","76,000,000","76,300,000","77,100,000","71,400,000",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,"116,900,000","116,300,000","134,700,000","83,200,000","80,400,000","70,000,000","66,600,000","58,900,000","49,200,000","34,000,000","26,900,000","18,500,000","12,000,000","8,400,000","13,500,000","48,500,000"
