name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,03/31/1989,03/31/1988,10/31/1985
TotalAssets,"22,637,546,000,000","21,966,296,000,000","21,607,483,000,000","20,981,586,000,000","20,922,140,000,000","20,325,450,000,000","19,563,341,000,000","19,065,538,000,000","19,420,676,000,000","18,797,106,000,000","18,138,219,000,000","17,660,556,000,000","17,695,074,000,000","16,804,371,000,000","16,381,745,000,000","16,673,390,000,000","17,106,723,000,000","16,831,178,000,000","16,091,366,000,000","15,834,331,000,000","16,277,347,000,000","15,569,004,000,000","15,166,121,000,000","15,333,720,000,000","15,653,354,000,000","14,977,728,000,000","14,726,051,000,000","14,206,292,000,000","13,861,045,000,000","13,254,028,000,000","13,130,985,000,000","13,295,667,000,000","12,916,000,000,000","12,869,832,000,000","12,857,253,000,000","12,924,988,000,000","13,086,208,000,000","13,009,766,000,000","12,741,481,000,000","12,866,114,000,000","12,821,850,000,000","12,473,822,000,000","12,366,462,000,000","12,013,511,000,000","12,562,884,000,000","12,924,340,485,960","12,817,119,916,060","12,552,739,000,000","12,957,863,185,540","12,451,287,667,180","11,880,411,054,270","11,716,362,000,000","11,944,883,901,790","11,146,546,415,780","10,481,905,546,400","10,606,520,876,850","10,676,414,549,380","10,049,812,833,060","9,553,768,330,560","9,503,726,683,220","9,562,795,233,800","9,173,764,689,840","9,213,703,267,200","9,112,802,805,500","9,413,405,185,800","8,945,584,097,920","8,595,808,452,000","8,359,228,449,540","8,702,102,213,850","8,393,283,171,360","8,093,177,957,140","8,200,002,403,840","8,417,588,465,600","8,182,263,414,640","8,024,646,650,720","7,897,498,236,480","7,692,774,726,550","7,181,475,202,800","6,880,352,666,530","6,598,746,282,200","6,705,593,961,300","6,411,223,998,400","6,465,790,780,453.2","6,305,108,901,600","6,335,253,280,967.96","7,011,013,554,255.1","6,608,865,316,383.84","6,455,919,102,575.1","6,596,566,769,965.55","6,059,063,709,112.24","5,642,610,895,465.32","5,670,298,828,799.6","5,755,963,569,314.64","5,464,431,389,323.42","5,219,727,552,045.9","5,098,092,804,108","5,082,377,853,701.34","4,847,228,628,478.48","4,241,548,570,333.38","4,100,517,702,638","4,373,208,571,470","4,269,506,358,572","4,404,429,775,552","4,253,298,545,376","4,530,621,910,440","4,399,024,664,727","4,529,826,552,944","4,854,632,607,744","4,894,368,153,080","4,883,269,995,216","4,915,626,860,770","5,106,563,876,920","4,904,964,943,684","4,706,987,729,952","4,618,594,186,905","4,441,385,243,190","4,321,383,678,871","4,322,861,920,125","4,343,764,201,233","4,016,757,699,756","2,846,550,979,361","2,374,042,592,450","1,852,666,429,503","1,447,577,177,600"
	CurrentAssets,"5,619,417,000,000","5,408,216,000,000","5,206,933,000,000","5,246,612,000,000","5,481,532,000,000","5,743,715,000,000","5,290,305,000,000","5,176,096,000,000","5,560,791,000,000","5,120,623,000,000","4,659,038,000,000","4,355,722,000,000","4,599,662,000,000","4,063,602,000,000","3,902,386,000,000","4,196,727,000,000","4,840,618,000,000","4,709,194,000,000","4,227,742,000,000","4,197,901,000,000","4,786,249,000,000","4,352,481,000,000","3,975,027,000,000","4,204,886,000,000","4,563,746,000,000","4,116,559,000,000","3,986,730,000,000","3,646,533,000,000","3,720,145,000,000","3,471,637,000,000","3,513,931,000,000","3,754,962,000,000","3,642,993,000,000","3,621,248,000,000","3,649,333,000,000","3,844,046,000,000","4,235,562,000,000","4,225,556,000,000","4,029,494,000,000","4,132,872,000,000","4,212,352,000,000","3,986,537,000,000","3,833,463,000,000","3,620,635,000,000","4,718,003,000,000","5,110,522,460,640","4,914,613,469,960","5,009,663,000,000","5,446,630,245,610","4,986,164,200,540","4,329,576,834,660","4,546,723,000,000","4,841,854,517,220","4,218,993,430,950","3,732,363,688,300","3,769,067,853,900","3,993,763,762,780","3,609,781,025,620","3,221,119,123,200","3,557,879,061,940","3,654,319,813,000","3,386,926,367,640","3,352,474,231,760","3,371,559,807,000","3,881,501,488,950","3,500,334,443,780","3,337,964,098,560","3,149,884,974,000","3,810,666,273,900","3,524,336,877,930","3,291,222,515,370","3,343,079,947,870","3,713,138,609,200","3,668,924,621,300","3,548,950,372,310","3,508,373,801,400","3,725,530,538,300","3,352,472,441,280","3,079,747,599,180","3,038,635,373,600","3,397,280,058,900","3,170,537,332,100","3,151,429,628,913.78","3,072,287,689,700","3,278,206,588,340.32","3,689,708,650,056","3,417,903,188,056.02","3,294,459,724,940.7","3,505,867,800,303","3,106,120,560,653.36","2,776,853,225,322.12","2,790,520,508,943.32","2,987,827,789,625.63","2,756,839,107,272.07","2,572,455,156,453.2","2,550,181,663,008","2,653,667,963,118.66","2,508,877,512,215.4","2,172,940,669,566","2,083,980,697,162","2,300,850,048,762","2,171,457,320,214","2,025,653,388,048","2,015,861,922,264","2,220,966,080,816","2,086,597,406,586","2,109,888,584,496","2,327,563,408,096","2,406,532,062,912","2,369,488,462,473","2,360,624,981,322","2,666,916,601,892","2,467,768,546,828","2,325,917,116,512","2,242,310,129,565","2,274,924,367,260","2,194,875,562,439","2,168,424,552,360","2,188,275,414,159","2,111,583,794,104","1,810,295,955,244","1,439,413,231,563","1,068,648,969,209","966,348,715,520"
		CashCashEquivalentsAndShortTermInvestments,"2,976,034,000,000","2,698,400,000,000","2,608,703,000,000","2,794,611,000,000","2,680,143,000,000","2,876,514,000,000","2,748,582,000,000","2,762,930,000,000","2,550,612,000,000","2,140,404,000,000","2,083,059,000,000","2,011,583,000,000","1,799,722,000,000","1,450,485,000,000","1,528,568,000,000","1,930,009,000,000","2,048,446,000,000","1,899,743,000,000","1,599,318,000,000","1,886,144,000,000","1,876,686,000,000","1,547,238,000,000","1,546,369,000,000","1,879,032,000,000","1,682,455,000,000","1,476,077,000,000","1,523,773,000,000","1,523,958,000,000","1,356,279,000,000","1,223,222,000,000","1,315,811,000,000","1,575,489,000,000","1,417,766,000,000","1,301,172,000,000","1,433,066,000,000","1,660,583,000,000","1,567,033,000,000","1,496,264,000,000","1,587,378,000,000","1,771,101,000,000","1,531,014,000,000","1,358,631,000,000","1,296,787,000,000","1,127,701,000,000","1,317,080,000,000","1,171,664,735,160","1,294,711,142,110","1,514,140,000,000","1,475,913,738,550","1,120,411,510,820","967,670,398,530","1,293,214,000,000","1,222,308,162,040","1,026,863,697,000","1,017,750,793,100","1,239,995,310,750","1,145,664,769,000","1,095,540,684,700","997,504,279,440","1,241,434,820,220","1,113,687,694,800","977,880,485,520","1,005,981,530,000","1,126,668,114,850","1,181,233,289,150","914,473,663,580","891,976,055,040","953,223,617,600","1,012,709,327,700","815,040,168,780","740,306,941,940","847,432,821,040","905,213,298,240","907,255,407,820","675,788,602,860","703,566,406,830","734,997,457,150","773,131,788,000","686,475,336,610","711,056,296,000","799,059,249,300","714,141,479,530","672,022,781,709.8","710,849,105,350","598,830,496,264.52","721,000,122,901.76","687,739,957,126.08","597,387,865,339.95","727,402,011,493.91","589,307,087,240.96","521,220,362,149.48","547,641,978,660.4","621,871,945,982.32","548,571,748,043.42","489,473,693,386.2","464,107,530,006","536,792,288,260.54","556,642,323,383.12","537,194,551,602","461,660,104,773","539,294,544,048","514,797,330,047","501,973,715,189","482,352,815,844","576,965,895,480","541,458,145,382","489,238,541,176","558,543,832,160","582,377,114,272","512,083,148,946","418,742,767,410","693,938,505,899","508,615,438,136","535,572,022,656","444,519,707,280","522,546,243,480","511,795,356,373","524,679,232,365","448,948,778,550","486,131,073,450","453,411,287,671","424,319,530,060","314,924,389,489","221,853,258,560"
			CashAndCashEquivalents,"1,408,876,000,000","1,252,869,000,000","1,210,507,000,000","1,470,073,000,000","1,480,816,000,000","1,540,779,000,000","1,509,451,000,000","1,586,329,000,000","1,328,925,000,000","1,000,832,000,000","984,165,000,000","960,142,000,000","771,676,000,000","525,181,000,000","631,074,000,000","983,612,000,000","1,090,637,000,000","1,010,120,000,000","628,087,000,000","949,413,000,000","933,498,000,000","610,509,000,000","687,405,000,000","1,046,466,000,000","849,248,000,000","725,668,000,000","801,191,000,000","826,361,000,000","698,029,000,000","588,827,000,000","658,094,000,000","894,576,000,000","801,708,000,000","719,020,000,000","816,588,000,000","1,014,412,000,000","919,765,000,000","837,212,000,000","994,627,000,000","1,191,608,000,000","1,004,785,000,000","838,485,000,000","807,931,000,000","660,789,000,000","786,763,000,000","698,315,149,200","789,294,824,720","1,086,431,000,000","1,003,800,173,110","625,997,495,080","451,012,981,980","799,899,000,000","733,527,745,860","555,450,638,860","558,062,294,900","703,036,733,850","615,588,121,240","583,569,729,820","512,339,849,520","779,475,659,340","573,158,233,200","445,801,693,320","502,120,726,920","851,230,235,750","899,731,937,900","640,945,569,840","662,395,214,880","712,086,355,920","796,531,638,700","641,396,943,810","563,417,327,140","685,017,057,660","750,526,616,240","749,554,968,220","550,060,490,700","612,641,262,660","585,774,521,050","630,832,286,880","575,688,468,250","606,863,942,800","695,776,699,800","611,468,363,110","571,059,262,648.3","592,830,766,700","445,324,356,550","519,277,688,779.98","523,850,553,498.54","426,781,460,415.6","528,399,261,726.82","487,868,914,896.16","434,973,733,870.48","427,760,312,600.4","555,482,033,888.13","487,813,625,589.37","427,251,294,317.4","464,107,530,006","493,234,659,406.98","497,384,570,468.48","465,502,248,099.45","461,660,104,773","539,294,544,048","514,797,330,047","501,973,715,189","482,352,815,844","576,965,895,480","541,458,145,382","489,238,541,176","558,543,832,160","582,377,114,272","512,083,148,946","418,742,767,410","693,938,505,899","508,615,438,136","535,572,022,656","444,519,707,280","522,546,243,480","511,795,356,373","524,679,232,365","448,948,778,550","486,131,073,450","453,411,287,671","424,319,530,060","314,924,389,489","221,853,258,560"
			OtherShortTermInvestments,"1,567,158,000,000","1,445,531,000,000","1,398,196,000,000","1,324,538,000,000","1,199,327,000,000","1,335,735,000,000","1,239,131,000,000","1,176,601,000,000","1,221,687,000,000","1,139,572,000,000","1,098,894,000,000","1,051,441,000,000","1,028,046,000,000","925,304,000,000","897,494,000,000","946,397,000,000","957,809,000,000","889,623,000,000","971,231,000,000","936,731,000,000","943,188,000,000","936,729,000,000","858,964,000,000","832,566,000,000","833,207,000,000","750,409,000,000","722,582,000,000","697,597,000,000","658,250,000,000","634,395,000,000","657,717,000,000","680,913,000,000","616,058,000,000","582,152,000,000","616,478,000,000","646,171,000,000","647,268,000,000","659,052,000,000","592,751,000,000","579,493,000,000","526,229,000,000","520,146,000,000","488,856,000,000","466,912,000,000","530,317,000,000","473,349,585,960","505,416,317,390","427,709,000,000","472,113,565,440","494,414,015,740","516,657,416,550","493,315,000,000","488,780,416,180","471,413,058,140","459,688,498,200","536,958,576,900","530,076,647,760","511,970,954,880","485,164,429,920","461,959,160,880","540,529,461,600","532,078,792,200","503,860,803,080","275,437,879,100","281,501,351,250","273,528,093,740","229,580,840,160","241,137,261,680","216,177,689,000","173,643,224,970","176,889,614,800","162,415,763,380","154,686,682,000","157,700,439,600","125,728,112,160","90,925,144,170","149,222,936,100","142,299,501,120","110,786,868,360","104,192,353,200","103,282,549,500","102,673,116,420","100,963,519,061.5","118,018,338,650","153,506,139,714.52","201,722,434,121.78","163,889,403,627.54","170,606,404,924.35","199,002,749,767.09","101,438,172,344.8","86,246,628,279","119,881,666,060","66,389,912,094.19","60,758,122,454.05","62,222,399,068.8",,"43,557,628,853.56","59,257,752,914.64","71,692,303,502.55",,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,504,222,000,000","1,386,824,000,000","1,342,738,000,000","1,289,422,000,000","1,606,590,000,000","1,571,848,000,000","1,329,247,000,000","1,203,485,000,000","1,707,779,000,000","1,542,011,000,000","1,281,529,000,000","1,177,443,000,000","1,516,766,000,000","1,216,025,000,000","1,104,145,000,000","1,059,650,000,000","1,466,859,000,000","1,330,079,000,000","1,281,022,000,000","1,131,849,000,000","1,550,491,000,000","1,328,594,000,000","1,133,472,000,000","1,048,725,000,000","1,444,436,000,000","1,134,807,000,000","1,061,760,000,000","924,634,000,000","1,095,031,000,000","942,643,000,000","898,628,000,000","971,959,000,000","1,019,889,000,000","976,674,000,000","704,808,000,000","743,690,000,000","1,042,903,000,000","810,028,000,000","834,635,000,000","891,625,000,000","1,172,570,000,000","865,300,000,000","836,387,000,000","853,454,000,000","1,215,530,000,000","1,129,914,178,440","1,205,182,679,080","1,090,285,000,000","1,583,771,122,700","1,320,772,044,370","1,159,061,489,190","1,369,777,000,000","1,699,065,484,690","1,151,149,613,430","1,035,387,073,300","985,404,911,400","1,349,286,012,480","1,013,048,910,720","947,146,563,120","1,113,613,251,100","1,280,627,982,200","1,047,210,297,120","1,010,875,494,200","1,126,563,861,300","1,500,160,915,290","1,183,764,469,280","1,143,712,584,000","1,116,380,580,860","1,467,513,927,250","1,211,243,630,940","1,168,069,057,730","1,244,966,002,930","1,408,372,871,520","1,192,908,249,550","1,174,335,492,050","1,306,749,436,740","1,444,092,930,000","1,103,794,306,560","1,064,042,077,630","1,023,119,586,600","1,206,667,410,000","1,015,464,755,980","1,014,521,628,597.74","1,014,528,987,850","1,293,089,202,831.4","1,201,209,254,008.92","1,070,961,492,383.58","1,125,102,956,414.85","1,329,348,915,121.55","1,096,090,658,694.56","952,457,286,668.44","970,862,384,326.28","1,114,572,218,956.6","939,497,442,935.49","852,057,889,408.3","863,676,545,778","943,730,848,024.13","755,343,389,361.9","594,619,710,177.24","608,608,901,621","724,530,236,490","604,738,296,071","534,754,145,279","545,164,462,380","603,117,864,936","533,135,571,122","578,086,594,008","719,473,844,800","693,464,241,912","693,399,279,879","683,501,402,454","819,253,953,226","780,260,207,948","711,123,080,736","702,844,580,340","779,164,920,390","719,343,831,031","689,131,386,390","646,470,516,111","751,350,964,934","507,724,073,723","434,390,824,340","351,146,834,729","320,818,974,720"
			AccountsReceivable,"1,320,863,000,000","1,151,955,000,000","1,105,537,000,000","1,065,802,000,000","1,366,074,000,000","1,265,968,000,000","1,099,807,000,000","1,012,779,000,000","1,473,777,000,000","1,174,079,000,000","1,026,677,000,000","953,811,000,000","1,307,844,000,000","942,010,000,000","869,415,000,000","853,592,000,000","1,210,977,000,000","1,008,684,000,000","1,005,274,000,000","899,902,000,000","1,286,644,000,000","1,002,320,000,000","898,002,000,000","871,040,000,000","1,216,528,000,000","875,024,000,000","856,413,000,000","776,492,000,000","923,609,000,000","998,889,000,000","957,339,000,000","1,042,968,000,000","173,854,000,000","1,046,018,000,000","784,498,000,000","834,221,000,000",,,,"996,100,000,000",,,,"963,837,000,000",,"1,129,914,178,440","1,205,182,679,080","1,183,620,000,000",,"1,320,772,044,370",,"1,490,452,000,000","1,699,065,484,690",,"1,035,387,073,300","985,404,911,400",,,"947,146,563,120","1,113,613,251,100","1,280,627,982,200","1,047,210,297,120","1,010,875,494,200","1,126,563,861,300","1,500,160,915,290","1,183,764,469,280","1,143,712,584,000","1,116,380,580,860","1,467,513,927,250","1,211,243,630,940","1,168,069,057,730","1,244,966,002,930","1,408,372,871,520","1,192,908,249,550","1,174,335,492,050","1,306,749,436,740","1,444,092,930,000","1,103,794,306,560","1,064,042,077,630","1,023,119,586,600","1,206,667,410,000","1,015,464,755,980","1,014,521,628,597.74","1,014,528,987,850","1,293,089,202,831.4","1,201,209,254,008.92","1,070,961,492,383.58","1,125,102,956,414.85","1,329,348,915,121.55","1,096,090,658,694.56","952,457,286,668.44","970,862,384,326.28","1,114,572,218,956.6","939,497,442,935.49","852,057,889,408.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"1,345,472,000,000","1,176,090,000,000","1,130,271,000,000","1,091,242,000,000","1,390,671,000,000","1,290,317,000,000","1,123,475,000,000","1,061,442,000,000","1,535,912,000,000","1,222,444,000,000","1,075,304,000,000","1,006,961,000,000","1,383,285,000,000","992,120,000,000","917,215,000,000","926,375,000,000","1,318,825,000,000","1,095,632,000,000","1,087,321,000,000","986,500,000,000","1,392,582,000,000","1,075,558,000,000","963,736,000,000","946,553,000,000","1,310,272,000,000","938,435,000,000","920,481,000,000","844,117,000,000","1,004,324,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-24,609,000,000","-24,135,000,000","-24,734,000,000","-25,440,000,000","-24,597,000,000","-24,349,000,000","-23,668,000,000","-48,663,000,000","-62,135,000,000","-48,365,000,000","-48,627,000,000","-53,150,000,000","-75,441,000,000","-50,110,000,000","-47,800,000,000","-72,783,000,000","-107,848,000,000","-86,948,000,000","-82,047,000,000","-86,598,000,000","-105,938,000,000","-73,238,000,000","-65,734,000,000","-75,513,000,000","-93,744,000,000","-63,411,000,000","-64,068,000,000","-67,625,000,000","-80,715,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,583,771,122,700",,"1,159,061,489,190",,,"1,151,149,613,430",,,"1,349,286,012,480","1,013,048,910,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
