name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"2,804,116,000,000","2,966,193,000,000","2,891,179,000,000","2,360,193,000,000","1,930,911,000,000","2,018,883,000,000","2,825,914,000,000","2,880,311,000,000","2,786,045,000,000","2,505,683,000,000","1,913,182,000,000","1,345,052,000,000","1,452,101,000,000","1,204,843,000,000","1,045,548,000,000","799,954,000,000","591,734,000,000","418,047,000,000","325,073,000,000","305,882,000,000","323,960,000,000","231,694,000,000","191,066,000,000"
	OperatingRevenue,"2,741,621,000,000","2,900,488,000,000","2,825,613,000,000","2,300,470,000,000","1,880,190,000,000","1,976,412,000,000","2,781,641,000,000","2,833,247,000,000","2,733,618,000,000","2,463,767,000,000","1,876,758,000,000","1,315,915,000,000","1,452,101,000,000","1,204,843,000,000","1,045,548,000,000","799,954,000,000","591,734,000,000","418,047,000,000","325,073,000,000","305,882,000,000","323,960,000,000","231,694,000,000","191,066,000,000"
CostOfRevenue,"2,400,975,000,000","2,489,719,000,000","2,402,950,000,000","1,885,961,000,000","1,488,116,000,000","1,589,294,000,000","2,424,496,000,000","2,453,123,000,000","2,371,655,000,000","2,095,361,000,000","1,541,707,000,000","1,040,946,000,000","1,326,783,000,000","1,012,961,000,000","880,029,000,000","668,249,000,000","459,207,000,000","323,104,000,000","251,182,000,000","236,135,000,000","249,234,000,000","175,259,000,000","146,753,000,000"
GrossProfit,"403,141,000,000","476,474,000,000","488,229,000,000","474,232,000,000","442,795,000,000","429,589,000,000","401,418,000,000","427,188,000,000","414,390,000,000","410,322,000,000","371,475,000,000","304,106,000,000","125,318,000,000","191,882,000,000","165,519,000,000","131,705,000,000","132,527,000,000","94,943,000,000","73,891,000,000","69,747,000,000","74,726,000,000","56,435,000,000","44,313,000,000"
OperatingExpense,"362,256,000,000","384,443,000,000","397,353,000,000","383,465,000,000","369,482,000,000","368,608,000,000","325,730,000,000","327,523,000,000","314,368,000,000","303,154,000,000","252,536,000,000","212,779,000,000","130,993,000,000","92,832,000,000","87,494,000,000","69,583,000,000","65,243,000,000","55,305,000,000","46,747,000,000","42,307,000,000","43,739,000,000","41,657,000,000","37,883,000,000"
	SellingGeneralAndAdministration,"137,191,000,000","136,795,000,000","143,363,000,000","139,827,000,000","128,247,000,000","125,661,000,000","125,607,000,000","125,281,000,000","112,941,000,000","100,489,000,000","84,720,000,000","69,336,000,000","65,884,000,000","58,528,000,000","51,225,000,000","46,020,000,000","42,644,000,000","35,801,000,000","30,532,000,000","26,669,000,000","28,755,000,000","29,889,000,000","26,724,000,000"
		GeneralAndAdministrativeExpense,"137,191,000,000","136,795,000,000","143,363,000,000","139,827,000,000","128,247,000,000","125,661,000,000","125,607,000,000","125,281,000,000","112,941,000,000","100,489,000,000","84,720,000,000","69,336,000,000","40,917,000,000","35,964,000,000","26,491,000,000","23,330,000,000","23,167,000,000","21,219,000,000","17,253,000,000","14,369,000,000","17,172,000,000","22,964,000,000","19,897,000,000"
			SalariesAndWages,"82,965,000,000","81,482,000,000","77,721,000,000","74,854,000,000","63,887,000,000","56,331,000,000","57,233,000,000","55,353,000,000","51,767,000,000","41,529,000,000","33,672,000,000","28,836,000,000",,,,,,,,,,,
			OtherGandA,"54,226,000,000","55,313,000,000","65,642,000,000","64,973,000,000","64,360,000,000","69,330,000,000","68,374,000,000","69,928,000,000","61,174,000,000","58,960,000,000","51,048,000,000","40,500,000,000","40,917,000,000","35,964,000,000","26,491,000,000","23,330,000,000","23,167,000,000","21,219,000,000","17,253,000,000","14,369,000,000","17,172,000,000","22,964,000,000","19,897,000,000"
		SellingAndMarketingExpense,,,"59,396,000,000","56,055,000,000","49,550,000,000","46,872,000,000","46,274,000,000","44,359,000,000","40,299,000,000","38,399,000,000","31,981,000,000","27,635,000,000","24,967,000,000","22,564,000,000","24,734,000,000","22,690,000,000","19,477,000,000","14,582,000,000","13,279,000,000","12,300,000,000","11,583,000,000","6,925,000,000","6,827,000,000"
	ResearchAndDevelopment,,,"7,956,000,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"110,749,000,000","108,812,000,000","109,967,000,000","115,310,000,000","108,425,000,000","96,368,000,000","90,097,000,000","81,265,000,000","70,456,000,000","63,816,000,000","59,223,000,000","50,487,000,000",,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,"109,967,000,000","115,310,000,000","108,425,000,000","96,368,000,000","90,097,000,000","81,265,000,000","70,456,000,000","63,816,000,000","59,223,000,000","50,487,000,000",,,,,,,,,,,
			DepreciationIncomeStatement,,,"109,967,000,000","115,310,000,000","108,425,000,000","96,368,000,000","90,097,000,000","81,265,000,000","70,456,000,000","63,816,000,000","59,223,000,000","50,487,000,000",,,,,,,,,,,
	OtherTaxes,"231,767,000,000","242,535,000,000","246,498,000,000","235,292,000,000","232,006,000,000","236,343,000,000","191,202,000,000","190,672,000,000","188,483,000,000","189,949,000,000","157,189,000,000","132,884,000,000","56,799,000,000","34,304,000,000","28,286,000,000","17,152,000,000","16,203,000,000","13,371,000,000","11,852,000,000","11,863,000,000","12,101,000,000","9,381,000,000","8,545,000,000"
	OtherOperatingExpenses,"-6,702,000,000","5,113,000,000","7,492,000,000","8,346,000,000","9,229,000,000","6,604,000,000","8,921,000,000","11,570,000,000","12,944,000,000","12,716,000,000","10,627,000,000","10,559,000,000","8,310,000,000",,"7,983,000,000","6,411,000,000","6,396,000,000","6,133,000,000","4,363,000,000","3,775,000,000","2,883,000,000","2,387,000,000","2,614,000,000"
OperatingIncome,"40,885,000,000","92,031,000,000","90,876,000,000","90,767,000,000","73,313,000,000","60,981,000,000","75,688,000,000","99,665,000,000","100,022,000,000","107,168,000,000","118,939,000,000","91,327,000,000","-5,675,000,000","99,050,000,000","78,025,000,000","62,122,000,000","67,284,000,000","39,638,000,000","27,144,000,000","27,440,000,000","30,987,000,000","14,778,000,000","6,430,000,000"
NetNonOperatingInterestIncomeExpense,"-8,813,000,000","-8,379,000,000","1,843,000,000","-391,000,000","-4,944,000,000","-4,074,000,000","-8,431,000,000","-8,157,000,000","-9,963,000,000","-6,916,000,000","-6,738,000,000","-6,676,000,000","-10,881,000,000","-6,909,000,000","-7,510,000,000","-6,183,000,000","-4,223,000,000","-3,843,000,000","-4,062,000,000","-3,967,000,000","-5,709,000,000","-8,085,000,000","-8,416,000,000"
	InterestIncomeNonOperating,"6,367,000,000","7,206,000,000","7,726,000,000","5,254,000,000","3,218,000,000","2,978,000,000","1,779,000,000","1,568,000,000","1,254,000,000","1,584,000,000","660,000,000","277,000,000","445,000,000","405,000,000","554,000,000","382,000,000","359,000,000","305,000,000","338,000,000","1,183,000,000","820,000,000",,
	InterestExpenseNonOperating,"15,180,000,000","15,585,000,000","5,883,000,000","5,645,000,000","8,162,000,000","7,052,000,000","10,210,000,000","9,725,000,000","11,217,000,000","8,500,000,000","7,398,000,000","6,953,000,000","10,896,000,000","7,314,000,000","8,064,000,000","6,565,000,000","4,582,000,000","4,148,000,000","4,400,000,000","5,150,000,000","6,529,000,000","8,085,000,000","8,416,000,000"
	TotalOtherFinanceCost,,,"2,439,000,000","1,501,000,000","1,057,000,000","1,081,000,000","1,008,000,000","877,000,000","856,000,000","741,000,000","574,000,000","429,000,000","430,000,000",,,,,,,,,,
OtherIncomeExpense,"5,243,000,000","6,275,000,000","6,391,000,000","-3,679,000,000","11,782,000,000","-630,000,000","-1,753,000,000","3,544,000,000","583,000,000","4,313,000,000","-8,508,000,000","-4,083,000,000","40,782,000,000","-9,230,000,000","2,737,000,000","5,543,000,000","-9,526,000,000","-5,780,000,000","-1,070,000,000","-1,822,000,000","659,000,000","1,639,000,000","704,000,000"
