name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,09/30/2001,06/30/2001,03/31/2001,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"2,804,116,000,000","555,502,000,000","732,888,000,000","734,309,000,000","781,417,000,000","717,579,000,000","818,209,000,000","772,718,000,000","679,001,000,000","621,251,000,000","615,238,000,000","579,118,000,000","583,652,000,000","582,185,000,000","566,966,000,000","484,725,000,000","465,430,000,000","413,790,000,000","482,046,000,000","496,475,000,000","562,121,000,000","478,241,000,000","710,266,000,000","759,476,000,000","715,107,000,000","641,065,000,000","740,387,000,000","724,680,000,000","719,673,000,000","695,571,000,000","761,279,000,000","676,694,000,000","676,707,000,000","671,365,000,000","630,581,000,000","641,830,000,000","644,430,000,000","588,842,000,000","485,560,000,000","489,886,000,000","498,314,000,000","438,209,000,000","451,604,000,000","359,423,000,000","305,440,000,000","228,585,000,000","304,704,000,000","412,614,000,000","402,773,000,000","332,010,000,000","329,625,000,000","308,388,000,000","288,580,000,000","278,250,000,000","289,804,000,000","273,266,000,000","259,531,000,000","222,947,000,000","222,358,000,000","217,901,000,000","190,335,000,000","169,360,000,000","173,289,000,000","152,120,000,000","142,686,000,000","123,639,000,000","116,564,000,000","106,058,000,000","96,787,000,000","98,638,000,000","98,039,000,000","85,908,000,000","77,965,000,000","63,161,000,000",,,,,,
	OperatingRevenue,"2,741,621,000,000","542,632,000,000","715,472,000,000","718,183,000,000","765,334,000,000","701,499,000,000","800,407,000,000","756,403,000,000","663,540,000,000","605,263,000,000","598,267,000,000","564,375,000,000","569,944,000,000","567,884,000,000","551,314,000,000","472,080,000,000","453,227,000,000","403,569,000,000","468,070,000,000","486,650,000,000","552,348,000,000","469,344,000,000","665,993,000,000","748,845,000,000","705,783,000,000","632,381,000,000","723,830,000,000","713,483,000,000","709,692,000,000","686,242,000,000","708,852,000,000","676,694,000,000","676,707,000,000","671,365,000,000","588,665,000,000","641,830,000,000","644,430,000,000","588,842,000,000","449,136,000,000","489,886,000,000","498,314,000,000","438,209,000,000","422,467,000,000","359,423,000,000","305,440,000,000","228,585,000,000","304,704,000,000","412,614,000,000","402,773,000,000","332,010,000,000","329,625,000,000","308,388,000,000","288,580,000,000","278,250,000,000","289,804,000,000","273,266,000,000","259,531,000,000","222,947,000,000","222,358,000,000","217,901,000,000","190,335,000,000","169,360,000,000","173,289,000,000","152,120,000,000","142,686,000,000","123,639,000,000","116,564,000,000","106,058,000,000","96,787,000,000","98,638,000,000","98,039,000,000","85,908,000,000","77,965,000,000","63,161,000,000",,,,,,
CostOfRevenue,"2,400,975,000,000","509,392,000,000","612,163,000,000","617,690,000,000","661,730,000,000","598,136,000,000","708,741,000,000","647,510,000,000","547,199,000,000","499,500,000,000","481,265,000,000","462,451,000,000","476,182,000,000","466,063,000,000","446,724,000,000","376,868,000,000","351,615,000,000","312,909,000,000","376,311,000,000","396,303,000,000","434,029,000,000","382,651,000,000","620,767,000,000","654,634,000,000","605,211,000,000","537,811,000,000","631,022,000,000","612,276,000,000","621,908,000,000","587,917,000,000","646,944,000,000","572,280,000,000","577,633,000,000","574,798,000,000","531,035,000,000","534,451,000,000","542,529,000,000","487,346,000,000","380,383,000,000","398,663,000,000","408,653,000,000","358,379,000,000","373,833,000,000","277,788,000,000","222,881,000,000","166,444,000,000","266,754,000,000","380,351,000,000","384,168,000,000","295,510,000,000","285,324,000,000","262,532,000,000","236,873,000,000","228,232,000,000","240,510,000,000","230,221,000,000","218,161,000,000","191,137,000,000","188,635,000,000","186,433,000,000","156,994,000,000","136,187,000,000","136,153,000,000","116,956,000,000","111,515,000,000","94,583,000,000","88,895,000,000","81,906,000,000","76,125,000,000","76,178,000,000","75,949,000,000","65,861,000,000","57,705,000,000","51,667,000,000",,,,,,
GrossProfit,"403,141,000,000","46,110,000,000","120,725,000,000","116,619,000,000","119,687,000,000","119,443,000,000","109,468,000,000","125,208,000,000","131,802,000,000","121,751,000,000","133,973,000,000","116,667,000,000","107,470,000,000","116,122,000,000","120,242,000,000","107,857,000,000","113,815,000,000","100,881,000,000","105,735,000,000","100,172,000,000","128,092,000,000","95,590,000,000","89,499,000,000","104,842,000,000","109,896,000,000","103,254,000,000","109,365,000,000","112,404,000,000","97,765,000,000","107,654,000,000","114,335,000,000","104,414,000,000","99,074,000,000","96,567,000,000","99,546,000,000","107,379,000,000","101,901,000,000","101,496,000,000","105,177,000,000","91,223,000,000","89,661,000,000","79,830,000,000","77,771,000,000","81,635,000,000","82,559,000,000","62,141,000,000","37,950,000,000","32,263,000,000","18,605,000,000","36,500,000,000","44,301,000,000","45,856,000,000","51,707,000,000","50,018,000,000","49,294,000,000","43,045,000,000","41,370,000,000","31,810,000,000","33,723,000,000","31,468,000,000","33,341,000,000","33,173,000,000","37,136,000,000","35,164,000,000","31,171,000,000","29,056,000,000","27,669,000,000","24,152,000,000","20,662,000,000","22,460,000,000","22,090,000,000","20,047,000,000","20,260,000,000","11,494,000,000",,,,,,
OperatingExpense,"362,256,000,000","72,415,000,000","97,034,000,000","97,417,000,000","95,390,000,000","94,602,000,000","104,457,000,000","100,919,000,000","99,444,000,000","92,533,000,000","98,963,000,000","100,219,000,000","93,596,000,000","90,687,000,000","98,359,000,000","91,535,000,000","91,764,000,000","87,824,000,000","94,230,000,000","91,239,000,000","93,593,000,000","90,437,000,000","90,469,000,000","80,746,000,000","81,460,000,000","78,437,000,000","87,988,000,000","80,857,000,000","78,666,000,000","80,085,000,000","87,711,000,000","76,363,000,000","75,251,000,000","75,043,000,000","80,101,000,000","78,964,000,000","74,194,000,000","69,895,000,000","69,475,000,000","63,372,000,000","61,548,000,000","58,101,000,000","56,703,000,000","58,024,000,000","52,395,000,000","45,657,000,000","30,161,000,000","37,047,000,000","30,578,000,000","28,479,000,000","29,696,000,000","22,483,000,000","21,495,000,000","19,158,000,000","26,002,000,000","23,007,000,000","21,664,000,000","16,821,000,000","19,622,000,000","17,443,000,000","16,005,000,000","16,513,000,000","19,479,000,000","15,984,000,000","15,223,000,000","14,557,000,000","17,460,000,000","12,582,000,000","13,228,000,000","12,035,000,000","12,880,000,000","11,697,000,000","11,829,000,000","10,341,000,000",,,,,,
	SellingGeneralAndAdministration,"137,191,000,000","29,332,000,000","39,604,000,000","34,205,000,000","34,050,000,000","28,936,000,000","40,853,000,000","33,838,000,000","35,103,000,000","33,569,000,000","42,818,000,000","35,550,000,000","86,000,000","30,045,000,000","35,803,000,000","30,325,000,000","2,803,000,000","30,253,000,000","36,508,000,000","30,399,000,000","29,520,000,000","29,234,000,000","40,584,000,000","30,012,000,000","31,118,000,000","29,371,000,000","37,094,000,000","31,353,000,000","28,445,000,000","28,389,000,000","39,001,000,000","25,795,000,000","24,677,000,000","23,468,000,000","28,742,000,000","26,595,000,000","22,567,000,000","22,585,000,000","24,270,000,000","21,918,000,000","19,522,000,000","18,970,000,000","16,384,000,000","20,810,000,000","17,068,000,000","15,074,000,000","18,836,000,000","16,442,000,000","15,864,000,000","14,742,000,000","18,406,000,000","13,613,000,000","13,664,000,000","12,845,000,000","16,354,000,000","12,389,000,000","11,573,000,000","10,909,000,000","13,352,000,000","11,709,000,000","10,023,000,000","10,936,000,000","12,982,000,000","10,133,000,000","10,261,000,000","9,268,000,000","11,505,000,000","7,958,000,000","8,675,000,000","7,663,000,000","8,491,000,000","7,556,000,000","7,831,000,000","6,654,000,000",,,,,,
		GeneralAndAdministrativeExpense,"137,191,000,000","29,332,000,000","39,604,000,000","34,205,000,000","34,050,000,000","28,936,000,000","40,853,000,000","33,838,000,000","35,103,000,000","33,569,000,000","42,818,000,000","35,550,000,000","86,000,000","30,045,000,000","35,803,000,000","30,325,000,000","2,803,000,000","30,253,000,000","36,508,000,000","30,399,000,000","29,520,000,000","29,234,000,000","74,316,000,000","30,012,000,000","31,118,000,000","29,371,000,000","37,094,000,000","31,353,000,000","28,445,000,000","28,389,000,000","68,757,000,000","14,961,000,000","15,056,000,000","14,167,000,000","55,650,000,000","16,337,000,000","14,025,000,000","14,477,000,000","46,464,000,000","13,908,000,000","12,254,000,000","12,060,000,000","36,368,000,000","12,881,000,000","10,522,000,000","9,565,000,000","11,978,000,000","10,218,000,000","9,611,000,000","9,110,000,000","10,456,000,000","8,499,000,000","8,714,000,000","8,295,000,000","8,390,000,000","6,330,000,000","6,051,000,000","5,720,000,000","6,389,000,000","6,341,000,000","4,544,000,000","6,056,000,000","7,161,000,000","5,141,000,000","5,800,000,000","5,065,000,000","7,415,000,000","4,158,000,000","5,376,000,000","4,270,000,000","5,059,000,000","4,177,000,000","4,304,000,000","3,713,000,000",,,,,,
			SalariesAndWages,"82,965,000,000","18,844,000,000","22,325,000,000","20,936,000,000","20,860,000,000","17,361,000,000","22,725,000,000","17,656,000,000","20,479,000,000","16,861,000,000","26,080,000,000","17,446,000,000","15,897,000,000","15,431,000,000","20,104,000,000","14,720,000,000","15,178,000,000","13,885,000,000","16,226,000,000","13,512,000,000","12,909,000,000","13,684,000,000",,"13,614,000,000","13,505,000,000","13,249,000,000","16,808,000,000","13,702,000,000","12,603,000,000","12,240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"54,226,000,000","10,488,000,000","17,279,000,000","13,269,000,000","13,190,000,000","11,575,000,000","18,128,000,000","16,182,000,000","14,624,000,000","16,708,000,000","16,738,000,000","18,104,000,000","15,517,000,000","14,614,000,000","15,699,000,000","15,605,000,000","16,688,000,000","16,368,000,000","20,282,000,000","16,887,000,000","16,611,000,000","15,550,000,000","17,083,000,000","16,398,000,000","17,613,000,000","16,122,000,000","20,286,000,000","17,651,000,000","15,842,000,000","16,149,000,000","16,990,000,000","14,961,000,000","15,056,000,000","14,167,000,000","14,121,000,000","16,337,000,000","14,025,000,000","14,477,000,000","12,792,000,000","13,908,000,000","12,254,000,000","12,060,000,000","7,532,000,000","12,881,000,000","10,522,000,000","9,565,000,000","11,978,000,000","10,218,000,000","9,611,000,000","9,110,000,000","10,456,000,000","8,499,000,000","8,714,000,000","8,295,000,000","8,390,000,000","6,330,000,000","6,051,000,000","5,720,000,000","6,389,000,000","6,341,000,000","4,544,000,000","6,056,000,000","7,161,000,000","5,141,000,000","5,800,000,000","5,065,000,000","7,415,000,000","4,158,000,000","5,376,000,000","4,270,000,000","5,059,000,000","4,177,000,000","4,304,000,000","3,713,000,000",,,,,,
		SellingAndMarketingExpense,,,,,"14,992,000,000","14,748,000,000","16,678,000,000","15,057,000,000","13,973,000,000","13,688,000,000","15,927,000,000","14,173,000,000","13,526,000,000","12,429,000,000","13,835,000,000","12,143,000,000","11,714,000,000","11,858,000,000","12,722,000,000","11,771,000,000",,"10,961,000,000","12,542,000,000","11,672,000,000",,"10,720,000,000","12,187,000,000","11,361,000,000","10,401,000,000","10,410,000,000","10,543,000,000","10,834,000,000","9,621,000,000","9,301,000,000","11,491,000,000","10,258,000,000","8,542,000,000","8,108,000,000","9,787,000,000","8,010,000,000","7,268,000,000","6,910,000,000","7,651,000,000","7,929,000,000","6,546,000,000","5,509,000,000","6,858,000,000","6,224,000,000","6,253,000,000","5,632,000,000","7,950,000,000","5,114,000,000","4,950,000,000","4,550,000,000","7,964,000,000","6,059,000,000","5,522,000,000","5,189,000,000","6,963,000,000","5,368,000,000","5,479,000,000","4,880,000,000","5,821,000,000","4,992,000,000","4,461,000,000","4,203,000,000","4,090,000,000","3,800,000,000","3,299,000,000","3,393,000,000","3,432,000,000","3,379,000,000","3,527,000,000","2,941,000,000",,,,,,
