name,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000
TotalRevenue,"23,772,037,000","23,757,293,000","20,053,764,000","17,045,700,000","14,061,837,000","13,338,397,000","13,839,590,000","10,845,164,000","10,285,507,000","10,409,840,000","8,614,141,000","7,719,197,000","7,768,230,000","7,004,120,000","6,346,514,000","5,640,769,000","5,313,991,000","4,126,240,000","3,767,882,000","3,032,041,000","3,802,629,000"
	OperatingRevenue,"23,772,037,000","23,757,293,000","20,053,764,000","17,045,700,000","14,061,837,000","13,338,397,000","13,839,590,000","10,845,164,000","10,285,507,000","10,409,840,000","8,614,141,000","7,719,197,000","7,768,230,000","7,004,120,000","6,343,514,000","5,640,769,000","5,313,991,000","4,126,240,000","3,767,882,000","3,032,041,000","3,802,629,000"
CostOfRevenue,"20,854,697,000","20,859,375,000","18,126,065,000","15,494,760,000","12,778,872,000","12,146,606,000","12,740,586,000","10,190,194,000","9,628,770,000","9,779,342,000","8,122,525,000","7,296,167,000","7,336,311,000","6,648,738,000","6,058,155,000","5,402,211,000","5,089,013,000","3,938,524,000","3,593,982,000","2,882,604,000","3,626,317,000"
GrossProfit,"2,917,341,000","2,897,917,000","1,927,699,000","1,550,940,000","1,282,965,000","1,191,791,000","1,099,004,000","654,970,000","656,737,000","630,498,000","491,616,000","423,030,000","431,919,000","355,382,000","288,359,000","238,558,000","224,978,000","187,716,000","173,900,000","149,437,000","176,312,000"
OperatingExpense,"2,076,888,000","2,084,156,000","1,376,664,000","1,041,975,000","903,369,000","837,239,000","790,497,000","414,142,000","401,725,000","374,270,000","292,466,000","273,381,000","280,071,000","243,235,000","189,117,000","159,621,000","145,998,000","129,850,000","123,418,000","95,168,000","106,489,000"
	SellingGeneralAndAdministration,"2,076,888,000","2,084,156,000","1,376,664,000","1,041,975,000","903,369,000","837,239,000","790,497,000","414,142,000","401,725,000","374,270,000","292,466,000","273,381,000","280,071,000","243,235,000","189,117,000","159,621,000","145,998,000","129,850,000","123,418,000","95,168,000","106,489,000"
OperatingIncome,"840,453,000","813,761,000","551,035,000","508,965,000","379,596,000","354,552,000","308,507,000","240,828,000","255,012,000","256,228,000","199,150,000","149,649,000","151,848,000","112,147,000","99,242,000","78,937,000","78,980,000","57,866,000","50,482,000","54,269,000","69,823,000"
NetNonOperatingInterestIncomeExpense,"-161,191,000","-166,421,000","-84,675,000","-45,357,000","-28,993,000","-26,296,000","-25,187,000","-17,115,000","-22,930,000","-25,505,000","-17,114,000","-13,983,000",,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,"25,505,000","17,114,000","13,983,000",,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,"22,930,000","25,505,000",,,,,,,,,,,
OtherIncomeExpense,"33,438,000","30,363,000","-8,984,000","1,123,000","5,461,000","-1,061,000","962,000","14,339,000","4,471,000","-1,005,000","1,550,000","3,036,000","-7,831,000","1,393,000","570,000","1,559,000","-7,663,000","-8,771,000","-4,207,000","-5,628,000","6,845,000"
	SpecialIncomeCharges,,,,,,,,,"4,471,000","-1,005,000","1,550,000","3,036,000","-7,831,000","1,393,000","570,000","1,559,000","-7,663,000","-8,771,000","-4,207,000","-5,628,000","6,845,000"
	OtherNonOperatingIncomeExpenses,"33,438,000","30,363,000","-8,984,000","1,123,000","5,461,000","-1,061,000","962,000","14,339,000","4,471,000",,,,,,,,,,,,
PretaxIncome,"712,700,000","677,703,000","457,377,000","464,731,000","356,064,000","327,195,000","284,282,000","238,052,000","236,553,000","229,718,000","183,586,000","138,702,000","129,586,000","98,666,000","80,153,000","63,460,000","69,815,000","47,134,000","44,853,000","41,919,000","76,216,000"
TaxProvision,"176,510,000","176,991,000","156,779,000","163,558,000","121,059,000","118,588,000","104,132,000","85,730,000","84,050,000","79,165,000","66,910,000","50,656,000","45,096,000","35,167,000","28,320,000","23,912,000","23,550,000","17,360,000","16,837,000","16,885,000","33,373,000"
NetIncomeCommonStockholders,"530,899,000","496,119,000","297,864,000","298,383,000","232,527,000","206,096,000","177,627,000","152,237,000","151,376,000","150,331,000","127,948,000","92,088,000","83,797,000","63,127,000","51,385,000","52,825,000","46,565,000","29,996,000","28,032,000","25,797,000","36,434,000"
	NetIncome,"536,190,000","500,712,000","300,598,000","301,173,000","234,946,000","208,525,000","180,034,000","152,237,000","151,376,000","150,331,000","127,948,000","92,088,000","83,797,000","63,127,000","51,385,000","52,825,000","46,565,000","29,996,000","28,032,000","25,797,000","36,434,000"
		NetIncomeIncludingNoncontrollingInterests,"536,190,000","500,712,000","300,598,000","301,173,000","235,005,000","208,607,000","180,150,000","152,322,000","152,503,000","150,553,000","128,102,000","92,088,000","84,490,000","63,499,000","51,833,000","52,767,000","46,265,000","29,774,000","28,016,000","25,797,000","37,266,000"
			NetIncomeContinuousOperations,"536,190,000","500,712,000","300,598,000","301,173,000","235,005,000","208,607,000","180,150,000","152,322,000","152,503,000","150,553,000","116,676,000","88,179,000","83,797,000","63,127,000","51,385,000","39,606,000","46,565,000","29,996,000","28,032,000","25,034,000","37,266,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,"0","0","11,426,000","3,909,000",,,,"13,219,000",,,,,
