name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"1,943,655,000","472,219,000","473,065,000","494,132,000","504,238,000","565,227,000","543,155,000","638,697,000","518,724,000","574,774,000","558,685,000","505,719,000","531,900,000","553,815,000","504,048,000","489,614,000","391,845,000","411,344,000","445,220,000","484,249,000","387,519,000","491,416,000","466,425,000","522,301,000","534,100,000","492,210,000","521,074,000","566,459,000","623,400,000","600,952,000","615,252,000","683,300,000","529,625,000","538,907,000","574,679,000","551,665,000","480,035,000","505,677,000","459,468,000","476,745,000","388,523,000","387,709,000","383,781,000","344,800,000","320,900,000","397,894,000","589,105,000","460,785,000","326,335,000","306,241,000","322,494,000","321,643,000","237,149,000","267,041,000","271,121,000","285,588,000","219,136,000","214,872,000","244,900,000","229,722,000","206,502,000","184,916,000","223,700,000","208,300,000","171,600,000","163,606,000","203,200,000","173,500,000","151,500,000","140,009,000","157,700,000","139,300,000","117,400,000","127,439,000","156,200,000","121,400,000","121,400,000","125,447,000","125,448,000","125,448,000","125,448,000","123,425,000","123,427,000","123,427,000","123,427,000","126,500,000","126,400,000","126,400,000","126,400,000","128,400,000","128,300,000","128,300,000","128,300,000","118,500,000","118,400,000","118,400,000","118,400,000","102,400,000","102,400,000","102,400,000","102,400,000","78,500,000","78,500,000","78,500,000","78,500,000"
	OperatingRevenue,"1,943,655,000","472,219,000","473,065,000","494,132,000","504,238,000","565,227,000","543,155,000","638,697,000","518,724,000","574,774,000","558,685,000","505,719,000","531,900,000","553,815,000","504,048,000","489,614,000","391,845,000","411,344,000","445,220,000","484,249,000","387,519,000","491,416,000","466,425,000","522,301,000","534,100,000","492,210,000","521,074,000","566,459,000","623,400,000","600,952,000","615,252,000","683,300,000","529,625,000","538,907,000","574,679,000","551,665,000","480,035,000","505,677,000","459,468,000","476,745,000","388,523,000","387,709,000","383,781,000","344,800,000","320,900,000","397,894,000","589,105,000","460,785,000","326,335,000","306,241,000","322,494,000","321,643,000","237,149,000","267,041,000","271,121,000","285,588,000","219,136,000","214,872,000","244,900,000","229,722,000","206,502,000","184,916,000","223,700,000","208,300,000","171,600,000","163,606,000","203,200,000","173,500,000","151,500,000","140,009,000","157,700,000","139,300,000","117,400,000","127,439,000","156,200,000","121,400,000","121,400,000","125,447,000","125,448,000","125,448,000","125,448,000","123,425,000","123,427,000","123,427,000","123,427,000","126,500,000","126,400,000","126,400,000","126,400,000","128,400,000","128,300,000","128,300,000","128,300,000","118,500,000","118,400,000","118,400,000","118,400,000","102,400,000","102,400,000","102,400,000","102,400,000","78,500,000","78,500,000","78,500,000","78,500,000"
CostOfRevenue,"1,383,603,000","334,380,000","338,878,000","351,604,000","358,741,000","363,694,000","379,466,000","414,317,000","326,047,000","358,660,000","370,148,000","325,812,000","354,000,000","348,987,000","358,332,000","342,682,000","278,285,000","293,353,000","315,707,000","319,699,000","256,824,000","351,044,000","323,996,000","376,953,000","379,300,000","345,943,000","372,594,000","378,613,000","384,500,000","366,616,000","352,924,000","387,600,000","293,362,000","322,988,000","332,987,000","342,090,000","292,430,000","334,046,000","308,297,000","305,042,000","257,025,000","267,635,000","252,646,000","174,700,000","180,400,000","225,450,000","327,950,000","280,762,000","222,092,000","225,795,000","237,485,000","230,365,000","164,120,000","198,764,000","195,945,000","203,676,000","154,951,000","156,378,000","162,300,000","162,598,000","154,364,000","183,644,000","156,000,000","149,600,000","119,500,000","174,364,000","149,200,000","123,300,000","107,000,000","150,383,000","107,300,000","92,500,000","75,200,000","141,971,000","108,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"560,052,000","137,839,000","134,187,000","142,528,000","145,497,000","201,533,000","163,689,000","224,380,000","192,677,000","216,114,000","188,537,000","179,907,000","177,900,000","204,829,000","145,716,000","146,932,000","113,560,000","117,991,000","129,513,000","164,550,000","130,695,000","140,372,000","142,429,000","145,348,000","154,800,000","146,267,000","148,480,000","187,846,000","238,900,000","234,336,000","262,328,000","295,700,000","236,263,000","215,919,000","241,692,000","209,575,000","187,605,000","171,631,000","151,171,000","171,703,000","131,498,000","120,074,000","131,135,000","131,300,000","140,500,000","172,444,000","261,155,000","180,023,000","104,243,000","80,446,000","85,009,000","91,278,000","73,029,000","68,277,000","75,176,000","81,912,000","64,185,000","58,494,000","82,600,000","67,124,000","52,138,000","1,272,000","67,700,000","58,700,000","52,100,000","-10,758,000","54,000,000","50,200,000","44,500,000","-10,374,000","50,400,000","46,800,000","42,200,000","-14,532,000","48,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"124,872,000","38,936,000","27,246,000","29,923,000","27,531,000","21,809,000","37,752,000","37,191,000","27,551,000","49,447,000","33,635,000","26,945,000","22,200,000","65,430,000","56,343,000","24,677,000","20,452,000","31,618,000","83,066,000","27,803,000","31,005,000","48,041,000","33,373,000","34,620,000","21,300,000","44,485,000","-41,561,000","33,530,000","23,300,000","46,152,000","34,042,000","25,300,000","27,474,000","-9,617,000","36,743,000","32,437,000","20,568,000","23,364,000","19,389,000","18,292,000","17,774,000","20,132,000","18,232,000","19,000,000","21,000,000","21,672,000","22,095,000","23,921,000","18,021,000","20,366,000","17,857,000","17,818,000","14,232,000","18,893,000","17,653,000","17,483,000","15,633,000","15,431,000","16,100,000","16,121,000","14,241,000","16,105,000","12,300,000","14,100,000","13,200,000","14,190,000","12,300,000","13,000,000","10,900,000","14,043,000","11,100,000","11,800,000","25,100,000","-35,452,000","26,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"123,459,000","36,153,000","28,618,000","28,124,000","30,564,000","39,204,000","27,298,000","31,080,000","26,572,000","26,815,000","26,518,000","23,876,000","22,200,000","28,780,000","21,834,000","22,716,000","19,076,000","28,551,000","19,338,000","23,382,000","23,184,000","29,092,000","23,000,000","23,507,000","21,300,000","29,528,000","25,392,000","27,377,000","23,300,000","32,114,000","26,041,000","25,300,000","22,985,000","25,047,000","23,564,000","22,580,000","20,568,000","23,364,000","19,389,000","18,292,000","17,774,000","20,132,000","18,232,000","19,000,000","21,000,000","21,672,000","22,095,000","23,921,000","18,021,000","20,366,000","17,857,000","17,818,000","14,232,000","18,893,000","17,653,000","17,483,000","15,633,000","15,431,000","16,100,000","16,121,000","14,241,000","16,105,000","12,200,000","14,100,000","13,300,000","14,290,000","12,400,000","13,000,000","10,900,000","14,043,000","11,100,000","11,900,000","9,400,000","12,848,000","10,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"119,548,000","35,536,000","27,667,000","27,154,000","29,191,000","38,215,000","27,298,000","31,080,000","25,673,000","25,180,000","26,518,000","23,876,000","22,200,000","27,269,000","21,834,000","22,716,000","19,076,000","28,551,000","19,338,000","23,382,000","23,184,000","29,092,000","23,000,000","23,507,000","21,300,000","29,528,000","25,392,000","27,377,000","23,300,000","32,100,000",,,"22,985,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"60,255,000","17,099,000","14,820,000","14,633,000","13,701,000","19,782,000",,,"13,910,000","12,966,000",,,,"15,039,000",,,"10,062,000","10,765,000",,,"11,526,000","12,648,000",,,,"13,685,000",,,,,,,"11,052,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,"1,082,000","1,422,000","682,000",,,,"290,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,"2,061,000","-50,000","861,000","713,000","537,000","430,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
