name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998
TotalRevenue,"1,048,088,000","1,043,862,000","1,058,800,000","640,345,000","475,256,000","373,967,000","284,478,000","265,358,000","139,859,000","128,798,000","121,519,000","120,535,000","133,823,000","116,382,000","104,583,000","101,909,000","103,778,000","73,099,000","55,285,000","48,151,000","39,440,000","36,256,000","33,800,000","4,817,000"
	NetInterestIncome,"895,189,000","918,923,000","967,403,000","576,143,000","404,269,000","311,216,000","232,349,000","217,988,000","112,167,000","96,464,000","91,290,000","93,334,000","93,870,000","95,340,000","84,738,000","84,757,000","85,870,000","61,526,000","45,730,000","42,750,000","34,734,000","32,865,000","30,700,000","27,068,000"
		InterestIncome,"1,166,667,000","1,202,540,000","1,208,473,000","682,449,000","461,551,000","348,141,000","262,283,000","246,906,000","132,061,000","115,037,000","112,614,000","119,774,000","131,590,000","148,982,000","151,626,000","135,616,000","115,270,000","74,508,000","57,790,000","59,951,000","60,978,000","58,899,000","52,300,000","47,948,000"
			InterestIncomeFromLoansAndLease,"1,004,513,000","1,029,369,000","1,006,496,000","570,761,000","390,847,000","292,496,000","217,163,000","202,982,000","107,810,000","91,010,000","89,500,000","92,542,000","97,149,000","107,633,000","109,940,000","95,531,000","80,773,000","54,093,000","43,815,000","44,967,000","46,434,000","45,043,000","40,200,000",
				InterestIncomeFromLoans,"1,004,513,000","1,029,369,000","1,006,496,000","570,761,000","390,847,000","292,496,000","217,163,000","202,982,000","107,810,000","91,010,000",,"92,542,000","97,149,000","107,633,000","109,940,000","95,531,000","80,773,000","54,093,000","43,815,000","44,967,000","46,434,000","45,043,000","40,200,000",
			InterestIncomeFromSecurities,"141,547,000","150,625,000","177,033,000","102,523,000","66,209,000","51,445,000","41,735,000","40,520,000","23,191,000","23,035,000","21,934,000","25,982,000","33,072,000","38,779,000","39,264,000","38,565,000","34,353,000","20,231,000","13,586,000","14,496,000","13,916,000","13,268,000","11,700,000",
			OtherInterestIncome,"20,607,000","22,546,000","24,944,000","9,165,000","4,495,000","4,200,000","3,385,000","3,404,000","1,060,000","992,000","1,180,000","1,250,000","1,369,000","2,570,000","2,422,000","1,520,000","144,000","184,000","389,000","488,000","628,000","588,000","400,000",
		InterestExpense,"271,478,000","283,617,000","241,070,000","106,306,000","57,282,000","36,925,000","29,934,000","28,918,000","19,894,000","18,573,000","21,324,000","26,440,000","37,720,000","53,642,000","66,888,000","50,859,000","29,400,000","12,982,000","12,060,000","17,201,000","26,244,000","26,034,000","21,600,000","20,880,000"
			InterestExpenseForDeposit,"192,147,000","192,361,000","130,096,000","56,110,000","33,189,000","17,478,000","9,953,000","8,964,000","5,923,000","5,581,000","6,104,000","8,517,000","18,375,000","28,344,000","36,439,000","26,802,000","16,076,000","7,901,000","7,775,000","11,701,000","19,423,000","18,721,000","17,500,000",
			InterestExpenseForLongTermDebtAndCapitalSecurities,"79,331,000","91,256,000","110,974,000","50,196,000","24,093,000","19,447,000","19,981,000","19,954,000","13,971,000","12,992,000","15,220,000","17,923,000","19,345,000","25,298,000","30,449,000","24,057,000","13,324,000","5,081,000","4,285,000","5,500,000","6,821,000","7,313,000","4,100,000",
			OtherInterestExpense,,,,,,,,,,,,,"36,750,000",,,,,,,,,,,
	NonInterestIncome,"152,899,000","124,939,000","91,397,000","64,202,000","70,987,000","62,751,000","52,129,000","47,370,000","27,692,000","32,334,000","30,229,000","27,201,000","39,953,000","21,042,000","19,845,000","17,152,000","17,908,000","11,573,000","9,555,000","5,401,000","4,706,000","3,391,000","3,100,000","-22,251,000"
		TotalPremiumsEarned,"22,047,000","20,670,000","15,651,000","7,816,000","5,832,000","5,235,000","2,493,000","3,080,000","2,393,000","2,050,000","2,049,000","2,044,000","2,755,000",,,,,,,,,,,
		FeesAndCommissions,"83,632,000","75,743,000","73,573,000","50,020,000","42,744,000","46,761,000","43,204,000","39,036,000","13,377,000","15,626,000","15,115,000","15,455,000","15,974,000","16,360,000","15,436,000","13,879,000","13,422,000","7,402,000","4,987,000","4,201,000","3,555,000","3,025,000","3,100,000",
			FeesandCommissionIncome,"89,327,000","81,669,000","73,573,000","50,020,000","42,744,000","46,761,000","43,204,000","39,036,000","13,377,000","15,626,000","15,115,000","15,455,000","15,974,000","16,360,000","15,436,000","13,879,000","13,422,000","7,402,000","4,987,000","4,201,000","3,555,000","3,025,000","3,100,000",
				ServiceChargeOnDepositorAccounts,"82,075,000","74,364,000","65,783,000","47,092,000","39,034,000","44,364,000","40,261,000","36,827,000","10,964,000","11,377,000","10,811,000","11,228,000","12,393,000","12,429,000","11,434,000","10,689,000","10,351,000","6,570,000","4,987,000","4,201,000","3,326,000","2,765,000","2,500,000",
				TrustFeesbyCommissions,"7,252,000","7,305,000","7,790,000","2,928,000","3,710,000","2,397,000","2,943,000","2,209,000","2,413,000","3,143,000","3,080,000",,,"3,012,000","2,821,000",,,,,,,,,
				OtherCustomerServices,,,,,,,,,,"1,106,000","1,224,000","4,227,000","3,581,000","919,000","1,181,000","3,190,000","3,071,000","832,000",,,"229,000","260,000","600,000",
			FeesandCommissionExpense,"5,695,000","5,926,000",,,,,,,,,,,,,,,,,,,,,,
		GainLossonSaleofAssets,"19,571,000","1,408,000","-10,788,000","-344,000","7,522,000","4,837,000","1,244,000","641,000","9,338,000","12,424,000","11,038,000","8,970,000","19,554,000","983,000","-8,000",,"575,000","2,775,000","3,102,000","461,000","531,000",,,
			GainOnSaleOfSecurity,"19,571,000","-6,905,000","-10,788,000","-344,000","7,522,000","4,837,000","1,244,000","641,000","7,359,000","10,452,000","10,011,000","8,157,000","18,076,000","983,000","-8,000",,"369,000","2,455,000","2,006,000","461,000","531,000",,,
			GainonSaleofLoans,"0","8,313,000",,,,,,,"1,979,000","1,897,000","1,027,000","867,000","961,000",,,,,,,,,,,
			GainonSaleofInvestmentProperty,,,,,,,,,"0","75,000",,"-54,000","517,000",,,,"206,000","320,000","1,096,000",,,,,
		OtherNonInterestIncome,"27,649,000","27,118,000","12,961,000","6,710,000","14,889,000","5,918,000","5,188,000","4,613,000","2,584,000","2,234,000","2,027,000","732,000","1,670,000","3,699,000","4,417,000","3,273,000","3,911,000","1,396,000","1,466,000","739,000","620,000","366,000",,"-22,251,000"
CreditLossesProvision,"-174,065,000","-45,985,000","-46,000,000","-26,000,000","-20,000,000","-15,700,000","-19,100,000","-19,100,000","-12,150,000","-10,612,000","-16,584,000","-10,000,000","-17,600,000","-7,200,000","-1,800,000","-1,200,000","-750,000","-800,000","-900,000","-900,000","-1,440,000","-1,710,000","-1,600,000","-1,737,000"
NonInterestExpense,"438,378,000","435,082,000","445,410,000","289,033,000","233,423,000","214,193,000","176,936,000","175,997,000","88,269,000","86,032,000","86,910,000","83,170,000","80,187,000","75,500,000","74,590,000","71,256,000","69,458,000","50,373,000","36,790,000","31,630,000","26,431,000","25,808,000","26,300,000","21,823,000"
	OccupancyAndEquipment,"63,027,000","64,363,000","68,536,000","43,649,000","34,486,000","32,915,000","28,638,000","27,726,000","14,953,000","14,457,000","14,508,000","13,434,000","12,802,000","12,434,000","11,436,000","11,435,000","9,587,000","6,741,000","5,178,000","4,808,000","4,261,000","3,805,000","3,400,000",
	ProfessionalExpenseAndContractServicesExpense,"21,120,000","19,519,000","13,371,000","9,982,000","10,276,000","8,308,000","6,393,000","6,913,000","3,393,000","4,247,000","4,389,000","4,019,000","3,090,000",,,,,,,,,,,
	SellingGeneralAndAdministration,"305,853,000","306,095,000","314,178,000","196,414,000","155,638,000","145,369,000","116,498,000","117,157,000","58,826,000","56,683,000","55,409,000","55,945,000","54,211,000","44,192,000","43,433,000","40,453,000","37,635,000","25,051,000","22,360,000","18,716,000","15,636,000","14,605,000","13,500,000","10,506,000"
		GeneralAndAdministrativeExpense,"296,403,000","297,637,000","308,248,000","192,732,000","152,690,000","142,847,000","113,668,000","114,799,000","57,324,000","54,834,000","52,081,000","52,693,000","51,118,000","40,854,000","39,196,000","38,008,000","34,533,000","23,001,000","20,703,000","17,246,000","14,129,000","13,509,000","12,300,000","10,506,000"
			SalariesAndWages,"235,008,000","235,239,000","233,324,000","158,059,000","132,434,000","122,904,000","98,509,000","98,013,000","50,072,000","47,225,000","44,824,000","45,132,000","42,462,000","40,854,000","39,196,000","38,008,000","34,533,000","23,001,000","20,703,000","17,246,000","14,129,000","13,509,000","12,300,000","10,506,000"
			InsuranceAndClaims,"16,388,000","16,491,000","24,123,000","15,286,000","11,390,000","10,566,000","9,230,000","8,849,000","3,010,000","3,096,000","2,910,000","3,675,000","4,257,000",,,,,,,,,,,
			OtherGandA,"45,007,000","45,907,000","50,801,000","19,387,000","8,866,000","9,377,000","5,929,000","7,937,000","4,242,000","4,513,000","4,347,000","3,886,000","4,399,000",,,,,,,,,,,
		SellingAndMarketingExpense,"9,450,000","8,458,000","5,930,000","3,682,000","2,948,000","2,522,000","2,830,000","2,358,000","1,502,000","1,849,000","3,328,000","3,252,000","3,093,000","3,338,000","4,237,000","2,445,000","3,102,000","2,050,000","1,657,000","1,470,000","1,507,000","1,096,000","1,200,000",
