name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalAssets,"30,335,036,000","30,586,497,000","30,077,665,000","30,237,545,000","29,956,607,000","31,383,307,000","31,261,265,000","31,463,077,000","30,468,780,000","30,359,541,000","16,780,097,000","15,376,676,000","14,659,337,000","14,178,447,000","13,617,228,000","13,065,248,000","12,865,356,000","11,955,952,000","11,597,393,000","11,566,382,000","7,727,515,000","7,424,822,000","7,337,387,000","7,250,729,000","6,924,419,000","6,667,437,000","4,049,172,000","3,824,429,000","3,710,440,000","3,789,514,000","4,022,982,000","3,150,040,000","3,210,871,000","3,084,166,000","3,137,402,000","2,976,057,000","2,919,291,000","2,940,513,000","3,021,025,000","2,963,706,000","2,935,956,000","2,917,789,000","3,021,893,000","2,824,356,000","2,954,701,000","2,921,551,000","2,984,371,000","2,850,554,000","2,823,506,000","2,799,342,000","2,802,099,000","2,782,801,000","2,801,365,000","2,796,454,000","2,841,337,000","2,780,419,000","2,745,628,000","2,629,835,000","2,597,362,000","2,559,378,000","2,518,113,000","2,553,430,000","1,826,151,000","1,782,670,000","1,713,940,000","1,305,958,000","1,174,305,000","1,114,698,000","1,091,253,000","1,058,148,000","1,027,701,000","1,040,804,000","919,552,000","894,306,000","881,260,000","884,032,000","864,689,000","859,689,000","844,786,000","846,258,000","844,193,000","830,400,000","814,500,000","806,700,000","738,400,000","757,900,000"
TotalLiabilitiesNetMinorityInterest,"25,912,612,000","26,056,384,000","25,556,698,000","25,778,387,000","25,537,384,000","26,954,454,000","26,822,962,000","27,110,342,000","26,195,025,000","26,119,363,000","14,808,617,000","13,445,293,000","12,770,724,000","12,323,264,000","11,852,068,000","11,329,254,000","11,167,223,000","10,290,879,000","9,945,189,000","9,943,272,000","6,646,972,000","6,449,622,000","6,376,249,000","6,297,296,000","5,987,953,000","5,742,328,000","3,566,306,000","3,344,264,000","3,215,729,000","3,295,631,000","3,531,860,000","2,705,370,000","2,771,172,000","2,646,484,000","2,706,268,000","2,547,020,000","2,499,022,000","2,520,871,000","2,590,070,000","2,534,591,000","2,513,584,000","2,497,463,000","2,594,437,000","2,403,581,000","2,533,295,000","2,504,553,000","2,585,213,000","2,449,413,000","2,415,343,000","2,397,419,000","2,397,010,000","2,380,482,000","2,388,727,000","2,385,174,000","2,436,051,000","2,388,927,000","2,358,335,000","2,237,256,000","2,202,205,000","2,159,684,000","2,109,343,000","2,126,889,000","1,476,639,000","1,440,026,000","1,365,854,000","1,186,428,000","1,056,448,000","998,961,000","977,708,000","945,077,000","916,834,000","932,493,000","813,742,000","790,105,000","778,640,000","784,849,000","767,570,000","764,975,000","753,800,000","759,004,000","757,867,000","740,700,000","724,200,000","717,100,000","648,700,000","702,300,000"
TotalEquityGrossMinorityInterest,"4,422,424,000","4,530,113,000","4,520,967,000","4,459,158,000","4,419,223,000","4,428,853,000","4,438,303,000","4,352,735,000","4,273,755,000","4,240,178,000","1,971,480,000","1,931,383,000","1,888,613,000","1,855,183,000","1,765,160,000","1,735,994,000","1,698,133,000","1,665,073,000","1,652,204,000","1,623,110,000","1,080,543,000","975,200,000","961,138,000","953,433,000","936,466,000","925,109,000","482,866,000","480,165,000","494,711,000","493,883,000","491,122,000","444,670,000","439,699,000","437,682,000","431,134,000","429,037,000","420,269,000","419,642,000","430,955,000","429,115,000","422,372,000","420,326,000","427,456,000","420,775,000","421,406,000","416,998,000","399,158,000","401,141,000","408,163,000","401,923,000","405,089,000","402,319,000","412,638,000","411,280,000","405,286,000","391,492,000","387,293,000","392,579,000","395,157,000","399,694,000","408,770,000","426,541,000","349,512,000","342,644,000","348,086,000","119,530,000","117,857,000","115,737,000","113,545,000","113,071,000","110,867,000","108,311,000","105,810,000","104,201,000","102,620,000","99,183,000","97,119,000","94,714,000","90,986,000","87,254,000","86,326,000","89,700,000","90,300,000","89,600,000","89,700,000","55,600,000"
	StockholdersEquity,"4,422,424,000","4,530,113,000","4,520,967,000","4,459,158,000","4,419,223,000","4,428,853,000","4,438,303,000","4,352,735,000","4,273,755,000","4,240,178,000","1,971,480,000","1,931,383,000","1,888,613,000","1,855,183,000","1,765,160,000","1,735,994,000","1,698,133,000","1,665,073,000","1,652,204,000","1,623,110,000","1,080,543,000","975,200,000","961,138,000","953,433,000","936,466,000","925,109,000","482,866,000","480,165,000","494,711,000","493,883,000","491,122,000","444,670,000","439,699,000","437,682,000","431,134,000","429,037,000","420,269,000","419,642,000","430,955,000","429,115,000","422,372,000","420,326,000","427,456,000","420,775,000","421,406,000","416,998,000","399,158,000","401,141,000","408,163,000","401,923,000","405,089,000","402,319,000","412,638,000","411,280,000","405,286,000","391,492,000","387,293,000","392,579,000","395,157,000","399,694,000","408,770,000","426,541,000","349,512,000","342,644,000","348,086,000","119,530,000","117,857,000","115,737,000","113,545,000","113,071,000","110,867,000","108,311,000","105,810,000","104,201,000","102,620,000","99,183,000","97,119,000","94,714,000","90,986,000","87,254,000","86,326,000","89,700,000","90,300,000","89,600,000","89,700,000","55,600,000"
		CapitalStock,"139,662,000","139,880,000","140,098,000","140,310,000","140,517,000","140,722,000","140,926,000","141,127,000","141,324,000","141,519,000","1,411,000","1,411,000","1,411,000","1,411,000","1,367,000","1,367,000","1,367,000","1,367,000","1,367,000","1,367,000","981,000","912,000","912,000","912,000","912,000","912,000","522,000","522,000","522,000","522,000","522,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","397,000","396,000","396,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","800,000","800,000",,,
			PreferredStock,"137,363,000","137,581,000","137,799,000","138,011,000","138,218,000","138,423,000","138,627,000","138,828,000","139,025,000","139,220,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","1,411,000","1,411,000","1,411,000","1,411,000","1,367,000","1,367,000","1,367,000","1,367,000","1,367,000","1,367,000","981,000","912,000","912,000","912,000","912,000","912,000","522,000","522,000","522,000","522,000","522,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","459,000","397,000","396,000","396,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","828,000","800,000","800,000",,,
		AdditionalPaidInCapital,"3,749,508,000","3,766,716,000","3,762,046,000","3,757,126,000","3,751,835,000","3,776,461,000","3,773,164,000","3,769,505,000","3,766,280,000","3,780,908,000","1,590,752,000","1,592,299,000","1,590,293,000","1,597,287,000","1,504,777,000","1,503,027,000","1,501,417,000","1,506,612,000","1,508,669,000","1,507,837,000","943,764,000","858,489,000","860,564,000","859,826,000","859,019,000","856,946,000","403,816,000","403,424,000","403,005,000","402,450,000","403,541,000","357,620,000","357,406,000","357,359,000","357,063,000","357,232,000","357,075,000","356,904,000","356,912,000","356,684,000","356,608,000","356,109,000","355,753,000","355,245,000","354,685,000","353,961,000","352,882,000","352,093,000","350,915,000","350,220,000","348,734,000","347,578,000","346,342,000","345,059,000","343,574,000","342,410,000","348,480,000","346,226,000","345,631,000","345,301,000","344,869,000","344,520,000","269,325,000","268,438,000","268,209,000","38,290,000","38,032,000","37,252,000","36,979,000","36,834,000","36,696,000","36,869,000","36,748,000","36,629,000","36,535,000","36,473,000","36,420,000","36,385,000","36,356,000","36,330,000","36,307,000","36,300,000","36,300,000",,,
		RetainedEarnings,"1,125,702,000","1,166,709,000","1,075,503,000","969,124,000","888,838,000","791,550,000","694,861,000","592,953,000","496,297,000","401,956,000","452,650,000","415,617,000","382,676,000","349,308,000","317,385,000","290,025,000","261,332,000","245,408,000","221,335,000","206,079,000","220,067,000","208,958,000","197,460,000","187,133,000","178,156,000","173,885,000","187,889,000","187,886,000","184,171,000","180,332,000","175,971,000","175,999,000","172,065,000","168,637,000","165,199,000","168,097,000","168,300,000","167,019,000","162,433,000","159,349,000","156,925,000","156,274,000","153,193,000","150,912,000","145,065,000","142,545,000","138,720,000","134,691,000","131,342,000","129,287,000","125,743,000","123,033,000","120,112,000","117,827,000","114,927,000","112,537,000","109,120,000","107,149,000","104,484,000","101,303,000","97,689,000","94,414,000","91,373,000","88,713,000","86,644,000","87,985,000","85,398,000","83,376,000","80,819,000","79,178,000","76,727,000","74,920,000","73,429,000","71,220,000","69,252,000","67,573,000","65,690,000","64,308,000","62,577,000","60,995,000","59,804,000","58,900,000","57,800,000","56,800,000","55,800,000","55,000,000"
		TreasuryStock,"660,069,000","583,408,000","501,814,000","447,748,000","355,357,000","213,935,000","51,973,000","51,269,000","51,102,000","58,039,000","59,674,000","61,576,000","62,046,000","66,188,000","66,262,000","69,355,000","70,142,000","76,190,000","78,342,000","78,972,000","79,530,000","82,908,000","86,339,000","86,666,000","87,336,000","82,176,000","88,538,000","88,517,000","88,517,000","88,573,000","90,173,000","90,328,000","90,328,000","90,452,000","90,585,000","89,715,000","89,090,000","87,906,000","87,336,000","84,216,000","82,127,000","81,046,000","77,290,000","76,768,000","74,936,000","75,480,000","75,687,000","75,347,000","72,018,000","71,222,000","57,422,000","51,468,000","41,493,000","36,815,000","36,973,000","37,826,000","40,394,000","33,243,000","28,195,000","24,134,000","5,591,000","88,000","432,000",,,"7,761,000","7,780,000","7,469,000","6,854,000","5,874,000","5,874,000","4,737,000","4,229,000","4,186,000","4,298,000","3,630,000","3,538,000","3,203,000","3,203,000","3,061,000","1,922,000","900,000",,,,
