name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"7,453,795,000","7,254,909,000","7,285,867,000","1,288,507,000","1,211,219,000","1,245,087,000","1,233,111,000","1,257,654,000"
	CurrentAssets,"1,562,164,000","1,491,962,000","1,422,179,000","522,629,000","422,046,000","426,899,000","376,182,000","354,355,000"
		CashCashEquivalentsAndShortTermInvestments,"163,689,000","153,863,000","321,262,000","102,471,000","85,011,000","126,453,000","96,972,000","81,363,000"
			CashAndCashEquivalents,"163,689,000","153,863,000","321,262,000","102,471,000","85,011,000","126,453,000","96,972,000","81,363,000"
		Receivables,"1,303,641,000","1,256,731,000","1,015,988,000","385,349,000","298,012,000","248,371,000","228,835,000","227,265,000"
			AccountsReceivable,"787,652,000","733,142,000","652,061,000","217,360,000","161,872,000","133,997,000","131,012,000","106,477,000"
				GrossAccountsReceivable,"787,652,000","733,142,000","652,061,000","217,360,000","161,872,000","133,997,000","131,012,000","106,477,000"
				AllowanceForDoubtfulAccountsReceivable,"-5,381,000","-4,587,000","-9,076,000","-5,884,000","-3,557,000","-3,727,000","-1,384,000","-1,748,000"
			OtherReceivables,"521,370,000","528,176,000","373,003,000","173,873,000","139,697,000","118,101,000","99,207,000","122,536,000"
			ReceivablesAdjustmentsAllowances,"-5,381,000","-4,587,000","-9,076,000","-5,884,000","-3,557,000","-3,727,000","-1,384,000","-1,748,000"
		PrepaidAssets,"94,834,000","79,299,000","84,215,000","34,202,000","38,571,000","35,393,000","35,428,000","35,688,000"
		RestrictedCash,,"2,069,000","714,000","607,000","452,000","505,000","569,000","1,051,000"
		CurrentDeferredAssets,,,,,"0","16,177,000","14,378,000","8,988,000"
			CurrentDeferredTaxesAssets,,,,,"0","16,177,000","14,378,000","8,988,000"
	TotalNonCurrentAssets,"5,891,631,000","5,762,947,000","5,863,688,000","765,878,000","789,173,000","818,188,000","856,929,000","903,299,000"
		NetPPE,"422,457,000","183,486,000","180,412,000","58,306,000","44,813,000","43,725,000","40,947,000","42,196,000"
			GrossPPE,"627,932,000","337,610,000","277,758,000","121,950,000","92,032,000","82,932,000","93,148,000","78,486,000"
				Properties,"0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,"4,256,000","4,348,000","4,552,000","4,004,000","4,597,000","5,114,000","5,799,000","5,555,000"
				MachineryFurnitureEquipment,"298,556,000","252,619,000","185,016,000","89,736,000","66,024,000","59,696,000","72,613,000","61,019,000"
				OtherProperties,"238,793,000","11,011,000","29,215,000","13,396,000","7,491,000","5,698,000","4,720,000","2,658,000"
				Leases,"86,327,000","69,632,000","58,975,000","14,814,000","13,920,000","12,424,000","10,016,000","9,254,000"
			AccumulatedDepreciation,"-205,475,000","-154,124,000","-97,346,000","-63,644,000","-47,219,000","-39,207,000","-52,201,000","-36,290,000"
