name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"4,720,164,000","4,675,815,000","4,390,116,000","2,672,064,000","1,610,596,000","1,399,239,000","1,178,799,000","995,090,000","868,600,000","655,986,000"
	OperatingRevenue,"4,720,164,000","4,675,815,000","4,390,116,000","1,852,843,000","1,030,337,000","914,740,000","809,728,000","652,418,000","579,145,000","437,005,000"
CostOfRevenue,"3,683,117,000","3,645,905,000","3,434,310,000","2,051,244,000","1,206,892,000","1,026,903,000","884,130,000","774,933,000","678,511,000","498,821,000"
GrossProfit,"1,037,047,000","1,029,910,000","955,806,000","620,820,000","403,704,000","372,336,000","294,669,000","220,157,000","190,089,000","157,165,000"
OperatingExpense,"688,506,000","688,746,000","679,990,000","462,556,000","231,590,000","212,623,000","199,686,000","176,363,000","188,239,000","159,199,000"
	SellingGeneralAndAdministration,"451,134,000","446,281,000","406,305,000","282,620,000","172,386,000","156,609,000","145,143,000","117,890,000","109,428,000","95,063,000"
		GeneralAndAdministrativeExpense,,,"406,305,000",,,,,,,
			OtherGandA,,,"406,305,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"237,372,000","242,465,000","273,685,000","179,936,000","59,204,000","56,014,000","54,543,000","58,473,000","78,811,000","64,136,000"
		DepreciationAndAmortizationInIncomeStatement,"237,372,000","242,465,000","273,685,000","179,936,000","59,204,000","56,014,000","54,543,000","58,473,000","78,811,000","64,136,000"
			DepreciationIncomeStatement,"74,186,000","76,532,000","72,158,000","44,407,000","21,353,000","18,140,000","21,619,000","19,175,000","19,915,000","15,700,000"
			Amortization,"163,186,000","165,933,000","201,527,000","135,529,000","37,851,000","37,874,000","32,924,000","39,298,000","58,896,000","48,436,000"
				AmortizationOfIntangiblesIncomeStatement,"163,186,000","165,933,000","201,527,000","135,529,000","37,851,000","37,874,000","32,924,000","39,298,000","58,896,000","48,436,000"
OperatingIncome,"348,541,000","341,164,000","275,816,000","158,264,000","172,114,000","159,713,000","94,983,000","43,794,000","1,850,000","-2,034,000"
NetNonOperatingInterestIncomeExpense,"-115,272,000","-122,278,000","-127,015,000","-62,543,000","-14,943,000","-17,085,000","-60,689,000","-60,997,000","-62,007,000","-75,804,000"
	InterestIncomeNonOperating,"6,376,000","7,542,000","3,686,000","1,182,000","216,000","192,000","249,000","310,000","239,000","151,000"
	InterestExpenseNonOperating,"121,648,000","129,820,000","130,701,000","63,725,000","12,016,000","15,640,000","53,036,000","60,799,000","62,246,000","65,633,000"
	TotalOtherFinanceCost,,,,,"3,143,000","1,637,000","7,902,000","508,000",,"10,322,000"
OtherIncomeExpense,"-70,197,000","-117,177,000","-91,543,000","-207,598,000","-23,053,000","-11,654,000","-62,498,000","-13,477,000","-34,701,000","-16,320,000"
	GainOnSaleOfSecurity,"5,425,000","-23,019,000","26,617,000","-18,745,000","-8,324,000","3,032,000","7,514,000","-1,769,000","1,261,000","9,640,000"
	EarningsFromEquityInterest,,,,,,,"0","0","2,735,000","0"
	SpecialIncomeCharges,"-73,886,000","-93,015,000","-119,787,000","-187,752,000","-14,051,000","-15,511,000","-70,187,000","-11,828,000","-39,380,000","-26,578,000"
		RestructuringAndMergernAcquisition,"88,636,000","103,410,000","115,634,000","157,130,000","13,612,000","1,785,000","6,192,000","11,828,000","35,380,000","27,839,000"
		ImpairmentOfCapitalAssets,,"0","0","30,000,000","0","3,931,000","17,245,000","0","4,000,000","0"
		OtherSpecialCharges,,"-10,395,000","4,153,000","622,000","439,000","9,795,000","46,750,000",,,
		GainOnSaleOfBusiness,,,,,,,,"0",,"1,261,000"
	OtherNonOperatingIncomeExpenses,"-1,736,000","-1,143,000","1,627,000","-1,101,000","-678,000","825,000","175,000","120,000","683,000","618,000"
PretaxIncome,"163,072,000","101,709,000","57,258,000","-111,877,000","134,118,000","130,974,000","-28,204,000","-30,680,000","-94,858,000","-94,158,000"
TaxProvision,"-31,764,000","-29,549,000","32,974,000","26,592,000","21,488,000","13,927,000","-4,734,000","10,849,000","-35,744,000","-34,611,000"
NetIncomeCommonStockholders,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-27,220,000","-5,390,000","-59,614,000","-64,047,000"
	NetIncome,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-23,470,000","-41,529,000","-59,114,000","-59,547,000"
