name,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009
TotalAssets,"5,571,246,000","3,735,091,000","3,054,559,080","1,828,905,951","1,061,379,033","772,414,637","427,598,767","316,041,879","294,652,905","217,770,044","65,503,662","38,552,994"
	CurrentAssets,"2,495,781,000","1,745,716,000","1,662,006,145","871,121,005","515,859,574","539,432,534","300,376,622","226,438,543","210,235,030","205,449,129","55,904,694","32,022,546"
		CashCashEquivalentsAndShortTermInvestments,"2,219,323,000","1,515,564,000","1,498,909,845","699,673,401","478,805,103","492,152,804","269,930,571","209,591,344","188,941,570","173,631,370","52,670,637","30,033,319"
			CashAndCashEquivalents,"1,873,866,000","1,247,140,000","711,519,091","470,217,004","434,042,036","470,157,430","269,930,571","185,080,673","188,579,767","173,165,661","50,752,481","29,692,901"
				CashEquivalents,,,,,,,,,"198,907,883",,,
			OtherShortTermInvestments,"345,457,000","268,424,000","787,390,754","229,456,397","44,763,067","21,995,374","0","24,510,671","361,803","465,709","1,918,156","340,418"
		Receivables,"15,190,000","103,393,000","55,213,072","103,302,198","7,601,234","18,680,156","12,825,220","3,070,650","1,574,621","396,180","0","92,112"
			AccountsReceivable,,"50,222,000",,,,,,,"943,111",,,
			LoansReceivable,,"29,877,000","10,990,834","4,095,974","1,617,703","10,965,787","1,301,914",,,,,
			AccruedInterestReceivable,,"5,848,000","8,655,362","4,347,655","1,977,686","2,876,719","1,113,313","1,505,973","631,510","396,180",,
			TaxesReceivable,"11,548,000","7,204,000","18,720,986","2,244,898","7,612","3,490,921","10,129,966","1,235,622",,,,
			DuefromRelatedPartiesCurrent,"3,642,000","3,341,000","3,228,839","3,424,285","2,594,430","159,502",,,,,,
			OtherReceivables,,"6,901,000","13,617,051","89,189,386","1,403,803","1,187,227","280,027","329,055",,,,
		Inventory,"25,832,000","7,750,000","5,271,710","2,823,039","600,441","544,085","181,759","410,167","223,611","117,827","121,819","1,063"
