Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,30.629999,30.629999,30.160000,30.500000,25.607578,67200
2015-05-13,30.480000,30.570000,30.250000,30.400000,25.565531,37200
2015-05-14,30.400000,30.879999,30.139999,30.700001,25.817827,76700
2015-05-15,30.629999,30.730000,30.090000,30.200001,25.397339,49300
2015-05-18,30.120001,30.740000,30.120001,30.549999,25.691679,96800
2015-05-19,30.620001,30.750000,30.379999,30.719999,25.834650,43100
2015-05-20,30.740000,30.740000,30.450001,30.690001,25.809416,25200
2015-05-21,30.670000,30.680000,30.340000,30.469999,25.624403,79600
2015-05-22,30.410000,30.670000,30.129999,30.320000,25.498249,39300
2015-05-26,30.090000,30.280001,29.730000,30.059999,25.279604,60800
2015-05-27,30.070000,30.430000,29.840000,30.340000,25.515072,77300
2015-05-28,30.270000,30.480000,29.900000,30.459999,25.615988,37000
2015-05-29,30.340000,30.580000,30.100000,30.290001,25.473026,108100
2015-06-01,30.350000,30.670000,30.020000,30.440001,25.599171,129100
2015-06-02,30.270000,30.959999,30.270000,30.730000,25.843050,73100
2015-06-03,30.570000,31.160000,30.360001,30.910000,26.199043,92800
2015-06-04,30.680000,30.870001,30.520000,30.750000,26.063427,40700
2015-06-05,30.920000,31.280001,30.820000,31.250000,26.487221,52000
2015-06-08,31.219999,31.490000,31.219999,31.280001,26.512651,45400
2015-06-09,31.280001,31.790001,31.139999,31.780001,26.936451,74800
2015-06-10,32.000000,32.939999,31.980000,32.689999,27.707750,229900
2015-06-11,32.660000,32.880001,32.290001,32.700001,27.716232,58900
2015-06-12,32.570000,32.860001,32.410000,32.700001,27.716232,70900
2015-06-15,32.380001,32.660000,32.150002,32.380001,27.445002,53500
2015-06-16,32.230000,32.869999,32.119999,32.830002,27.826408,56100
2015-06-17,32.799999,32.830002,32.570000,32.669998,27.690794,174800
2015-06-18,32.910000,33.389999,32.740002,33.330002,28.250216,118100
2015-06-19,33.230000,33.730000,33.209999,33.680000,28.546860,242000
2015-06-22,33.750000,34.169998,33.669998,34.070000,28.877434,194900
2015-06-23,34.000000,34.250000,33.880001,34.200001,28.987616,63700
2015-06-24,34.169998,34.250000,33.930000,34.070000,28.877434,73100
2015-06-25,34.160000,34.200001,33.759998,33.759998,28.614672,227600
2015-06-26,33.650002,34.270000,33.560001,33.849998,28.690956,673900
2015-06-29,33.520000,33.980000,33.130001,33.189999,28.131550,136200
2015-06-30,33.490002,33.689999,32.730000,33.060001,28.021358,151700
2015-07-01,33.230000,33.709999,32.930000,33.439999,28.343447,132100
2015-07-02,33.360001,33.369999,32.599998,32.660000,27.682325,137700
2015-07-06,32.250000,33.040001,32.250000,32.869999,27.860321,90000
2015-07-07,32.840000,32.840000,32.259998,32.630001,27.656895,78200
2015-07-08,32.160000,32.959999,32.040001,32.740002,27.750132,103500
2015-07-09,32.900002,33.299999,32.639999,32.840000,27.834888,77400
2015-07-10,33.209999,33.389999,32.970001,33.209999,28.148497,70600
2015-07-13,33.349998,33.900002,33.220001,33.290001,28.216311,28400
2015-07-14,33.200001,33.480000,33.090000,33.389999,28.301067,30800
2015-07-15,33.419998,33.740002,33.259998,33.459999,28.360397,55600
2015-07-16,33.389999,33.869999,33.360001,33.529999,28.419727,83900
2015-07-17,33.650002,33.650002,32.959999,33.230000,28.165451,83200
2015-07-20,33.439999,33.439999,32.919998,32.980000,27.953552,101200
2015-07-21,33.070000,33.560001,32.810001,32.970001,27.945078,89500
2015-07-22,33.250000,34.490002,33.029999,34.279999,29.055424,175700
2015-07-23,34.480000,34.480000,33.480000,33.570000,28.453634,116200
2015-07-24,33.450001,33.720001,33.150002,33.150002,28.097647,87000
2015-07-27,33.320000,33.560001,32.950001,33.220001,28.156979,76100
2015-07-28,33.439999,33.439999,32.799999,33.099998,28.055262,85100
2015-07-29,33.000000,33.130001,32.720001,32.860001,27.851843,77600
2015-07-30,32.860001,32.980000,32.660000,32.950001,27.928131,64300
2015-07-31,33.000000,33.139999,32.570000,32.950001,27.928131,113800
2015-08-03,32.950001,33.230000,32.799999,33.220001,28.156979,79500
2015-08-04,33.340000,33.619999,32.939999,33.270000,28.199366,60600
2015-08-05,33.549999,33.919998,32.810001,33.689999,28.555344,78900
2015-08-06,33.730000,33.869999,32.900002,33.540001,28.428207,79300
2015-08-07,33.340000,33.580002,32.950001,33.230000,28.165451,52700
2015-08-10,33.500000,33.700001,33.270000,33.430000,28.334967,85700
2015-08-11,33.130001,33.610001,32.919998,33.000000,27.970509,53700
2015-08-12,32.830002,32.849998,32.080002,32.340000,27.452694,70300
2015-08-13,32.290001,32.919998,32.209999,32.509998,27.596996,58000
2015-08-14,32.310001,32.959999,32.310001,32.919998,27.945040,37400
2015-08-17,32.889999,33.230000,32.250000,32.939999,27.962021,49700
2015-08-18,32.950001,33.029999,32.529999,32.730000,27.783756,46300
2015-08-19,32.570000,33.099998,32.299999,32.610001,27.681887,59100
2015-08-20,32.259998,32.310001,31.910000,31.950001,27.121628,90300
2015-08-21,31.340000,32.439999,31.260000,31.809999,27.002789,108200
2015-08-24,30.500000,31.440001,30.330000,30.350000,25.763424,99700
2015-08-25,31.370001,31.660000,30.090000,30.320000,25.737955,179200
2015-08-26,30.990000,31.480000,30.480000,31.240000,26.518925,71500
2015-08-27,31.500000,31.740000,30.950001,31.080000,26.383106,141900
2015-08-28,30.760000,31.480000,30.700001,31.400000,26.654745,131200
2015-08-31,31.400000,31.969999,31.200001,31.940001,27.113136,73400
2015-09-01,31.230000,31.620001,30.639999,30.799999,26.145418,89800
2015-09-02,31.120001,31.260000,30.549999,30.830000,26.393692,92000
2015-09-03,30.969999,31.090000,30.629999,30.760000,26.333763,83000
2015-09-04,30.330000,30.670000,30.190001,30.450001,26.068373,175900
2015-09-08,30.860001,31.030001,30.700001,30.840000,26.402252,354800
2015-09-09,30.920000,31.400000,30.840000,30.900000,26.453619,400000
2015-09-10,30.830000,32.000000,30.830000,31.700001,27.138504,271600
2015-09-11,31.459999,31.959999,31.389999,31.850000,27.266918,140400
2015-09-14,31.959999,32.580002,31.889999,32.189999,27.557989,106500
2015-09-15,32.349998,32.770000,31.879999,32.669998,27.968922,94500
2015-09-16,32.779999,32.820000,32.360001,32.470001,27.797705,106500
2015-09-17,32.610001,33.000000,31.790001,32.000000,27.395332,121200
2015-09-18,31.430000,32.299999,30.889999,31.180000,26.693327,537800
2015-09-21,31.610001,32.110001,31.450001,31.930000,27.335403,90200
2015-09-22,31.709999,31.980000,31.070000,31.690001,27.129940,88800
2015-09-23,31.820000,32.160000,31.420000,32.090000,27.472385,175100
2015-09-24,31.820000,32.240002,31.530001,32.139999,27.515184,137800
2015-09-25,32.500000,32.730000,32.209999,32.240002,27.600796,110600
2015-09-28,32.250000,32.310001,31.830000,32.040001,27.429575,84300
2015-09-29,32.150002,32.220001,31.740000,32.180000,27.549429,105700
2015-09-30,32.590000,32.590000,32.119999,32.349998,27.694967,135000
2015-10-01,32.320000,32.410000,31.700001,32.310001,27.660727,82400
2015-10-02,31.940001,32.119999,30.980000,31.670000,27.112814,86400
2015-10-05,31.940001,32.450001,31.690001,32.250000,27.609354,129200
2015-10-06,32.250000,32.290001,31.950001,32.160000,27.532309,157400
2015-10-07,32.299999,32.570000,31.790001,32.549999,27.866186,143600
2015-10-08,32.599998,33.180000,32.430000,33.169998,28.396975,94800
2015-10-09,33.279999,33.299999,32.740002,32.910000,28.174391,78800
2015-10-12,32.880001,33.279999,32.790001,33.230000,28.448332,66500
2015-10-13,33.189999,33.480000,32.799999,32.910000,28.174391,52800
2015-10-14,32.959999,32.990002,31.900000,32.139999,27.515184,64100
2015-10-15,32.259998,32.980000,31.920000,32.930000,28.191511,77700
2015-10-16,33.060001,33.340000,32.779999,33.200001,28.422657,93100
2015-10-19,32.900002,33.459999,32.900002,33.320000,28.525385,89400
2015-10-20,33.419998,33.570000,33.240002,33.490002,28.670925,83000
2015-10-21,33.680000,33.840000,33.060001,33.189999,28.414093,84400
2015-10-22,33.290001,34.000000,33.290001,33.849998,28.979128,120500
2015-10-23,34.000000,34.250000,33.250000,34.230000,29.304449,182400
2015-10-26,34.180000,34.389999,33.939999,34.259998,29.330130,82100
2015-10-27,34.180000,34.389999,33.599998,33.720001,28.867836,89700
2015-10-28,33.810001,35.139999,33.630001,35.130001,30.074944,271100
2015-10-29,34.910000,35.099998,34.590000,34.939999,29.912275,133800
2015-10-30,34.939999,34.950001,33.660000,33.930000,29.047606,97400
2015-11-02,34.060001,34.720001,33.950001,34.590000,29.612644,142300
2015-11-03,34.470001,34.730000,34.110001,34.560001,29.586950,95300
2015-11-04,34.919998,35.160000,34.480000,34.970001,29.937958,202700
2015-11-05,35.049999,35.680000,34.509998,35.500000,30.391695,143500
2015-11-06,35.770000,36.529999,35.549999,36.459999,31.213554,243200
2015-11-09,36.459999,36.650002,35.830002,36.130001,30.931044,89700
2015-11-10,36.180000,36.730000,36.180000,36.599998,31.398592,153900
2015-11-11,36.849998,37.160000,36.240002,36.270000,31.115480,103700
2015-11-12,36.090000,36.090000,35.490002,35.779999,30.695129,68800
2015-11-13,35.779999,36.160000,35.099998,35.590000,30.532131,110500
2015-11-16,35.590000,35.860001,35.000000,35.810001,30.720858,163200
2015-11-17,35.990002,36.200001,35.639999,35.830002,30.738016,142600
2015-11-18,36.000000,36.180000,35.580002,36.090000,30.961071,103300
2015-11-19,36.299999,36.299999,35.730000,35.950001,30.840965,68600
2015-11-20,36.029999,36.660000,36.020000,36.490002,31.304224,116300
2015-11-23,36.549999,36.860001,36.490002,36.599998,31.398592,66100
2015-11-24,36.439999,36.750000,36.240002,36.660000,31.450056,67700
