name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"1,918,348,000","538,444,000","560,007,000","460,305,000","359,592,000","353,425,000","372,319,000","361,476,000","360,690,000","350,946,000","357,961,000","338,614,000","337,118,000","321,519,000","322,892,000","327,740,000","330,940,000","324,260,000","304,737,000","317,522,000","319,478,000","304,058,000","297,254,000","320,256,000","310,117,000","304,681,000","291,406,000","305,787,000","301,827,000","287,890,000","285,614,000","312,617,000","311,107,000","345,518,000","271,724,000","293,820,000","290,292,000","288,286,000","315,780,000","311,697,000","312,405,000","297,305,000","312,790,000","289,546,000","296,833,000","259,692,000","272,091,000","275,708,000","274,181,000","270,128,000","313,571,000","266,115,000","264,307,000","278,814,000","254,718,000","264,545,000","259,064,000","248,667,000","254,058,000","251,771,000","248,990,000","241,201,000","259,004,000","243,972,000","245,712,000","233,669,000","278,302,000","200,197,000","232,462,000","240,065,000","235,510,000","229,006,000","226,097,000","227,454,000","222,220,000","217,710,000","214,930,000","200,352,000","207,893,000","195,950,000","196,502,000","179,793,000","192,200,000","189,000,000","182,700,000","178,700,000","186,700,000","178,500,000","176,900,000","175,100,000","170,600,000","167,300,000","145,600,000","126,400,000","125,700,000","128,500,000","123,500,000","120,300,000","118,400,000","115,700,000","113,400,000","84,500,000","84,400,000","84,100,000","78,200,000","75,600,000","78,100,000","78,500,000","76,800,000","61,200,000","59,900,000","57,900,000","58,400,000","54,000,000","50,800,000","53,700,000","50,900,000","47,000,000","50,800,000","43,100,000","42,500,000","41,100,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"1,918,348,000","538,444,000","560,007,000","460,305,000","359,592,000","353,425,000","372,319,000","361,476,000","360,690,000","350,946,000","357,961,000","338,614,000","337,118,000","321,519,000","322,892,000","327,740,000","330,940,000","324,260,000","304,737,000","317,522,000","319,478,000","304,058,000","297,254,000","320,256,000","310,117,000","304,681,000","291,406,000","305,787,000","301,827,000","287,890,000","285,614,000","312,617,000","311,107,000","345,518,000","271,724,000","293,820,000","290,292,000","288,286,000","315,780,000","311,697,000","312,405,000","297,305,000","312,790,000","289,546,000","296,833,000","259,692,000","272,091,000","275,708,000","274,181,000","270,128,000","313,571,000","266,115,000","264,307,000","278,814,000","254,718,000","264,545,000","259,064,000","248,667,000","254,058,000","251,771,000","248,990,000","241,201,000","259,004,000","243,972,000","245,712,000","233,669,000","278,302,000","200,197,000","232,462,000","240,065,000","235,510,000","229,006,000","226,097,000","227,454,000","222,220,000","217,710,000","214,930,000","200,352,000","207,893,000","195,950,000","196,502,000","179,793,000","192,200,000","189,000,000","182,700,000","178,700,000","186,700,000","178,500,000","176,900,000","175,100,000","170,600,000","167,300,000","145,600,000","126,400,000","125,700,000","128,500,000","123,500,000","120,300,000","118,400,000","115,700,000","113,400,000","84,500,000","84,400,000","84,100,000","78,200,000","75,600,000","78,100,000","78,500,000","76,800,000","61,200,000","59,900,000","57,900,000","58,400,000","54,000,000","50,800,000","53,700,000","50,900,000","47,000,000","50,800,000","43,100,000","42,500,000","41,100,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"329,333,000","66,902,000","135,831,000","13,243,000","113,357,000","94,736,000","108,169,000","116,873,000","78,627,000","98,055,000","-7,313,000","93,753,000","89,291,000","69,429,000","81,867,000","88,920,000","90,374,000","77,084,000","81,134,000","85,220,000","83,841,000","64,500,000","36,487,000","84,829,000","87,013,000","73,053,000","64,013,000","68,953,000","60,720,000","49,359,000","38,631,000","19,534,000","54,012,000","-451,732,000","27,614,000","51,816,000","50,281,000","49,117,000","47,634,000","60,657,000","74,323,000","55,012,000","28,638,000","23,735,000","38,396,000","41,772,000","45,231,000","46,015,000","42,557,000","71,857,000","85,692,000","85,701,000","91,167,000","109,958,000","79,083,000","96,868,000","93,921,000","87,236,000","92,194,000","94,374,000","97,316,000","96,526,000","100,535,000","93,402,000","98,736,000","91,803,000","87,676,000","55,157,000","92,602,000","92,348,000","90,480,000","90,712,000","89,497,000","87,003,000","83,847,000","84,966,000","83,554,000","77,467,000","84,822,000","75,929,000","75,874,000","66,213,000","73,900,000","69,500,000","67,000,000","62,600,000","67,100,000","62,100,000","68,300,000","67,800,000","66,700,000","62,600,000","57,300,000","47,400,000","43,900,000","8,200,000","43,400,000","41,700,000","39,800,000","40,200,000","38,800,000","-19,300,000","26,600,000","26,500,000","23,800,000","20,900,000","21,300,000","21,200,000","7,200,000","16,500,000","16,300,000","12,000,000","10,800,000","9,700,000","5,700,000","6,200,000","5,000,000","4,800,000","4,600,000","4,300,000","-32,200,000","3,500,000",,,,,,,,,,,,,,,,,,
TaxProvision,"42,040,000","13,086,000","21,375,000","-11,735,000","19,314,000","21,287,000","20,013,000","28,034,000","16,418,000","21,631,000","-110,965,000","30,704,000","25,794,000","20,843,000","29,762,000","30,257,000","29,706,000","26,803,000","26,614,000","30,528,000","28,902,000","22,828,000","11,011,000","30,791,000","31,385,000","26,579,000","22,791,000","24,551,000","19,444,000","17,559,000","10,540,000","6,304,000","20,542,000","-170,244,000","8,385,000","18,856,000","18,758,000","18,442,000","16,011,000","22,852,000","28,112,000","20,790,000","9,385,000","6,491,000","14,853,000","15,125,000","17,527,000","15,889,000","18,855,000","24,431,000","22,875,000","26,563,000","29,038,000","27,234,000","25,350,000","30,941,000","26,860,000","29,014,000","26,654,000","28,888,000","26,675,000","33,061,000","33,133,000","31,690,000","33,518,000","31,142,000","28,180,000","19,193,000","32,311,000","32,221,000","30,704,000","31,845,000","31,526,000","30,686,000","29,652,000","32,076,000","31,540,000","29,244,000","32,657,000","29,232,000","29,212,000","25,492,000","29,000,000","26,700,000","26,000,000","25,300,000","27,600,000","25,500,000","28,100,000","27,900,000","26,800,000","25,400,000","22,400,000","18,500,000","16,400,000","2,900,000","16,700,000","15,400,000","14,300,000","15,800,000","15,400,000","-7,700,000","10,800,000","11,000,000","9,900,000","8,700,000","9,100,000","9,100,000","3,200,000","7,000,000","-4,100,000","4,900,000","4,300,000","4,100,000","1,900,000","3,200,000","2,400,000","2,400,000","300,000","200,000","-1,200,000","1,600,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"266,878,000","49,406,000","109,904,000","19,654,000","87,933,000","68,001,000","83,146,000","83,689,000","56,247,000","66,165,000","97,636,000","48,277,000","55,576,000","41,423,000","45,234,000","51,432,000","52,833,000","43,199,000","47,634,000","47,716,000","47,397,000","34,943,000","19,136,000","47,458,000","48,266,000","39,899,000","35,131,000","37,930,000","34,063,000","25,412,000","23,501,000","9,322,000","31,531,000","-282,894,000","18,154,000","31,717,000","29,837,000","29,686,000","30,725,000","36,893,000","45,025,000","33,921,000","19,456,000","17,451,000","10,325,000","21,462,000","25,164,000","30,126,000","23,702,000","47,426,000","62,817,000","59,138,000","62,129,000","82,724,000","53,733,000","65,927,000","67,061,000","58,222,000","65,540,000","65,486,000","70,641,000","63,465,000","67,402,000","61,712,000","65,218,000","60,661,000","59,496,000","35,964,000","60,291,000","60,127,000","59,776,000","58,867,000","57,971,000","56,317,000","54,195,000","52,890,000","52,014,000","48,223,000","52,165,000","46,697,000","46,662,000","40,721,000","44,900,000","42,800,000","41,000,000","37,300,000","39,500,000","36,600,000","40,200,000","39,900,000","39,900,000","37,200,000","34,900,000","28,900,000","27,500,000","5,300,000","26,700,000","26,300,000","25,500,000","24,400,000","23,400,000","-13,300,000","15,800,000","15,500,000","13,900,000","12,200,000","12,200,000","12,100,000","4,000,000","9,500,000","20,400,000","7,100,000","6,500,000","5,600,000","5,300,000","5,000,000","4,600,000","4,300,000","4,300,000","4,100,000","-32,300,000","3,200,000",,,,,,,,,,,,,,,,,,
	NetIncome,"276,873,000","51,899,000","112,399,000","22,148,000","90,427,000","70,494,000","85,652,000","86,196,000","58,749,000","73,761,000","101,399,000","60,528,000","60,432,000","46,278,000","50,092,000","56,292,000","57,694,000","48,046,000","52,492,000","52,575,000","52,255,000","39,801,000","23,988,000","52,317,000","53,125,000","44,757,000","39,995,000","42,795,000","38,904,000","29,974,000","26,785,000","11,694,000","31,531,000","-282,894,000","18,154,000","31,717,000","29,837,000","29,686,000","30,725,000","36,893,000","45,025,000","33,921,000","19,456,000","17,451,000","23,543,000","26,647,000","27,704,000","30,126,000","23,702,000","47,426,000","62,817,000","59,138,000","62,129,000","82,724,000","53,733,000","65,927,000","67,061,000","58,222,000","65,540,000","65,486,000","70,641,000","63,465,000","67,402,000","61,712,000","65,218,000","60,661,000","59,496,000","35,964,000","60,291,000","60,127,000","59,776,000","58,867,000","57,971,000","56,317,000","54,195,000","52,890,000","52,014,000","48,223,000","52,165,000","46,697,000","46,662,000","40,721,000","44,900,000","42,800,000","41,000,000","37,300,000","39,500,000","36,600,000","40,200,000","39,900,000","39,900,000","37,200,000","34,900,000","28,900,000","27,500,000","5,300,000","26,700,000","26,300,000","25,500,000","24,400,000","23,400,000","-12,600,000","15,800,000","15,500,000","13,900,000","12,200,000","12,200,000","12,100,000","4,000,000","9,500,000","20,400,000","7,100,000","6,500,000","5,600,000","5,300,000","5,000,000","4,600,000","4,300,000","4,300,000","4,100,000","-32,300,000","3,200,000",,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"287,293,000","53,816,000","114,456,000","24,978,000","94,043,000","73,449,000","88,156,000","88,839,000","62,209,000","76,424,000","103,652,000","63,049,000","63,497,000","48,586,000","52,105,000","58,663,000","60,668,000","50,281,000","54,520,000","54,692,000","54,939,000","41,672,000","25,476,000","54,038,000","55,628,000","46,474,000","41,222,000","44,402,000","41,276,000","31,800,000","28,091,000","13,230,000","33,470,000","-281,488,000","19,229,000","32,960,000","31,523,000","30,675,000","31,623,000","37,805,000","46,211,000","34,222,000","19,253,000","17,244,000","23,543,000","26,647,000","27,704,000","30,126,000","23,702,000","47,426,000","62,817,000","59,138,000","62,129,000","82,724,000","53,733,000","65,927,000","67,061,000","58,222,000","65,540,000","65,486,000","70,641,000","63,465,000","67,402,000","61,712,000","65,218,000","60,661,000","59,496,000","35,964,000","60,291,000","60,127,000","59,776,000","58,867,000","57,971,000","56,317,000","54,195,000","52,890,000","52,014,000","48,223,000","52,165,000","46,697,000","46,662,000","40,721,000","44,900,000","42,800,000","41,000,000","37,300,000","39,500,000","36,600,000","40,200,000","39,900,000","39,900,000","37,200,000","34,900,000","28,900,000","27,500,000","5,300,000","26,700,000","26,300,000","25,500,000","24,400,000","23,400,000","-12,600,000","15,800,000","15,500,000","13,900,000","12,200,000","12,200,000","12,100,000","4,000,000","9,500,000","20,400,000","7,100,000","6,500,000","5,600,000","5,300,000","5,000,000","4,600,000","4,300,000","4,300,000","4,100,000","-32,300,000","3,200,000","1,700,000","3,200,000","3,200,000","3,000,000","2,200,000","3,800,000","3,600,000","3,000,000","-69,500,000","2,600,000","-7,000,000","6,100,000","2,600,000","1,800,000","7,800,000","9,600,000","800,000","800,000"
			NetIncomeContinuousOperations,"287,293,000","53,816,000","114,456,000","24,978,000","94,043,000","73,449,000","88,156,000","88,839,000","62,209,000","76,424,000","103,652,000","63,049,000","63,497,000","48,586,000","52,105,000","58,663,000","60,668,000","50,281,000","54,520,000","54,692,000","54,939,000","41,672,000","25,476,000","54,038,000","55,628,000","46,474,000","41,222,000","44,402,000","41,276,000","31,800,000","28,091,000","13,230,000","33,470,000","-281,488,000","19,229,000","32,960,000","31,523,000","30,675,000","31,623,000","37,805,000","46,211,000","34,222,000","19,253,000","17,244,000","23,543,000","26,647,000","27,704,000","30,126,000","23,702,000","47,426,000","62,817,000","59,138,000","62,129,000","82,724,000","53,733,000","65,927,000","67,061,000","58,222,000","65,540,000","65,486,000","70,641,000","63,465,000","67,402,000","61,712,000","65,218,000","60,661,000","59,496,000","35,964,000","60,291,000","60,127,000","59,776,000","58,867,000","57,971,000","56,317,000","54,195,000","52,890,000","52,014,000","48,223,000","52,165,000","46,697,000","46,662,000","40,721,000","44,900,000","42,800,000","41,000,000","37,300,000","39,500,000","36,600,000","40,200,000","39,900,000","39,900,000","37,200,000","34,900,000","28,900,000","27,500,000","5,300,000","26,700,000","26,300,000","25,500,000","24,400,000","23,400,000","-11,600,000","15,800,000","15,500,000","13,900,000","12,200,000","12,200,000","12,100,000","4,000,000","9,500,000","20,400,000","7,100,000","6,500,000","5,600,000","3,800,000","3,000,000","2,600,000","2,400,000","4,300,000","4,100,000","-31,000,000","1,900,000","1,700,000","3,200,000","3,200,000","3,000,000","2,200,000","3,800,000","3,600,000","3,000,000","-69,500,000","2,600,000","-7,000,000","6,100,000","2,600,000","1,800,000","7,800,000","9,600,000","800,000","800,000"
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-1,000,000",,,,,,,,,,,,,"1,500,000","2,000,000","2,000,000","1,900,000",,,"-1,300,000","1,300,000",,,,,,,,,,,,,,,,,,
		MinorityInterests,"-10,420,000","-1,917,000","-2,057,000","-2,830,000","-3,616,000","-2,955,000","-2,504,000","-2,643,000","-3,460,000","-2,663,000","-2,253,000","-2,521,000","-3,065,000","-2,308,000","-2,013,000","-2,371,000","-2,974,000","-2,235,000","-2,028,000","-2,117,000","-2,684,000","-1,871,000","-1,488,000","-1,721,000","-2,503,000","-1,717,000","-1,227,000","-1,607,000","-2,372,000","-1,826,000","-1,306,000","-1,536,000","-1,939,000","-1,406,000","-1,075,000","-1,243,000","-1,686,000","-989,000","-898,000","-912,000","-1,186,000","-301,000","203,000","207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
