name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"11,205,000,000","11,934,000,000","12,564,000,000","12,048,000,000","9,300,000,000","8,259,000,000","8,599,000,000","9,382,000,000","10,343,000,000","11,514,000,000","9,339,000,000","7,674,000,000","6,903,836,814","6,371,039,825","6,538,909,599","4,415,000,000","3,428,000,000","2,410,000,000","2,187,000,000","2,379,000,000","1,206,000,000","622,100,000","695,400,000","688,000,000","702,300,000","698,800,000","542,200,000","469,000,000"
	OperatingRevenue,"11,205,000,000","11,934,000,000","12,564,000,000","12,048,000,000","9,300,000,000","8,259,000,000","8,599,000,000","9,382,000,000","10,343,000,000","11,514,000,000","9,339,000,000","7,674,000,000","6,903,836,814","6,371,039,825","6,538,909,599","4,415,000,000","3,428,000,000","2,410,000,000","2,187,000,000","2,379,000,000","1,206,000,000","622,100,000","695,400,000","688,000,000","702,300,000","698,800,000","542,200,000","469,000,000"
CostOfRevenue,"8,509,000,000","8,594,000,000","7,943,000,000","7,419,000,000","6,904,000,000","6,980,000,000","7,071,000,000","6,956,000,000","7,277,000,000","6,637,000,000","5,784,000,000","4,940,000,000","4,009,227,780","3,300,228,424","2,714,352,283","2,135,000,000","2,029,000,000","1,887,000,000","1,805,000,000","1,751,000,000","833,000,000","451,400,000","501,900,000","487,600,000","475,900,000","457,300,000","357,300,000","301,400,000"
GrossProfit,"2,696,000,000","3,340,000,000","4,621,000,000","4,629,000,000","2,396,000,000","1,279,000,000","1,528,000,000","2,426,000,000","3,066,000,000","4,877,000,000","3,555,000,000","2,734,000,000","2,894,609,034","3,070,811,401","3,824,557,316","2,280,000,000","1,399,000,000","523,000,000","382,000,000","628,000,000","373,000,000","170,700,000","193,500,000","200,400,000","226,400,000","241,500,000","184,900,000","167,600,000"
OperatingExpense,"883,000,000","891,000,000","728,000,000","541,000,000","496,000,000","713,000,000","505,000,000","489,000,000","379,000,000","632,000,000","340,000,000","236,000,000","1,499,514,327","332,704,340","263,280,522","446,000,000","399,000,000","321,000,000","305,000,000","358,000,000","202,000,000","141,100,000","140,900,000","146,500,000","140,500,000","125,500,000","91,900,000","78,400,000"
	OperationAndMaintenance,"42,000,000","36,000,000","31,000,000","186,000,000","144,000,000","49,000,000","22,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"110,000,000","165,000,000","201,000,000","241,000,000","270,000,000","121,000,000","131,000,000","151,000,000","170,000,000","146,000,000","263,000,000","188,000,000","111,704,711","141,026,914","113,000,932","102,000,000","82,000,000","68,000,000","72,000,000","73,000,000","44,000,000","17,600,000","14,600,000","14,000,000","15,200,000","12,100,000","10,300,000","8,800,000"
		GeneralAndAdministrativeExpense,"110,000,000","165,000,000","201,000,000","241,000,000","270,000,000","121,000,000","131,000,000","151,000,000","170,000,000","146,000,000",,,,,,,,,,,,,,,,,,
			SalariesAndWages,"18,000,000","4,000,000","59,000,000","125,000,000","171,000,000","13,000,000","12,000,000","22,000,000","34,000,000","21,000,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"152,000,000","161,000,000","142,000,000","116,000,000","99,000,000","108,000,000","119,000,000","129,000,000","136,000,000","125,000,000",,,,,,,,,,,,,,,,,,
