name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalAssets,"38,774,000,000","39,350,000,000","41,817,000,000","41,215,000,000","42,106,000,000","39,626,000,000","38,373,000,000","38,634,000,000","37,894,000,000","37,058,000,000","35,468,000,000","34,898,000,000","34,851,000,000","35,629,000,000","34,452,000,000","33,911,000,000","33,815,000,000","34,688,000,000","34,654,000,000","37,248,000,000","37,566,000,000","36,839,000,000","36,447,000,000","36,263,000,000","36,381,000,000","36,183,000,000","34,919,000,000","34,971,000,000","34,783,000,000","34,617,000,000","34,759,000,000","34,354,000,000","34,038,000,000","34,219,000,000","33,640,000,000","29,865,000,000","29,126,000,000","29,209,000,000","29,412,000,000","28,570,000,000","28,417,000,000","29,873,000,000","29,911,000,000","30,223,000,000","31,970,250,851","31,533,511,413","15,175,644,028","14,185,833,503","13,806,192,779","13,573,343,927","13,941,170,625","10,595,111,583","11,128,920,664","11,446,877,912","9,896,054,543","9,454,545,455","8,928,000,000","8,809,000,000","8,042,000,000","6,518,000,000","6,293,000,000","6,059,000,000","5,854,000,000","5,793,000,000","5,588,000,000","5,267,000,000","5,238,000,000","4,844,000,000","5,113,000,000","4,958,000,000","4,940,000,000","4,809,000,000","5,105,000,000","5,153,000,000","5,278,000,000","5,310,000,000","5,262,000,000","5,102,000,000","2,844,171,000","2,719,600,000","2,673,400,000","2,662,100,000","2,621,300,000","2,581,700,000","2,332,500,000","2,339,700,000","2,416,700,000","2,406,100,000","2,358,300,000","2,359,100,000","2,675,500,000","2,746,900,000","2,582,900,000","2,580,100,000","2,616,100,000","2,037,500,000","2,012,300,000","1,989,600,000","1,977,600,000","1,855,500,000","1,820,100,000","1,800,600,000","1,780,800,000","1,613,400,000","1,608,900,000","1,469,100,000","1,343,100,000","1,375,400,000","1,368,300,000"
	CurrentAssets,"3,516,000,000","4,495,000,000","5,418,000,000","5,734,000,000","6,797,000,000","5,317,000,000","5,042,000,000","5,504,000,000","5,073,000,000","4,778,000,000","4,667,000,000","4,095,000,000","3,691,000,000","4,762,000,000","3,889,000,000","4,007,000,000","4,123,000,000","4,805,000,000","4,415,000,000","4,384,000,000","4,562,000,000","4,917,000,000","4,779,000,000","4,937,000,000","5,149,000,000","5,770,000,000","5,220,000,000","5,698,000,000","5,970,000,000","6,573,000,000","7,235,000,000","6,753,000,000","7,010,000,000","7,389,000,000","7,354,000,000","4,246,000,000","3,496,000,000","3,306,000,000","3,789,000,000","2,816,000,000","2,862,000,000","3,676,000,000","3,606,000,000","3,264,000,000","4,079,162,990","4,099,077,222","3,053,012,561","3,057,195,196","2,791,893,838","3,005,263,681","3,676,835,934","5,688,629,118","6,215,405,904","6,895,386,766","5,770,649,380","4,926,938,093","4,386,000,000","4,267,000,000","3,654,000,000","2,299,000,000","2,045,000,000","1,811,000,000","1,401,000,000","1,205,000,000","1,065,000,000","933,000,000","977,000,000","866,000,000","936,000,000","955,000,000","972,000,000","952,000,000","989,000,000","1,044,000,000","1,058,000,000","1,296,000,000","1,301,000,000","1,196,000,000","287,695,000","313,400,000","347,100,000","351,400,000","421,700,000","463,800,000","282,900,000","375,800,000","376,600,000","416,200,000","436,100,000","430,000,000","437,600,000","534,600,000","503,100,000","539,800,000","613,200,000","303,700,000","283,600,000","273,900,000","255,800,000","162,000,000","245,200,000","226,800,000","262,600,000","120,700,000","162,400,000","347,600,000","239,500,000","217,600,000","252,400,000"
		CashCashEquivalentsAndShortTermInvestments,"219,000,000","1,026,000,000","1,619,000,000","1,529,000,000","2,446,000,000","1,734,000,000","1,483,000,000","1,631,000,000","1,209,000,000","952,000,000","889,000,000","846,000,000","536,000,000","1,407,000,000","1,113,000,000","1,271,000,000","1,485,000,000","1,887,000,000","1,487,000,000","1,327,000,000","1,567,000,000","2,029,000,000","1,853,000,000","2,131,000,000","2,386,000,000","2,772,000,000","2,250,000,000","2,799,000,000","2,950,000,000","3,267,000,000","3,930,000,000","3,641,000,000","3,800,000,000","4,405,000,000","4,260,000,000","1,314,000,000","1,046,000,000","832,000,000","1,177,000,000","758,000,000","774,000,000","1,329,000,000","1,082,000,000","762,000,000","1,771,082,818","860,854,784","1,246,540,345","1,162,222,675","1,059,561,773","1,408,282,848","1,800,655,868","4,174,282,678","4,778,597,786","5,280,754,893","4,310,942,215","3,580,591,188","3,165,000,000","3,084,000,000","2,525,000,000","1,326,000,000","1,147,000,000","907,000,000","429,000,000","326,000,000","186,000,000","96,000,000","60,000,000","35,000,000","32,000,000","91,000,000","21,000,000","69,000,000","85,000,000","101,000,000","74,000,000","394,000,000","368,000,000","266,000,000","129,478,000","171,100,000","200,800,000","198,800,000","263,000,000","317,800,000","129,700,000","195,600,000","204,900,000","235,800,000","279,500,000","265,300,000","272,300,000","366,900,000","345,600,000","381,700,000","457,800,000","151,100,000","130,900,000","132,300,000","106,400,000",,,"131,700,000",,,,"253,100,000",,,
			CashAndCashEquivalents,"219,000,000","1,026,000,000","1,619,000,000","1,529,000,000","2,446,000,000","1,734,000,000","1,483,000,000","1,631,000,000","1,209,000,000","952,000,000","889,000,000","846,000,000","536,000,000","1,407,000,000","1,113,000,000","1,271,000,000","1,485,000,000","1,887,000,000","1,487,000,000","1,327,000,000","1,567,000,000","2,029,000,000","1,853,000,000","2,131,000,000","2,386,000,000","2,772,000,000","2,250,000,000","2,799,000,000","2,950,000,000","3,267,000,000","3,930,000,000","3,641,000,000","3,800,000,000","4,405,000,000","4,260,000,000","1,314,000,000","1,046,000,000","832,000,000","1,177,000,000","758,000,000","774,000,000","1,329,000,000","1,082,000,000","750,000,000","1,632,421,530","849,927,149","1,246,540,345","1,162,222,675","1,059,561,773","1,408,282,848","1,767,862,466","4,008,501,594","3,961,023,985","5,053,588,071","3,679,445,624","3,230,340,212","3,165,000,000","3,084,000,000","2,525,000,000","1,326,000,000","1,147,000,000","907,000,000","429,000,000","326,000,000","186,000,000","96,000,000","60,000,000","35,000,000","32,000,000","91,000,000","21,000,000","69,000,000","85,000,000","101,000,000","74,000,000","394,000,000","368,000,000","266,000,000","129,478,000","171,100,000","200,800,000","198,800,000","263,000,000","317,800,000","129,700,000","195,600,000","204,900,000","235,800,000","279,500,000","265,300,000","272,300,000","366,900,000","345,600,000","381,700,000","457,800,000","151,100,000","130,900,000","132,300,000","106,400,000",,,"131,700,000",,,,"253,100,000",,,
				CashFinancial,,"149,000,000","1,619,000,000",,"2,446,000,000","438,000,000",,,,"230,000,000",,,,"254,000,000",,,,"247,000,000",,,,"378,000,000",,,,"174,000,000",,,,"144,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"877,000,000",,,,"1,296,000,000",,,,"722,000,000",,,,"1,153,000,000",,,,"1,640,000,000",,,,"1,651,000,000",,,,"2,598,000,000",,,,"3,123,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000","138,661,288","10,927,635",,,,,"32,793,402","165,781,084","817,573,801","227,166,822","631,496,591","350,250,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,084,000,000","1,157,000,000","1,405,000,000","1,456,000,000","1,632,000,000","1,258,000,000","1,317,000,000","1,327,000,000","1,469,000,000","1,839,000,000","1,820,000,000","1,229,000,000","1,521,000,000","1,682,000,000","1,117,000,000","1,175,000,000","1,155,000,000","1,298,000,000","1,095,000,000","1,171,000,000","1,181,000,000","1,136,000,000","1,091,000,000","1,103,000,000","1,021,000,000","1,303,000,000","1,214,000,000","1,111,000,000","1,260,000,000","1,426,000,000","1,368,000,000","1,266,000,000","1,410,000,000","1,343,000,000","1,437,000,000","1,379,000,000","1,060,000,000","1,094,000,000","1,221,000,000","723,000,000","789,000,000","881,000,000","948,000,000","1,051,000,000","893,735,031","1,898,980,087","765,382,159","901,689,395","765,353,359","592,908,928","724,436,053","651,434,644","636,531,365","723,438,956","590,141,947","587,841,606","537,000,000","531,000,000","424,000,000","345,000,000","342,000,000","364,000,000","347,000,000","301,000,000","316,000,000","315,000,000","252,000,000","210,000,000","232,000,000","235,000,000","198,000,000","207,000,000","219,000,000","242,000,000","232,000,000","203,000,000","250,000,000","292,000,000","59,036,000","44,600,000","56,300,000","57,500,000","61,500,000","65,700,000","56,200,000","75,700,000","69,800,000","71,500,000","62,400,000","72,900,000","71,000,000","72,500,000","65,000,000","58,500,000","59,200,000","60,300,000","59,300,000","59,300,000","59,100,000",,,"18,400,000",,,,"15,500,000",,,
			AccountsReceivable,"1,014,000,000","1,062,000,000","1,296,000,000","1,357,000,000","1,547,000,000","1,180,000,000","1,272,000,000","1,268,000,000","1,429,000,000","1,791,000,000","1,762,000,000","1,167,000,000","1,437,000,000","1,585,000,000","1,025,000,000","1,025,000,000","962,000,000","1,115,000,000","951,000,000","1,099,000,000","1,084,000,000","1,036,000,000","1,028,000,000","1,033,000,000","992,000,000","1,232,000,000","1,167,000,000","1,015,000,000","1,126,000,000","1,285,000,000","1,265,000,000","1,148,000,000","1,267,000,000","1,242,000,000","1,437,000,000","1,379,000,000","1,060,000,000",,"1,221,000,000","723,000,000","784,000,000","843,000,000","889,000,000","967,000,000","635,320,812","768,576,979","765,382,159","901,689,395","765,353,359","592,908,928","724,436,053","651,434,644","636,531,365","723,438,956","590,141,947","587,841,606","537,000,000","531,000,000","424,000,000","345,000,000","342,000,000","364,000,000","347,000,000","301,000,000","316,000,000","315,000,000","252,000,000","210,000,000","232,000,000","235,000,000","198,000,000","207,000,000","219,000,000","242,000,000","232,000,000","203,000,000","250,000,000","292,000,000","59,036,000","44,600,000","56,300,000","57,500,000","61,500,000","65,700,000","56,200,000","75,700,000","69,800,000","71,500,000","62,400,000","72,900,000","71,000,000","72,500,000","65,000,000","58,500,000","59,200,000","60,300,000","59,300,000","59,300,000","59,100,000",,,"18,400,000",,,,"15,500,000",,,
			TaxesReceivable,"70,000,000","95,000,000","109,000,000","99,000,000","85,000,000","78,000,000","45,000,000","59,000,000","40,000,000","48,000,000","58,000,000","62,000,000","84,000,000","97,000,000","92,000,000","150,000,000","193,000,000","183,000,000","144,000,000","72,000,000","97,000,000","100,000,000","63,000,000","70,000,000","29,000,000","71,000,000","47,000,000","96,000,000","134,000,000","141,000,000","103,000,000","118,000,000","143,000,000","101,000,000",,,,,,,"5,000,000","38,000,000","59,000,000","84,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
