name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"15,121,000,000","12,445,000,000","11,450,000,000","11,187,000,000","10,840,000,000","9,714,000,000","9,159,000,000","9,591,000,000","9,712,000,000","8,620,000,000","9,277,000,000","8,778,000,000","7,435,000,000","6,654,000,000","6,229,000,000","5,850,495,000","5,467,494,000","4,971,140,000","4,439,935,000","3,813,176,000","2,794,650,000","2,343,100,000","1,775,400,000","1,574,400,000","1,125,900,000","967,900,000","405,700,000","291,000,000","236,500,000","190,700,000","166,100,000","147,800,000",,,,
	NetInterestIncome,"9,267,000,000","7,313,000,000","6,682,000,000","6,535,000,000","6,321,000,000","5,592,000,000","5,374,000,000","5,616,000,000","5,857,000,000","5,507,000,000","5,320,000,000","4,844,000,000","4,201,000,000","3,880,000,000","3,708,000,000","3,524,873,000","3,348,223,000","3,082,005,000","2,747,460,000","2,434,485,000","2,017,628,000","1,581,700,000","1,247,400,000","1,099,500,000","828,500,000","741,500,000","322,700,000","224,700,000","193,400,000","151,400,000","132,100,000","116,300,000",,,,
		InterestIncome,"11,662,000,000","9,409,000,000","8,120,000,000","7,374,000,000","7,066,000,000","6,327,000,000","6,142,000,000","6,507,000,000","6,917,000,000","6,885,000,000","7,115,000,000","6,884,000,000","7,170,000,000","7,894,000,000","6,893,000,000","5,505,842,000","4,546,695,000","4,354,792,000","4,434,044,000","4,849,538,000","4,339,674,000","3,115,800,000","2,481,200,000","2,122,900,000","1,606,600,000","1,548,200,000","578,400,000","371,700,000","338,600,000","323,300,000","323,500,000","299,800,000",,,,
			InterestIncomeFromLoansAndLease,"9,919,000,000","7,982,000,000","6,894,000,000","6,230,000,000","5,985,000,000","5,347,000,000","5,163,000,000","5,603,000,000","5,980,000,000","6,119,000,000","6,080,000,000","5,547,000,000","6,003,000,000","6,713,000,000","5,941,000,000","4,684,479,000","3,851,147,000","3,591,402,000","3,468,386,000","3,807,930,000","3,463,281,000","2,429,800,000","1,980,100,000","1,713,300,000","1,282,500,000","1,233,200,000","423,500,000","263,500,000","244,200,000","250,800,000","251,900,000","238,600,000",,,,
				InterestIncomeFromLoans,,,,,,,,,,,,,,"6,713,000,000","5,941,000,000","4,684,479,000","3,851,147,000","3,591,402,000","3,468,386,000","3,807,930,000","3,463,281,000","2,429,800,000","1,980,100,000","1,713,300,000","1,282,500,000","1,233,200,000","423,500,000","263,500,000","244,200,000","250,800,000","251,900,000","238,600,000",,,,
			InterestIncomeFromSecurities,"1,511,000,000","1,319,000,000","1,160,000,000","1,092,000,000","1,029,000,000","941,000,000","939,000,000","871,000,000","907,000,000","747,000,000","1,019,000,000","1,330,000,000","1,167,000,000","1,181,000,000","952,000,000","821,363,000","695,548,000","763,390,000","965,658,000","1,041,608,000","876,393,000","686,000,000","501,100,000","409,600,000","324,100,000","314,900,000","155,000,000","108,100,000","94,400,000","70,200,000","69,500,000","59,800,000",,,,
			InterestIncomeFromDeposits,,,,,,,,,,"19,000,000","16,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,300,000",,,,,,
			OtherInterestIncome,"232,000,000","108,000,000","66,000,000","52,000,000","52,000,000","39,000,000","40,000,000","33,000,000","30,000,000","19,000,000",,"7,000,000",,,,,,,,,,,,,,"100,000","-100,000","100,000",,,"2,100,000","1,400,000",,,,
		InterestExpense,"2,395,000,000","2,096,000,000","1,438,000,000","839,000,000","745,000,000","735,000,000","768,000,000","891,000,000","1,060,000,000","1,378,000,000","1,795,000,000","2,040,000,000","2,969,000,000","4,014,000,000","3,185,000,000","1,980,969,000","1,198,472,000","1,272,787,000","1,686,584,000","2,415,053,000","2,322,046,000","1,534,100,000","1,233,800,000","1,023,400,000","778,100,000","806,700,000","255,700,000","147,000,000","145,200,000","171,900,000","191,400,000","183,500,000",,,,
			InterestExpenseForDeposit,"1,269,000,000","1,101,000,000","644,000,000","344,000,000","251,000,000","233,000,000","239,000,000","301,000,000","429,000,000","610,000,000","917,000,000","1,271,000,000","1,891,000,000","2,620,000,000","2,137,000,000","1,251,834,000","729,660,000","755,677,000","1,003,058,000","1,568,837,000","1,480,276,000","961,000,000","809,100,000","736,300,000","564,700,000","557,100,000","191,000,000","129,000,000","128,700,000","153,900,000","159,900,000","155,000,000",,,,
			InterestExpenseForShortTermDebt,,,"111,000,000","41,000,000","9,000,000","4,000,000","4,000,000","6,000,000",,,,,,,,"224,552,000","90,117,000","58,842,000","95,823,000","235,924,000","401,713,000","258,200,000","194,400,000","134,500,000","105,900,000","178,900,000","48,900,000","13,600,000","14,200,000","15,600,000","28,100,000","23,500,000",,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"1,158,000,000","995,000,000","683,000,000","454,000,000","485,000,000","498,000,000","525,000,000","584,000,000","624,000,000","757,000,000","856,000,000","711,000,000","843,000,000","985,000,000","747,000,000","504,583,000","378,695,000","458,268,000","587,703,000","610,292,000","440,057,000","314,900,000","230,300,000","152,700,000","107,400,000","70,600,000","15,700,000","4,300,000","2,200,000","2,400,000","3,300,000","4,900,000",,,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,"7,000,000","11,000,000","22,000,000","58,000,000","235,000,000","409,000,000","301,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherInterestExpense,,,,,,,,,,,,"2,658,000,000",,,,,,,,,,,,"100,000","100,000","100,000","100,000","100,000","100,000",,"100,000","100,000",,,,
	NonInterestIncome,"5,854,000,000","5,132,000,000","4,768,000,000","4,652,000,000","4,519,000,000","4,122,000,000","3,785,000,000","3,975,000,000","3,855,000,000","3,113,000,000","3,957,000,000","3,934,000,000","3,234,000,000","2,774,000,000","2,521,000,000","2,325,622,000","2,119,271,000","1,889,135,000","1,692,475,000","1,378,691,000","777,022,000","761,400,000","528,000,000","474,900,000","297,400,000","226,400,000","83,000,000","66,300,000","43,100,000","39,300,000","34,000,000","31,500,000",,,,
		TotalPremiumsEarned,"2,256,000,000","2,201,000,000","1,968,000,000","1,876,000,000","1,836,000,000","1,709,000,000","1,753,000,000","1,630,000,000","1,475,000,000","1,166,000,000","1,164,000,000","1,144,000,000","1,012,000,000",,,,,,,,,,,,,,,,,,,,,,,
		FeesAndCommissions,"3,150,000,000","2,434,000,000","1,755,000,000","1,754,000,000","1,730,000,000","1,568,000,000","1,346,000,000","1,549,000,000","1,728,000,000","1,211,000,000","1,498,000,000","1,441,000,000","1,361,000,000","1,945,000,000","1,959,000,000","1,052,590,000","1,315,660,000","814,723,000","823,648,000","628,786,000","435,610,000","262,000,000","382,200,000","180,000,000","130,400,000","108,200,000","67,200,000","45,300,000","38,700,000","30,400,000","27,300,000","24,400,000",,,,
			FeesandCommissionIncome,"3,310,000,000","2,557,000,000","1,863,000,000","1,884,000,000","1,825,000,000","1,718,000,000","1,688,000,000","1,804,000,000","2,011,000,000","1,211,000,000","1,498,000,000","1,441,000,000","1,361,000,000","1,945,000,000","1,959,000,000","1,052,590,000","1,315,660,000","814,723,000","823,648,000","628,786,000","435,610,000","262,000,000","382,200,000","180,000,000","130,400,000","108,200,000","67,200,000","45,300,000","38,700,000","30,400,000","27,300,000","24,400,000",,,,
				ServiceChargeOnDepositorAccounts,"1,714,000,000","1,287,000,000","1,070,000,000","1,121,000,000","1,127,000,000","1,086,000,000","995,000,000","1,149,000,000","1,406,000,000","563,000,000","618,000,000","690,000,000","673,000,000","611,000,000","548,000,000","542,655,000","523,319,000","437,524,000","402,476,000","349,758,000","264,084,000","206,600,000","170,800,000","148,000,000","107,600,000","89,600,000","35,200,000","25,800,000","24,000,000","21,600,000","19,100,000","16,700,000",,,,
				TrustFeesbyCommissions,"979,000,000","715,000,000","285,000,000","278,000,000","266,000,000","240,000,000","221,000,000","200,000,000","184,000,000","173,000,000","159,000,000","139,000,000","147,000,000","162,000,000","154,000,000","140,630,000","119,479,000","113,227,000","210,586,000","90,898,000","76,016,000","55,400,000","36,900,000","32,000,000","22,800,000","18,600,000","32,000,000","19,500,000",,"8,800,000","8,200,000","7,700,000",,,,
				CreditCard,"617,000,000","555,000,000","508,000,000","485,000,000","432,000,000","392,000,000","472,000,000","455,000,000","421,000,000","204,000,000","177,000,000","156,000,000","151,000,000",,,,,,,,,,,,,,,,,,,,,,,
				OtherCustomerServices,,,,,,,,,,"271,000,000","544,000,000","456,000,000","390,000,000","1,172,000,000","1,257,000,000","369,305,000","672,862,000","263,972,000","210,586,000","188,130,000","95,510,000",,"174,500,000",,,,,,"14,700,000",,,,,,,
			FeesandCommissionExpense,"160,000,000","123,000,000","108,000,000","130,000,000","95,000,000","150,000,000","342,000,000","255,000,000","283,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		DividendIncome,,,,,,,,,,,,,"37,000,000",,,,,,,,,,,,,,,,,,,,,,,
		InvestmentBankingProfit,"251,000,000","244,000,000","477,000,000","410,000,000","408,000,000","398,000,000","387,000,000","383,000,000","365,000,000","769,000,000","873,000,000","1,004,000,000","629,000,000","458,000,000","425,000,000","289,647,000","264,789,000","245,361,000","172,829,000","174,589,000","103,086,000",,,,"34,400,000",,,,,,,,,,,
		GainLossonSaleofAssets,"-118,000,000","-116,000,000","3,000,000","-1,000,000","46,000,000","-3,000,000","-3,000,000","51,000,000","-12,000,000","62,000,000","554,000,000","199,000,000","107,000,000","-3,000,000","-73,000,000","113,000","6,133,000","107,078,000","170,100,000","122,213,000","-218,531,000","-5,100,000","7,800,000","2,300,000","3,200,000","-18,600,000","900,000","13,600,000",,"4,400,000","800,000","1,300,000",,,,
			GainOnSaleOfSecurity,"-118,000,000","-116,000,000","3,000,000","-1,000,000","46,000,000","-3,000,000","-3,000,000","51,000,000","-12,000,000","62,000,000","554,000,000","199,000,000","107,000,000","-3,000,000","-73,000,000","113,000","6,133,000","107,078,000","170,100,000","122,213,000","-218,531,000","-5,100,000","7,800,000","2,300,000","3,200,000",,,,,"4,400,000","800,000","1,300,000",,,,
			GainonSaleofInvestmentProperty,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,600,000","900,000","13,600,000",,,,,,,,
		OtherNonInterestIncome,"315,000,000","369,000,000","565,000,000","613,000,000","499,000,000","450,000,000","302,000,000","362,000,000","299,000,000","-95,000,000","-132,000,000","146,000,000","88,000,000","374,000,000","210,000,000","983,272,000","532,689,000","721,973,000","525,898,000","453,103,000","456,857,000","504,500,000","138,000,000","292,600,000","129,400,000","136,800,000","14,900,000","7,400,000","4,400,000","4,500,000","5,900,000","5,800,000",,,,
CreditLossesProvision,"-1,353,000,000","-615,000,000","-566,000,000","-547,000,000","-572,000,000","-428,000,000","-251,000,000","-592,000,000","-1,057,000,000","-1,190,000,000","-2,638,000,000","-2,811,000,000","-1,445,000,000","-448,000,000","-240,000,000","-217,263,000","-249,269,000","-248,000,000","-263,700,000","-224,318,000","-127,431,000","-92,100,000","-80,300,000","-89,900,000","-53,700,000","-31,400,000","-7,200,000","-5,600,000","-14,400,000","-18,800,000","-21,300,000","-9,600,000",,,,
NonInterestExpense,"9,050,000,000","7,451,000,000","6,678,000,000","6,807,000,000","6,598,000,000","6,032,000,000","5,754,000,000","5,829,000,000","5,795,000,000","5,786,000,000","5,601,000,000","4,893,000,000","3,906,000,000","3,615,000,000","3,498,000,000","3,174,299,000","2,890,345,000","2,631,437,000","2,346,258,000","2,228,430,000","1,761,539,000","1,346,900,000","961,400,000","937,200,000","654,100,000","672,300,000","231,200,000","171,900,000","146,300,000","126,900,000","112,900,000","101,700,000",,,,
	OccupancyAndEquipment,"937,000,000","787,000,000","758,000,000","784,000,000","786,000,000","708,000,000","682,000,000","692,000,000","650,000,000","616,000,000","608,000,000","579,000,000","509,000,000","477,000,000","449,000,000","471,498,000","415,524,000","371,167,000","341,072,000","324,678,000","264,955,000","206,200,000","154,600,000","154,700,000","103,600,000","107,200,000","36,100,000","23,900,000","20,000,000","23,700,000","17,500,000","16,400,000",,,,
