Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,70.639999,70.690002,70.019997,70.300003,59.541107,169800
2015-05-13,70.389999,70.610001,70.010002,70.180000,59.439461,118500
2015-05-14,70.379997,70.949997,70.040001,70.930000,60.074688,168000
2015-05-15,71.010002,71.070000,69.949997,70.019997,59.303936,164000
2015-05-18,69.889999,71.430000,69.879997,71.419998,60.489674,277800
2015-05-19,71.410004,71.410004,70.889999,71.360001,60.438866,204100
2015-05-20,71.300003,71.980003,71.250000,71.669998,60.701431,117100
2015-05-21,71.510002,71.809998,70.980003,71.500000,60.557442,176200
2015-05-22,71.220001,71.610001,71.029999,71.190002,60.294899,94000
2015-05-26,70.879997,70.879997,70.120003,70.510002,59.718964,178600
2015-05-27,70.510002,71.580002,70.290001,71.349998,60.430405,166900
2015-05-28,70.870003,71.589996,70.870003,71.489998,60.548985,145600
2015-05-29,71.500000,71.769997,70.919998,71.180000,60.286423,280500
2015-06-01,71.470001,71.870003,71.059998,71.349998,60.430405,120300
2015-06-02,71.190002,71.910004,70.980003,71.800003,60.811531,146900
2015-06-03,71.879997,73.089996,71.750000,72.849998,61.700840,201100
2015-06-04,72.330002,72.570000,71.720001,72.089996,61.057156,149800
2015-06-05,72.339996,72.339996,71.870003,72.180000,61.133377,157100
2015-06-08,72.040001,72.470001,71.720001,71.800003,60.811531,139200
2015-06-09,71.680000,71.980003,71.470001,71.720001,60.743767,138100
2015-06-10,71.940002,72.150002,71.010002,72.050003,61.374138,242500
2015-06-11,72.169998,73.269997,72.169998,73.260002,62.404835,140900
2015-06-12,71.519997,72.900002,71.519997,72.739998,61.961884,104100
2015-06-15,72.040001,72.690002,71.720001,72.690002,61.919304,109800
2015-06-16,72.480003,73.910004,72.269997,73.559998,62.660378,192600
2015-06-17,73.940002,74.320000,73.550003,73.790001,62.856293,226800
2015-06-18,74.070000,74.449997,73.779999,74.209999,63.214077,226400
2015-06-19,74.419998,74.720001,73.809998,73.980003,63.018154,174600
2015-06-22,73.910004,74.500000,72.690002,74.260002,63.256676,167300
2015-06-23,74.459999,74.900002,74.199997,74.870003,63.776279,202800
2015-06-24,74.669998,74.790001,74.209999,74.449997,63.418503,115900
2015-06-25,74.769997,74.769997,73.970001,74.230003,63.231121,135500
2015-06-26,74.440002,74.879997,74.300003,74.570000,63.520737,309200
2015-06-29,73.860001,74.139999,73.050003,73.059998,62.234474,233700
2015-06-30,73.820000,74.559998,73.559998,74.029999,63.060745,252900
2015-07-01,74.839996,75.830002,74.830002,75.389999,64.219231,229000
2015-07-02,75.529999,75.699997,75.080002,75.440002,64.261810,133300
2015-07-06,74.930000,77.639999,74.760002,77.440002,65.965477,512300
2015-07-07,77.410004,77.410004,76.540001,77.220001,65.778069,309200
2015-07-08,77.000000,77.059998,76.110001,76.559998,65.215881,272400
2015-07-09,77.339996,77.610001,75.910004,76.309998,65.002914,166900
2015-07-10,77.099998,77.699997,76.559998,77.540001,66.050636,130500
2015-07-13,77.940002,78.449997,77.489998,77.760002,66.238060,130700
2015-07-14,78.269997,78.809998,78.040001,78.440002,66.817299,164400
2015-07-15,78.470001,78.970001,77.849998,78.970001,67.268761,191300
2015-07-16,79.160004,79.160004,78.599998,78.750000,67.081383,150800
2015-07-17,78.750000,78.760002,78.290001,78.750000,67.081383,123800
2015-07-20,78.750000,79.260002,78.470001,79.010002,67.302849,192500
2015-07-21,78.790001,79.480003,78.330002,78.809998,67.132469,197500
2015-07-22,78.660004,79.230003,78.300003,78.529999,66.893944,136300
2015-07-23,78.650002,78.730003,77.900002,78.250000,66.655449,159700
2015-07-24,78.330002,79.129997,77.830002,79.010002,67.302849,340300
2015-07-27,78.339996,78.790001,78.230003,78.370003,66.757675,131500
2015-07-28,78.519997,79.019997,77.769997,78.040001,66.476563,212800
2015-07-29,78.300003,79.389999,78.040001,79.290001,67.541359,398600
2015-07-30,81.000000,81.410004,78.949997,81.330002,69.279091,282000
2015-07-31,81.120003,81.989998,80.459999,80.849998,68.870201,406100
2015-08-03,80.980003,82.220001,80.849998,82.080002,69.917961,261200
2015-08-04,82.190002,82.239998,81.250000,81.620003,69.526123,174400
2015-08-05,81.860001,82.050003,81.330002,81.519997,69.440918,152000
2015-08-06,81.720001,82.059998,80.449997,80.930000,68.938354,125700
2015-08-07,80.820000,81.480003,80.550003,81.480003,69.406853,139500
2015-08-10,81.809998,82.300003,81.580002,81.680000,69.577232,183200
2015-08-11,80.940002,82.169998,80.769997,81.059998,69.049088,357100
2015-08-12,80.919998,81.050003,79.680000,80.489998,68.563538,270800
2015-08-13,80.400002,81.389999,80.379997,80.970001,68.972412,280500
2015-08-14,80.879997,82.099998,80.860001,82.099998,69.934975,140300
2015-08-17,81.669998,82.690002,81.459999,82.599998,70.360893,166500
2015-08-18,82.540001,82.860001,81.559998,82.820000,70.548286,145200
2015-08-19,82.389999,83.279999,81.849998,82.629997,70.386444,204200
2015-08-20,81.900002,82.440002,81.459999,81.480003,69.406853,254900
2015-08-21,81.059998,81.220001,79.690002,79.699997,67.890594,277400
2015-08-24,75.800003,77.739998,75.489998,76.389999,65.071053,377800
2015-08-25,77.860001,78.110001,75.699997,75.739998,64.517357,251100
2015-08-26,77.040001,77.919998,76.129997,77.620003,66.118805,250700
2015-08-27,78.269997,79.010002,77.790001,78.540001,66.902489,295000
2015-08-28,78.239998,78.919998,77.860001,78.309998,66.706558,186000
2015-08-31,78.209999,79.199997,77.779999,78.900002,67.209152,457800
2015-09-01,77.570000,78.260002,76.910004,77.000000,65.590668,406000
2015-09-02,77.860001,78.510002,77.230003,77.690002,66.178436,326000
2015-09-03,77.970001,78.800003,77.959999,78.290001,66.689537,178500
2015-09-04,77.330002,78.129997,76.800003,77.839996,66.306190,269300
2015-09-08,78.589996,80.400002,78.440002,80.330002,68.427246,237000
