name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"4,389,000,000","4,336,000,000","4,075,000,000","4,133,000,000","4,374,000,000","6,730,000,000","6,386,000,000","5,159,000,000","4,814,000,000","4,529,597,000","3,920,249,000","3,372,727,000","3,412,380,000","2,630,614,000","1,576,100,000","1,083,669,000","921,466,000","647,104,000","605,186,000","644,570,000","570,840,000","552,401,000","447,900,000","347,400,000","215,600,000","131,400,000","81,400,000","61,300,000"
	OperatingRevenue,"4,389,000,000","4,336,000,000","4,075,000,000","4,133,000,000","4,374,000,000","6,730,000,000","6,386,000,000","5,159,000,000","4,814,000,000","4,529,597,000","3,920,249,000","3,372,727,000","3,412,380,000","2,630,614,000","1,576,100,000","1,083,669,000","921,466,000","647,104,000","605,186,000","644,570,000","570,840,000","552,401,000","447,900,000","347,400,000","215,600,000","131,400,000","81,400,000","61,300,000"
CostOfRevenue,"1,215,000,000","1,201,000,000","1,146,000,000","1,218,000,000","1,279,000,000","1,854,000,000","2,522,000,000","2,041,000,000","1,737,000,000","1,564,401,000","1,331,003,000","1,202,902,000","1,255,077,000","980,056,000","616,739,000","356,064,000","388,334,000","258,002,000","164,707,000","185,253,000","158,032,000","197,358,000","159,300,000","130,000,000","85,000,000","52,900,000","34,500,000","25,900,000"
GrossProfit,"3,175,000,000","3,135,000,000","2,928,000,000","2,915,000,000","3,096,000,000","4,876,000,000","3,864,000,000","3,118,000,000","3,077,000,000","2,965,196,000","2,589,246,000","2,169,825,000","2,157,303,000","1,650,558,000","959,361,000","727,605,000","533,132,000","389,102,000","440,479,000","459,317,000","412,808,000","355,043,000","288,600,000","217,400,000","130,600,000","78,500,000","46,900,000","35,400,000"
OperatingExpense,"2,770,000,000","2,704,000,000","2,494,000,000","2,467,000,000","2,729,000,000","4,085,000,000","2,940,000,000","2,337,000,000","1,973,000,000","1,708,175,000","1,547,516,000","1,318,802,000","1,290,020,000","987,632,000","518,073,000","369,577,000","284,250,000","228,800,000","431,751,000","401,578,000","432,493,000","348,972,000","240,900,000","170,800,000","97,200,000","80,000,000","47,500,000","26,100,000"
	SellingGeneralAndAdministration,,"899,000,000","1,073,000,000","1,046,000,000","1,146,000,000","1,680,000,000","2,712,000,000","2,175,000,000","1,870,000,000","1,656,138,000","1,476,470,000","1,253,222,000","1,228,582,000","987,632,000","530,208,000","299,763,000","250,105,000","196,024,000","190,530,000","200,065,000","183,675,000","246,055,000","160,900,000","122,600,000","69,300,000","61,400,000","38,100,000","18,400,000"
		GeneralAndAdministrativeExpense,,"497,000,000","669,000,000","577,000,000","618,000,000","847,000,000","1,432,000,000","1,099,000,000","956,000,000","839,423,000","738,779,000","606,213,000","1,228,582,000","987,632,000","530,208,000","299,763,000","250,105,000","196,024,000","190,530,000","200,065,000","183,675,000","246,055,000","160,900,000","122,600,000","69,300,000","61,400,000","38,100,000","18,400,000"
			SalariesAndWages,,"496,000,000","514,000,000","459,000,000","483,000,000","654,000,000",,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,"1,000,000","155,000,000","118,000,000","135,000,000","193,000,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,"1,432,000,000","1,099,000,000","956,000,000",,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,"402,000,000","404,000,000","469,000,000","528,000,000","833,000,000","1,280,000,000","1,076,000,000","914,000,000","816,715,000","737,691,000","647,009,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,137,000,000","1,100,000,000","829,000,000","861,000,000","928,000,000","1,321,000,000",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,137,000,000","1,100,000,000","829,000,000","861,000,000","928,000,000","1,321,000,000",,,,"739,000,000","676,986,000","611,435,000",,,,"218,590,000",,,"139,318,000","153,174,000","136,947,000","102,917,000","80,000,000","48,200,000","27,900,000","18,600,000","9,400,000","7,700,000"
			DepreciationIncomeStatement,"849,000,000","825,000,000","144,000,000","711,000,000","744,000,000","1,075,000,000",,,,"739,000,000","676,986,000","611,435,000",,,,"218,590,000",,,"139,318,000","153,174,000","136,947,000","102,917,000","80,000,000","48,200,000","27,900,000","18,600,000","9,400,000","7,700,000"
			Amortization,"288,000,000","275,000,000","685,000,000","150,000,000","184,000,000","246,000,000",,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"288,000,000","275,000,000","685,000,000","150,000,000","184,000,000","246,000,000",,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"734,000,000","705,000,000","592,000,000","560,000,000","655,000,000","1,084,000,000","228,000,000","162,000,000","103,000,000","95,737,000","71,046,000","65,580,000","61,438,000",,"-12,135,000","-148,776,000","34,145,000","32,776,000","101,903,000","48,339,000","111,871,000",,,,,,,
OperatingIncome,"405,000,000","431,000,000","434,000,000","448,000,000","367,000,000","791,000,000","924,000,000","781,000,000","1,104,000,000","1,257,021,000","1,041,730,000","851,023,000","867,283,000","662,926,000","441,288,000","358,028,000","248,882,000","160,302,000","8,728,000","57,739,000","-19,685,000","6,071,000","47,700,000","46,600,000","33,400,000","-1,500,000","-600,000","9,300,000"
NetNonOperatingInterestIncomeExpense,"-548,000,000","-542,000,000","-350,000,000","-385,000,000","-372,000,000","-420,000,000","-404,000,000","-253,000,000","-206,000,000","-171,947,000","-200,062,000","-161,902,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"22,000,000","20,000,000","21,000,000","16,000,000","22,000,000","22,000,000","22,000,000","23,000,000","14,000,000","15,000,000","14,748,000","11,573,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"518,000,000","505,000,000","326,000,000","316,000,000","394,000,000","442,000,000","426,000,000","276,000,000","220,000,000","187,000,000","214,810,000","173,475,000",,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"52,000,000","57,000,000","45,000,000","85,000,000",,,,,,"171,947,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"159,000,000","331,000,000","45,000,000","93,000,000","77,000,000","-524,000,000","2,516,000,000","-141,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"-148,000,000","-57,000,000","-42,000,000","-4,000,000","19,000,000","-218,000,000","199,000,000","-131,000,000","11,000,000",,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"300,000,000","381,000,000","18,000,000","57,000,000","66,000,000","100,000,000","55,000,000","-9,000,000","-23,000,000",,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,"-8,000,000","2,000,000","-22,000,000","0","-391,000,000","2,250,000,000","0","9,000,000",,"-1,817,000","2,329,000",,,,,,,,,"-30,938,000",,,,,,,
		RestructuringAndMergernAcquisition,,,,,,"0","-2,250,000,000","0","-9,000,000",,,,,,,,,,,,"30,938,000",,,,,,,
		ImpairmentOfCapitalAssets,,"8,000,000","6,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,"16,257,000","7,246,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,"1,817,000","-2,329,000",,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,"0","-391,000,000",,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,"0","8,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"15,000,000","15,000,000","67,000,000","62,000,000","-8,000,000","-15,000,000","12,000,000","-1,000,000","2,000,000","-4,290,000","1,030,312,000","138,000","-117,031,000","10,172,000","10,949,000","-23,286,000","-39,082,000","182,765,000","-170,431,000","-44,854,000","484,443,000",,,,,,,
PretaxIncome,"10,000,000","218,000,000","129,000,000","155,000,000","71,000,000","-153,000,000","3,036,000,000","387,000,000","897,000,000","1,071,193,000","1,870,163,000","691,588,000","704,207,000","539,442,000","354,001,000","68,535,000","143,931,000","245,887,000","-232,971,000","-129,836,000","378,084,000","-7,516,000","74,700,000","-94,400,000","-5,400,000","-22,300,000","20,800,000","50,500,000"
TaxProvision,"86,000,000","120,000,000","116,000,000","158,000,000","180,000,000","291,000,000","256,000,000","182,000,000","393,000,000","-18,347,000","227,096,000","187,998,000","277,369,000","87,077,000","118,205,000","65,299,000","58,900,000","52,369,000","22,734,000","8,217,000","26,264,000","18,573,000","20,500,000","16,600,000","12,700,000","7,600,000","10,400,000","17,600,000"
NetIncomeCommonStockholders,"14,000,000","149,000,000","-10,000,000","85,000,000","-32,000,000","-559,000,000","2,643,000,000","229,000,000","508,000,000","924,515,000","1,652,233,000","850,788,000","291,366,000","697,142,000","168,947,000","10,043,000","68,241,000","178,823,000","-278,199,000","-138,053,000","355,388,000","-26,089,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","32,700,000"
	NetIncome,"14,000,000","149,000,000","-10,000,000","85,000,000","-32,000,000","-559,000,000","2,643,000,000","229,000,000","508,000,000","924,515,000","1,652,233,000","850,788,000","291,366,000","697,142,000","168,947,000","10,043,000","68,241,000","178,823,000","-278,199,000","-138,053,000","355,388,000","-26,089,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","32,700,000"
		NetIncomeIncludingNoncontrollingInterests,"-20,000,000","154,000,000","-26,000,000","68,000,000","-90,000,000","-444,000,000","2,801,000,000","205,000,000","504,000,000","1,129,005,000","1,654,924,000","803,932,000","404,441,000","710,984,000","159,983,000","3,911,000","85,031,000","193,518,000","-255,705,000","-137,249,000","351,820,000","-23,696,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","33,700,000"
			NetIncomeContinuousOperations,"-77,000,000","97,000,000","13,000,000","-3,000,000","-109,000,000","-444,000,000","2,780,000,000","205,000,000","504,000,000","1,089,540,000","1,643,067,000","503,590,000","313,763,000","438,523,000","244,760,000","9,368,000","68,241,000","178,823,000","-278,199,000","-138,053,000","355,388,000","-26,089,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","32,900,000"
			NetIncomeDiscontinuousOperations,"57,000,000","57,000,000","-39,000,000","71,000,000","19,000,000","0","21,000,000","0","0","39,465,000","11,857,000","300,342,000","-22,397,000","258,619,000","-75,813,000","675,000",,,,,,,,,,,,"-200,000"
		MinorityInterests,"33,000,000","-5,000,000","16,000,000","17,000,000","58,000,000","-115,000,000","-158,000,000","24,000,000","4,000,000","-204,490,000","-2,691,000","46,856,000","-113,075,000","-13,842,000","8,964,000","6,132,000","-16,790,000","-14,695,000","-22,494,000","-804,000","3,568,000","-2,393,000",,,,,,"-1,000,000"
	OtherunderPreferredStockDividend,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
DilutedNIAvailtoComStockholders,"14,000,000","149,000,000","-10,000,000","85,000,000","-32,000,000","-559,000,000","2,643,000,000","229,000,000","508,000,000","924,515,000","1,652,233,000","850,788,000","291,366,000","697,142,000","168,947,000","10,043,000","68,241,000","178,823,000","-278,199,000","-138,053,000","355,388,000","-26,089,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","32,700,000"
BasicEPS,,,"-0.1","0.85","-0.32","-5.59","26.43","2.3","5.02","8.87","15.27","7.84","4.8","6.9","1.68","0.1","0.82","2.74","-5.9","-2.115","5.461","-0.405","0.833","-1.725","-0.285","-0.473","0.173","0.578"
DilutedEPS,,,"-0.1","0.85","-0.32","-5.59","26.42","2.3","5.01","8.86","15.24","7.82","4.77","6.61","1.67","0.1","0.77","2.26","-5.9","-2.115","5.386","-0.405","0.833","-1.725","-0.285","-0.473","0.173","0.578"
BasicAverageShares,,,"100,793,000","100,384,000","100,337,000","100,144,000","99,983,000","99,801,000","101,332,000","104,000,000","108,219,000","108,566,000","107,869,000","101,035,072","100,563,690","100,430,000","83,220,732","65,312,000","65,272,000","65,250,807","65,086,824","64,860,000","65,105,105","64,347,826","63,508,772","63,280,423","60,289,855","56,623,377"
DilutedAverageShares,,,"100,793,000","100,384,000","100,337,000","100,154,000","100,017,000","99,855,000","101,425,000","104,000,000","108,396,000","108,789,000","108,646,000","105,467,776","101,165,868","100,430,000","88,624,675","80,500,000","65,272,000","65,250,807","65,994,733","64,860,000","65,105,105","64,347,826","63,508,772","63,280,423","60,289,855","56,623,377"
TotalOperatingIncomeAsReported,"548,000,000","575,000,000","655,000,000","629,000,000","482,000,000","791,000,000","924,000,000","781,000,000","1,104,000,000","1,257,021,000","1,041,730,000","851,023,000","867,283,000","662,926,000","441,288,000","202,173,000","248,882,000","160,302,000","8,728,000","57,739,000","-50,623,000","6,071,000","47,700,000","46,600,000","33,400,000","-1,500,000","-600,000","9,300,000"
RentExpenseSupplemental,,"1,000,000","155,000,000","118,000,000","135,000,000","193,000,000",,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"3,985,000,000","3,905,000,000","3,640,000,000","3,685,000,000","4,008,000,000","5,939,000,000","5,462,000,000","4,378,000,000","3,710,000,000","3,272,576,000","2,878,519,000","2,521,704,000","2,545,097,000","1,967,688,000","1,134,812,000","725,641,000","672,584,000","486,802,000","596,458,000","586,831,000","590,525,000","546,330,000","400,200,000","300,800,000","182,200,000","132,900,000","82,000,000","52,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"14,000,000","149,000,000","-10,000,000","85,000,000","-32,000,000","-559,000,000","2,643,000,000","229,000,000","508,000,000","924,515,000","1,652,233,000","850,788,000","291,366,000","697,142,000","168,947,000","10,043,000","68,241,000","178,823,000","-278,199,000","-138,053,000","355,388,000","-26,089,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","32,700,000"
NormalizedIncome,"45,800,000","139,450,000","58,200,000","29,600,000","-62,400,000","-193,600,000","368,920,000","314,150,000","495,000,000","885,050,000","1,641,972,359.643","548,750,104.308","313,763,000","438,523,000","244,760,000","9,368,000","68,241,000","178,823,000","-278,199,000","-138,053,000","384,176,859.513","-26,089,000","54,200,000","-111,000,000","-18,100,000","-29,900,000","10,400,000","32,900,000"
InterestIncome,"22,000,000","20,000,000","21,000,000","16,000,000","22,000,000","22,000,000","22,000,000","23,000,000","14,000,000","15,000,000","14,748,000","11,573,000",,,,,,,,,,,,,,,,
InterestExpense,"518,000,000","505,000,000","326,000,000","316,000,000","394,000,000","442,000,000","426,000,000","276,000,000","220,000,000","187,000,000","214,810,000","173,475,000",,,,,,,,,,,,,,,,
NetInterestIncome,"-548,000,000","-542,000,000","-350,000,000","-385,000,000","-372,000,000","-420,000,000","-404,000,000","-253,000,000","-206,000,000","-171,947,000","-200,062,000","-161,902,000",,,,,,,,,,,,,,,,
