name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"4,389,000,000","1,088,000,000","1,149,000,000","1,097,000,000","1,055,000,000","1,065,000,000","1,011,000,000","1,019,000,000","1,061,000,000","1,042,000,000","1,069,000,000","1,037,000,000","1,048,000,000","1,043,000,000","1,119,000,000","1,099,000,000","1,100,000,000","1,056,000,000","1,676,500,000","1,640,700,000","1,704,000,000","1,709,000,000","1,859,000,000","1,674,000,000","1,447,000,000","1,405,000,000","1,365,000,000","1,290,000,000","1,258,000,000","1,246,000,000","1,266,000,000","1,199,000,000","1,181,016,000","1,168,316,000","1,177,383,000","1,150,689,000","1,120,107,000","1,081,418,000","1,068,935,000","1,017,733,000","928,550,000","905,031,000","923,682,000","856,198,000","814,312,000","846,074,000","900,060,000","869,108,000","842,509,000","800,703,000","768,203,000","686,360,000","613,350,000","562,701,000","489,765,000","402,503,000","361,631,000","322,201,000","292,166,000","261,231,000","261,381,000","268,891,000","255,686,000","235,872,000","309,984,000","213,859,000","201,855,000","156,668,000","143,862,000","144,719,000","155,279,000","155,826,000","149,015,000","145,066,000","125,900,000","175,020,000","173,856,000","169,794,000","160,024,000","147,226,000","137,091,000","126,499,000","150,601,000","149,000,000","131,400,000","118,900,000","130,200,000","108,600,000","108,300,000","100,800,000","97,000,000","95,400,000","84,800,000","70,200,000","68,600,000","55,400,000","48,100,000","43,500,000","41,900,000","34,000,000","29,100,000","26,400,000","23,500,000","23,500,000","18,400,000","16,000,000","15,300,000","15,300,000","15,300,000","15,300,000"
	OperatingRevenue,"4,389,000,000","1,088,000,000","1,149,000,000","1,097,000,000","1,055,000,000","1,065,000,000","1,011,000,000","1,019,000,000","1,061,000,000","1,042,000,000","1,069,000,000","1,037,000,000","1,048,000,000","1,043,000,000","1,119,000,000","1,099,000,000","1,100,000,000","1,056,000,000","1,676,500,000","1,640,700,000","1,704,000,000","1,709,000,000","1,859,000,000","1,674,000,000","1,447,000,000","1,405,000,000","1,365,000,000","1,290,000,000","1,258,000,000","1,246,000,000","1,266,000,000","1,199,000,000","1,181,016,000","1,168,316,000","1,177,383,000","1,150,689,000","1,120,107,000","1,081,418,000","1,068,935,000","1,017,733,000","928,550,000","905,031,000","923,682,000","856,198,000","814,312,000","846,074,000","900,060,000","869,108,000","842,509,000","800,703,000","768,203,000","686,360,000","613,350,000","562,701,000","489,765,000","402,503,000","361,631,000","322,201,000","292,166,000","261,231,000","261,381,000","268,891,000","255,686,000","235,872,000","309,984,000","213,859,000","201,855,000","156,668,000","143,862,000","144,719,000","155,279,000","155,826,000","149,015,000","145,066,000","125,900,000","175,020,000","173,856,000","169,794,000","160,024,000","147,226,000","137,091,000","126,499,000","150,601,000","149,000,000","131,400,000","118,900,000","130,200,000","108,600,000","108,300,000","100,800,000","97,000,000","95,400,000","84,800,000","70,200,000","68,600,000","55,400,000","48,100,000","43,500,000","41,900,000","34,000,000","29,100,000","26,400,000","23,500,000","23,500,000","18,400,000","16,000,000","15,300,000","15,300,000","15,300,000","15,300,000"
CostOfRevenue,"1,215,000,000","305,000,000","310,000,000","302,000,000","298,000,000","300,000,000","282,000,000","288,000,000","327,000,000","307,000,000","325,000,000","304,000,000","310,000,000","300,000,000","330,000,000","320,000,000","323,000,000","306,000,000","490,400,000","435,100,000","717,000,000","710,000,000","1,367,000,000","449,000,000","537,000,000","518,000,000","578,000,000","509,000,000","486,000,000","468,000,000","909,000,000","281,000,000","433,325,000","421,271,000","405,557,000","398,973,000","391,578,000","364,769,000","355,649,000","339,906,000","318,144,000","188,867,000","336,933,000","304,923,000","169,600,000","193,341,000","328,181,000","329,130,000","310,031,000","202,571,000","491,597,000","173,440,000","235,838,000","150,678,000","311,998,000","109,773,000","136,845,000","125,554,000","135,975,000","76,982,000","116,098,000","73,359,000","209,629,000","65,216,000","155,594,000","56,074,000","150,431,000","36,900,000","34,125,000","36,546,000","40,809,000","40,410,000","43,280,000","40,208,000","34,695,000","50,704,000","51,182,000","48,672,000","43,369,000","40,885,000","39,134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"3,175,000,000","783,000,000","840,000,000","795,000,000","757,000,000","765,000,000","728,000,000","730,000,000","734,000,000","736,000,000","744,000,000","733,000,000","738,000,000","743,000,000","790,000,000","779,000,000","777,000,000","750,000,000","1,186,100,000","1,205,600,000","987,000,000","999,000,000","492,000,000","1,225,000,000","910,000,000","887,000,000","787,000,000","781,000,000","772,000,000","778,000,000","357,000,000","918,000,000","747,691,000","747,045,000","771,826,000","751,716,000","728,529,000","716,649,000","713,286,000","677,827,000","610,406,000","716,164,000","586,749,000","551,275,000","644,712,000","652,733,000","571,879,000","539,978,000","532,478,000","598,132,000","276,606,000","512,920,000","377,512,000","412,023,000","177,767,000","292,730,000","224,786,000","196,647,000","156,191,000","184,249,000","145,283,000","195,532,000","46,057,000","170,656,000","154,390,000","157,785,000","51,424,000","119,768,000","109,737,000","108,173,000","114,470,000","115,416,000","105,735,000","104,858,000","91,205,000","124,316,000","122,674,000","121,122,000","116,655,000","106,341,000","97,957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"2,770,000,000","694,000,000","725,000,000","663,000,000","692,000,000","646,000,000","727,000,000","563,000,000","591,000,000","614,000,000","628,000,000","608,000,000","646,000,000","622,000,000","733,000,000","672,000,000","680,000,000","645,000,000","1,072,000,000","978,600,000","764,000,000","772,000,000","269,000,000","986,000,000","686,000,000","651,000,000","640,000,000","585,000,000","572,000,000","540,000,000","92,000,000","655,000,000","469,573,000","451,615,000","438,945,000","430,920,000","435,815,000","406,019,000","431,857,000","411,565,000","354,474,000","475,508,000","361,911,000","334,654,000","434,405,000","439,784,000","325,334,000","332,203,000","328,972,000","390,854,000","122,699,000","318,832,000","217,515,000","257,089,000","56,566,000","180,174,000","125,349,000","109,479,000","-11,880,000","126,048,000","86,721,000","156,628,000","-12,834,000","101,799,000","68,855,000","95,718,000","10,893,000","75,001,000","69,417,000","73,489,000","172,652,000","93,107,000","83,593,000","82,399,000","122,003,000","95,706,000","97,617,000","91,936,000","69,708,000","200,488,000","87,719,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,"717,000,000","721,000,000",,,"622,000,000","604,000,000","592,000,000","547,000,000","533,000,000","503,000,000","585,000,000","450,000,000","451,913,000","434,877,000","432,992,000","425,182,000","410,022,000","387,942,000","433,031,000","378,775,000","332,216,000","309,506,000","342,701,000","319,421,000","287,564,000","293,523,000","263,896,000","332,203,000","326,793,000","279,427,000","372,923,000","231,940,000","205,605,000","178,799,000","216,058,000","117,916,000","130,099,000","110,893,000","85,562,000","75,078,000","86,721,000","69,720,000","74,777,000","59,598,000","106,301,000","58,309,000","69,081,000","42,735,000","41,450,000","42,602,000","63,617,000","44,327,000","41,395,000","41,191,000","39,524,000","53,617,000","60,154,000","53,039,000","27,040,000","58,483,000","50,611,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,"406,000,000","407,000,000",,,"310,000,000","308,000,000","301,000,000","282,000,000","259,000,000","257,000,000","333,000,000","218,000,000","232,671,000","224,150,000","222,624,000","219,031,000","204,186,000","193,582,000","223,034,000","185,799,000","164,735,000","142,269,000","167,715,000","157,708,000","130,745,000","130,274,000","263,896,000","332,203,000","326,793,000","279,427,000","372,923,000","231,940,000","205,605,000","178,799,000","216,058,000","117,916,000","130,099,000","110,893,000","85,562,000","75,078,000","86,721,000","69,720,000","74,777,000","59,598,000","106,301,000","58,309,000","69,081,000","42,735,000","41,450,000","42,602,000","63,617,000","44,327,000","41,395,000","41,191,000","39,524,000","53,617,000","60,154,000","53,039,000","27,040,000","58,483,000","50,611,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,"406,000,000","407,000,000",,,"310,000,000","308,000,000","301,000,000","282,000,000","259,000,000","257,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,"311,000,000","314,000,000",,,"312,000,000","296,000,000","291,000,000","265,000,000","274,000,000","246,000,000","252,000,000","232,000,000","219,242,000","210,727,000","210,368,000","206,151,000","205,836,000","194,360,000","209,997,000","192,976,000","167,481,000","167,237,000","174,986,000","161,713,000","156,819,000","163,249,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,137,000,000","296,000,000","303,000,000","270,000,000","271,000,000","263,000,000","210,000,000","203,000,000","210,000,000","207,000,000","213,000,000","216,000,000","224,000,000","219,000,000","241,000,000","235,000,000","236,000,000","217,000,000","320,800,000","323,100,000",,,,"309,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
