name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalRevenue,"25,434,000,000","25,434,000,000","18,985,000,000","10,981,000,000","4,361,000,000"
	OperatingRevenue,"25,434,000,000","25,434,000,000","18,985,000,000","10,981,000,000","4,361,000,000"
CostOfRevenue,"16,761,000,000","16,761,000,000","11,708,000,000","7,171,000,000","3,129,000,000"
GrossProfit,"8,673,000,000","8,673,000,000","7,277,000,000","3,810,000,000","1,232,000,000"
OperatingExpense,"4,612,000,000","4,612,000,000","3,920,000,000","2,404,000,000","1,139,000,000"
	SellingGeneralAndAdministration,"4,744,000,000","4,744,000,000","3,972,000,000","2,434,000,000","1,148,000,000"
		GeneralAndAdministrativeExpense,"2,703,000,000","2,703,000,000","2,258,000,000","1,521,000,000","783,000,000"
			OtherGandA,"2,703,000,000","2,703,000,000","2,258,000,000","1,521,000,000","783,000,000"
		SellingAndMarketingExpense,"2,041,000,000","2,041,000,000","1,714,000,000","913,000,000","365,000,000"
	OtherOperatingExpenses,"-132,000,000","-132,000,000","-52,000,000","-30,000,000","-9,000,000"
OperatingIncome,"4,061,000,000","4,061,000,000","3,357,000,000","1,406,000,000","93,000,000"
NetNonOperatingInterestIncomeExpense,"551,000,000","551,000,000","282,000,000","93,000,000","32,000,000"
	InterestIncomeNonOperating,"615,000,000","615,000,000","282,000,000","93,000,000","32,000,000"
	InterestExpenseNonOperating,"64,000,000","64,000,000",,,
OtherIncomeExpense,"-72,000,000","-72,000,000","-1,636,000,000","98,000,000","-11,000,000"
	GainOnSaleOfSecurity,"-37,000,000","-37,000,000","-96,000,000","18,000,000","-23,000,000"
	EarningsFromEquityInterest,"-18,000,000","-18,000,000","-1,000,000","4,000,000","11,000,000"
	SpecialIncomeCharges,"-43,000,000","-43,000,000","-2,000,000","70,000,000","0"
		RestructuringAndMergernAcquisition,"0","0",,"-72,000,000","0"
		WriteOff,"43,000,000","43,000,000","2,000,000","2,000,000","0"
	OtherNonOperatingIncomeExpenses,"26,000,000","26,000,000","-1,537,000,000","6,000,000","1,000,000"
PretaxIncome,"4,540,000,000","4,540,000,000","2,003,000,000","1,597,000,000","114,000,000"
TaxProvision,"563,000,000","563,000,000","171,000,000","278,000,000","29,000,000"
NetIncomeCommonStockholders,"3,982,000,000","3,982,000,000","1,833,000,000","1,326,000,000","82,000,000"
	NetIncome,"3,982,000,000","3,982,000,000","1,833,000,000","1,326,000,000","82,000,000"
		NetIncomeIncludingNoncontrollingInterests,"3,977,000,000","3,977,000,000","1,832,000,000","1,319,000,000","85,000,000"
			NetIncomeContinuousOperations,"3,977,000,000","3,977,000,000","1,832,000,000","1,319,000,000","85,000,000"
		MinorityInterests,"5,000,000","5,000,000","1,000,000","7,000,000","-3,000,000"
DilutedNIAvailtoComStockholders,"3,982,000,000","3,982,000,000","1,833,000,000","1,326,000,000","82,000,000"
BasicEPS,,,"1.192","0.81","0.05"
DilutedEPS,,,"1.16","0.81","0.05"
BasicAverageShares,,,"1,538,157,335","1,635,450,566","1,635,450,566"
DilutedAverageShares,,,"1,579,610,444","1,635,450,566","1,635,450,566"
TotalOperatingIncomeAsReported,"4,622,000,000","4,622,000,000","2,039,000,000","1,593,000,000","103,000,000"
TotalExpenses,"21,373,000,000","21,373,000,000","15,628,000,000","9,575,000,000","4,268,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"3,982,000,000","3,982,000,000","1,833,000,000","1,326,000,000","82,000,000"
NormalizedIncome,"4,052,080,000","4,052,080,000","1,922,633,549.675","1,253,318,722.605","99,149,122.807"
InterestIncome,"615,000,000","615,000,000","282,000,000","93,000,000","32,000,000"
InterestExpense,"64,000,000","64,000,000",,,
NetInterestIncome,"551,000,000","551,000,000","282,000,000","93,000,000","32,000,000"
EBIT,"4,604,000,000","4,604,000,000","3,357,000,000","1,406,000,000","93,000,000"
EBITDA,"5,187,000,000"
ReconciledCostOfRevenue,"16,761,000,000","16,761,000,000","11,708,000,000","7,171,000,000","3,129,000,000"
ReconciledDepreciation,"583,000,000","583,000,000","369,000,000","379,000,000","236,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"3,982,000,000","3,982,000,000","1,833,000,000","1,326,000,000","82,000,000"
TotalUnusualItemsExcludingGoodwill,"-80,000,000","-80,000,000","-98,000,000","88,000,000","-23,000,000"
TotalUnusualItems,"-80,000,000","-80,000,000","-98,000,000","88,000,000","-23,000,000"
NormalizedEBITDA,"5,267,000,000","5,267,000,000","3,824,000,000","1,697,000,000","352,000,000"
TaxRateForCalcs,"0.124","0.124","0.085","0.174","0.254"
TaxEffectOfUnusualItems,"-9,920,000","-9,920,000","-8,366,450.325","15,318,722.605","-5,850,877.193"
