name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"5,245,686,000","5,264,441,000","4,325,893,000","4,220,926,000","4,137,290,000","4,133,113,000","3,438,558,000","2,756,813,000","1,671,067,000"
	CurrentAssets,"4,703,867,000","4,738,900,000","3,939,951,000","3,780,410,000","3,706,021,000","3,154,016,000","3,009,485,000","2,367,688,000","1,617,458,000"
		CashCashEquivalentsAndShortTermInvestments,"326,437,000","329,645,000","573,925,000","300,179,000","126,188,000","234,217,000","389,181,000","300,567,000","279,322,000"
			CashAndCashEquivalents,"326,437,000","329,645,000","573,925,000","300,179,000","126,188,000","234,217,000","389,181,000","300,567,000","279,322,000"
		Receivables,"70,447,000","86,587,000","94,488,000","115,246,000","120,729,000","85,274,000","94,824,000","205,274,000","231,875,000"
			LoansReceivable,,,,,,,"33,395,000","48,685,000","55,895,000"
			TaxesReceivable,,,,,,,"5,216,000","107,638,000","122,871,000"
			OtherReceivables,"70,447,000","86,587,000","94,488,000","115,246,000","120,729,000","85,274,000","56,213,000","48,951,000","53,109,000"
		Inventory,"3,986,544,000","3,980,565,000","2,959,236,000","3,017,219,000","3,126,787,000","2,518,321,000","2,262,339,000","1,633,050,000","1,003,482,000"
			FinishedGoods,"3,986,544,000","3,980,565,000","2,959,236,000","3,017,219,000","3,126,787,000","2,518,321,000","2,262,339,000","1,633,050,000","1,003,482,000"
		PrepaidAssets,"88,484,000","127,846,000","103,207,000","96,605,000","115,434,000","110,244,000","117,422,000","93,746,000","51,397,000"
		RestrictedCash,"2,135,000","2,214,000","1,578,000","1,633,000","1,280,000","1,310,000","24,814,000","13,683,000","5,000,000"
		AssetsHeldForSaleCurrent,"190,880,000","181,897,000","187,038,000","233,184,000","201,733,000","191,140,000","95,718,000","84,963,000","33,961,000"
		HedgingAssetsCurrent,"2,099,000","1,838,000","1,584,000","2,291,000",,,,,
		OtherCurrentAssets,"36,841,000","28,308,000","18,895,000","14,053,000","13,870,000","13,510,000","25,187,000","36,405,000","12,421,000"
	TotalNonCurrentAssets,"541,819,000","525,541,000","385,942,000","440,516,000","431,269,000","979,097,000","429,073,000","389,125,000","53,609,000"
		NetPPE,"122,529,000","86,736,000","7,112,000","6,586,000","7,387,000","5,337,000","7,515,000","6,423,000","6,236,000"
			GrossPPE,"122,529,000",,,,,,"14,588,000",,
				OtherProperties,"122,529,000",,,,,,,,
			AccumulatedDepreciation,,,,,,,"-7,073,000",,
		GoodwillAndOtherIntangibleAssets,"150,065,000","153,188,000","68,328,000","69,387,000","61,946,000","28,834,000","37,088,000","33,480,000","9,733,000"
			Goodwill,"149,428,000","152,116,000","66,198,000","66,198,000","57,698,000","23,375,000","23,375,000","15,526,000","0"
			OtherIntangibleAssets,"637,000","1,072,000","2,130,000","3,189,000","4,248,000","5,459,000","13,713,000","17,954,000","9,733,000"
