name,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994,10/31/1993,10/31/1992,10/31/1991,10/31/1990,10/31/1989,10/31/1988,10/31/1987,10/31/1986,10/31/1985
TotalRevenue,"7,192,216,000","7,223,966,000","7,143,258,000","5,815,058,000","5,169,508,000","4,171,248,000","3,911,602,000","2,674,299,000","1,882,781,000","1,475,881,000","1,494,771,000","1,755,310,000","3,158,213,000","4,646,979,000","6,123,453,000","5,793,425,000","3,893,093,000","2,775,241,000","2,328,972,000","2,229,605,000","1,804,910,000","1,455,500,000","1,206,300,000","971,700,000","760,700,000","646,300,000","501,800,000","392,600,000","279,800,000","176,000,000","198,300,000","176,900,000","200,200,000","137,200,000","126,600,000","76,500,000"
	OperatingRevenue,"7,192,216,000","7,223,966,000","7,143,258,000","5,815,058,000","5,169,508,000","4,171,248,000","3,911,602,000","2,674,299,000","1,882,781,000","1,475,881,000","1,494,771,000","1,755,310,000","3,158,213,000","4,646,979,000","6,123,453,000","5,793,425,000","3,861,942,000","2,758,443,000","2,315,444,000","2,207,999,000","1,804,910,000","1,455,500,000","1,206,300,000","971,700,000","760,700,000","646,300,000","501,800,000","392,600,000","279,800,000","176,000,000","198,300,000","176,900,000","200,200,000","137,200,000","126,600,000","76,500,000"
CostOfRevenue,"5,824,302,000","5,808,618,000","5,673,007,000","4,562,303,000","4,144,065,000","3,269,270,000","3,081,837,000","2,133,300,000","1,532,095,000","1,260,770,000","1,383,075,000","1,951,312,000","3,036,757,000","4,022,930,000","4,402,465,000","3,927,113,000","2,763,049,000","1,995,314,000","1,681,002,000","1,623,740,000","1,358,341,000","1,124,700,000","928,300,000","744,200,000","577,700,000","482,100,000","377,500,000","288,200,000","201,000,000","132,300,000","145,800,000","119,900,000",,,,
GrossProfit,"1,367,914,000","1,415,348,000","1,470,251,000","1,252,755,000","1,025,443,000","901,978,000","829,765,000","540,999,000","350,686,000","215,111,000","111,696,000","-196,002,000","121,456,000","624,049,000","1,720,988,000","1,866,312,000","1,130,044,000","779,927,000","647,970,000","605,865,000","446,569,000","330,800,000","278,000,000","227,500,000","183,000,000","164,200,000","124,300,000","104,400,000","78,800,000","43,700,000","52,500,000","57,000,000",,,,
OperatingExpense,"723,817,000","680,980,000","649,406,000","585,742,000","512,043,000","426,354,000","418,796,000","327,486,000","287,257,000","261,355,000","263,224,000","321,158,000","521,988,000","628,149,000","695,397,000","608,069,000","381,080,000","288,337,000","236,123,000","267,976,000","178,886,000","136,800,000","112,300,000","90,400,000","73,000,000","62,600,000","51,500,000","46,000,000","35,600,000","28,900,000","29,900,000","30,600,000","153,900,000","100,300,000","98,700,000","68,600,000"
	SellingGeneralAndAdministration,"764,063,000","734,548,000","684,035,000","607,819,000","535,382,000","455,108,000","432,516,000","339,932,000","287,257,000","261,355,000","263,224,000","321,158,000","429,894,000","516,728,000","573,404,000","482,786,000","381,080,000","288,337,000","236,123,000","209,729,000","170,358,000","130,200,000","106,700,000","86,300,000","69,700,000","59,700,000","48,800,000","43,300,000","33,000,000","26,400,000","27,300,000","28,000,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"8,528,000","6,600,000","5,600,000","4,100,000","3,300,000","2,900,000","2,700,000","2,700,000","2,600,000","2,500,000","2,600,000","2,600,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"8,528,000","6,600,000","5,600,000","4,100,000","3,300,000","2,900,000","2,700,000","2,700,000","2,600,000","2,500,000","2,600,000","2,600,000",,,,
	OtherOperatingExpenses,"-40,246,000","-53,568,000","-34,629,000","-22,077,000","-23,339,000","-28,754,000","-13,720,000","-12,446,000",,,,,"92,094,000","111,421,000","121,993,000","125,283,000",,,,"58,247,000",,,,,,,,,,,,,,,,
OperatingIncome,"644,097,000","734,368,000","820,845,000","667,013,000","513,400,000","475,624,000","410,969,000","213,513,000","63,429,000","-46,244,000","-151,528,000","-517,160,000","-400,532,000","-4,100,000","1,025,591,000","1,258,243,000","748,964,000","491,590,000","411,847,000","337,889,000","267,683,000","194,000,000","165,700,000","137,100,000","110,000,000","101,600,000","72,800,000","58,400,000","43,200,000","14,800,000","22,600,000","26,400,000","46,300,000","36,900,000","27,900,000","7,900,000"
