name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"395,466,000","96,594,000","113,225,000","98,445,000","87,202,000","191,188,000","93,084,000","73,042,000","73,720,000","59,882,000","38,150,691","42,351,697","27,224,072","24,104,540","17,936,872","14,141,129","16,065,672","11,767,724","15,115,614","18,040,441","11,662,539","34,732,660","13,291,018","14,752,719","15,579,884","11,578,609","12,500,601","14,933,866","9,950,824","6,723,783","7,816,061","6,857,629","8,521,245","9,392,521","11,043,258","8,344,463","8,566,282","5,715,768","5,460,446","3,885,821","6,474,516","4,245,182","3,634,794","3,358,264","4,242,824","1,848,978","2,995,442","5,992,923","5,352,963","4,954,938","4,117,390","5,008,768","3,483,887","2,855,066","9,147,413","4,802,539","5,012,478","3,498,768","5,552,051","4,101,361","4,065,220","2,579,261","2,672,496","21,630,083","2,600,247","2,237,784","2,899,080","2,654,935","2,584,117","1,815,197","4,005,369","1,849,690","1,744,395","1,522,644","1,983,122","7,889,591","1,908,926","1,647,729","2,254,050","1,898,689","1,571,735","2,074,525","1,824,237","1,200,000","1,400,000","1,600,000","3,679,670","1,400,000","1,800,000","3,500,000","1,675,037","4,100,000","3,700,000","3,600,000","2,681,087","1,800,000","2,700,000","1,400,000","1,540,285","1,100,000","2,200,000","1,700,000","2,200,000","2,700,000","1,900,000","2,200,000","1,200,000","1,100,000","1,600,000","1,500,000","1,400,000","900,000","1,100,000","900,000","1,200,000","900,000","1,200,000","1,600,000","2,000,000","1,200,000","1,200,000","1,200,000","1,800,000","1,300,000","1,200,000","1,100,000","1,200,000","1,100,000","1,300,000","1,300,000","1,000,000","1,300,000","1,500,000","1,500,000","1,400,000","1,600,000","1,600,000","1,600,000","5,000,000","2,400,000"
	OperatingRevenue,"395,366,000","96,494,000","113,225,000","98,445,000","87,202,000","191,188,000","93,084,000","73,042,000","73,720,000","59,882,000","38,150,691","42,351,697","27,224,072","24,104,540","17,936,872","14,141,129","16,065,672","11,767,724","15,115,614","18,040,441","11,662,539","34,732,660","13,291,018","14,752,719","15,579,884","11,578,609","12,500,601","14,933,866","9,950,824","6,723,783","7,816,061","6,857,629","8,521,245","9,392,521","11,043,258","8,344,463","8,566,282","5,466,756","5,199,682","3,616,747","6,200,282","3,967,235","1,895,304","3,358,264","3,934,130","1,536,559","1,634,078","5,992,923","5,352,963","5,035,527","4,204,382","5,084,832","3,581,661","2,964,236","9,708,697","4,802,539","5,012,478","3,498,768","5,552,051","4,101,361","4,065,220","2,579,261","2,672,496","21,630,083","2,600,247","2,237,784","2,899,080","2,654,935","2,584,117","1,815,197","4,005,369","1,849,690","1,744,395","1,522,644","1,983,122","7,889,591","1,908,926","1,647,729","2,254,050","1,898,689","1,571,735","2,074,525","1,900,000","1,200,000","1,400,000","1,600,000","3,700,000","1,400,000","1,800,000","3,500,000","1,700,000","4,100,000","3,700,000","3,600,000","2,700,000","1,800,000","2,700,000","1,400,000","1,500,000","1,100,000","2,200,000","1,700,000","2,200,000","2,700,000","1,900,000","2,200,000","1,200,000","1,100,000","1,600,000","1,500,000","1,400,000","900,000","1,100,000","900,000","1,200,000","900,000","1,200,000","1,600,000","2,000,000","1,200,000","1,200,000","1,200,000","1,800,000","1,300,000","1,200,000","1,100,000","1,200,000","1,100,000","1,300,000","1,300,000","1,000,000","1,300,000","1,500,000","1,500,000","1,400,000","1,600,000","1,600,000","1,600,000","5,000,000","2,400,000"
CostOfRevenue,"34,047,000","10,115,000","9,005,000","7,753,000","7,174,000","5,782,000","4,631,000","4,413,000","3,071,000","1,636,000",,,,,,,,,,,,,,,,,,,,,"16,504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"361,419,000","86,479,000","104,220,000","90,692,000","80,028,000","185,406,000","88,453,000","68,629,000","70,649,000","58,246,000",,,,,,,,,,,,,,,,,,,,,"7,799,557","6,857,629","8,521,245","9,392,521","11,043,258","8,344,463","8,566,282","5,715,768","5,460,446","3,885,821","6,474,516","4,245,182","3,634,794","3,358,264","4,242,824","1,848,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"66,457,000","15,937,000","16,060,000","16,874,000","17,586,000","10,253,000","10,564,000","5,670,000","5,144,000","3,765,000","3,415,006","3,280,331","2,492,188","2,000,475","1,822,006","1,048,953","968,046","971,252","1,740,808","814,523","720,765","983,742","1,074,791","877,921","870,352","942,405","1,342,122","832,694","904,255","883,144","1,041,781","673,298","750,629","801,793","1,229,802","712,265","786,436","834,615","1,339,994","682,696","886,564","758,237","1,126,126","563,715","751,136","652,547","1,079,623","902,508","881,348","856,567","1,016,444","1,426,288","767,591","747,074","4,134,041","624,406","701,256","683,764","1,183,041","757,049","648,638","646,185","1,568,599","679,290","530,426","589,860","722,279","514,072","543,421","578,314","654,374","421,708","442,434","509,962","441,205","1,919,051","463,922","561,169","464,512","489,693","421,166","1,080,871","2,024,815","-100,000","-100,000","-100,000","2,038,132","-100,000","-100,000","-200,000","5,243,920","-100,000","-1,800,000","-200,000","3,742,527","-200,000","-1,100,000","-100,000","2,088,567","-100,000","-100,000","-100,000","-900,000","-100,000","-100,000","-500,000","-400,000","-100,000","-200,000","-200,000","-300,000","-200,000","-100,000",,"-800,000","-200,000","0","-100,000","-700,000","-100,000","-200,000","-200,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"66,757,000","15,937,000","16,167,000","16,959,000","17,694,000","10,389,000","11,074,000","5,664,000","5,153,000","3,744,000","2,589,138","2,608,455","1,854,463","1,464,944","899,620","676,332","698,423","749,105","936,615","590,984","503,799","607,464","682,663","444,173","422,649","515,728","878,546","493,338","520,140","641,557","800,870","427,963","530,733","558,178","955,617","470,305","551,968","605,157","1,127,449","497,505","697,983","553,783","901,413","406,512","589,081","542,929","1,126,826","587,937","430,084","639,777","-1,167,015","573,478","580,597","592,630","-876,252","462,955","480,263","488,401","-1,081,111","590,845","487,621","489,876","-902,357","522,003","378,920","444,080","-800,232","362,279","399,451","444,115","-591,915","306,940","325,064","405,059","-434,921","257,284","322,183","395,377","-520,499","342,782","285,632","361,030","-486,384","300,000","300,000","400,000","-501,308","300,000","300,000","300,000","-408,605","300,000","300,000","300,000","-369,417","200,000","200,000","300,000","-444,028","300,000","300,000","300,000","-500,000","300,000","300,000",,"0","200,000","300,000","300,000","100,000","200,000","300,000",,"-400,000","200,000","400,000","300,000","-300,000","300,000","200,000","200,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"66,757,000","15,937,000","16,167,000","16,959,000","17,694,000","10,389,000","11,074,000","5,664,000","5,153,000","3,744,000","2,589,138","2,608,455","1,854,463","1,464,944","899,620","676,332","698,423","749,105","936,615","590,984","503,799","607,464","682,663","444,173","422,649","515,728","878,546","493,338","520,140","641,557",,,,,,,,,,,,,,,,,,,"430,084","639,777","-1,167,015","573,478","580,597","592,630","-876,252","462,955","480,263","488,401","-1,081,111","590,845","487,621","489,876","-902,357","522,003","378,920","444,080","-800,232","362,279","399,451","444,115","-591,915","306,940","325,064","405,059","-434,921","257,284","322,183","395,377","-520,499","342,782","285,632","361,030","-486,384","300,000","300,000","400,000","-501,308","300,000","300,000","300,000","-408,605","300,000","300,000","300,000","-369,417","200,000","200,000","300,000","-444,028","300,000","300,000","300,000","-500,000","300,000","300,000",,"0","200,000","300,000","300,000","100,000","200,000","300,000",,"-400,000","200,000","400,000","300,000","-300,000","300,000","200,000","200,000",,,,,,,,,,,,,,,,,,
			SalariesAndWages,"39,197,000","10,620,000","12,299,000","8,537,000","7,741,000","6,464,000","8,885,000","3,703,000","3,556,000","2,289,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"430,084","639,777","-855,862","573,478","580,597","592,630","-539,247","462,955","480,263","488,401","-720,658","590,845","487,621","489,876","-526,246","522,003","378,920","444,080","-548,370","362,279","399,451","444,115","-356,174","306,940","325,064","405,059","-346,736","257,284","322,183","395,377","-359,928","342,782","285,632","361,030","-300,000","300,000","300,000","400,000","-300,000","300,000","300,000","300,000","-400,000","300,000","300,000","300,000","-400,000","200,000","200,000","300,000","-500,000","300,000","300,000","300,000","-500,000","300,000","300,000",,"0","200,000","300,000","300,000","100,000","200,000","300,000",,"-400,000","200,000","400,000","300,000","-300,000","300,000","200,000","200,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"27,560,000","5,317,000","3,868,000","8,422,000","9,953,000","3,925,000","2,189,000","1,961,000","1,597,000","1,455,000","-642,862","2,608,455","1,854,463","1,464,944","-341,182","676,332","698,423","749,105","-258,983","590,984","503,799","607,464","-235,063","444,173","422,649","515,728","-310,595","493,338","520,140","641,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,800","9,899",,,"8,700","15,534",,,"7,200","8,091",,,"6,901","12,074",,,"8,700","23,929",,,"9,000","19,365",,,"10,201","17,016",,,"11,700","12,013",,,"10,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
