name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"110,122,000,000","104,233,000,000","103,483,000,000","100,245,000,000","100,184,000,000","103,078,000,000","103,812,000,000","104,938,000,000","104,602,000,000","105,181,000,000","109,560,000,000","109,751,000,000","115,224,000,000","113,761,000,000","113,187,000,000","111,815,000,000","39,563,000,000","39,920,000,000","38,321,000,000","41,075,000,000","38,873,000,000","38,322,708,000","21,500,657,000","20,680,976,000","19,656,502,000","17,495,820,000","17,149,200,000","13,596,800,000","12,982,300,000","12,204,000,000","11,030,100,000","10,382,200,000","8,398,900,000","7,627,100,000","6,897,600,000"
	TotalInvestments,"77,884,000,000","72,278,000,000","72,502,000,000","70,488,000,000","70,470,000,000","73,261,000,000","73,160,000,000","73,838,000,000","72,701,000,000","72,722,000,000","74,965,000,000","71,565,000,000","74,818,000,000","72,268,000,000","68,287,000,000","64,710,000,000","23,180,000,000","22,733,000,000","22,178,000,000","23,200,000,000","22,320,000,000","23,297,256,000","13,925,076,000","13,042,173,000","12,023,889,000","10,257,807,000",,,,,,,,,
		EquityInvestments,"68,559,000,000","63,832,000,000","63,147,000,000","61,247,000,000","61,363,000,000","64,373,000,000","64,899,000,000","66,038,000,000","64,791,000,000","63,339,000,000","66,298,000,000","61,654,000,000","65,408,000,000","63,139,000,000","59,562,000,000","55,047,000,000","171,000,000","394,000,000","1,410,000,000","21,936,000,000","20,947,000,000","20,946,446,000","13,483,713,000","12,752,380,000","11,084,361,000","9,359,726,000",,,,,,,,,
		NetLoan,,,,,,,,,,,,,,,"145,000,000","191,000,000","1,584,000,000","806,000,000","775,000,000",,,,,,,,,,,,,,,,
			MortgageAndConsumerloans,,,,,,,,,,,,,,,"145,000,000","191,000,000",,,,,,,,,,,,,,,,,,,
		SecurityAgreeToBeResell,,,,,,,,,,,,,,,,,,,,,,"1,368,322,000",,,,,,,,,,,,,
		OtherShortTermInvestments,"4,943,000,000","3,985,000,000","4,895,000,000","4,865,000,000","4,671,000,000","4,364,000,000","3,882,000,000","3,483,000,000","3,594,000,000","5,616,000,000","4,852,000,000","5,222,000,000","5,186,000,000","4,938,000,000","4,802,000,000","5,142,000,000","2,709,000,000","2,152,000,000","2,153,000,000","1,264,000,000","1,373,000,000","982,488,000","441,363,000","289,793,000","939,528,000","898,081,000",,,,,,,,,
		OtherInvestedAssets,"4,382,000,000","4,461,000,000","4,460,000,000","4,376,000,000","4,436,000,000","4,524,000,000","4,379,000,000","4,317,000,000","4,316,000,000","3,767,000,000","3,815,000,000","4,689,000,000","4,224,000,000","4,191,000,000","3,778,000,000","4,330,000,000","18,716,000,000","19,381,000,000","17,840,000,000",,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"494,000,000","373,000,000","344,000,000","307,000,000","380,000,000","374,000,000","294,000,000","330,000,000","214,000,000","200,000,000","255,000,000","350,000,000","271,000,000","459,000,000","337,000,000","274,000,000","150,000,000","315,000,000","151,000,000","83,000,000","165,000,000","119,841,000","22,660,000","37,214,000","34,440,000","46,664,000",,,,,,,,,
	ReinsuranceRecoverable,,,,,,,,,"12,010,000,000","12,332,000,000","13,732,000,000","15,173,000,000","16,764,000,000","19,063,000,000","20,896,000,000","20,576,000,000","7,775,000,000","9,105,000,000","7,866,000,000",,,,,,,,,,,,,,,,
