name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"31,818,000,000","31,581,000,000","30,282,000,000","28,902,000,000","27,625,000,000","26,800,000,000","27,162,000,000","26,191,000,000","25,740,000,000","25,446,000,000","25,112,000,000","24,680,000,000","24,477,000,000","26,017,000,000","25,090,000,000","24,365,000,000","22,934,000,000","8,854,000,000","8,918,000,000","8,943,000,000","8,608,000,000","7,569,000,000","9,108,401,000","6,219,273,000","5,734,156,000","5,409,630,000","4,701,285,000","4,460,200,000","4,498,700,000","4,351,700,000","4,005,200,000","3,788,600,000","3,634,100,000","3,365,800,000","3,181,600,000","2,671,600,000"
	TotalPremiumsEarned,"28,646,000,000","28,272,000,000","27,059,000,000","25,683,000,000","24,534,000,000","23,874,000,000","23,713,000,000","22,637,000,000","22,357,000,000","22,090,000,000","21,432,000,000","21,418,000,000","21,579,000,000","21,470,000,000","20,760,000,000","20,341,000,000","19,038,000,000","7,039,000,000","7,390,000,000","7,296,000,000","5,898,000,000","5,290,000,000","6,944,575,000","4,616,456,000","4,448,248,000","3,971,329,000","3,412,081,000","3,178,300,000","3,143,200,000","3,146,200,000","2,894,000,000","2,668,300,000",,,,
		NetPremiumsWritten,,"29,151,000,000","27,708,000,000","26,219,000,000","24,958,000,000","24,121,000,000","23,904,000,000","22,767,000,000","22,447,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,"31,063,000,000","29,252,000,000","27,648,000,000","26,495,000,000","25,782,000,000","25,632,000,000","24,657,000,000","24,309,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,"-1,912,000,000","-1,544,000,000","-1,429,000,000","-1,537,000,000","-1,661,000,000","-1,728,000,000","-1,890,000,000","-1,862,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"2,497,000,000","2,468,000,000","2,474,000,000","2,397,000,000","2,302,000,000","2,379,000,000","2,787,000,000","2,716,000,000","2,889,000,000","2,879,000,000","3,059,000,000","2,776,000,000","2,792,000,000","3,761,000,000","3,517,000,000","3,165,000,000","2,663,000,000","1,120,000,000","1,169,000,000","1,217,000,000","1,616,000,000","1,557,000,000","1,584,982,000","886,213,000","807,305,000","771,612,000","694,594,000",,,,,,,,,
	NetRealizedGainLossOnInvestments,"-38,000,000","113,000,000","114,000,000","216,000,000","68,000,000","3,000,000","79,000,000","166,000,000","51,000,000","55,000,000","264,000,000","17,000,000","-415,000,000","154,000,000","11,000,000","17,000,000","-39,000,000","73,000,000","-165,000,000","-94,000,000","607,000,000","277,000,000","201,689,000","408,110,000","218,525,000","84,572,000","41,974,000",,,,,,,,,
	FeeRevenueAndOtherIncome,"713,000,000","728,000,000","635,000,000","606,000,000","721,000,000","544,000,000","583,000,000","672,000,000","443,000,000","422,000,000","357,000,000","469,000,000","521,000,000","632,000,000","802,000,000","842,000,000","1,272,000,000","622,000,000","524,000,000","524,000,000","487,000,000","445,000,000","377,155,000","308,494,000","260,078,000","582,117,000","552,636,000","1,281,900,000","1,355,500,000","1,205,500,000","1,111,200,000","1,120,300,000",,,,
		FeesAndCommissions,"458,000,000","459,000,000","432,000,000","447,000,000","458,000,000","445,000,000","438,000,000","395,000,000","323,000,000","296,000,000","287,000,000","306,000,000","390,000,000","508,000,000","591,000,000","664,000,000","706,000,000",,,,,,,,,,,,,,,,,,,
		OtherIncomeExpense,"255,000,000","269,000,000","203,000,000","159,000,000","263,000,000","99,000,000","145,000,000","277,000,000","120,000,000","126,000,000","70,000,000","163,000,000","131,000,000","124,000,000","211,000,000","178,000,000","566,000,000","622,000,000","524,000,000","524,000,000","487,000,000","445,000,000","377,155,000","308,494,000","260,078,000","582,117,000","552,636,000","1,281,900,000","1,355,500,000","1,205,500,000","1,111,200,000","1,120,300,000",,,,
TotalExpenses,"28,927,000,000","28,443,000,000","27,321,000,000","26,172,000,000","23,572,000,000","22,060,000,000","22,073,000,000","21,246,000,000","22,574,000,000","24,094,000,000","20,806,000,000","19,969,000,000","20,761,000,000","19,801,000,000","19,365,000,000","21,694,000,000","21,806,000,000","8,018,000,000","8,742,000,000","10,374,000,000","7,155,000,000","6,552,000,000","9,154,688,000","5,200,540,000","5,035,020,000","4,753,397,000","4,137,707,000","732,100,000","789,300,000","757,100,000","755,700,000","689,800,000",,,,"18,500,000"
	LossAdjustmentExpense,"19,480,000,000","19,133,000,000","18,291,000,000","17,467,000,000","15,070,000,000","13,723,000,000","13,870,000,000","13,307,000,000","14,676,000,000","16,276,000,000","13,210,000,000","12,408,000,000","12,993,000,000","12,397,000,000","12,244,000,000","14,927,000,000","15,439,000,000","5,188,000,000","5,995,000,000","7,479,000,000","4,407,000,000","4,087,000,000","5,876,317,000","3,345,168,000","3,318,301,000","2,864,307,000","2,461,698,000",,,,,,,,,
		NetPolicyholderBenefitsAndClaims,"19,480,000,000","19,133,000,000","18,291,000,000","17,467,000,000","15,070,000,000","13,723,000,000","13,870,000,000","13,307,000,000","14,676,000,000","16,276,000,000","13,210,000,000","12,408,000,000","12,993,000,000","12,397,000,000","12,244,000,000","14,927,000,000","15,439,000,000","5,188,000,000","5,995,000,000","7,479,000,000","4,407,000,000","4,087,000,000","5,876,317,000","3,345,168,000","3,318,301,000","2,864,307,000","2,461,698,000",,,,,,,,,
			PolicyholderBenefitsGross,,"20,222,000,000","19,584,000,000","18,692,000,000","15,832,000,000","14,757,000,000","14,823,000,000","14,326,000,000","16,033,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			PolicyholderBenefitsCeded,,"1,089,000,000","1,293,000,000","1,225,000,000","762,000,000","1,034,000,000","953,000,000","1,019,000,000","1,357,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	PolicyAcquisitionExpense,"4,662,000,000","4,601,000,000","4,381,000,000","4,166,000,000","3,985,000,000","3,885,000,000","3,882,000,000","3,821,000,000","3,910,000,000","3,876,000,000","3,802,000,000","3,813,000,000",,"3,706,000,000","3,339,000,000","3,252,000,000","2,978,000,000","1,564,000,000","1,563,000,000","1,589,000,000","1,442,000,000","1,325,000,000","1,653,613,000","1,021,623,000","975,456,000","856,979,000","753,946,000","732,100,000","789,300,000","757,100,000","755,700,000","689,800,000",,,,
	SellingGeneralAndAdministration,"4,445,000,000","4,365,000,000","4,297,000,000","4,170,000,000","4,154,000,000","4,079,000,000","3,952,000,000","3,757,000,000","3,610,000,000","3,556,000,000","3,406,000,000","3,366,000,000","3,518,000,000","3,352,000,000","3,458,000,000","3,229,000,000","3,145,000,000","1,266,000,000","1,184,000,000","1,306,000,000","1,306,000,000","1,140,000,000","1,624,758,000",,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"4,445,000,000","4,365,000,000","4,297,000,000","4,170,000,000","4,154,000,000","4,079,000,000","3,952,000,000","3,757,000,000","3,610,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"4,445,000,000","4,365,000,000","4,297,000,000","4,170,000,000","4,154,000,000","4,079,000,000","3,952,000,000","3,757,000,000","3,610,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetNonOperatingInterestIncomeExpense,"-340,000,000","-344,000,000","-352,000,000","-369,000,000","-363,000,000","-373,000,000","-369,000,000","-361,000,000","-378,000,000","-386,000,000","-388,000,000","-382,000,000","-370,000,000","-346,000,000","-324,000,000","-286,000,000","-244,000,000",,,,,,,,,,,,,,,,,,,"-18,500,000"
		InterestExpenseNonOperating,"340,000,000","344,000,000","352,000,000","369,000,000","363,000,000","373,000,000","369,000,000","361,000,000","378,000,000","386,000,000","388,000,000","382,000,000","370,000,000","346,000,000","324,000,000","286,000,000","244,000,000",,,,,,,,,,,,,,,,,,,"18,500,000"
	OtherOperatingExpenses,,,,,,,,,,"3,876,000,000","3,802,000,000","3,813,000,000","3,880,000,000",,,,,,,,,,,"833,749,000","741,263,000","1,032,111,000","922,063,000",,,,,,,,,
PretaxIncome,"2,891,000,000","3,138,000,000","2,961,000,000","2,730,000,000","4,053,000,000","4,740,000,000","5,089,000,000","4,945,000,000","3,166,000,000","1,352,000,000","4,306,000,000","4,711,000,000","3,716,000,000","6,216,000,000","5,725,000,000","2,671,000,000","1,128,000,000","836,000,000","176,000,000","-1,431,000,000","1,453,000,000","1,017,000,000","-46,287,000","1,018,733,000","699,136,000","656,233,000","563,578,000","0","0","0","0","0","0","0","0","0"
TaxProvision,"465,000,000","516,000,000","438,000,000","674,000,000","1,039,000,000","1,301,000,000","1,397,000,000","1,272,000,000","693,000,000","-74,000,000","1,090,000,000","1,089,000,000","792,000,000","1,615,000,000","1,517,000,000","610,000,000","138,000,000","137,000,000","-73,000,000","-422,000,000","440,000,000","238,000,000","-135,635,000","245,510,000","141,278,000","135,024,000","120,750,000","95,000,000","7,500,000","123,000,000","112,600,000","91,200,000","72,900,000","50,000,000","62,400,000","-29,600,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,"-21,000,000","-6,000,000",,,,,,,,,"522,600,000","-225,000,000","528,100,000","503,900,000","489,400,000","425,500,000","374,300,000","216,300,000","12,500,000"
NetIncomeCommonStockholders,"2,407,000,000","2,603,000,000","2,504,000,000","2,041,000,000","2,992,000,000","3,414,000,000","3,665,000,000","3,646,000,000","2,454,000,000","1,414,000,000","3,216,000,000","3,622,000,000","2,924,000,000","4,601,000,000","4,208,000,000","1,622,000,000","955,000,000","646,000,000","202,000,000","-1,105,000,000","985,000,000","834,000,000","80,848,000","705,473,000","441,399,000","512,609,000","434,428,000","419,200,000","-164,300,000","397,100,000","383,800,000","398,200,000","352,600,000","324,300,000","153,900,000","45,400,000"
	NetIncome,"2,426,000,000","2,622,000,000","2,523,000,000","2,056,000,000","3,014,000,000","3,439,000,000","3,692,000,000","3,673,000,000","2,473,000,000","1,426,000,000","3,216,000,000","3,622,000,000","2,924,000,000","4,601,000,000","4,208,000,000","1,622,000,000","955,000,000","661,000,000","218,000,000","-1,088,000,000","993,000,000","834,000,000","89,348,000","705,473,000","450,099,000","521,209,000","442,828,000","427,600,000","-156,000,000","405,100,000","391,300,000","398,200,000","352,600,000","324,300,000","153,900,000","45,400,000"
		NetIncomeIncludingNoncontrollingInterests,"2,426,000,000","2,622,000,000","2,523,000,000","2,056,000,000","3,014,000,000","3,439,000,000","3,692,000,000","3,673,000,000","2,473,000,000","1,426,000,000","3,216,000,000","3,622,000,000","2,924,000,000","4,601,000,000","4,208,000,000","1,622,000,000","990,000,000","661,000,000","218,000,000","-1,088,000,000","993,000,000","834,000,000","89,348,000","705,473,000","450,099,000","521,209,000","442,828,000","427,600,000","-156,000,000","405,100,000","391,300,000","398,200,000","352,600,000","324,300,000","153,900,000","45,400,000"
			NetIncomeContinuousOperations,"2,426,000,000","2,622,000,000","2,523,000,000","2,056,000,000","3,014,000,000","3,439,000,000","3,692,000,000","3,673,000,000","2,473,000,000","1,426,000,000","3,216,000,000","3,622,000,000","2,924,000,000","4,601,000,000","4,208,000,000","2,061,000,000","990,000,000","678,000,000","243,000,000","-1,009,000,000","1,013,000,000","779,000,000","89,348,000","773,223,000","557,858,000","521,209,000","442,828,000","427,600,000","-232,500,000","405,100,000","391,300,000","398,200,000","352,600,000","324,300,000","153,900,000","42,100,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,"0","0","-439,000,000",,"-17,000,000","-25,000,000","-79,000,000","-20,000,000","85,000,000","0","-67,750,000","-107,759,000",,,,,,,,,,,"3,300,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,"0","-30,000,000",,,,,"0",,"76,500,000",,,,,,,
		MinorityInterests,,,,,,,,,,,,,,,"0","0","-35,000,000",,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,"1,000,000",,,,,,,,,,,"8,000,000",,"8,500,000",,"8,700,000","8,600,000","8,400,000","8,400,000","8,300,000","8,000,000","7,500,000",,,,,
	OtherunderPreferredStockDividend,"19,000,000","19,000,000","19,000,000","15,000,000","22,000,000","25,000,000","27,000,000","27,000,000","19,000,000","11,000,000",,,,,,,,"15,000,000","16,000,000","17,000,000",,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,,,,,,"0","0","1,000,000",,,,,,,,"6,000,000","7,000,000","0",,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"2,407,000,000","2,603,000,000","2,504,000,000","2,041,000,000","2,992,000,000","3,414,000,000","3,665,000,000","3,646,000,000","2,454,000,000","1,415,000,000","3,216,000,000","3,622,000,000","2,924,000,000","4,601,000,000","4,208,000,000","1,622,000,000","955,000,000","652,000,000","209,000,000","-1,105,000,000","985,000,000","834,000,000","80,848,000","705,473,000","441,399,000","512,609,000","434,428,000","419,200,000","-164,300,000","397,100,000","383,800,000","398,200,000","352,600,000","324,300,000","153,900,000","45,400,000"
BasicEPS,,"10.01","9.02","7.39","10.39","10.99","10.82","9.84","6.35","3.4","6.69","6.961","4.9","7.04","6.12","2.39","1.56","2.84","0.94","-5.22","4.5","3.61","0.33","4.14","2.61","2.995","2.56","2.46","-0.97","2.34","2.15","2.04","1.83","1.69","0.84","0.27"
DilutedEPS,,"9.92","8.94","7.33","10.28","10.88","10.7","9.74","6.3","3.36","6.62","6.961","4.82","6.86","5.91","2.33","1.53","2.72","0.92","-5.22","4.24","3.41","0.32","3.83","2.465","2.84","2.465","2.39","-0.97","2.26","2.08","2.04","1.83","1.69","0.84","0.27"
BasicAverageShares,,"260,000,000","267,400,000","276,000,000","288,100,000","310,600,000","338,800,000","370,300,000","386,200,000","415,800,000","476,500,000","572,800,000","596,400,000","652,700,000","687,100,000","676,300,000","608,300,000","228,000,000","216,000,000","212,000,000","218,888,889","231,024,931","244,993,939","170,404,106","169,118,391","171,154,925","169,698,438","170,406,504","169,381,443","169,700,855","178,511,628","195,196,078","192,677,596","191,893,491","183,214,286","168,148,148"
