name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"20,492,300,000","17,914,900,000","18,173,300,000","17,397,400,000","16,738,800,000","17,298,500,000","17,658,100,000","18,492,900,000","18,754,200,000","19,990,900,000","19,991,000,000","20,924,500,000","14,376,200,000","12,145,900,000","11,756,400,000","11,414,600,000","10,664,900,000","10,809,600,000","11,063,700,000","10,528,500,000","8,400,200,000","8,309,500,000","8,415,600,000","5,621,600,000","5,563,300,000","3,596,900,000","3,375,300,000","3,387,600,000","2,979,600,000","2,982,500,000","2,594,600,000","2,483,200,000","2,248,200,000","2,355,300,000","2,242,800,000"
	CurrentAssets,"6,217,200,000","5,732,000,000","6,119,100,000","5,579,300,000","4,609,400,000","5,707,900,000","5,716,700,000","4,942,700,000","5,182,600,000","5,370,700,000","4,827,300,000","5,399,700,000","7,700,700,000","4,095,900,000","4,248,200,000","4,609,700,000","3,538,600,000","4,112,400,000","3,187,800,000","3,322,800,000","2,868,300,000","2,427,600,000","2,544,900,000","2,535,600,000","2,345,600,000","2,002,900,000","1,902,200,000","1,967,600,000","1,682,100,000","1,697,100,000","1,598,700,000","1,661,600,000","1,359,000,000","1,441,200,000","1,423,800,000"
		CashCashEquivalentsAndShortTermInvestments,"1,303,600,000","903,400,000","1,549,400,000","1,714,700,000","736,800,000","1,705,200,000","1,937,200,000","882,100,000","1,160,700,000","1,014,300,000","876,700,000","550,200,000","4,735,400,000","363,000,000","1,037,100,000","1,703,700,000","459,600,000","342,200,000","121,400,000","200,000,000","223,400,000","71,900,000","104,900,000","184,100,000","137,300,000","207,000,000","228,000,000","216,800,000","136,900,000","50,300,000","136,400,000","255,900,000","175,700,000","231,200,000","76,500,000"
			CashAndCashEquivalents,"1,303,600,000","903,400,000","1,549,400,000","1,714,700,000","736,800,000","1,705,200,000","1,937,200,000","882,100,000","1,160,700,000","1,014,300,000","876,700,000","550,200,000","4,735,300,000","362,300,000","880,600,000","1,703,700,000","457,700,000","342,200,000","114,000,000","74,400,000","222,900,000","71,900,000","104,900,000","184,100,000","137,300,000","207,000,000","228,000,000","216,800,000","136,900,000","50,300,000","136,400,000","255,900,000","175,700,000","231,200,000","76,500,000"
			OtherShortTermInvestments,,,,,,,,,,,,,"100,000","700,000","156,500,000",,"1,900,000",,"7,400,000","125,600,000","500,000",,,,,,,,,,,,,,
		Receivables,"2,798,100,000","2,679,200,000","2,477,400,000","2,223,000,000","2,150,600,000","2,119,000,000","2,071,500,000","2,157,500,000","2,145,800,000","2,344,200,000","2,120,200,000","2,428,500,000","1,660,700,000","1,996,200,000","1,679,000,000","1,498,400,000","1,712,800,000","1,405,300,000","1,482,900,000","1,323,500,000","988,500,000","1,177,100,000","1,281,500,000","1,066,200,000","1,109,900,000","949,400,000","797,500,000","823,100,000","652,300,000","672,200,000","611,500,000","584,200,000","495,800,000","556,500,000","574,200,000"
			AccountsReceivable,"2,798,100,000","2,679,200,000","2,477,400,000","2,223,000,000","2,150,600,000","2,119,000,000","2,071,500,000","2,157,500,000",,,,"2,428,500,000","1,660,700,000","1,996,200,000","1,679,000,000","1,498,400,000","1,712,800,000","1,405,300,000","1,482,900,000","1,323,500,000",,,,,,,,,,,,,,,
		Inventory,"1,712,200,000","1,677,800,000","1,555,400,000","1,385,800,000","1,410,700,000","1,358,900,000","1,166,100,000","1,308,800,000","1,282,000,000","1,400,800,000","1,193,200,000","1,615,100,000","827,200,000","1,320,300,000","1,128,800,000","1,058,800,000","1,009,100,000","1,189,800,000","1,295,300,000","1,022,900,000","742,100,000","940,800,000","854,800,000","775,100,000","912,600,000","679,300,000","713,700,000","770,300,000","746,900,000","833,900,000","739,600,000","744,200,000","628,400,000","595,900,000","695,900,000"
			RawMaterials,"613,100,000","550,500,000","502,800,000","448,500,000","514,900,000","487,900,000","378,000,000","501,900,000","479,200,000","402,900,000","353,600,000","446,900,000","323,200,000","496,500,000","436,300,000","359,400,000","287,400,000","307,100,000","307,900,000",,,,,,,,,,,,,,,,
			WorkInProcess,"209,200,000","182,000,000","180,500,000","154,000,000","131,000,000","118,200,000","100,700,000","109,600,000","114,400,000","245,700,000","222,400,000","301,700,000","163,400,000","220,100,000","193,400,000","190,100,000","209,600,000","361,400,000","395,500,000",,,,,,,,,,,,,,,,
			FinishedGoods,"975,500,000","1,028,800,000","941,000,000","845,600,000","825,700,000","823,100,000","760,200,000","800,200,000","791,100,000","838,100,000","700,100,000","980,000,000","424,900,000","762,300,000","622,400,000","612,300,000","609,900,000","628,700,000","733,100,000",,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-85,600,000","-83,500,000","-68,900,000","-62,300,000","-60,900,000","-70,300,000","-72,800,000","-102,900,000","-102,700,000","-85,900,000","-82,900,000","-113,500,000","-84,300,000","-158,600,000","-123,300,000","-103,000,000","-97,800,000","-107,400,000","-141,200,000",,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,"334,100,000",,,,,"416,400,000","403,300,000","348,800,000","357,100,000","381,100,000","288,200,000",,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"58,600,000","299,800,000","359,500,000","309,600,000","259,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"58,600,000","299,800,000","359,500,000","309,600,000","259,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,"0",,"900,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"403,300,000","471,600,000","536,900,000","255,800,000","252,700,000","225,000,000","182,400,000","284,700,000",,"611,400,000","637,200,000","805,900,000","477,400,000",,,,,"794,000,000",,"776,400,000","914,300,000","237,800,000","303,700,000","510,200,000","185,800,000","167,200,000","163,000,000","157,400,000","146,000,000","140,700,000","111,200,000","77,300,000","59,100,000","57,600,000","77,200,000"
	TotalNonCurrentAssets,"14,275,100,000","12,182,900,000","12,054,200,000","11,818,100,000","12,129,400,000","11,590,600,000","11,941,400,000","13,550,200,000","13,571,600,000","14,620,200,000","15,163,700,000","15,524,800,000","6,675,500,000","8,050,000,000","7,508,200,000","6,804,900,000","7,126,300,000","6,697,200,000","7,875,900,000","7,205,700,000","5,531,900,000","5,881,900,000","5,870,700,000","3,086,000,000","3,217,700,000","1,594,000,000","1,473,100,000","1,420,000,000","1,297,500,000","1,285,400,000","995,900,000","821,600,000","889,200,000","914,100,000","819,000,000"
		NetPPE,"1,806,200,000","1,730,800,000","1,551,300,000","1,511,000,000","1,575,100,000","1,477,000,000","1,468,400,000","1,652,600,000","1,640,600,000","1,776,500,000","1,912,800,000","1,968,500,000","904,900,000","1,276,300,000","1,076,000,000","1,013,200,000","1,213,100,000","1,279,900,000","1,633,000,000","1,528,000,000","1,240,200,000","1,347,600,000","1,283,200,000","1,145,400,000","1,278,400,000","959,300,000","875,100,000","847,100,000","783,100,000","765,900,000","606,500,000","573,200,000","539,700,000","516,500,000","552,400,000"
			GrossPPE,"4,039,700,000","3,835,200,000","3,664,300,000","3,367,700,000","3,233,800,000","3,004,200,000","2,842,300,000","3,314,200,000","3,104,300,000","3,258,400,000","3,211,700,000","3,020,500,000","1,782,200,000","2,448,500,000","1,994,800,000","1,843,800,000","2,043,700,000","2,110,500,000","2,648,900,000","2,417,900,000","2,084,900,000","2,416,300,000","2,275,200,000","2,103,700,000","2,205,200,000","1,818,600,000","1,665,400,000","1,634,900,000","1,405,400,000","1,348,600,000","1,125,100,000","1,072,500,000","1,006,700,000","957,400,000","1,062,900,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0",,,,,,,,,,,,,,,,
				LandAndImprovements,"60,600,000","53,200,000","52,000,000","49,200,000","61,700,000","62,900,000","64,200,000","83,600,000","86,500,000","109,800,000","122,000,000","111,300,000","65,400,000","72,300,000","603,300,000",,,"622,900,000","761,700,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"921,200,000","870,700,000","770,100,000","708,900,000","699,100,000","674,800,000","654,800,000","714,700,000","693,400,000","763,300,000","760,600,000","776,600,000","485,700,000","605,700,000",,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"3,057,900,000","2,911,300,000","2,842,200,000","2,609,600,000","2,473,000,000","2,266,500,000","2,123,300,000","2,515,900,000","2,324,400,000","1,858,200,000","1,875,800,000","1,787,100,000","1,231,100,000","1,555,400,000","1,391,500,000",,,"1,487,600,000","1,887,200,000",,,,,,,,,,,,,,,,
				OtherProperties,,,,,,,,,,"527,100,000","453,300,000","345,500,000",,"215,100,000",,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-2,233,500,000","-2,104,400,000","-2,113,000,000","-1,856,700,000","-1,658,700,000","-1,527,200,000","-1,373,900,000","-1,661,600,000","-1,463,700,000","-1,481,900,000","-1,298,900,000","-1,052,000,000","-877,300,000","-1,172,200,000","-918,800,000","-830,600,000","-830,600,000","-830,600,000","-1,015,900,000","-889,900,000","-844,700,000","-1,068,700,000","-992,000,000","-958,300,000","-926,800,000","-859,300,000","-790,300,000","-787,800,000","-622,300,000","-582,700,000","-518,600,000","-499,300,000","-467,000,000","-440,900,000","-510,500,000"
		GoodwillAndOtherIntangibleAssets,"10,931,900,000","9,594,200,000","9,678,600,000","9,443,500,000","9,656,300,000","9,173,700,000","9,462,600,000","10,339,800,000","10,442,200,000","11,433,100,000","11,648,800,000","11,834,200,000","4,717,900,000","5,341,000,000","5,231,900,000","4,829,200,000","5,070,900,000","4,896,400,000","5,689,300,000","5,105,300,000","3,726,300,000","3,774,300,000","3,833,000,000","1,178,000,000","1,253,600,000","124,500,000","105,900,000","113,200,000","217,000,000","212,600,000",,,,,
			Goodwill,"6,783,100,000","5,959,500,000","5,935,700,000","5,658,400,000","5,730,200,000","5,389,800,000","5,540,600,000","6,138,900,000","6,105,100,000","6,560,200,000","6,606,000,000","6,620,100,000","3,993,300,000","4,604,800,000",,,,"4,005,500,000",,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"4,148,800,000","3,634,700,000","3,742,900,000","3,785,100,000","3,926,100,000","3,783,900,000","3,922,000,000","4,200,900,000","4,337,100,000","4,872,900,000","5,042,800,000","5,214,100,000","724,600,000","736,200,000","5,231,900,000","4,829,200,000","5,070,900,000","890,900,000","5,689,300,000","5,105,300,000","3,726,300,000","3,774,300,000","3,833,000,000","1,178,000,000","1,253,600,000","124,500,000","105,900,000","113,200,000","217,000,000","212,600,000",,,,,
		OtherNonCurrentAssets,"1,537,000,000","857,900,000","824,300,000","863,600,000","898,000,000","939,900,000","1,010,400,000","1,557,800,000","1,488,800,000","1,410,600,000","1,602,100,000","1,722,100,000","1,052,700,000","1,432,700,000","1,200,300,000","962,500,000","842,300,000","520,900,000","553,600,000","572,400,000","565,400,000","760,000,000","754,500,000","762,600,000","685,700,000","510,200,000","492,100,000","459,700,000","297,400,000","306,900,000","389,400,000","248,400,000","349,500,000","397,600,000","266,600,000"
TotalLiabilitiesNetMinorityInterest,"13,179,900,000","10,850,100,000","10,966,400,000","10,679,100,000","10,859,600,000","11,253,100,000","10,526,800,000","11,263,600,000","11,741,800,000","11,931,800,000","12,785,300,000","14,162,400,000","6,370,800,000","6,741,100,000","5,994,400,000","5,680,800,000","6,050,700,000","7,216,300,000","7,036,600,000","6,922,800,000","4,819,000,000","5,065,900,000","5,946,300,000","3,417,400,000","3,597,000,000","1,911,500,000","1,879,200,000","1,948,000,000","1,346,500,000","1,426,100,000","1,117,700,000","1,238,500,000","1,112,600,000","1,247,800,000","1,187,600,000"
	CurrentLiabilities,"4,861,900,000","4,315,700,000","4,828,000,000","3,590,300,000","3,648,400,000","3,666,100,000","3,408,600,000","4,161,300,000","4,124,500,000","4,224,900,000","3,978,200,000","5,511,400,000","3,235,700,000","3,613,600,000","3,199,700,000","2,876,900,000","3,053,000,000","3,798,100,000","2,851,000,000","3,966,600,000","1,738,900,000","1,848,800,000","2,327,800,000","1,290,200,000","1,329,200,000","1,040,100,000","1,024,300,000","1,079,800,000","778,500,000","964,400,000","675,500,000","684,600,000","562,000,000","711,000,000","653,400,000"
		PayablesAndAccruedExpenses,"3,662,200,000","3,433,500,000","3,211,300,000","2,759,700,000","2,706,800,000","2,711,900,000","2,535,700,000","2,690,800,000","2,833,000,000","3,463,300,000","3,101,500,000","3,161,000,000","2,494,700,000","2,534,200,000","2,267,000,000","2,264,100,000","2,252,300,000","2,347,400,000","2,287,300,000","1,698,700,000","1,224,400,000","1,488,600,000","1,370,500,000","1,095,400,000","1,129,800,000","883,800,000","762,400,000","823,100,000","621,900,000","604,900,000","530,800,000",,,,
			Payables,"1,809,200,000","1,705,300,000","1,556,100,000","1,334,000,000","1,249,300,000","1,290,000,000","1,224,400,000","1,230,200,000","1,225,200,000","1,318,600,000","1,079,000,000","1,046,500,000","721,200,000","1,026,800,000","812,500,000","684,000,000","738,900,000","730,300,000","761,000,000","1,698,700,000","1,224,400,000","1,488,600,000","1,370,500,000","1,095,400,000","1,129,800,000","883,800,000","762,400,000","823,100,000","621,900,000","604,900,000","530,800,000",,,,
				AccountsPayable,"1,809,200,000","1,705,300,000","1,556,100,000","1,334,000,000","1,249,300,000","1,290,000,000","1,163,000,000","1,230,200,000","1,225,200,000","1,318,600,000","1,079,000,000","1,046,500,000","721,200,000","1,026,800,000","812,500,000","684,000,000","738,900,000","730,300,000","761,000,000","1,698,700,000","1,224,400,000","1,488,600,000","1,370,500,000","1,095,400,000","1,129,800,000","883,800,000","762,400,000","823,100,000","621,900,000","604,900,000","530,800,000",,,,
				TotalTaxPayable,,,,,,,"61,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,"61,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,853,000,000","1,728,200,000","1,655,200,000","1,425,700,000","1,457,500,000","1,421,900,000","1,311,300,000","1,460,600,000","1,607,800,000","2,144,700,000","2,022,500,000","2,114,500,000","1,773,500,000","1,507,400,000","1,454,500,000","1,580,100,000","1,513,400,000","1,617,100,000","1,526,300,000",,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"549,200,000","531,600,000","509,700,000","469,800,000","437,400,000","471,500,000","505,200,000","506,800,000","528,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"650,500,000","350,600,000","1,107,000,000","360,800,000","504,200,000","482,700,000","367,700,000","963,700,000","763,300,000","761,600,000","876,700,000","2,350,400,000","741,000,000","1,079,400,000","932,700,000","612,800,000","800,700,000","1,155,500,000","563,700,000","2,121,800,000","495,500,000","318,700,000","925,100,000","162,300,000","155,400,000","134,200,000","206,900,000",,,"317,700,000","106,400,000","138,100,000","61,400,000","215,200,000","110,100,000"
			CurrentDebt,"650,500,000","350,600,000","1,107,000,000","360,800,000","504,200,000","482,700,000","367,700,000","963,700,000","763,300,000","761,600,000","876,700,000","2,350,400,000","741,000,000","1,079,400,000","932,700,000","612,800,000","800,700,000","1,155,500,000","563,700,000","2,121,800,000","495,500,000","318,700,000","925,100,000","162,300,000","155,400,000","134,200,000","206,900,000",,,"317,700,000","106,400,000","138,100,000","61,400,000","215,200,000","110,100,000"
