name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,06/30/2005
TotalAssets,"12,938,814,000","12,935,533,000","13,004,074,000","13,583,257,000","13,100,941,000","12,547,862,000","12,495,921,000","11,863,791,000","12,415,591,000","12,122,566,000","11,426,152,000","9,095,558,000","9,061,708,000","8,322,870,000","8,332,749,000","8,146,942,000","8,014,331,000","8,062,593,000","8,834,751,000","9,211,537,000","9,860,192,000","9,606,159,000","10,500,435,000","10,607,847,000","10,471,781,000","10,372,624,000","10,471,400,000","10,586,000,000","10,822,286,000","10,866,999,000","11,126,469,000","11,313,610,000","11,519,461,000","10,746,574,000","10,902,600,000","11,658,866,000","11,372,550,000","11,112,331,000","11,091,793,000","10,795,649,000","10,561,786,000","10,292,673,000","10,086,894,000","10,440,700,000","9,808,061,000","10,671,247,000","12,428,403,000","12,434,102,000","13,221,104,000","13,767,310,000","13,724,994,000","8,923,003,000","9,041,230,000","8,770,539,000","8,980,495,000","8,794,124,000","8,858,130,000","8,659,981,000","5,318,952,000"
	CurrentAssets,"4,335,587,000","4,178,213,000","4,564,538,000","4,936,343,000","4,656,433,000","4,426,038,000","4,659,477,000","4,457,486,000","4,690,023,000","4,395,283,000","4,298,490,000","3,388,543,000","3,291,803,000","2,700,314,000","2,706,349,000","2,529,092,000","2,600,539,000","2,582,204,000","2,903,815,000","3,055,847,000","3,380,615,000","3,348,869,000","3,648,924,000","3,494,220,000","3,442,604,000","3,219,462,000","3,249,100,000","3,338,500,000","3,538,263,000","3,655,628,000","3,674,177,000","4,006,098,000","4,052,116,000","5,554,228,000","5,583,700,000","5,906,345,000","5,717,704,000","5,522,932,000","5,630,508,000","5,525,577,000","5,192,426,000","5,033,292,000","4,606,091,000","4,611,800,000","4,680,951,000","5,179,839,000","5,886,482,000","5,658,016,000","4,682,762,000","4,378,871,000","4,502,384,000","2,829,578,000","2,979,230,000","2,646,213,000","2,929,124,000","2,811,973,000","2,767,584,000","2,543,558,000","1,723,278,000"
		CashCashEquivalentsAndShortTermInvestments,"1,021,636,000","732,167,000","851,710,000","806,173,000","526,124,000","292,854,000","460,053,000","327,752,000","336,544,000","470,465,000","540,965,000","331,494,000","437,445,000","328,233,000","339,320,000","382,040,000","418,336,000","388,594,000","351,255,000","432,061,000","436,205,000","363,205,000","448,032,000","338,091,000","354,169,000","475,852,000","484,500,000","493,800,000","591,520,000","720,116,000","626,474,000","797,262,000","991,661,000","2,576,561,000","2,278,800,000","2,464,531,000","2,510,819,000","2,627,816,000","2,511,909,000","2,643,834,000","2,393,620,000","2,142,642,000","1,953,888,000","1,817,500,000","1,171,293,000","2,474,460,000","612,472,000","688,763,000","996,633,000","1,191,378,000","1,193,977,000","730,843,000","983,690,000","643,352,000","825,678,000","915,607,000","902,884,000","765,630,000","586,012,000"
			CashAndCashEquivalents,"906,391,000","519,896,000","637,669,000","777,528,000","464,337,000","248,325,000","399,060,000","229,813,000","232,642,000","337,729,000","383,814,000","178,338,000","285,967,000","183,380,000","149,437,000","178,930,000","183,618,000","151,403,000","200,428,000","263,922,000","265,523,000","213,210,000","343,525,000","229,738,000","215,301,000","306,349,000","323,400,000","385,700,000","455,022,000","559,366,000","327,587,000","487,082,000","646,473,000","2,158,591,000","1,485,500,000","1,444,654,000","1,714,053,000","1,779,416,000","2,227,001,000","2,637,196,000","2,386,960,000","2,095,798,000","1,884,367,000","1,816,000,000","1,080,417,000","1,065,552,000","612,472,000","688,763,000","996,633,000","1,126,041,000","1,078,750,000","730,843,000","983,690,000","643,352,000","825,678,000","915,607,000","902,884,000","765,630,000","586,012,000"
				CashFinancial,,"115,575,000",,,,"87,863,000",,,,"100,739,000",,,,"70,711,000",,,,"45,610,000",,,,"75,354,000",,,,"102,465,000",,,,"98,052,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"404,321,000",,,,"160,462,000",,,,"236,990,000",,,,"112,669,000",,,,"105,793,000",,,,"137,856,000",,,,"203,884,000",,,,"461,314,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"115,245,000","212,271,000","214,041,000","28,645,000","61,787,000","44,529,000","60,993,000","97,939,000","103,902,000","132,736,000","157,151,000","153,156,000","151,478,000","144,853,000","189,883,000","203,110,000","234,718,000","237,191,000","150,827,000","168,139,000","170,682,000","149,995,000","104,507,000","108,353,000","138,868,000","169,503,000","161,100,000","108,100,000","136,498,000","160,750,000","298,887,000","310,180,000","345,188,000","417,970,000","793,300,000","1,019,877,000","796,766,000","848,400,000","284,908,000","6,638,000","6,660,000","46,844,000","69,521,000","1,500,000","90,876,000","1,408,908,000",,,,"65,337,000","115,227,000",,,,,,,,
		Receivables,"1,211,044,000","1,284,385,000","1,369,779,000","1,680,380,000","1,560,629,000","1,438,220,000","1,523,337,000","1,536,471,000","1,659,403,000","1,368,771,000","1,384,339,000","1,044,255,000","933,517,000","713,565,000","782,792,000","772,928,000","714,124,000","600,948,000","768,234,000","789,596,000","865,020,000","832,443,000","980,292,000","1,021,267,000","975,095,000","783,841,000","916,900,000","918,500,000","994,982,000","922,352,000","956,205,000","980,588,000","893,712,000","840,593,000","991,800,000","965,395,000","930,034,000","758,075,000","828,568,000","795,198,000","727,926,000","574,135,000","592,235,000","630,800,000","845,785,000","871,983,000","1,104,773,000","1,311,921,000","1,484,508,000","1,273,865,000","1,324,835,000","881,460,000","804,338,000","750,134,000","829,589,000","771,354,000","789,350,000","764,062,000","546,449,000"
			AccountsReceivable,"990,993,000","949,672,000","994,774,000","1,289,534,000","1,241,841,000","1,128,470,000","1,256,960,000","1,273,727,000","1,304,904,000","1,006,598,000","1,068,008,000","932,206,000","830,242,000","633,745,000","680,405,000","690,922,000","618,477,000","511,464,000","651,768,000","690,952,000","750,314,000","720,214,000","811,055,000","863,715,000","822,101,000","671,453,000","751,900,000","763,300,000","871,393,000","735,140,000","813,062,000","847,575,000","804,997,000","735,002,000","834,300,000","872,490,000","834,143,000","663,502,000","715,175,000","705,254,000","639,607,000","437,835,000","467,071,000","469,100,000","549,055,000","622,992,000","952,348,000","1,051,175,000","923,248,000","847,827,000","1,046,971,000","729,261,000","640,385,000","577,866,000","609,372,000","551,906,000","495,860,000","472,760,000","329,949,000"
				GrossAccountsReceivable,,"962,633,000",,,,"1,142,816,000",,,,"1,023,141,000",,,,"639,764,000",,,,"519,049,000",,,,"731,586,000",,,,"684,256,000",,,,"750,444,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
