name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"52,611,000,000","44,792,000,000","42,326,000,000","40,140,000,000","40,861,000,000","37,353,000,000","36,812,000,000","37,628,000,000","37,988,000,000","39,598,000,000","18,684,000,000","19,461,000,000","24,220,000,000","25,369,000,000","19,342,000,000","20,705,000,000","21,979,000,000","23,656,000,000","25,197,000,000","24,355,000,000","20,963,000,000","18,559,000,000","15,803,000,000","12,677,000,000","11,641,000,000","11,764,000,000","12,840,000,000","12,257,000,000"
	CurrentAssets,"8,194,000,000","7,194,000,000","7,113,000,000","7,309,000,000","7,828,000,000","8,138,000,000","8,702,000,000","10,049,000,000","10,997,000,000","12,045,000,000","5,105,000,000","4,861,000,000","6,095,000,000","6,273,000,000","4,259,000,000","3,914,000,000","4,024,000,000","3,379,000,000","5,086,000,000","4,779,000,000","2,935,000,000","2,908,000,000","2,948,000,000","2,682,000,000","3,043,000,000","3,192,000,000","3,713,000,000","3,298,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,944,000,000","3,950,000,000","3,798,000,000","4,428,000,000","5,196,000,000","4,384,000,000","5,121,000,000","6,543,000,000","7,762,000,000","8,680,000,000","3,042,000,000","2,039,000,000","3,554,000,000","4,144,000,000","1,838,000,000","1,301,000,000","1,718,000,000","1,274,000,000","2,628,000,000","2,344,000,000","689,000,000","815,000,000","845,000,000","697,000,000","1,143,000,000","1,532,000,000","437,000,000","522,000,000"
			CashAndCashEquivalents,"2,762,000,000","1,694,000,000","1,482,000,000","2,179,000,000","3,006,000,000","2,002,000,000","3,220,000,000","4,770,000,000","6,246,000,000","8,069,000,000","3,042,000,000","2,039,000,000","1,259,000,000","3,832,000,000","1,761,000,000","1,223,000,000","1,640,000,000","886,000,000","1,688,000,000","1,679,000,000","310,000,000","390,000,000","295,000,000","229,000,000","194,000,000","500,000,000","437,000,000","522,000,000"
			OtherShortTermInvestments,"2,182,000,000","2,256,000,000","2,316,000,000","2,249,000,000","2,190,000,000","2,382,000,000","1,901,000,000","1,773,000,000","1,516,000,000","611,000,000",,"0","2,295,000,000","312,000,000","77,000,000","78,000,000","78,000,000","388,000,000","940,000,000","665,000,000","379,000,000","425,000,000","550,000,000","468,000,000","949,000,000","1,032,000,000",,
		Receivables,"1,364,000,000","1,346,000,000","1,340,000,000","1,176,000,000","1,128,000,000","1,146,000,000","1,503,000,000","1,338,000,000","1,358,000,000","1,613,000,000","743,000,000","714,000,000","888,000,000","820,000,000","839,000,000","951,000,000","929,000,000","1,114,000,000","1,221,000,000","1,326,000,000","1,316,000,000","1,138,000,000","1,051,000,000","962,000,000","951,000,000","889,000,000","1,095,000,000","1,066,000,000"
			AccountsReceivable,"1,364,000,000","1,346,000,000","1,340,000,000","1,176,000,000","1,128,000,000","1,146,000,000","1,503,000,000","1,338,000,000","1,365,000,000",,,,,"820,000,000",,,,,"1,047,000,000",,,,,,,,,
				GrossAccountsReceivable,"1,373,000,000","1,354,000,000","1,347,000,000","1,186,000,000","1,146,000,000","1,168,000,000","1,516,000,000","1,351,000,000",,,,,,"847,000,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-9,000,000","-8,000,000","-7,000,000","-10,000,000","-18,000,000","-22,000,000","-13,000,000","-13,000,000",,,,,,"-27,000,000",,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,"174,000,000",,,,,,,,,
