name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"19,662,324,000","19,250,498,000","19,058,959,000","14,508,892,000","12,577,944,000","12,328,811,000","8,735,324,000","8,420,013,000","8,451,470,000","7,155,719,000","7,805,101,000","8,102,091,000","7,994,739,000","6,717,598,000","6,728,492,000","6,435,971,000","6,378,999,000","5,792,019,000","5,631,775,000","4,904,547,000","5,069,200,000","4,567,900,000","2,699,800,000","2,326,900,000","1,815,400,000","1,787,600,000","1,720,200,000","1,547,600,000","1,189,100,000","1,193,800,000","1,098,700,000"
	CashCashEquivalentsAndFederalFundsSold,"837,493,000","1,020,396,000","1,666,167,000","1,434,527,000","857,335,000","753,064,000","416,617,000","432,077,000","636,003,000","461,389,000","449,767,000","213,534,000","230,651,000","259,013,000","207,962,000","153,465,000","254,941,000","175,363,000","157,594,000","144,810,000","159,800,000","141,300,000","90,200,000","89,500,000","78,900,000","82,800,000","60,900,000","122,700,000","77,800,000","70,700,000","65,800,000"
		CashAndCashEquivalents,"836,673,000","1,019,593,000","1,665,378,000","1,433,802,000","856,613,000","752,343,000","415,898,000","431,056,000","634,994,000","460,671,000","449,050,000","205,082,000","213,145,000","240,444,000","198,810,000","153,465,000","249,509,000","175,363,000","157,594,000","143,685,000","159,800,000","141,300,000","90,200,000","89,500,000","78,900,000","82,800,000","60,900,000","122,700,000","77,800,000","70,700,000","65,800,000"
			CashFinancial,"185,238,000","187,886,000","196,742,000","175,468,000","136,690,000","175,713,000","134,808,000","157,539,000",,,,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,"211,181,000","217,562,000","188,974,000","132,306,000","217,229,000","162,261,000","156,058,000","142,801,000",,,,,,,,,"77,300,000","65,500,000","63,800,000"
			CashAndDueFromBanks,"651,435,000","831,707,000","1,468,636,000","1,258,334,000","719,923,000","576,630,000","281,090,000","273,517,000","634,994,000","460,671,000","449,050,000","205,082,000","1,964,000","22,882,000","9,836,000","21,159,000","32,280,000","13,102,000","1,536,000","884,000","159,800,000","141,300,000","90,200,000","89,500,000","78,900,000","82,800,000","60,900,000","122,700,000","500,000","5,200,000","2,000,000"
		MoneyMarketInvestments,"820,000","803,000","789,000","725,000","722,000","721,000","719,000","1,021,000","1,009,000","718,000","717,000","8,452,000","17,506,000","18,569,000","9,152,000",,"5,432,000",,,"1,125,000",,,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"820,000","803,000","789,000","725,000","722,000","721,000","719,000","1,021,000","1,009,000","718,000","717,000","8,452,000","17,506,000","18,569,000","9,152,000",,"5,432,000",,,"1,125,000",,,,,,,,,,,
				FederalFundsSold,"820,000","803,000","789,000","725,000","722,000","721,000","719,000","1,021,000","1,009,000","718,000","717,000","8,452,000",,,,,,,,,,,,,,,,,,,
	OtherRealEstateOwned,"15,515,000","16,865,000","24,348,000","31,510,000","32,228,000","38,778,000","38,182,000","49,484,000","51,760,000","44,770,000","40,058,000",,,,,,,,,,,,,,,,,,,,
