name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"1,098,099,000,000","972,183,000,000","973,118,000,000","968,728,000,000","956,579,000,000","958,489,000,000","950,192,082,335.558","946,649,828,106.364","964,135,450,312.513","939,997,330,842.119","937,380,339,205.647","932,250,907,835.114","909,126,163,133.539","917,744,056,850.081","967,841,619,406.383","1,009,877,311,885.028","1,001,868,258,261.059","953,845,453,441.787","1,008,643,640,294.436","1,025,800,252,626.124","1,083,881,035,052.91","1,074,479,940,940.303","1,103,193,111,206.906","1,102,477,363,761.823","1,107,800,027,059.938","1,137,908,887,060.971","1,158,625,906,987.531","1,194,329,144,452.907","1,277,327,159,844.26","1,379,360,506,512.143","1,454,636,732,612.253","1,488,005,690,500.026","1,512,940,173,023.029","1,507,998,172,332.083","1,611,491,039,506.365","1,484,129,936,519.746","1,405,175,472,006.094","1,409,197,111,527.146","1,495,350,670,625.576","1,347,424,299,825.361","1,272,385,910,604.568","1,295,205,797,101.449","1,424,417,852,834.741","1,472,908,304,179.709","1,632,312,549,329.124","1,879,482,000,000","1,776,481,000,000","2,036,706,000,000","2,245,521,000,000","2,005,096,000,000","2,134,952,000,000","2,078,524,000,000","2,117,276,000,000","1,966,337,000,000","1,839,001,000,000","1,779,432,000,000","1,666,641,000,000","1,568,056,000,000","1,641,900,000,000","1,629,774,000,000","1,537,440,000,000","1,520,191,000,000","1,400,589,000,000","1,338,711,000,000","1,318,491,000,000","1,117,809,000,000","1,006,066,000,000","1,008,825,000,000","910,437,000,000","855,248,000,000","828,396,000,000","837,983,000,000","729,905,000,000","756,365,000,000","700,892,000,000","731,899,000,000","698,716,000,000","673,847,000,000","585,531,000,000","579,518,000,000","589,432,000,000"
TotalLiabilitiesNetMinorityInterest,"1,039,981,000,000","917,476,000,000","916,768,000,000","915,378,000,000","902,739,000,000","905,385,000,000","898,059,815,560.198","895,699,151,055.918","910,331,809,220.185","887,362,564,034.124","881,732,554,918.277","877,375,807,109.893","854,814,948,077.519","864,444,160,892.012","911,964,440,948.793","955,206,589,637.856","943,026,930,688.966","895,867,225,122.415","950,956,915,632.882","968,308,376,607.253","1,026,365,120,701.058","1,019,497,790,317.85","1,047,650,639,778.785","1,044,750,748,931.3","1,050,369,819,149.416","1,081,641,069,557.281","1,104,126,033,993.396","1,142,419,818,904.968","1,224,236,556,876.776","1,324,318,936,149.237","1,394,244,459,083.278","1,425,727,382,896.886","1,449,184,177,586.761","1,446,523,711,866.028","1,548,812,135,927.737","1,422,161,688,646.755","1,348,761,086,022.09","1,353,713,827,226.531","1,440,788,368,997.645","1,298,133,483,640.261","1,225,160,170,723.7","1,248,217,391,304.348","1,378,814,957,780.459","1,434,650,156,508.93","1,597,491,888,099.623","1,841,426,000,000","1,727,672,000,000","1,985,442,000,000","2,222,677,000,000","1,967,566,000,000","2,088,210,000,000","2,031,550,000,000","2,069,743,000,000","1,920,574,000,000","1,795,249,000,000","1,737,309,000,000","1,625,673,000,000","1,528,522,000,000","1,605,916,000,000","1,594,373,000,000","1,500,864,000,000","1,484,866,000,000","1,367,103,000,000","1,306,950,000,000","1,285,168,000,000","1,085,937,000,000","976,082,000,000","978,796,000,000","878,455,000,000","824,460,000,000","798,136,000,000","805,475,000,000","700,887,000,000","727,613,000,000","671,337,000,000","695,459,000,000","672,082,000,000","644,280,000,000","563,886,000,000","559,753,000,000","571,571,000,000"
TotalEquityGrossMinorityInterest,"58,118,000,000","54,707,000,000","56,350,000,000","53,350,000,000","53,840,000,000","53,104,000,000","52,132,266,775.36","50,950,677,050.446","53,803,641,092.328","52,634,766,807.995","55,647,784,287.371","54,875,100,725.222","54,311,215,056.02","53,299,895,958.069","55,877,178,457.59","54,670,722,247.173","58,841,327,572.093","57,978,228,319.372","57,686,724,661.554","57,491,876,018.871","57,515,914,351.852","54,982,150,622.453","55,542,471,428.121","57,726,614,830.523","57,430,207,910.522","56,267,817,503.69","54,499,872,994.136","51,909,325,547.939","53,090,602,967.484","55,041,570,362.905","60,392,273,528.974","62,278,307,603.14","63,755,995,436.268","61,474,460,466.055","62,678,903,578.628","61,968,247,872.991","56,414,385,984.003","55,483,284,300.615","54,562,301,627.931","49,290,816,185.099","47,225,739,880.869","46,988,405,797.101","45,602,895,054.282","38,258,147,670.779","34,820,661,229.501","38,056,000,000","48,809,000,000","51,264,000,000","22,844,000,000","37,530,000,000","46,742,000,000","46,974,000,000","47,533,000,000","45,763,000,000","43,752,000,000","42,123,000,000","40,968,000,000","39,534,000,000","35,984,000,000","35,401,000,000","36,576,000,000","35,325,000,000","33,486,000,000","31,761,000,000","33,323,000,000","31,872,000,000","29,984,000,000","30,029,000,000","31,982,000,000","30,788,000,000","30,260,000,000","32,508,000,000","29,018,000,000","28,752,000,000","29,555,000,000","36,440,000,000","26,634,000,000","29,567,000,000","21,645,000,000","19,765,000,000","17,861,000,000"
	StockholdersEquity,"57,949,000,000","54,533,000,000","56,187,000,000","53,180,000,000","53,667,000,000","52,928,000,000","52,093,544,606.919","50,890,539,335.077","53,738,621,586.476","52,576,250,654.457","54,885,443,706.843","54,149,879,129.734","53,632,574,735.39","52,630,494,101.019","55,159,995,032.496","53,970,522,190.013","56,830,074,502.368","55,959,896,402.412","55,672,002,882.586","54,207,736,405.152","54,107,762,896.825","51,179,676,992.001","53,436,511,023.961","55,574,629,461.33","55,273,305,371.398","54,088,588,910.048","52,351,817,288.259","49,793,729,372.937","49,709,565,400.4","50,273,301,858.891","55,725,791,028.284","57,658,464,618.789","58,958,538,719.718","56,792,655,325.208","57,713,598,342.671","56,715,826,863.307","50,813,428,369.335","50,088,258,892.752","48,851,233,746.289","42,520,536,300.047","40,148,210,684.302","39,626,086,956.522","38,152,955,367.913","30,882,894,494.568","27,434,008,594.23","30,593,000,000","41,293,000,000","43,411,000,000","16,493,000,000","31,397,000,000","41,448,000,000","41,950,000,000","42,467,000,000","40,767,000,000","38,713,000,000","37,168,000,000","36,696,000,000","33,735,000,000","30,146,000,000","29,619,000,000","31,880,000,000","30,651,000,000","27,716,000,000","27,737,000,000","29,687,000,000","28,587,000,000","27,046,000,000","27,109,000,000","29,378,000,000","28,233,000,000","27,623,000,000","29,984,000,000","26,575,000,000","26,270,000,000","27,069,000,000","33,883,000,000","24,909,000,000","27,779,000,000","21,403,000,000","19,521,000,000","17,620,000,000"
		CapitalStock,"338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","392,316,706.578","385,883,673.613","403,750,157.305","395,240,686.179","395,021,700.543","402,900,886.382","384,796,058.089","377,888,145.109","398,435,236.163","392,969,419.834","398,934,792.295","389,502,650.641","396,355,587.584","404,849,557.904","386,491,402.116","376,202,178.332","403,738,789.414","430,845,871.621","432,959,004.194","432,690,682.502","424,089,147.073","406,194,465.6","404,082,921.183","420,632,921.098","406,935,973.99","403,603,983.35","424,249,808.921","406,974,890.818","426,584,097.212","459,601,838.407","416,780,020.676","409,735,223.322","392,136,787.14","353,898,893.95","359,270,203.086","343,961,352.657","343,546,441.496","297,366,967.409","256,949,925.458","273,000,000","261,000,000","287,000,000","208,000,000","183,000,000","178,000,000","169,000,000","174,000,000","173,000,000","169,000,000","713,000,000","668,000,000","663,000,000","672,000,000","703,000,000","754,000,000","790,000,000","723,000,000","720,000,000","748,000,000","763,000,000","717,000,000","743,000,000","742,000,000","728,000,000","680,000,000","2,427,000,000","2,131,000,000","2,166,000,000","2,214,000,000",,"2,556,000,000","2,754,000,000","2,502,000,000","2,644,000,000","2,590,000,000"
			CommonStock,"338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","338,000,000","392,316,706.578","385,883,673.613","403,750,157.305","395,240,686.179","395,021,700.543","402,900,886.382","384,796,058.089","377,888,145.109","398,435,236.163","392,969,419.834","398,934,792.295","389,502,650.641","396,355,587.584","404,849,557.904","386,491,402.116","376,202,178.332","403,738,789.414","430,845,871.621","432,959,004.194","432,690,682.502","424,089,147.073","406,194,465.6","404,082,921.183","420,632,921.098","406,935,973.99","403,603,983.35","424,249,808.921","406,974,890.818","426,584,097.212","459,601,838.407","416,780,020.676","409,735,223.322","392,136,787.14","353,898,893.95","359,270,203.086","343,961,352.657","343,546,441.496","297,366,967.409","256,949,925.458","273,000,000","261,000,000","287,000,000","208,000,000","183,000,000","178,000,000","169,000,000","174,000,000","173,000,000","169,000,000","713,000,000","668,000,000","663,000,000","672,000,000","703,000,000","754,000,000","790,000,000","723,000,000","720,000,000","748,000,000","763,000,000","717,000,000","743,000,000","742,000,000","728,000,000","680,000,000","2,427,000,000","2,131,000,000","2,166,000,000","2,214,000,000",,"2,556,000,000","2,754,000,000","2,502,000,000","2,644,000,000","2,590,000,000"
		AdditionalPaidInCapital,"17,633,000,000","18,064,000,000","17,966,000,000","17,802,000,000","20,135,000,000","20,843,000,000","23,525,755,337.036","23,013,701,376.151","26,492,302,529.469","26,632,036,054.163","26,453,115,541.282","26,790,292,704.878","27,622,360,149.121","27,732,082,212.756","29,037,132,094.217","28,436,696,198.914","31,898,204,275.338","31,528,469,102.829","31,918,463,993.411","33,472,961,447.526","33,517,278,439.153","32,958,142,451.18","35,168,382,206.054","37,268,167,895.251","38,243,584,539.756","38,257,067,844.547","37,261,311,804.919","35,365,363,459.423","35,438,282,647.585","37,131,809,269.26","35,720,053,549.799","35,534,011,275.62","37,749,371,379.2","36,780,754,231.795","38,236,637,225.31","40,382,561,530.246","36,161,923,934.926","36,793,795,132.388","35,590,252,892.393","31,478,521,201.593","31,420,665,071.995","33,609,661,835.749","33,030,639,324.487","25,362,732,461.793","20,625,274,050.688","23,551,000,000","27,411,000,000","30,380,000,000","3,349,000,000","7,838,000,000","7,735,000,000","7,498,000,000","7,106,000,000","8,098,000,000","7,928,000,000","7,718,000,000","7,023,000,000","7,605,000,000","7,595,000,000","7,360,000,000","7,614,000,000","6,439,000,000","5,758,000,000","5,726,000,000","5,665,000,000","5,595,000,000","5,389,000,000","9,268,000,000","9,259,000,000","9,151,000,000","8,279,000,000","9,668,000,000","8,510,000,000","8,695,000,000","8,956,000,000",,"10,464,000,000","12,940,000,000","8,188,000,000","8,913,000,000","8,449,000,000"
		RetainedEarnings,"36,796,000,000","34,154,000,000","35,611,000,000","32,548,000,000","31,085,000,000","30,448,000,000","37,190,604,779.131","35,665,674,394.363","35,453,458,618.231","33,623,176,503.198","36,020,848,937.546","35,658,298,188.516","32,846,591,306.608","31,138,964,684.635","32,400,546,425.467","31,351,814,804.23","31,128,311,935.922","29,849,055,076.686","29,189,272,661.759","27,750,008,096.991","25,606,605,489.418","22,384,029,610.752","28,476,201,490.89","29,533,138,106.298","28,783,881,297.073","27,578,397,016.237","26,010,801,020.465","24,302,911,060.337","23,450,489,319.162","23,256,399,864.171","24,101,659,618.776","26,192,107,065.704","27,061,156,219.192","25,080,491,770.181","25,756,546,339.507","26,528,506,114.024","22,952,282,496.327","20,631,184,808.772","13,493,396,129.825","14,746,403,259.936","8,934,852,961.869","6,643,478,260.87","5,812,303,980.7","6,436,199,594.918","7,918,968,692.449","13,890,000,000","21,515,000,000","21,792,000,000","22,751,000,000","33,599,000,000","43,427,000,000","42,035,000,000","43,141,000,000","40,328,000,000","36,833,000,000","39,118,000,000","36,748,000,000","33,803,000,000","29,302,000,000","30,138,000,000","33,131,000,000","32,822,000,000","28,446,000,000","27,004,000,000","30,841,000,000","29,619,000,000","26,411,000,000","24,523,000,000","25,010,000,000","23,633,000,000","22,168,000,000","21,479,000,000","18,085,000,000","17,564,000,000","17,280,000,000",,"14,762,000,000","14,989,000,000","14,203,000,000","13,737,000,000","12,166,000,000"
		TreasuryStock,"3,636,000,000","3,326,000,000","3,151,000,000","2,843,000,000","2,210,000,000","2,631,000,000","2,121,567,228.817","2,036,663,960.469","1,594,026,595.075","2,189,736,061.35","2,211,095,492.648","2,281,360,863.15","2,209,828,790.741","2,207,455,684.027","2,370,948,379.352","2,381,292,614.216","2,215,383,340.069","1,712,799,967.626","1,691,460,338.704","1,753,268,485.431","1,448,826,058.201","1,408,735,576.388","1,514,020,460.304","1,624,647,974.239","1,650,656,203.491","1,161,729,410.572","1,136,426,386.297","1,026,064,144.876","1,130,169,420.183","1,173,171,506.501","1,100,745,872.203","1,066,441,856.789","830,776,388.227","1,232,613,246.342","1,379,993,985.498","1,226,404,905.62","538,658,251.265","699,652,313.453","613,289,648.817","596,915,627.916","567,515,594.953","1,004,830,917.874","1,021,954,161.641","1,195,912,354.999","1,374,199,771.99","2,944,000,000","4,699,000,000","5,506,000,000","6,184,000,000","9,143,000,000","9,227,000,000","7,810,000,000","9,011,000,000","8,381,000,000","6,562,000,000","9,762,000,000","7,895,000,000","8,173,000,000","7,110,000,000","8,123,000,000","8,134,000,000","7,953,000,000","6,407,000,000","5,057,000,000","6,877,000,000","6,597,000,000","5,322,000,000","7,299,000,000","5,541,000,000","5,164,000,000","3,468,000,000","3,924,000,000","2,224,000,000","2,038,000,000","1,165,000,000",,"3,125,000,000","2,478,000,000","3,078,000,000","5,431,000,000","5,213,000,000"
		GainsLossesNotAffectingRetainedEarnings,"6,818,000,000","5,303,000,000","5,422,000,000","5,335,000,000","4,320,000,000","3,930,000,000","-6,893,564,987.008","-6,138,056,148.58","-7,017,911,825.16","-5,884,466,527.734","-5,772,446,979.88","-6,420,251,786.892","-5,011,343,987.687","-4,410,985,257.455","-4,305,170,344","-3,829,665,618.748","-4,381,029,355.384","-4,094,330,460.119","-4,140,629,021.465","-5,666,814,211.839","-3,953,786,375.661","-3,127,939,079.518","-9,093,585,389.703","-10,021,654,493.027","-10,510,530,825.779","-10,967,131,283.311","-10,152,738,356.875","-9,194,380,976.559","-8,426,812,585.499","-9,320,743,556.32","-3,359,612,401.453","-3,367,932,978.555","-5,403,369,629.031","-4,202,573,611.451",,,,,,,,,,,,"-4,177,000,000","-3,195,000,000","-3,543,000,000","-3,631,000,000","-1,080,000,000","-664,000,000","58,000,000","1,057,000,000","548,000,000","346,000,000","-620,000,000","198,000,000","-163,000,000","-314,000,000","-459,000,000","-1,486,000,000","-1,446,000,000","-805,000,000","-655,000,000","-691,000,000","-793,000,000","-148,000,000","-128,000,000","-93,000,000","-115,000,000","-35,000,000","334,000,000","72,000,000","-116,000,000","-216,000,000","33,883,000,000","252,000,000","-426,000,000","-412,000,000","-341,000,000","-373,000,000"
