name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"29,905,000,000","8,171,000,000","7,068,000,000","7,158,000,000","7,510,000,000","7,213,000,000","7,061,552,300.403","7,354,154,990.574","7,587,375,088.954","8,076,051,847.812","7,319,652,188.196","7,300,206,232.109","7,650,930,858.022","7,506,021,808.442","6,894,250,211.028","7,226,683,776.959","7,461,315,477.892","7,183,934,844.105","6,751,042,046.052","7,318,680,187.368","8,413,313,612.662","8,586,516,203.704","6,837,373,461.566","7,206,316,829.809","7,897,718,985.268","8,069,498,940.152","7,024,462,798.742","6,909,119,021.061","7,772,700,346.958","8,090,076,817.847","7,354,679,064.776","6,818,036,932.362","6,790,663,364.772","7,186,769,609.092","-463,634,897.476","9,213,325,462.504","8,586,034,344.137","9,076,663,583.438","8,952,389,279.465","6,785,092,658.954","8,531,458,192.806","8,343,886,309.273","-11,892,392,324.144","9,143,925,693.607","5,668,385,196.096","4,836,446,549.154","22,571,000,000","5,291,000,000","7,433,000,000","8,054,000,000","4,764,000,000","5,570,000,000","13,180,000,000","11,187,000,000","10,800,000,000","8,619,000,000","10,113,000,000","9,852,000,000","9,192,000,000","10,398,000,000","9,307,000,000","10,839,000,000","11,841,000,000","8,136,000,000","7,481,000,000","8,125,000,000","8,230,000,000","6,411,000,000","6,713,000,000","5,819,000,000","6,700,000,000","5,481,000,000","6,451,000,000","5,743,000,000","4,779,000,000","5,478,000,000","5,689,000,000","5,858,000,000","6,896,000,000","4,870,000,000","5,507,000,000","5,697,000,000"
	OperatingRevenue,"29,905,000,000","8,171,000,000","7,068,000,000","7,158,000,000","7,510,000,000","7,213,000,000","7,061,552,300.403","7,354,154,990.574","7,587,375,088.954","8,076,051,847.812","7,319,652,188.196","7,300,206,232.109","7,650,930,858.022","7,506,021,808.442","6,894,250,211.028","7,226,683,776.959","7,461,315,477.892","7,183,934,844.105","6,751,042,046.052","7,318,680,187.368","8,413,313,612.662","8,586,516,203.704","6,837,373,461.566","7,206,316,829.809","7,897,718,985.268","8,069,498,940.152","7,024,462,798.742","6,909,119,021.061","7,772,700,346.958","8,090,076,817.847","7,354,679,064.776","6,818,036,932.362","6,790,663,364.772","7,186,769,609.092","-463,634,897.476","9,213,325,462.504","8,586,034,344.137","9,076,663,583.438","8,952,389,279.465","6,785,092,658.954","8,531,458,192.806","8,343,886,309.273","-11,892,392,324.144","9,143,925,693.607","5,668,385,196.096","4,836,446,549.154","22,571,000,000","5,291,000,000","7,433,000,000","8,054,000,000","4,764,000,000","5,570,000,000","13,180,000,000","11,187,000,000","10,800,000,000","8,619,000,000","10,113,000,000","9,852,000,000","9,192,000,000","10,398,000,000","9,307,000,000","10,839,000,000","11,841,000,000","8,136,000,000","7,481,000,000","8,125,000,000","8,230,000,000","6,411,000,000","6,713,000,000","5,819,000,000","6,700,000,000","5,481,000,000","6,451,000,000","5,743,000,000","4,779,000,000","5,478,000,000","5,689,000,000","5,858,000,000","6,896,000,000","4,870,000,000","5,507,000,000","5,697,000,000"
PretaxIncome,"6,039,000,000","2,008,000,000","928,000,000","1,345,000,000","1,759,000,000","1,546,000,000","569,896,418.199","1,699,699,393.692","1,682,853,735.053","2,069,088,468.476","877,742,303.073","1,252,783,107.436","1,571,836,704.794","1,689,104,774.47","732,219,626.627","907,604,421.079","1,519,821,989.956","1,013,397,991.856","236,736,675.974","811,242,085.757","1,899,014,326.276","2,798,445,767.196","408,563,656.038","-582,477,315.978","1,366,589,249.049","1,570,603,887.611","505,932,594.905","393,165,980.099","1,078,954,049.251","1,522,677,049.353","-1,666,987,499.55","-2,673,239,975.35","1,002,160,282.417","1,444,443,213.665","262,935,458.611","1,091,520,666.496","1,984,807,939.232","2,432,123,619.348","1,584,486,330.374","837,514,078.018","2,415,383,051.662","2,635,898,879.039","878,076,723.6","-572,255,729.795","-1,218,007,733.382","-1,366,307,112.163","-11,081,000,000","-548,000,000","-4,161,000,000","-11,983,000,000","-11,125,000,000","-801,000,000","4,981,000,000","3,475,000,000","3,300,000,000","2,164,000,000","3,287,000,000","3,201,000,000","1,969,000,000","2,673,000,000","2,201,000,000","2,815,000,000","2,832,000,000","1,722,000,000","1,988,000,000","2,370,000,000","2,054,000,000","1,558,000,000","1,648,000,000","1,126,000,000","-12,000,000","775,000,000","1,449,000,000","1,021,000,000","702,000,000","740,000,000","907,000,000","1,222,000,000","1,501,000,000","1,563,000,000","1,619,000,000","1,732,000,000"
TaxProvision,"1,270,000,000","410,000,000","200,000,000","294,000,000","366,000,000","407,000,000","173,864,370.51","426,962,857.288","394,904,330.918","479,256,680.23","3,249,186,420.146","279,080,266.357","342,204,129.472","374,801,355.282","106,986,513.81","50,709,939.148","383,783,121.708","279,772,451.739","-723,362,065.477","-1,333,196,067.329","478,262,277.738","692,377,645.503","-520,817,531.831","-1,384,697,879.32","352,306,259.607","382,221,620.89","-529,595,366.604","-245,176,538.151","132,224,760.938","481,953,067.452","96,980,114.959","-367,623,621.411","266,610,464.197","527,266,081.062","130,950,804.314","-43,438,067.34","452,401,809.607","463,572,555.634","-498,718,783.658","-844,681,068.905","287,369,597.96","565,639,510.342","-463,724,993.153","-47,285,886.61","-191,493,279.322","257,826,887.661","-1,894,000,000","-812,000,000","-3,754,000,000","-299,000,000","-274,000,000","-11,000,000","593,000,000","784,000,000","459,000,000","408,000,000","763,000,000","646,000,000","318,000,000","567,000,000","489,000,000","620,000,000","615,000,000","381,000,000","409,000,000","457,000,000","332,000,000","291,000,000","437,000,000","229,000,000","-110,000,000","137,000,000","215,000,000","212,000,000","88,000,000","183,000,000","306,000,000","315,000,000","349,000,000","360,000,000","362,000,000","400,000,000"
NetIncomeCommonStockholders,"4,758,000,000","1,595,000,000","722,000,000","1,049,000,000","1,392,000,000","1,141,000,000","395,146,074.285","1,269,679,523.106","1,286,947,108.879","1,587,734,384.832","-2,398,135,695.88","970,624,749.905","1,228,586,079.513","1,268,327,786.273","624,251,585.167","855,859,585.213","1,055,403,584.698","732,589,345.851","960,098,741.451","2,128,995,727.596","1,305,234,974.683","2,043,030,753.968","867,692,120.991","801,169,160.244","888,619,610.219","1,188,382,266.721","1,033,274,364.204","637,238,119.43","729,880,680.376","1,039,671,682.627","-1,773,048,626.232","-2,307,741,345.97","447,863,427.999","916,069,430.752","-153,905,306.112","1,134,958,733.836","1,533,606,134.425","1,966,374,666.739","2,048,851,423.511","1,703,696,119.586","1,852,656,089.741","2,065,569,157.169","1,159,658,047.936","-544,270,205.066","-1,290,738,353.894","-1,732,000,350.785","-9,119,000,000","263,000,000","-350,000,000","-11,563,000,000","-10,801,000,000","-714,000,000","4,601,000,000","2,695,000,000","2,980,000,000","1,759,000,000","2,572,000,000","2,833,000,000","4,851,000,000","2,140,000,000","1,674,000,000","2,195,000,000","2,217,000,000","1,341,000,000","1,579,000,000","1,913,000,000","1,722,000,000","1,267,000,000","1,211,000,000","897,000,000","98,000,000","638,000,000","1,450,000,000","809,000,000","614,000,000","557,000,000","601,000,000","907,000,000","1,152,000,000","1,203,000,000","1,257,000,000","1,332,000,000"
	NetIncome,"4,758,000,000","1,595,000,000","721,000,000","1,050,000,000","1,392,000,000","1,141,000,000","394,146,074.285","1,269,679,523.106","1,286,947,108.879","1,588,783,086.539","-2,399,162,295.065","970,624,749.905","1,228,586,079.513","1,267,328,315.993","624,251,585.167","856,894,481.931","1,055,403,584.698","733,625,540.116","960,098,741.451","2,130,025,222.628","1,306,314,573.504","2,043,030,753.968","900,053,598.697","801,169,160.244","1,013,160,994.985","1,188,382,266.721","1,033,274,364.204","637,238,119.43","945,671,490.226","1,039,671,682.627","-1,773,048,626.232","-2,307,741,345.97","447,863,427.999","916,069,430.752","-153,905,306.112","1,134,958,733.836","1,533,606,134.425","1,966,374,666.739","2,048,851,423.511","1,703,696,119.586","1,852,656,089.741","2,065,569,157.169","1,159,658,047.936","-544,270,205.066","-1,290,738,353.894","-1,732,000,350.785","-9,119,000,000","263,000,000","-350,000,000","-11,563,000,000","-10,801,000,000","-714,000,000","4,601,000,000","2,695,000,000","2,980,000,000","1,759,000,000","2,572,000,000","2,833,000,000","4,851,000,000","2,140,000,000","1,674,000,000","2,195,000,000","2,217,000,000","1,341,000,000","1,579,000,000","1,913,000,000","1,722,000,000","1,267,000,000","1,211,000,000","897,000,000","98,000,000","638,000,000","1,450,000,000","809,000,000","614,000,000","557,000,000","601,000,000","907,000,000","1,152,000,000","1,203,000,000","1,257,000,000","1,332,000,000"
		NetIncomeIncludingNoncontrollingInterests,"4,769,000,000","1,598,000,000","727,000,000","1,051,000,000","1,393,000,000","1,139,000,000","395,032,047.689","1,272,736,536.404","1,287,949,404.135","1,589,831,788.246","-2,371,444,117.073","972,676,810.687","1,229,632,575.322","1,314,303,419.188","625,233,112.817","857,929,378.648","1,136,038,868.248","733,625,540.116","961,110,436.648","2,144,438,153.086","1,420,752,048.539","2,106,068,121.693","929,381,187.868","802,220,563.342","1,014,282,989.442","1,188,382,266.721","1,035,527,961.509","638,342,518.25","946,729,288.313","1,040,723,981.9","-1,763,967,614.509","-2,305,616,353.939","735,549,818.22","917,177,132.603","130,870,857.699","1,134,958,733.836","1,533,606,134.425","1,968,551,063.714","2,083,297,011.872","1,682,195,146.923","2,128,013,453.702","2,071,197,411.003","1,317,668,106.035","-524,969,843.185","-1,020,069,968.698","-1,615,364,377.795","-8,988,000,000","385,000,000","-198,000,000","-11,455,000,000","-10,693,000,000","-613,000,000","4,723,000,000","2,828,000,000","2,982,000,000","1,843,000,000","2,656,000,000","2,833,000,000","4,968,000,000","2,252,000,000","1,788,000,000","2,369,000,000","2,361,000,000","1,434,000,000","1,666,000,000","1,982,000,000","1,814,000,000","1,328,000,000","1,279,000,000","950,000,000","153,000,000","684,000,000","1,519,000,000","880,000,000","672,000,000","611,000,000","644,000,000","946,000,000","1,181,000,000","1,207,000,000","1,263,000,000","1,348,000,000"
			NetIncomeContinuousOperations,"4,769,000,000","1,598,000,000","728,000,000","1,051,000,000","1,393,000,000","1,139,000,000","396,032,047.689","1,272,736,536.404","1,287,949,404.135","1,589,831,788.246","-2,371,444,117.073","973,702,841.078","1,229,632,575.322","1,314,303,419.188","625,233,112.817","856,894,481.931","1,136,038,868.248","733,625,540.116","960,098,741.451","2,144,438,153.086","1,420,752,048.539","2,106,068,121.693","929,381,187.868","802,220,563.342","1,014,282,989.442","1,188,382,266.721","1,035,527,961.509","638,342,518.25","946,729,288.313","1,040,723,981.9","-1,763,967,614.509","-2,305,616,353.939","735,549,818.22","917,177,132.603","131,984,654.297","1,134,958,733.836","1,532,406,129.625","1,968,551,063.714","2,083,205,114.033","1,682,195,146.923","2,128,013,453.702","2,070,259,368.698","1,341,801,716.753","-524,969,843.185","-1,026,514,454.06","-1,624,133,999.825","-9,187,000,000","264,000,000","-407,000,000","-11,684,000,000","-10,851,000,000","-790,000,000","4,388,000,000","2,691,000,000","2,841,000,000","1,756,000,000","2,524,000,000","2,555,000,000","1,651,000,000","2,106,000,000","1,712,000,000","2,195,000,000","2,217,000,000","1,341,000,000","1,579,000,000","1,913,000,000","1,722,000,000","1,267,000,000","1,211,000,000","897,000,000","98,000,000","638,000,000","1,234,000,000","809,000,000","614,000,000","557,000,000","601,000,000","907,000,000","1,152,000,000","1,203,000,000","1,257,000,000","1,332,000,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1,200,004.8","0","91,897.839","0","0","1,876,084.611","-23,168,592.624","0","6,444,485.362","9,646,584.232","68,000,000","-1,000,000","57,000,000","121,000,000","50,000,000","76,000,000","213,000,000","4,000,000","139,000,000","3,000,000","48,000,000","278,000,000","3,200,000,000","34,000,000","-38,000,000",,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"216,000,000",,,,,,,,,
