name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"1,889,477,000","1,647,548,000","1,464,677,000","1,292,058,000","1,107,679,000","1,023,800,000","916,987,000","860,540,000","764,007,000","788,580,000","791,677,000","816,019,000","957,000,000","913,441,000","876,920,000","762,360,000","684,757,000","634,794,000","551,209,000","485,320,000","468,600,000","420,100,000","229,400,000","193,400,000","175,700,000","169,100,000","185,700,000"
	CurrentAssets,"1,093,072,000","995,278,000","863,487,000","756,438,000","648,232,000","573,006,000","496,398,000","453,173,000","358,194,000","381,999,000","383,349,000","380,908,000","500,525,000","475,135,000","502,178,000","406,483,000","332,313,000","294,097,000","234,966,000","200,359,000","215,500,000","181,900,000","157,600,000","126,600,000","116,300,000","114,300,000","143,900,000"
		CashCashEquivalentsAndShortTermInvestments,"186,863,000","42,071,000","39,608,000","44,439,000","94,499,000",,"0","7,647,000","11,305,000","43,363,000","82,219,000","13,337,000","43,605,000","51,108,000","46,215,000","25,274,000","17,430,000","13,454,000","22,887,000","2,392,000","4,100,000","900,000","3,200,000","1,300,000","21,500,000","100,000","1,300,000"
			CashAndCashEquivalents,"168,336,000","27,316,000","28,339,000","34,091,000","87,756,000",,"0","7,647,000","11,305,000","43,363,000","82,219,000","13,337,000","43,605,000","51,108,000","46,215,000","25,274,000","17,430,000","13,454,000","22,887,000","2,392,000","4,100,000","900,000","3,200,000","1,300,000","21,500,000","100,000","1,300,000"
			OtherShortTermInvestments,"18,527,000","14,755,000","11,269,000","10,348,000","6,743,000",,,,,,"0",,,,,,,,,,,,,,,,
		Receivables,"377,299,000","357,580,000","334,979,000","293,712,000","230,748,000","207,846,000","182,687,000","170,746,000","134,774,000","126,780,000","117,774,000","138,043,000","142,562,000","148,242,000","185,080,000","151,811,000","137,660,000","105,217,000","86,256,000","64,386,000","70,000,000","62,800,000","35,600,000","32,100,000","24,600,000","30,800,000","30,400,000"
			AccountsReceivable,"364,027,000","343,450,000","327,751,000","282,253,000","222,964,000","195,912,000","180,452,000","163,225,000","131,292,000","126,780,000","107,383,000","138,043,000","142,562,000","148,242,000","185,080,000","151,811,000","137,660,000","105,217,000","86,256,000",,,,,,,,
				GrossAccountsReceivable,"368,467,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,440,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"13,272,000","14,130,000","7,228,000","11,459,000","7,784,000","11,934,000","2,235,000","7,521,000","3,482,000","0","10,391,000",,,,,,,,,,,,,,,,
