name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"4,432,946,000","4,416,009,000","4,489,180,000","3,941,182,000","3,240,493,000","2,887,071,000","2,660,329,000","2,470,448,000","2,054,933,000","1,822,336,000","1,890,851,000","1,673,000,000","2,232,394,000","2,513,178,000","2,664,572,000","2,691,522,000","2,453,281,000","1,898,830,000","1,639,899,000","1,530,353,000","1,389,443,000","1,435,100,000","1,238,900,000","1,066,300,000","867,700,000","739,300,000","866,000,000","644,200,000"
	OperatingRevenue,"4,511,284,000","4,492,183,000","4,565,749,000","4,006,203,000","3,290,249,000","2,927,093,000","2,697,930,000","2,470,448,000","2,086,005,000","1,822,336,000","1,890,851,000","1,673,000,000","2,232,394,000","2,513,178,000","2,664,572,000","2,691,522,000","2,453,281,000","1,898,830,000","1,639,899,000","1,530,353,000","1,389,443,000","1,435,100,000","1,238,900,000","1,066,300,000","867,700,000","739,300,000","866,000,000","644,200,000"
CostOfRevenue,"3,734,459,000","3,730,491,000","3,896,286,000","3,398,356,000","2,765,903,000","2,487,167,000","2,334,987,000","2,189,896,000","1,829,824,000","1,622,609,000","1,660,896,000","1,430,249,000","1,978,193,000","2,204,149,000","2,282,890,000","2,332,266,000","2,157,028,000","1,640,844,000","1,409,489,000","1,318,874,000","1,180,968,000","1,234,400,000","1,074,600,000","960,800,000","771,700,000","657,900,000","770,900,000","565,200,000"
GrossProfit,"698,487,000","685,518,000","592,894,000","542,826,000","474,590,000","399,904,000","325,342,000","280,552,000","225,109,000","199,727,000","229,955,000","242,751,000","254,201,000","309,029,000","381,682,000","359,256,000","296,253,000","257,986,000","230,410,000","211,479,000","208,475,000","200,700,000","164,300,000","105,500,000","96,000,000","81,400,000","95,100,000","79,000,000"
OperatingExpense,"443,069,000","439,047,000","392,235,000","362,220,000","310,152,000","264,265,000","231,375,000","205,916,000","187,247,000","181,363,000","197,617,000","199,934,000","235,796,000","255,537,000","258,591,000","235,651,000","199,944,000","177,970,000","158,299,000","145,722,000","145,853,000","137,900,000","112,100,000","73,500,000","63,500,000","55,100,000","72,500,000","58,800,000"
	SellingGeneralAndAdministration,"443,069,000","439,047,000","392,235,000","362,220,000","310,152,000","264,265,000","229,775,000","204,390,000","184,919,000","181,363,000","197,617,000","200,026,000","228,557,000","255,537,000","258,591,000","235,651,000","201,335,000","177,970,000","158,299,000","145,722,000","124,391,000","119,700,000","97,100,000","63,500,000","55,200,000","47,500,000","66,800,000","54,100,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"21,462,000","18,200,000","15,000,000","10,000,000","8,300,000","7,600,000","5,700,000","4,700,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"21,462,000","18,200,000","15,000,000","10,000,000","8,300,000","7,600,000","5,700,000","4,700,000"
	OtherTaxes,,,,,"0","0","1,600,000","1,526,000","2,328,000",,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,"-92,000","7,239,000",,,,"-1,391,000",,,,,,,,,,,
OperatingIncome,"255,418,000","246,471,000","200,659,000","180,606,000","164,438,000","135,639,000","93,967,000","74,636,000","37,862,000","18,364,000","32,338,000","42,817,000","18,405,000","53,492,000","123,091,000","123,605,000","96,309,000","80,016,000","72,111,000","65,757,000","62,622,000","62,800,000","52,200,000","32,000,000","32,500,000","26,300,000","22,600,000","20,200,000"
NetNonOperatingInterestIncomeExpense,"-6,107,000","-6,755,000","-7,522,000","-5,487,000","-4,034,000","-4,839,000","-2,032,000","-4,211,000","-3,543,000","-3,166,000","-3,248,000","-4,220,000","-11,259,000",,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,041,000","1,945,000","1,371,000","731,000","541,000","294,000","2,235,000","640,000","510,000","566,000","301,000","391,000","829,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"8,148,000","8,700,000","8,893,000","6,218,000","4,575,000","5,133,000","4,267,000","4,851,000","4,053,000","3,732,000","3,549,000","4,611,000","12,088,000",,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,324,000","958,000","4,716,000","888,000","267,000","202,000","3,778,000","-167,000","6,745,000","-6,353,000","-2,049,000",,,,"654,000","1,240,000","2,761,000",,"1,082,000","246,000","31,000","600,000","400,000","-1,700,000","300,000","1,000,000","1,600,000","700,000"
	GainOnSaleOfSecurity,"-1,998,000","2,523,000","-1,888,000",,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,"25,000","267,000","374,000","378,000","201,000","79,000",,,,,,,,,,,,,,,,,,,
