name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"26,561,355,000","23,351,119,000","21,771,583,000","20,682,532,000","19,094,245,000","17,500,960,000","16,911,852,000","14,927,196,000","13,541,398,000","12,404,932,000","11,663,355,000","10,976,596,000","9,342,959,000","8,917,765,000","8,247,789,000","7,805,006,000","7,748,981,000","8,035,559,000","8,730,932,000","7,866,883,000","8,131,321,000","7,648,100,000","7,054,000,000","6,512,000,000","6,281,300,000","6,599,000,000","6,528,800,000","5,003,200,000","4,692,100,000","4,271,600,000","4,038,100,000"
	CashCashEquivalentsAndFederalFundsSold,"3,276,794,000","2,319,954,000","1,936,084,000","1,462,267,000","1,154,721,000","2,101,790,000","2,701,486,000","1,478,142,000","1,676,665,000","1,439,866,000","1,845,053,000","1,234,000,000","1,537,899,000","1,395,600,000","1,041,252,000","792,815,000","925,699,000","809,534,000","912,517,000","1,136,400,000","898,772,000","911,900,000","992,500,000","772,800,000","751,700,000","1,060,200,000","1,005,600,000","979,900,000","1,092,800,000","580,100,000","1,102,700,000"
		CashAndCashEquivalents,"1,698,449,000","1,692,953,000","1,744,483,000","1,137,940,000","981,094,000","1,983,685,000","2,614,468,000","1,388,274,000","1,610,587,000","1,204,690,000","1,515,288,000","998,908,000","806,600,000","531,188,000","601,414,000","499,216,000","648,984,000","691,703,000","790,672,000","975,324,000","766,108,000","850,500,000","921,300,000","772,600,000","696,400,000","770,800,000","666,400,000","612,800,000","762,100,000","439,700,000","620,800,000"
			CashFinancial,"472,958,000","645,123,000","392,723,000","422,117,000","458,217,000","444,299,000","521,001,000","667,774,000",,,,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,"599,580,000","497,382,000","647,150,000",,,,,,,,,,,,,,
			CashAndDueFromBanks,"1,225,491,000","1,047,830,000","1,351,760,000","715,823,000","522,877,000","1,539,386,000","2,093,467,000","720,500,000","1,610,587,000","1,204,690,000","1,515,288,000","998,908,000","806,600,000","531,188,000","1,834,000","1,834,000","1,834,000","691,703,000","790,672,000","975,324,000","766,108,000","850,500,000","921,300,000","772,600,000","696,400,000","770,800,000","666,400,000","612,800,000","762,100,000","439,700,000","620,800,000"
		MoneyMarketInvestments,"1,578,345,000","627,001,000","191,601,000","324,327,000","173,627,000","118,105,000","87,018,000","89,868,000","66,078,000","235,176,000","329,765,000","235,092,000","731,299,000","864,412,000","439,838,000","293,599,000","276,715,000","117,831,000","121,845,000","161,076,000","132,664,000","61,400,000","71,200,000","200,000","55,300,000","289,400,000","339,200,000","367,100,000","330,700,000","140,400,000","481,900,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"1,578,345,000","627,001,000","191,601,000","324,327,000","173,627,000","118,105,000","87,018,000","89,868,000","66,078,000","235,176,000","329,765,000","235,092,000","731,299,000","864,412,000","439,838,000","293,599,000","276,715,000","117,831,000","121,845,000","161,076,000","132,664,000","61,400,000","71,200,000","200,000","55,300,000","289,400,000","339,200,000","367,100,000","330,700,000","140,400,000","481,900,000"
	FederalHomeLoanBankStock,,,,,,"68,474,000","50,482,000","26,333,000","22,212,000","23,011,000","22,732,000",,,,,,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"8,717,502,000","7,848,149,000","7,639,543,000","7,690,108,000","7,568,870,000","7,217,193,000","7,000,645,000","7,107,983,000","6,277,482,000","5,719,093,000","5,003,720,000","4,924,407,000","3,467,493,000","3,347,963,000","3,448,723,000","3,824,232,000","3,782,723,000","4,195,623,000","4,606,885,000","3,226,130,000","3,974,860,000","3,791,100,000","2,945,000,000","399,000,000","397,800,000","415,800,000","362,600,000","242,700,000","2,057,200,000","1,956,900,000","1,375,200,000"
		TradingSecurities,"45,618,000","61,011,000","54,055,000","39,536,000","29,617,000","27,203,000","28,464,000","55,764,000","58,142,000","42,480,000","38,214,000","38,480,000","43,883,000","64,534,000","58,488,000","60,221,000","60,780,000","73,308,000","84,962,000","80,664,000","77,074,000","36,000,000","60,500,000","79,800,000","86,000,000","31,000,000","83,700,000","39,000,000","94,400,000","75,200,000","33,100,000"
		AvailableForSaleSecurities,"108,420,000","73,692,000","65,897,000","68,306,000","65,198,000",,,,"6,130,094,000","5,613,047,000","4,908,520,000","4,836,577,000","3,423,610,000","3,283,429,000","3,390,235,000","3,764,011,000","3,721,943,000","4,122,315,000","4,521,923,000","3,145,466,000","3,897,786,000","3,755,100,000","2,884,500,000","319,200,000","311,800,000","384,800,000","278,900,000","203,700,000","1,962,800,000","1,881,700,000","1,342,100,000"
		HeldToMaturitySecurities,"1,116,102,000","1,170,646,000","1,261,014,000","1,115,932,000","667,106,000","278,054,000","209,770,000","114,756,000","89,246,000","63,566,000","56,986,000","49,350,000",,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"7,447,362,000","6,542,800,000","6,258,577,000","6,466,334,000","6,806,949,000","6,911,936,000","6,762,411,000","6,937,463,000",,,,,,,,,,,,,,,,,,,,,,,
	NetLoan,"13,337,737,000","12,077,707,000","11,181,369,000","10,454,013,000","9,350,207,000","7,390,278,000","6,447,118,000","5,619,200,000","4,898,541,000","4,524,145,000","4,268,089,000","4,357,737,000","3,883,379,000","3,722,639,000","3,352,579,000","2,826,501,000","2,678,798,000","2,636,458,000","2,778,121,000","3,041,959,000","2,809,957,000","2,526,000,000","2,752,800,000","2,524,300,000","2,419,800,000","2,237,100,000","2,124,200,000","1,458,600,000","1,322,900,000","1,521,400,000","1,370,000,000"
		GrossLoan,"13,439,525,000","12,181,342,000","11,281,973,000","10,545,662,000","9,431,350,000","7,466,418,000","6,521,869,000","5,690,626,000","4,970,558,000","4,598,097,000","4,332,228,000","4,410,034,000","3,929,365,000","3,767,565,000","3,393,404,000","2,869,224,000","2,722,292,000","2,673,786,000","2,813,758,000","3,073,957,000","2,841,150,000","2,559,200,000","2,786,100,000","2,557,700,000","2,452,900,000","2,271,200,000","2,162,500,000","1,483,100,000","1,353,900,000","1,558,100,000","1,410,200,000"
			LoansHeldForSale,"7,803,000","3,192,000","1,460,000","5,279,000","589,000","624,000","1,357,000","3,877,000","10,215,000","14,414,000","17,523,000","21,886,000",,,,,,,,,,,,,,,,,,,
			CommercialLoan,"6,487,031,000","6,037,065,000","5,283,617,000","4,923,321,000","4,641,027,000","3,929,718,000","3,404,773,000","2,978,014,000","2,330,156,000","3,452,068,000","3,219,404,000",,,,,,,,,,,,,,,,,,,,
			ConsumerLoan,"360,216,000","375,767,000","404,480,000","409,660,000","446,347,000","411,266,000","381,248,000","389,068,000","432,124,000","1,131,615,000","1,095,301,000",,,,,,,,,,,,,,,,,,,,
			MortgageLoan,"6,582,497,000","5,760,070,000","5,568,449,000","5,167,870,000","4,301,530,000","3,085,720,000","2,710,510,000","2,300,583,000","2,198,063,000",,,,,,,,,,,,,,,,,,,,,,
			OtherLoanAssets,"1,978,000","5,248,000","23,967,000","39,532,000","41,857,000","39,090,000","23,981,000","19,084,000","4,960,343,000","4,583,683,000","4,314,705,000","4,388,148,000","3,929,365,000","3,767,565,000","3,393,404,000","2,869,224,000","2,722,292,000","2,673,786,000","2,813,758,000","3,073,957,000","2,841,150,000","2,559,200,000","2,786,100,000","2,557,700,000","2,452,900,000","2,271,200,000","2,162,500,000","1,483,100,000","1,353,900,000","1,558,100,000","1,410,200,000"
		AllowanceForLoansAndLeaseLosses,"101,788,000","103,635,000","100,604,000","91,649,000","81,143,000","76,140,000","74,751,000","71,426,000","72,017,000","73,952,000","64,139,000","52,297,000","45,986,000","44,926,000","40,825,000","42,723,000","43,494,000","37,328,000","35,637,000","31,998,000","31,193,000","33,200,000","33,300,000","33,400,000","32,700,000","32,500,000","38,300,000","24,500,000","31,000,000","27,300,000","27,200,000"
		UnearnedIncome,,,,,,,,,,,,,,,,,,,,,,,,,"-400,000","-1,600,000",,,,"-9,400,000","-13,000,000"
	Receivables,"124,508,000","110,168,000","98,863,000","99,045,000","90,127,000","79,297,000","78,216,000","69,749,000","75,997,000","76,653,000","64,949,000",,,,,,,,,"71,642,000","75,540,000","70,000,000","72,600,000","72,700,000","79,100,000","81,200,000","72,600,000","53,900,000",,,
		AccountsReceivable,,,,,,,,,,,,,,,,,,,,"71,642,000","75,540,000","70,000,000","72,600,000","72,700,000","79,100,000","81,200,000","72,600,000","53,900,000",,,
			GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,"71,642,000","75,540,000","70,000,000","72,600,000","72,700,000","79,100,000","81,200,000","72,600,000","53,900,000",,,
		OtherReceivables,"124,508,000","110,168,000","98,863,000","99,045,000","90,127,000","79,297,000","78,216,000","69,749,000","75,997,000","76,653,000","64,949,000",,,,,,,,,,,,,,,,,,,,
	NetPPE,"300,334,000","283,879,000","275,942,000","289,007,000","281,471,000","257,835,000","249,689,000","244,600,000","227,936,000","219,727,000","217,642,000","226,790,000","235,528,000","243,216,000","236,038,000","226,239,000","219,281,000","230,678,000","240,656,000","250,700,000","239,535,000","206,200,000","172,800,000","152,900,000","147,600,000","130,300,000","128,900,000","105,100,000","96,500,000","89,600,000","85,700,000"
		GrossPPE,"803,622,000","758,441,000","709,493,000","700,626,000","659,392,000","598,495,000","591,872,000","567,988,000","530,989,000","526,160,000","502,393,000",,,,,,,,,,,,,,,,,,,,
			LandAndImprovements,"42,987,000","44,580,000","46,415,000","45,634,000","46,430,000","43,798,000","44,731,000","45,578,000","44,855,000","45,036,000","46,032,000",,,,,,,,,,,,,,,,,,,,
			BuildingsAndImprovements,"358,291,000","344,267,000","328,384,000","325,510,000","316,988,000","301,687,000","300,175,000","295,147,000","284,843,000","278,038,000","263,572,000",,,,,,,,,,,,,,,,,,,,
			MachineryFurnitureEquipment,"402,344,000","369,594,000","334,694,000","329,482,000","295,974,000","253,010,000","246,966,000","227,263,000","201,291,000","203,086,000","192,789,000",,,,,,,,,,,,,,,,,,,,
		AccumulatedDepreciation,"-503,288,000","-474,562,000","-433,551,000","-411,619,000","-377,921,000","-340,660,000","-342,183,000","-323,388,000","-303,053,000","-306,433,000","-284,751,000",,,,,,,,,,,,,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"208,464,000","195,870,000","201,124,000","262,887,000","275,128,000","253,749,000","265,343,000","278,561,000","295,445,000","303,411,000","178,818,000","123,025,000","110,975,000","113,032,000","63,805,000","63,974,000","63,029,000","61,580,000","61,827,000","43,550,000","50,710,000","53,400,000","60,500,000","67,500,000","74,700,000","78,100,000","85,300,000","24,700,000",,,
		Goodwill,"180,867,000","180,867,000","180,867,000","228,396,000","228,346,000","209,758,000","209,758,000","209,758,000","211,114,000","211,114,000","131,356,000","104,924,000",,,,,,,,,,,,,,,,,,,
		OtherIntangibleAssets,"27,597,000","15,003,000","20,257,000","34,491,000","46,782,000","43,991,000","55,585,000","68,803,000","84,331,000","92,297,000","47,462,000","18,101,000",,,,,,,,,,,,,,,,,,,
	AssetsHeldForSale,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherAssets,"596,016,000","515,392,000","438,658,000","425,205,000","373,721,000","132,344,000","118,873,000","102,628,000","89,332,000","99,026,000","85,084,000","110,637,000","107,685,000","95,315,000","105,392,000","71,245,000","79,451,000","101,686,000","130,926,000","96,502,000","81,947,000","89,500,000","57,800,000","2,522,800,000","2,410,600,000","2,596,300,000","2,749,600,000","2,138,300,000","122,700,000","123,600,000","104,500,000"
TotalLiabilitiesNetMinorityInterest,"23,954,915,000","21,122,649,000","19,590,052,000","18,720,148,000","17,200,551,000","15,857,202,000","15,405,787,000","13,647,851,000","12,350,266,000","11,344,072,000","10,647,804,000","10,001,785,000","8,452,385,000","8,068,890,000","7,414,326,000","6,985,824,000","6,937,058,000","7,232,759,000","7,962,355,000","7,163,949,000","7,476,330,000","6,985,300,000","6,429,800,000","5,929,500,000","5,658,800,000","6,041,700,000","5,942,200,000","4,603,500,000","4,319,400,000","3,928,500,000","3,722,100,000"
	TotalDeposits,"21,603,244,000","19,281,260,000","18,023,000,000","16,570,614,000","15,092,752,000","13,616,859,000","13,640,766,000","11,653,365,000","10,169,911,000","9,028,741,000","8,534,488,000","7,725,326,000","6,550,802,000","6,308,964,000","5,920,822,000","5,383,704,000","5,635,687,000","5,846,947,000","6,375,511,000","5,935,204,000","5,923,935,000","5,896,800,000","5,547,000,000","5,190,500,000","4,813,700,000","5,132,800,000","5,161,800,000","3,843,200,000","3,410,200,000","3,254,100,000","3,317,500,000"
		InterestBearingDepositsLiabilities,"14,658,779,000","12,601,190,000","11,183,829,000","9,916,030,000","8,785,857,000","7,972,870,000","8,450,768,000","6,732,784,000","6,228,539,000","6,139,860,000","5,759,266,000","5,341,872,000","4,456,380,000","4,015,868,000","3,868,900,000","3,390,423,000","3,537,565,000","4,035,940,000","4,288,197,000","3,755,428,000","4,142,794,000","3,851,700,000","3,640,400,000","3,466,000,000","3,178,700,000","3,562,300,000","3,673,500,000","2,790,000,000","2,530,000,000","2,425,300,000","2,328,600,000"
			CustomerAccounts,"14,658,779,000","12,601,190,000","11,183,829,000","9,916,030,000","8,785,857,000","7,972,870,000","8,450,768,000","6,732,784,000","6,228,539,000","6,139,860,000","5,759,266,000","5,341,872,000","4,456,380,000","4,015,868,000","3,868,900,000","3,390,423,000","3,537,565,000","4,035,940,000","4,288,197,000","3,755,428,000","4,142,794,000","3,851,700,000","3,640,400,000","3,466,000,000","3,178,700,000","3,562,300,000","3,673,500,000","2,790,000,000","2,530,000,000","2,425,300,000","2,328,600,000"
		NonInterestBearingDeposits,"6,944,465,000","6,680,070,000","6,839,171,000","6,654,584,000","6,306,895,000","5,643,989,000","5,189,998,000","4,920,581,000","3,941,372,000","2,888,881,000","2,775,222,000","2,383,454,000","2,094,422,000","2,293,096,000","2,051,922,000","1,993,281,000","2,098,122,000","1,811,007,000","2,087,314,000","2,179,776,000","1,781,141,000","2,045,100,000","1,906,600,000","1,724,500,000","1,635,000,000","1,570,500,000","1,488,300,000","1,053,200,000","880,200,000","828,800,000","988,900,000"
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,"1,896,508,000","1,518,920,000","1,260,704,000","1,856,937,000","1,818,062,000","2,025,132,000","1,583,218,000","1,787,270,000","1,950,827,000","2,084,342,000","1,927,607,000","2,127,353,000","1,734,749,000","1,620,945,000","1,360,942,000","1,506,000,000","1,173,927,000","1,209,770,000","1,288,638,000","909,755,000","1,417,363,000","922,300,000","715,600,000","614,400,000","721,300,000","801,000,000","625,100,000","660,800,000","748,000,000","508,200,000","242,500,000"
