name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"9,359,000,000","9,351,000,000","8,047,000,000","6,641,000,000","5,762,000,000","5,817,000,000","5,685,000,000","4,955,000,000","4,117,000,000","2,611,000,000","2,237,000,000","2,358,000,000","3,267,000,000","3,731,000,000","3,640,000,000","3,563,000,000","3,094,000,000","2,867,236,000","2,820,989,000","2,886,605,000","2,918,861,000","2,233,600,000","1,220,300,000"
	OperatingRevenue,"9,359,000,000","9,351,000,000","8,047,000,000","6,641,000,000","5,762,000,000","5,817,000,000","5,685,000,000","4,955,000,000","4,117,000,000","2,611,000,000","2,237,000,000","2,358,000,000","3,267,000,000","3,731,000,000","3,640,000,000","3,563,000,000","3,094,000,000","2,867,236,000","2,820,989,000","2,886,605,000","2,918,861,000","2,233,600,000","1,220,300,000"
CostOfRevenue,"5,723,000,000","5,681,000,000","4,683,000,000","3,872,000,000","3,359,000,000","3,337,000,000","3,253,000,000","2,968,000,000","2,530,000,000","1,713,000,000","1,579,000,000","1,748,000,000","2,164,000,000","2,423,000,000","2,351,000,000","2,013,000,000","1,757,000,000","1,686,658,000","1,609,164,000","1,847,135,000","1,502,160,000","1,128,100,000","619,600,000"
GrossProfit,"3,636,000,000","3,670,000,000","3,364,000,000","2,769,000,000","2,403,000,000","2,480,000,000","2,432,000,000","1,987,000,000","1,587,000,000","898,000,000","658,000,000","610,000,000","1,103,000,000","1,308,000,000","1,289,000,000","1,550,000,000","1,337,000,000","1,180,578,000","1,211,825,000","1,039,470,000","1,416,701,000","1,105,500,000","600,700,000"
OperatingExpense,"1,482,000,000","1,499,000,000","1,346,000,000","1,162,000,000","974,000,000","982,000,000","1,031,000,000","888,000,000","786,000,000","464,000,000","427,000,000","465,000,000","586,000,000","649,000,000","663,000,000","665,000,000","703,000,000","808,811,000","746,132,000","548,514,000","868,762,000","696,100,000","408,000,000"
	SellingGeneralAndAdministration,"1,079,000,000","1,092,000,000","1,038,000,000","903,000,000","719,000,000","714,000,000","758,000,000","642,000,000","588,000,000","407,000,000","367,000,000","408,000,000","528,000,000","595,000,000","613,000,000","596,000,000","497,000,000","451,347,000","438,918,000","441,751,000","454,330,000","352,600,000","195,600,000"
	DepreciationAmortizationDepletionIncomeStatement,"403,000,000","407,000,000","308,000,000","259,000,000","255,000,000","268,000,000","273,000,000","246,000,000","198,000,000","57,000,000","60,000,000","57,000,000","58,000,000","54,000,000","50,000,000","454,000,000","378,000,000","393,201,000","384,849,000","106,763,000","414,432,000","343,500,000","212,400,000"
		DepreciationAndAmortizationInIncomeStatement,"403,000,000","407,000,000","308,000,000","259,000,000","255,000,000","268,000,000","273,000,000","246,000,000","198,000,000","57,000,000",,"57,000,000",,"54,000,000","50,000,000","454,000,000","378,000,000","393,201,000","384,849,000","106,763,000","414,432,000","343,500,000","212,400,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"-385,000,000","-172,000,000","-35,737,000","-77,635,000",,,,
OperatingIncome,"2,154,000,000","2,171,000,000","2,018,000,000","1,607,000,000","1,429,000,000","1,498,000,000","1,401,000,000","1,099,000,000","801,000,000","434,000,000","231,000,000","145,000,000","517,000,000","659,000,000","626,000,000","885,000,000","634,000,000","371,767,000","465,693,000","490,956,000","547,939,000","409,400,000","192,700,000"
NetNonOperatingInterestIncomeExpense,"-633,000,000","-648,000,000","-481,000,000","-464,000,000","-511,000,000","-567,000,000","-555,000,000","-478,000,000","-516,000,000","-235,000,000","-263,000,000","-230,000,000","-183,000,000",,,,,,,,,,
	InterestExpenseNonOperating,"633,000,000","648,000,000","481,000,000","464,000,000","511,000,000","567,000,000","555,000,000","478,000,000","516,000,000",,,"230,000,000","183,000,000",,,,,,,,,,
	TotalOtherFinanceCost,,"648,000,000","481,000,000","464,000,000","511,000,000","567,000,000","555,000,000","478,000,000","516,000,000","235,000,000","263,000,000",,,,,,,,,,,,
OtherIncomeExpense,"-1,000,000","-9,000,000","-61,000,000","-95,000,000","-9,000,000","32,000,000","4,000,000","-16,000,000","-197,000,000","-35,000,000","-31,000,000","-32,000,000","-1,147,000,000","115,000,000",,"9,000,000","-381,000,000","-429,924,000","-275,275,000","-35,343,000","1,836,000","-27,800,000","-50,200,000"
	SpecialIncomeCharges,"-12,000,000","-19,000,000","-67,000,000","-100,000,000","-14,000,000","20,000,000","-10,000,000","-21,000,000","-210,000,000","-35,000,000","-31,000,000","-32,000,000","-1,147,000,000","115,000,000",,"9,000,000","-381,000,000","-429,924,000","-275,275,000","-35,343,000","1,836,000","-27,800,000","-50,200,000"
		RestructuringAndMergernAcquisition,"12,000,000","19,000,000","67,000,000","100,000,000","14,000,000","-20,000,000","10,000,000","21,000,000","210,000,000","38,000,000","34,000,000","31,000,000",,,,,"-1,000,000",,"28,262,000","28,922,000",,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,"0","0","1,147,000,000",,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"-3,000,000","-3,000,000","1,000,000",,,,,"382,000,000",,"247,013,000","6,421,000",,,
	OtherNonOperatingIncomeExpenses,"11,000,000","10,000,000","6,000,000","5,000,000","5,000,000","12,000,000","14,000,000","5,000,000","13,000,000",,,,,,,,,,,,,,
PretaxIncome,"1,520,000,000","1,514,000,000","1,476,000,000","1,048,000,000","909,000,000","963,000,000","850,000,000","605,000,000","88,000,000","164,000,000","-63,000,000","-107,000,000","-813,000,000","578,000,000","405,000,000","310,000,000","-88,000,000","-303,222,000","-101,384,000","214,550,000","301,496,000","241,800,000","78,300,000"
TaxProvision,"348,000,000","340,000,000","380,000,000","-298,000,000","343,000,000","378,000,000","310,000,000","218,000,000","13,000,000","63,000,000","-41,000,000","-47,000,000","-109,000,000","215,000,000","156,000,000","123,000,000","-4,000,000","-58,912,000","8,102,000","91,977,000","125,121,000","99,100,000","43,500,000"
NetIncomeCommonStockholders,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-26,000,000","-62,000,000","-943,000,000","362,000,000","224,000,000","187,000,000","-84,000,000","-244,310,000","-397,825,000","111,256,000","176,375,000","142,700,000","13,500,000"
	NetIncome,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-26,000,000","-62,000,000","-704,000,000","362,000,000","224,000,000","187,000,000","-84,000,000","-244,310,000","-397,825,000","111,256,000","176,375,000","142,700,000","13,500,000"
		NetIncomeIncludingNoncontrollingInterests,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-26,000,000","-62,000,000","-704,000,000","362,000,000","224,000,000","187,000,000","-84,000,000","-244,310,000","-397,825,000","111,256,000","176,375,000","142,700,000","13,500,000"
			NetIncomeContinuousOperations,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-22,000,000","-60,000,000","-704,000,000","363,000,000","249,000,000","187,000,000","-84,000,000","-244,310,000","-109,486,000","122,573,000","176,375,000","142,700,000","34,800,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,"0","0","-4,000,000","-2,000,000","0","-1,000,000","-25,000,000",,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,"-288,339,000","-11,317,000",,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,"-21,300,000"
	PreferredStockDividends,,,,,,,,,,,,,"239,000,000",,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-26,000,000","-62,000,000","-943,000,000","362,000,000","224,000,000","187,000,000","-84,000,000","-244,310,000","-397,825,000","111,256,000","176,375,000","142,700,000","13,500,000"
BasicEPS,,"15.188","13.253","15.91","6.491","6.145","5.54","4.14","0.904","1.62","-0.44","-1.02","-12.62","3.6","2.32","1.97","-1.07","-3.35","-5.25","1.54","2.48","2","0.2"
DilutedEPS,,"15.11","13.12","15.73","6.45","6.07","5.15","3.64","0.79","1.38","-0.44","-1.02","-12.62","3.25","2.06","1.8","-1.07","-3.35","-5.25","1.18","1.89","1.53","0.18"
BasicAverageShares,,"77,300,000","82,700,000","84,600,000","87,200,000","95,200,000","97,489,000","93,436,000","83,000,000","62,184,000","60,455,000","60,100,000","74,734,000","100,555,556","96,551,724","94,923,858","78,504,673","72,928,358","75,776,190","72,244,156","71,118,952","71,350,000","67,500,000"
DilutedAverageShares,,"77,700,000","83,500,000","85,600,000","87,800,000","96,400,000","104,956,000","106,291,000","94,800,000","73,349,000","60,455,000","60,100,000","74,734,000","111,384,615","96,551,724","94,923,858","78,504,673","72,928,358","75,776,190","94,284,746","91,636,842","93,267,974","75,000,000"
TotalOperatingIncomeAsReported,"2,142,000,000","2,152,000,000","1,951,000,000","1,507,000,000","1,415,000,000","1,518,000,000","1,391,000,000","1,078,000,000","591,000,000","396,000,000","197,000,000","114,000,000","-630,000,000","659,000,000","626,000,000","500,000,000","257,000,000","39,157,000","111,883,000","462,034,000","547,939,000","409,400,000","192,700,000"
TotalExpenses,"7,205,000,000","7,180,000,000","6,029,000,000","5,034,000,000","4,333,000,000","4,319,000,000","4,284,000,000","3,856,000,000","3,316,000,000","2,177,000,000","2,006,000,000","2,213,000,000","2,750,000,000","3,072,000,000","3,014,000,000","2,678,000,000","2,460,000,000","2,495,469,000","2,355,296,000","2,395,649,000","2,370,922,000","1,824,200,000","1,027,600,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-26,000,000","-62,000,000","-704,000,000","362,000,000","224,000,000","187,000,000","-84,000,000","-244,310,000","-109,486,000","122,573,000","176,375,000","142,700,000","34,800,000"
NormalizedIncome,"1,181,252,631.579","1,188,725,000","1,145,781,000","1,417,600,000","574,722,000","572,860,000","546,350,000","400,440,000","253,920,000","122,554,878.049","-1,850,000","-39,200,000","289,220,172.202","290,776,816.609","249,000,000","181,570,967.742","279,681,818.182","102,085,487.267","55,679,000","143,778,800","175,273,400","159,380,000","64,920,000"
InterestExpense,"633,000,000","648,000,000","481,000,000","464,000,000","511,000,000","567,000,000","555,000,000","478,000,000","516,000,000",,,"230,000,000","183,000,000",,,,,,,,,,
NetInterestIncome,"-633,000,000","-648,000,000","-481,000,000","-464,000,000","-511,000,000","-567,000,000","-555,000,000","-478,000,000","-516,000,000","-235,000,000","-263,000,000","-230,000,000","-183,000,000",,,,,,,,,,
EBIT,"2,153,000,000","2,162,000,000","1,957,000,000","1,512,000,000","1,420,000,000","1,530,000,000","1,405,000,000","1,083,000,000","604,000,000","434,000,000","231,000,000","123,000,000","-630,000,000","659,000,000","626,000,000","885,000,000","634,000,000","371,767,000","465,693,000","490,956,000","547,939,000","409,400,000","192,700,000"
EBITDA,"4,218,000,000"
ReconciledCostOfRevenue,"4,061,000,000","4,050,000,000","3,320,000,000","2,748,000,000","2,369,000,000","2,361,000,000","2,332,000,000","2,116,000,000","1,831,000,000","1,290,000,000","1,190,000,000","1,331,000,000","1,709,000,000","1,980,000,000","1,898,000,000","2,005,000,000","1,667,000,000","1,651,534,000","1,597,720,000","1,519,996,000","1,502,160,000","1,128,100,000","619,600,000"
ReconciledDepreciation,"2,065,000,000","2,038,000,000","1,671,000,000","1,383,000,000","1,245,000,000","1,244,000,000","1,194,000,000","1,098,000,000","897,000,000","480,000,000","449,000,000","474,000,000","513,000,000","497,000,000","503,000,000","462,000,000","468,000,000","428,325,000","396,293,000","433,902,000","414,432,000","343,500,000","212,400,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,172,000,000","1,174,000,000","1,096,000,000","1,346,000,000","566,000,000","585,000,000","540,000,000","387,000,000","75,000,000","101,000,000","-22,000,000","-60,000,000","-704,000,000","363,000,000","249,000,000","187,000,000","-84,000,000","-244,310,000","-109,486,000","122,573,000","176,375,000","142,700,000","34,800,000"
