Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,7.610000,7.740000,7.350000,7.370000,6.437872,34561700
2015-05-13,7.350000,7.460000,7.060000,7.120000,6.219491,39119300
2015-05-14,7.090000,7.330000,7.010000,7.130000,6.228227,34702300
2015-05-15,7.140000,7.200000,7.050000,7.120000,6.219491,26605500
2015-05-18,7.120000,7.140000,6.660000,6.680000,5.835141,48592300
2015-05-19,6.610000,6.680000,6.510000,6.610000,5.773994,37951900
2015-05-20,6.690000,6.770000,6.530000,6.610000,5.773994,36176300
2015-05-21,6.640000,6.760000,6.530000,6.650000,5.808935,32613700
2015-05-22,6.700000,6.750000,6.560000,6.570000,5.739053,20093300
2015-05-26,6.650000,6.780000,6.500000,6.540000,5.712848,43984500
2015-05-27,6.450000,6.690000,6.390000,6.640000,5.800200,25904800
2015-05-28,6.530000,6.540000,6.380000,6.500000,5.677907,24667300
2015-05-29,6.460000,6.520000,6.300000,6.300000,5.503202,21601000
2015-06-01,6.330000,6.420000,6.220000,6.290000,5.494467,31681200
2015-06-02,6.460000,6.840000,6.440000,6.810000,5.948699,46605300
2015-06-03,6.830000,6.930000,6.610000,6.660000,5.817670,26246200
2015-06-04,6.690000,6.710000,6.380000,6.480000,5.660436,24590300
2015-06-05,6.440000,6.620000,6.380000,6.510000,5.686642,30784400
2015-06-08,6.560000,6.580000,6.450000,6.470000,5.651701,29118100
2015-06-09,6.480000,6.670000,6.410000,6.430000,5.616760,24257500
2015-06-10,6.720000,6.920000,6.690000,6.770000,5.913758,33148800
2015-06-11,6.780000,6.910000,6.700000,6.860000,5.992375,32750600
2015-06-12,6.810000,6.850000,6.700000,6.810000,5.948699,15201600
2015-06-15,6.640000,6.690000,6.460000,6.470000,5.651701,27510200
2015-06-16,6.420000,6.450000,6.310000,6.370000,5.564348,29705400
2015-06-17,6.350000,6.410000,6.220000,6.380000,5.573084,29557200
2015-06-18,6.480000,6.680000,6.350000,6.680000,5.835141,29258600
2015-06-19,6.550000,6.550000,6.420000,6.510000,5.686642,23711000
2015-06-22,6.590000,6.610000,6.390000,6.390000,5.581820,14984900
2015-06-23,6.390000,6.490000,6.370000,6.440000,5.625495,20308900
2015-06-24,6.470000,6.520000,6.340000,6.400000,5.590554,22875300
2015-06-25,6.330000,6.340000,6.110000,6.160000,5.380907,30822800
2015-06-26,6.110000,6.260000,6.060000,6.230000,5.442055,14747600
2015-06-29,6.060000,6.200000,6.050000,6.120000,5.345968,17049900
2015-06-30,6.050000,6.100000,5.830000,5.890000,5.145057,36936400
2015-07-01,5.910000,5.960000,5.720000,5.760000,5.031499,20120200
2015-07-02,5.740000,5.880000,5.690000,5.850000,5.110116,25475100
2015-07-06,5.570000,5.620000,5.480000,5.610000,4.900470,28939500
2015-07-07,5.480000,5.680000,5.200000,5.620000,4.909205,51111900
2015-07-08,5.410000,5.510000,5.290000,5.320000,4.647149,47688100
2015-07-09,5.570000,5.800000,5.330000,5.420000,4.734500,33092200
2015-07-10,5.630000,5.670000,5.410000,5.430000,4.743236,19275200
2015-07-13,5.480000,5.930000,5.340000,5.900000,5.153792,66531100
2015-07-14,5.780000,5.800000,5.640000,5.700000,4.979087,25711500
2015-07-15,5.700000,5.710000,5.450000,5.480000,4.786912,30076800
2015-07-16,5.570000,5.610000,5.480000,5.580000,4.874264,23157700
2015-07-17,5.560000,5.560000,5.400000,5.460000,4.769442,18915900
2015-07-20,5.480000,5.590000,5.410000,5.410000,4.725765,23290900
2015-07-21,5.410000,5.670000,5.400000,5.550000,4.848059,23637400
2015-07-22,5.340000,5.450000,5.270000,5.390000,4.708295,36931800
2015-07-23,5.330000,5.460000,5.260000,5.280000,4.612208,26967900
