name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005
TotalAssets,"1,930,910,000,000","1,764,429,000,000","1,918,861,000,000","1,869,254,000,000","2,161,704,000,000","2,141,435,700,000","228,891,600,000","204,011,300,000","156,036,800,000","112,381,700,000","54,014,900,000","34,127,700,000","1,954,955,100,000","15,315,380,000","10,596,380,000"
	CurrentAssets,"599,044,000,000","566,488,000,000","791,403,000,000","754,981,000,000","701,950,000,000","635,099,200,000","16,561,400,000","24,376,200,000","36,595,800,000","44,176,200,000","16,832,700,000","8,642,900,000","629,670,600,000","6,500,800,000","4,138,940,000"
		CashCashEquivalentsAndShortTermInvestments,"364,403,000,000","358,188,000,000","621,887,000,000","587,062,000,000","505,103,000,000","453,850,100,000","2,129,900,000","6,017,000,000","8,970,200,000","23,918,400,000","177,200,000","210,300,000","21,205,000,000","706,080,000","414,970,000"
			CashAndCashEquivalents,"72,291,000,000","42,192,000,000","97,202,000,000","20,870,000,000","8,621,000,000","76,840,600,000","361,200,000","977,400,000","8,970,200,000","23,918,400,000","177,200,000","210,300,000","21,205,000,000","372,680,000","176,780,000"
				CashFinancial,"42,371,000,000","34,696,000,000","85,631,000,000","8,743,000,000","5,848,000,000","70,098,700,000","302,000,000",,,,,,,,
				CashEquivalents,"29,920,000,000","7,496,000,000","11,571,000,000","12,127,000,000","2,773,000,000","6,741,900,000","59,200,000",,,,,,,,
			OtherShortTermInvestments,"292,112,000,000","315,996,000,000","524,685,000,000","566,192,000,000","496,482,000,000","377,009,500,000","1,768,700,000","5,039,600,000",,,,,,"333,400,000","238,190,000"
		Receivables,"79,749,000,000","59,878,000,000","45,608,000,000","71,502,000,000","89,089,000,000","66,678,600,000","3,068,500,000","9,606,900,000","20,046,700,000","14,836,400,000","14,013,600,000","5,314,600,000","309,950,600,000","2,474,180,000","1,827,220,000"
			AccountsReceivable,"39,824,000,000","31,651,000,000","20,328,000,000","25,559,000,000","38,867,000,000","46,440,700,000","1,423,900,000","5,494,300,000","6,830,200,000","3,381,200,000","2,981,600,000","4,724,600,000","270,821,200,000","2,474,180,000","1,827,220,000"
				GrossAccountsReceivable,"39,824,000,000","31,651,000,000","20,328,000,000","25,559,000,000","38,867,000,000","49,137,900,000","1,424,800,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-3,400,000,000","-5,569,400,000","-5,741,800,000","-5,750,000,000","-2,697,200,000","-900,000",,,,,,,,
			LoansReceivable,"737,000,000","695,000,000","692,000,000","805,000,000","160,000,000","614,500,000","406,200,000","4,112,600,000","13,216,500,000","11,455,200,000","11,032,000,000","590,000,000","39,129,400,000",,
			AccruedInterestReceivable,,,,"5,720,300,000","3,269,000,000","7,989,200,000","100,000",,,,,,,,
			TaxesReceivable,"83,000,000","146,000,000","136,000,000","2,768,000,000","230,000,000","2,575,400,000","1,238,100,000",,,,,,,,
			OtherReceivables,"16,865,000,000","20,531,000,000","15,441,000,000","14,790,000,000","19,786,000,000","14,609,400,000","6,400,000",,,,,,,,
			DuefromRelatedPartiesCurrent,"22,240,000,000","6,855,000,000","9,011,000,000","27,580,000,000","30,046,000,000",,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-4,340,000,000","-340,000,000","2,124,400,000","-4,052,100,000","-2,561,800,000","-5,550,600,000","-6,200,000",,,,,,,,
		Inventory,"132,706,000,000","119,884,000,000","97,266,000,000","81,261,000,000","87,715,000,000","90,337,900,000","9,609,500,000","8,751,500,000","7,437,500,000","5,025,400,000","2,641,900,000","3,118,000,000","298,515,000,000","3,320,540,000","1,896,750,000"
			RawMaterials,"92,327,000,000","83,300,000,000","55,643,000,000","51,862,000,000","53,145,000,000","44,780,000,000","2,451,400,000",,,,,,,"1,546,660,000","906,210,000"
			WorkInProcess,"25,362,000,000","30,192,000,000","33,171,000,000","22,523,000,000","28,487,000,000","29,154,100,000","0",,,,,,,"11,530,000","8,900,000"
			FinishedGoods,"15,017,000,000","6,392,000,000","8,452,000,000","6,876,000,000","6,083,000,000","16,403,800,000","7,158,100,000",,,,,,,"997,770,000","664,770,000"
			OtherInventories,,,,,,,,,,,,,,"764,580,000","316,870,000"
		PrepaidAssets,"20,368,000,000","24,531,000,000","14,804,000,000","10,561,000,000","14,918,000,000","22,325,000,000","1,647,700,000",,,,,,,,
		RestrictedCash,"1,040,000,000","2,483,000,000","11,747,000,000","3,367,000,000","4,090,000,000",,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,"219,800,000","307,600,000","1,700,000",,,,,,,,,
		HedgingAssetsCurrent,"778,000,000","1,524,000,000","91,000,000","1,228,000,000","1,035,000,000",,"105,800,000",,,,,,,,
		OtherCurrentAssets,"14,280,000,000","10,550,000,000","8,952,400,000","1,568,700,000","1,491,900,000","1,905,900,000",,"800,000","141,400,000","396,000,000",,,,,
	TotalNonCurrentAssets,"1,331,866,000,000","1,197,941,000,000","1,127,458,000,000","1,114,273,000,000","1,459,754,000,000","1,506,336,500,000","212,330,200,000","179,635,100,000","119,441,000,000","68,205,500,000","37,182,200,000","25,484,800,000","1,325,284,500,000","8,814,580,000","6,457,440,000"
		NetPPE,"1,123,117,000,000","1,051,607,000,000","979,573,000,000","984,019,000,000","1,338,275,000,000","909,595,200,000","26,829,900,000","22,273,400,000","31,443,000,000","22,557,000,000","5,930,300,000","4,974,800,000","479,894,200,000","3,457,440,000","3,205,260,000"
			GrossPPE,"2,779,136,000,000","2,041,477,000,000","1,883,570,000,000","1,837,367,000,000","2,028,792,000,000","1,198,830,600,000","35,990,000,000","29,716,700,000","37,934,900,000","28,297,800,000","9,352,700,000","7,911,000,000","742,132,300,000","5,795,870,000","5,326,970,000"
				MineralProperties,"1,645,927,000,000","996,960,000,000","903,074,000,000","896,411,000,000","1,096,036,000,000","28,163,300,000","1,723,200,000",,,,,,,,
				LandAndImprovements,"140,515,000,000","116,404,000,000","110,136,000,000","107,829,000,000","85,352,000,000","16,378,300,000","2,544,000,000",,,,,,,"109,770,000","101,180,000"
				BuildingsAndImprovements,"140,300,000,000","125,430,000,000","119,411,200,000","112,134,800,000","89,020,000,000","74,816,500,000","2,994,400,000",,,,,,,"345,540,000","291,450,000"
				MachineryFurnitureEquipment,"846,964,000,000","777,610,000,000","723,730,000,000","609,091,000,000","521,931,000,000","554,551,000,000","21,503,000,000",,,,,,,"5,153,380,000","4,756,920,000"
				OtherProperties,"14,429,000,000","11,058,000,000",,"111,465,100,000","90,373,300,000","93,644,600,000",,"21,344,700,000","30,648,300,000","27,510,400,000","8,863,400,000","7,696,300,000","721,905,600,000","187,180,000","177,420,000"
				ConstructionInProgress,"131,301,000,000","139,445,000,000","146,630,000,000","224,036,000,000","325,473,000,000","431,276,900,000","7,225,400,000","8,372,000,000","7,286,600,000","787,400,000","489,300,000","214,700,000","20,226,700,000",,
			AccumulatedDepreciation,"-1,656,019,000,000","-989,870,000,000","-903,997,000,000","-853,348,000,000","-690,517,000,000","-289,235,400,000","-9,160,100,000","-7,443,300,000","-6,491,900,000","-5,740,800,000","-3,422,400,000","-2,936,200,000","-262,238,100,000","-2,338,430,000","-2,121,710,000"
		GoodwillAndOtherIntangibleAssets,"7,712,000,000","8,303,000,000","6,378,000,000","6,300,000,000","6,593,000,000","393,736,000,000","21,760,300,000","19,169,400,000",,,,,,,
			Goodwill,,,,"56,327,200,000","177,896,900,000","392,383,200,000","21,676,000,000",,,,,,,,
			OtherIntangibleAssets,"7,712,000,000","8,303,000,000","6,378,000,000","6,300,000,000","6,593,000,000","1,352,800,000","84,300,000","19,169,400,000",,,,,,,
		InvestmentsAndAdvances,"59,897,000,000","9,513,000,000","6,384,000,000","3,523,000,000","2,541,000,000","56,206,100,000","158,819,800,000","136,626,200,000","87,998,000,000","45,648,500,000","31,251,900,000","20,510,000,000","845,390,300,000","4,742,400,000","3,040,400,000"
			LongTermEquityInvestment,,,,"2,174,400,000","2,134,400,000","2,086,300,000","158,819,800,000",,,,,,,,
			InvestmentinFinancialAssets,"5,354,000,000","1,975,000,000","1,739,000,000",,,,,,,,,,,,
				AvailableForSaleSecurities,"5,354,000,000","1,975,000,000","1,739,000,000",,,,,,,,,,,,
			OtherInvestments,"54,543,000,000","7,538,000,000","4,645,000,000","3,523,000,000","2,541,000,000","54,119,800,000",,,,,,,,,
		FinancialAssets,,"0","38,000,000","53,000,000","12,000,000",,,,,,,,,,
		NonCurrentAccountsReceivable,"83,050,000,000","63,922,000,000","53,777,000,000","28,542,000,000","26,562,000,000","123,357,600,000","3,623,300,000",,,,,,,,
		NonCurrentNoteReceivables,"51,000,000","230,000,000","264,200,000","41,700,000","51,600,000","91,500,000","2,800,000","1,566,100,000",,,,,,,
		NonCurrentDeferredAssets,"52,830,000,000","58,635,000,000","77,582,000,000","82,481,000,000","76,487,000,000","252,100,000",,,,,,,,,
			NonCurrentDeferredTaxesAssets,"52,830,000,000","58,635,000,000","77,582,000,000","82,481,000,000","76,487,000,000","252,100,000",,,,,,,,,
		NonCurrentPrepaidAssets,"27,400,000,000","29,900,000,000","18,578,500,000","1,212,000,000","1,710,000,000","16,519,200,000","1,294,100,000",,,,,,,,
		OtherNonCurrentAssets,"5,209,000,000","5,961,000,000","3,726,000,000","8,143,000,000","7,574,000,000","6,578,800,000",,,,,,,,"614,740,000","211,780,000"
TotalLiabilitiesNetMinorityInterest,"1,198,964,000,000","1,011,499,000,000","1,205,073,000,000","1,092,996,000,000","1,133,096,000,000","1,073,374,600,000","54,137,600,000","52,829,200,000","27,932,500,000","33,204,600,000","6,857,500,000","4,693,200,000","345,855,900,000","3,696,390,000","2,924,690,000"
	CurrentLiabilities,"764,962,000,000","671,118,000,000","824,102,000,000","541,744,000,000","433,521,000,000","440,089,800,000","42,033,500,000","40,468,800,000","17,255,900,000","12,415,900,000","5,840,300,000","3,763,000,000","261,691,300,000","2,994,110,000","2,094,120,000"
		PayablesAndAccruedExpenses,"296,268,000,000","254,745,000,000","321,331,000,000","326,609,000,000","261,298,000,000","141,993,300,000","8,107,500,000","8,867,700,000",,,,,,"1,366,750,000","793,230,000"
			Payables,"296,268,000,000","254,745,000,000","321,331,000,000","326,609,000,000","261,298,000,000","135,555,900,000","7,591,000,000","8,867,700,000",,,,,,"1,358,120,000","780,450,000"
				AccountsPayable,"92,918,000,000","84,345,000,000","62,639,000,000","63,582,000,000","58,700,000,000","41,345,900,000","5,578,700,000",,,,,,,"1,324,980,000","772,580,000"
				TotalTaxPayable,"4,109,000,000","3,123,000,000","2,028,000,000","21,347,000,000","3,842,000,000","4,424,700,000","389,300,000",,,,,,,,
					IncomeTaxPayable,"4,109,000,000","3,123,000,000","2,028,000,000","703,000,000","3,842,000,000","4,424,700,000","389,300,000",,,,,,,,
				DividendsPayable,"960,000,000","1,405,000,000","72,170,000,000","35,572,000,000","2,330,000,000","176,500,000","93,300,000",,,,,,,"33,140,000","7,870,000"
				DuetoRelatedPartiesCurrent,"1,229,000,000","40,000,000","310,000,000","3,649,000,000","2,999,000,000","26,697,800,000",,,,,,,,,
				OtherPayable,"197,052,000,000","165,872,000,000","184,184,000,000","202,459,000,000","195,757,000,000","62,911,000,000","1,529,700,000",,,,,,,,
			CurrentAccruedExpenses,"10,360,000,000","8,860,000,000","8,389,500,000","7,416,300,000","6,521,900,000","6,437,400,000","516,500,000",,,,,,,"8,630,000","12,780,000"
				InterestPayable,"10,360,000,000","8,860,000,000","8,389,500,000","7,416,300,000","6,521,900,000","6,437,400,000","516,500,000",,,,,,,"8,630,000","12,780,000"
		CurrentProvisions,"2,642,000,000","1,435,000,000","1,131,000,000","1,693,000,000","4,870,000,000","15,145,900,000","418,200,000","2,242,600,000","4,309,500,000","4,114,100,000","2,464,300,000","1,809,100,000","131,177,400,000","1,398,690,000","996,140,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"1,216,000,000","1,197,000,000","503,000,000","340,000,000","349,000,000","4,973,300,000","111,000,000",,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"315,053,000,000","313,700,000,000","413,126,000,000","182,328,000,000","161,233,000,000","256,021,400,000","33,299,900,000",,,,,,,,
			CurrentDebt,"315,053,000,000","313,700,000,000","413,126,000,000","182,328,000,000","161,233,000,000","173,964,000,000","33,223,800,000",,,,,,,,
				CommercialPaper,,,"234,182,700,000","89,400,000,000","81,050,000,000",,"23,521,400,000",,,,,,,,
				LineOfCredit,,,"11,906,600,000","111,984,900,000","109,300,000,000","18,700,000","9,702,400,000",,,,,,,,
				OtherCurrentBorrowings,"315,053,000,000","313,700,000,000","413,126,000,000","182,328,000,000","161,233,000,000","173,945,300,000",,,,,,,,,
			BankIndebtedness,,,"68,327,100,000","73,574,800,000","67,071,000,000","82,057,400,000","76,100,000",,,,,,,,
		CurrentDeferredLiabilities,"91,949,000,000","49,442,000,000","47,354,000,000","26,300,000,000","3,197,000,000","3,787,800,000","96,900,000",,,,,,,"50,410,000","29,400,000"
			CurrentDeferredRevenue,"91,949,000,000","49,442,000,000","47,354,000,000","26,300,000,000","3,197,000,000","3,787,800,000","96,900,000",,,,,,,"50,410,000","29,400,000"
		OtherCurrentLiabilities,"57,834,000,000","50,599,000,000","40,657,000,000","4,474,000,000","2,574,000,000","18,168,100,000",,"29,358,500,000","12,946,400,000","8,301,800,000","3,376,000,000","1,953,900,000","130,513,900,000","178,260,000","275,350,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"434,002,000,000","340,381,000,000","380,971,000,000","551,252,000,000","699,575,000,000","633,284,800,000","12,104,100,000","12,360,400,000","10,676,600,000","20,788,700,000","1,017,200,000","930,200,000","84,164,600,000","702,280,000","830,570,000"
		LongTermProvisions,"24,513,000,000","22,029,000,000","19,233,000,000","10,732,000,000","11,166,000,000","42,028,400,000","36,600,000",,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"347,209,000,000","267,888,000,000","332,654,000,000","493,784,000,000","517,852,000,000","314,255,900,000","11,791,600,000","11,162,300,000","9,994,500,000","19,605,600,000","19,100,000",,,"98,280,000","232,630,000"
			LongTermDebt,"347,209,000,000","267,888,000,000","332,654,000,000","493,784,000,000","517,852,000,000","314,255,900,000","11,791,600,000","11,162,300,000","9,994,500,000","19,605,600,000","19,100,000",,,"98,280,000","232,630,000"
		NonCurrentDeferredLiabilities,"44,154,000,000","43,340,000,000","27,119,000,000","40,198,000,000","155,812,000,000","28,989,600,000","252,700,000","1,045,800,000","682,100,000","750,200,000","664,300,000","664,000,000","64,900,000,000","604,000,000","600,000,000"
			NonCurrentDeferredTaxesLiabilities,"44,154,000,000","43,340,000,000","24,015,000,000","30,212,000,000","155,812,000,000","28,989,600,000","252,700,000","1,045,800,000","682,100,000","750,200,000","664,300,000","664,000,000","64,900,000,000","604,000,000","600,000,000"
			NonCurrentDeferredRevenue,,,"3,104,000,000","9,986,000,000",,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"1,118,000,000",,"3,086,900,000","3,162,800,000","10,510,100,000","13,554,500,000",,,,,,,,,
		DuetoRelatedPartiesNonCurrent,,,,"123,834,600,000","162,099,900,000","234,016,100,000",,,,,,,,,
		EmployeeBenefits,"1,445,000,000","1,551,000,000","1,390,000,000","1,584,000,000","2,159,000,000",,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"1,445,000,000","1,551,000,000","1,390,000,000","1,584,000,000","2,159,000,000",,,,,,,,,,
