name,09/30/2019,03/31/2019,09/30/2018,03/31/2018,09/30/2017,03/31/2017,09/30/2016,03/31/2016,09/30/2015,03/31/2015,09/30/2014,03/31/2014,09/30/2013,03/31/2013,09/30/2012
TotalAssets,"1,821,232,000,000","1,930,910,000,000","1,909,616,000,000","1,764,429,000,000","1,710,801,000,000","1,918,861,000,000","1,861,004,000,000","1,869,254,000,000","2,244,894,000,000","2,161,704,000,000","2,591,554,000,000","2,141,435,700,000","2,105,356,900,000","228,891,600,000","430,573,200,000"
	CurrentAssets,"531,705,000,000","599,044,000,000","635,194,000,000","566,488,000,000","592,990,000,000","791,403,000,000","732,037,000,000","754,981,000,000","772,956,000,000","701,950,000,000","723,302,000,000","635,099,200,000","663,974,600,000","16,561,400,000","43,394,000,000"
		CashCashEquivalentsAndShortTermInvestments,"355,696,000,000","364,403,000,000","397,801,000,000","358,188,000,000","399,894,000,000","621,887,000,000","542,667,000,000","587,062,000,000","576,790,000,000","505,103,000,000","492,581,000,000","453,850,100,000","457,164,900,000","2,129,900,000","8,567,600,000"
			CashAndCashEquivalents,"80,886,000,000","72,291,000,000","31,195,000,000","42,192,000,000","16,255,000,000","97,202,000,000","19,812,000,000","20,870,000,000","17,060,000,000","8,621,000,000","35,881,000,000","76,840,600,000","122,766,300,000","361,200,000","2,232,800,000"
				CashFinancial,"37,012,000,000","42,371,000,000","19,802,000,000","34,696,000,000","8,072,000,000","85,631,000,000","15,173,000,000","8,743,000,000","13,436,000,000","5,848,000,000","15,014,000,000","70,098,700,000",,"302,000,000",
				CashEquivalents,"43,874,000,000","29,920,000,000","11,393,000,000","7,496,000,000","8,183,000,000","11,571,000,000","4,639,000,000","12,127,000,000","3,624,000,000","2,773,000,000","20,867,000,000","6,741,900,000",,"59,200,000",
			OtherShortTermInvestments,"274,810,000,000","292,112,000,000","366,606,000,000","315,996,000,000","383,639,000,000","524,685,000,000","522,855,000,000","566,192,000,000","559,730,000,000","496,482,000,000","456,700,000,000","377,009,500,000","334,398,600,000","1,768,700,000","6,334,800,000"
		Receivables,"66,122,000,000","79,749,000,000","98,699,000,000","59,878,000,000","72,965,000,000","45,608,000,000","93,516,000,000","71,502,000,000","99,086,000,000","89,089,000,000","123,887,000,000","66,678,600,000","96,220,600,000","3,068,500,000","14,889,600,000"
			AccountsReceivable,"65,907,000,000","39,824,000,000","98,604,000,000","31,651,000,000","72,926,000,000","20,328,000,000","93,096,000,000","25,559,000,000","99,086,000,000","38,867,000,000","121,121,000,000","46,440,700,000","56,727,200,000","1,423,900,000","5,743,600,000"
				GrossAccountsReceivable,,"39,824,000,000",,"31,651,000,000",,"20,328,000,000",,"25,559,000,000",,"38,867,000,000",,"49,137,900,000",,"1,424,800,000",
				AllowanceForDoubtfulAccountsReceivable,,,,"-3,400,000,000",,"-5,569,400,000",,"-5,741,800,000",,"-5,750,000,000",,"-2,697,200,000",,"-900,000",
			LoansReceivable,,"737,000,000",,"695,000,000",,"692,000,000",,"805,000,000",,"160,000,000",,"614,500,000","39,493,400,000","406,200,000","9,146,000,000"
			AccruedInterestReceivable,,,,,,,,"5,720,300,000",,"3,269,000,000",,"7,989,200,000",,"100,000",
			TaxesReceivable,"215,000,000","83,000,000","95,000,000","146,000,000","39,000,000","136,000,000","420,000,000","2,768,000,000","0","230,000,000","2,766,000,000","2,575,400,000",,"1,238,100,000",
			DuefromRelatedPartiesCurrent,,"22,240,000,000",,"6,855,000,000",,"9,011,000,000",,"27,580,000,000",,"30,046,000,000",,,,,
			OtherReceivables,,"16,865,000,000",,"20,531,000,000",,"15,441,000,000",,"14,790,000,000",,"19,786,000,000",,"14,609,400,000",,"6,400,000",
			ReceivablesAdjustmentsAllowances,,"-4,340,000,000",,"-340,000,000",,"2,124,400,000",,"-4,052,100,000",,"-2,561,800,000",,"-5,550,600,000",,"-6,200,000",
		Inventory,"107,102,000,000","132,706,000,000","133,723,000,000","119,884,000,000","117,391,000,000","97,266,000,000","92,023,000,000","81,261,000,000","89,876,000,000","87,715,000,000","98,791,000,000","90,337,900,000","100,315,300,000","9,609,500,000","19,590,800,000"
			RawMaterials,,"92,327,000,000",,"83,300,000,000",,"55,643,000,000",,"51,862,000,000",,"53,145,000,000",,"44,780,000,000",,"2,451,400,000",
			WorkInProcess,,"25,362,000,000",,"30,192,000,000",,"33,171,000,000",,"22,523,000,000",,"28,487,000,000",,"29,154,100,000",,"0",
			FinishedGoods,,"15,017,000,000",,"6,392,000,000",,"8,452,000,000",,"6,876,000,000",,"6,083,000,000",,"16,403,800,000",,"7,158,100,000",
		PrepaidAssets,,"20,368,000,000",,"24,531,000,000",,"14,804,000,000",,"10,561,000,000",,"14,918,000,000",,"22,325,000,000",,"1,647,700,000",
		RestrictedCash,"971,000,000","1,040,000,000","910,000,000","2,483,000,000","752,000,000","11,747,000,000","3,698,000,000","3,367,000,000","6,371,000,000","4,090,000,000","6,300,000,000",,,,
		AssetsHeldForSaleCurrent,,,,,,,,"219,800,000",,"307,600,000",,"1,700,000",,,
		HedgingAssetsCurrent,"1,814,000,000","778,000,000","4,061,000,000","1,524,000,000","1,988,000,000","91,000,000","133,000,000","1,228,000,000","833,000,000","1,035,000,000","1,743,000,000",,,"105,800,000",
		OtherCurrentAssets,,"14,280,000,000",,"10,550,000,000",,"8,952,400,000",,"1,568,700,000",,"1,491,900,000",,"1,905,900,000","10,273,800,000",,"346,000,000"
	TotalNonCurrentAssets,"1,289,527,000,000","1,331,866,000,000","1,274,422,000,000","1,197,941,000,000","1,117,811,000,000","1,127,458,000,000","1,128,967,000,000","1,114,273,000,000","1,471,938,000,000","1,459,754,000,000","1,868,252,000,000","1,506,336,500,000","1,441,382,300,000","212,330,200,000","387,179,200,000"
		NetPPE,"1,122,247,000,000","1,123,117,000,000","1,126,614,000,000","1,051,607,000,000","972,790,000,000","979,573,000,000","995,396,000,000","984,019,000,000","1,354,689,000,000","1,338,275,000,000","1,752,139,000,000","909,595,200,000","887,553,900,000","26,829,900,000","46,764,000,000"
			GrossPPE,"1,122,247,000,000","2,779,136,000,000","1,126,614,000,000","2,041,477,000,000","972,790,000,000","1,883,570,000,000","995,396,000,000","1,837,367,000,000","1,354,689,000,000","2,028,792,000,000","1,752,139,000,000","1,198,830,600,000","887,553,900,000","35,990,000,000","46,764,000,000"
				LandAndImprovements,"0","140,515,000,000","3,665,000,000","116,404,000,000","3,640,000,000","110,136,000,000","3,430,000,000","107,829,000,000","3,753,000,000","85,352,000,000","3,326,000,000","16,378,300,000",,"2,544,000,000",
				BuildingsAndImprovements,,"140,300,000,000",,"125,430,000,000",,"119,411,200,000",,"112,134,800,000",,"89,020,000,000",,"74,816,500,000",,"2,994,400,000",
				MachineryFurnitureEquipment,,"846,964,000,000",,"777,610,000,000",,"723,730,000,000",,"609,091,000,000",,"521,931,000,000",,"554,551,000,000",,"21,503,000,000",
				OtherProperties,"1,122,247,000,000","14,429,000,000","943,246,000,000","11,058,000,000","871,248,000,000",,"895,098,000,000","111,465,100,000","989,365,000,000","90,373,300,000","1,101,196,000,000","93,644,600,000","887,553,900,000",,"34,371,400,000"
				ConstructionInProgress,,"131,301,000,000",,"139,445,000,000",,"146,630,000,000",,"224,036,000,000",,"325,473,000,000",,"431,276,900,000",,"7,225,400,000","12,392,600,000"
			AccumulatedDepreciation,,"-1,656,019,000,000",,"-989,870,000,000",,"-903,997,000,000",,"-853,348,000,000",,"-690,517,000,000",,"-289,235,400,000",,"-9,160,100,000",
		GoodwillAndOtherIntangibleAssets,"7,965,000,000","7,712,000,000","8,109,000,000","8,303,000,000","6,026,000,000","6,378,000,000","6,188,000,000","6,300,000,000","6,361,000,000","6,593,000,000","7,450,000,000","393,736,000,000","405,283,400,000","21,760,300,000","38,282,800,000"
			Goodwill,,,,,,,,"56,327,200,000",,"177,896,900,000",,"392,383,200,000","405,283,400,000","21,676,000,000",
			OtherIntangibleAssets,,"7,712,000,000","8,109,000,000","8,303,000,000","6,026,000,000","6,378,000,000","6,188,000,000","6,300,000,000","6,361,000,000","6,593,000,000","7,450,000,000","1,352,800,000",,"84,300,000","38,282,800,000"
		InvestmentsAndAdvances,"1,664,000,000","59,897,000,000","1,507,000,000","9,513,000,000","1,172,000,000","6,384,000,000","475,000,000","3,523,000,000","421,000,000","2,541,000,000","337,000,000","56,206,100,000","2,136,800,000","158,819,800,000","297,844,200,000"
			LongTermEquityInvestment,,,,,,,,"2,174,400,000",,"2,134,400,000",,"2,086,300,000","2,136,800,000","158,819,800,000",
			InvestmentinFinancialAssets,"1,664,000,000","5,354,000,000",,"1,975,000,000",,"1,739,000,000",,,,,,,,,
				FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,"808,000,000",,,,,,,,,,,,,,
				AvailableForSaleSecurities,"856,000,000","5,354,000,000",,"1,975,000,000",,"1,739,000,000",,,,,,,,,
			OtherInvestments,,"54,543,000,000","1,507,000,000","7,538,000,000","1,172,000,000","4,645,000,000","475,000,000","3,523,000,000","421,000,000","2,541,000,000","337,000,000","54,119,800,000",,,
		FinancialAssets,"17,000,000",,,"0","37,000,000","38,000,000","38,000,000","53,000,000","122,000,000","12,000,000",,,,,
		NonCurrentAccountsReceivable,"24,977,000,000","83,050,000,000","34,553,000,000","63,922,000,000","29,140,000,000","53,777,000,000","25,441,000,000","28,542,000,000","25,395,000,000","26,562,000,000","22,658,000,000","123,357,600,000",,"3,623,300,000",
		NonCurrentNoteReceivables,,"51,000,000",,"230,000,000",,"264,200,000",,"41,700,000",,"51,600,000",,"91,500,000","118,973,500,000","2,800,000","4,288,200,000"
		NonCurrentDeferredAssets,"68,602,000,000","52,830,000,000","46,107,000,000","58,635,000,000","69,130,000,000","77,582,000,000","82,596,000,000","82,481,000,000","72,291,000,000","76,487,000,000","72,974,000,000","252,100,000","149,600,000",,
			NonCurrentDeferredTaxesAssets,"68,602,000,000","52,830,000,000","46,107,000,000","58,635,000,000","69,130,000,000","77,582,000,000","82,596,000,000","82,481,000,000","72,291,000,000","76,487,000,000","72,974,000,000","252,100,000","149,600,000",,
		NonCurrentPrepaidAssets,,"27,400,000,000",,"29,900,000,000",,"18,578,500,000",,"1,212,000,000",,"1,710,000,000",,"16,519,200,000",,"1,294,100,000",
		OtherNonCurrentAssets,"64,055,000,000","5,209,000,000","57,532,000,000","5,961,000,000","39,516,000,000","3,726,000,000","18,833,000,000","8,143,000,000","12,659,000,000","7,574,000,000","12,694,000,000","6,578,800,000","27,285,100,000",,
TotalLiabilitiesNetMinorityInterest,"1,049,891,000,000","1,198,964,000,000","1,118,479,000,000","1,011,499,000,000","952,370,000,000","1,205,073,000,000","1,051,166,000,000","1,092,996,000,000","1,202,677,000,000","1,133,096,000,000","1,309,354,000,000","1,073,374,600,000","1,101,031,300,000","54,137,600,000","98,501,600,000"
	CurrentLiabilities,"669,176,000,000","764,962,000,000","635,835,000,000","671,118,000,000","602,686,000,000","824,102,000,000","579,075,000,000","541,744,000,000","504,332,000,000","433,521,000,000","484,650,000,000","440,089,800,000","424,227,100,000","42,033,500,000","72,313,000,000"
		PayablesAndAccruedExpenses,"399,881,000,000","296,268,000,000","364,167,000,000","254,745,000,000","343,104,000,000","321,331,000,000","319,001,000,000","326,609,000,000","324,582,000,000","261,298,000,000","268,961,000,000","141,993,300,000","41,424,600,000","8,107,500,000","9,738,200,000"
			Payables,"399,881,000,000","296,268,000,000","364,167,000,000","254,745,000,000","343,104,000,000","321,331,000,000","319,001,000,000","326,609,000,000","324,582,000,000","261,298,000,000","268,961,000,000","135,555,900,000","41,424,600,000","7,591,000,000","9,738,200,000"
				AccountsPayable,"298,340,000,000","92,918,000,000","291,421,000,000","84,345,000,000","203,572,000,000","62,639,000,000","213,581,000,000","63,582,000,000","209,937,000,000","58,700,000,000","188,346,000,000","41,345,900,000","41,424,600,000","5,578,700,000",
				TotalTaxPayable,"2,191,000,000","4,109,000,000","5,833,000,000","3,123,000,000","5,325,000,000","2,028,000,000","2,659,000,000","21,347,000,000","5,784,000,000","3,842,000,000","6,526,000,000","4,424,700,000",,"389,300,000",
					IncomeTaxPayable,"2,191,000,000","4,109,000,000","5,833,000,000","3,123,000,000","5,325,000,000","2,028,000,000","2,659,000,000","703,000,000","5,784,000,000","3,842,000,000","6,526,000,000","4,424,700,000",,"389,300,000",
