name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalRevenue,"8,836,000,000","8,863,000,000","9,086,000,000","9,474,000,000","8,885,000,000","9,625,000,000","19,627,000,000","22,546,000,000","23,061,000,000","20,262,000,000","10,512,800,000","8,702,902,000","10,116,932,000","7,171,098,000","4,867,978,000"
	OperatingRevenue,"8,677,000,000","8,705,000,000","8,953,000,000","9,349,000,000","8,737,000,000","9,522,000,000","19,244,000,000","22,254,000,000","22,799,000,000","20,262,000,000","10,512,800,000","8,710,562,000","10,124,986,000","7,174,880,000","4,869,857,000"
	ExciseTaxes,,,,,,,,,,,"0","7,660,000","8,054,000","3,782,000","1,879,000"
CostOfRevenue,"2,045,000,000","2,033,000,000","2,116,000,000","2,139,000,000","1,985,000,000","2,187,000,000","4,932,000,000","5,913,000,000","6,132,000,000","5,625,000,000","2,468,418,000","1,989,120,000","2,363,852,000","1,315,114,000","890,732,000"
GrossProfit,"6,791,000,000","6,830,000,000","6,970,000,000","7,335,000,000","6,900,000,000","7,438,000,000","14,695,000,000","16,633,000,000","16,929,000,000","14,637,000,000","8,044,382,000","6,713,782,000","7,753,080,000","5,855,984,000","3,977,246,000"
OperatingExpense,"4,944,000,000","4,595,000,000","5,469,000,000","5,680,000,000","5,546,000,000","6,630,000,000","11,043,000,000","13,214,000,000","12,237,000,000","11,166,000,000","5,191,883,000","4,135,427,000","4,774,383,000","3,649,794,000","2,579,927,000"
	SellingGeneralAndAdministration,"2,729,000,000","2,741,000,000","3,418,000,000","3,470,000,000","3,366,000,000","4,563,000,000","6,725,000,000","8,373,000,000","7,161,000,000","6,381,000,000","3,063,548,000","2,389,998,000","2,838,508,000","2,206,322,000","1,503,615,000"
		GeneralAndAdministrativeExpense,,"2,741,000,000","3,418,000,000","3,470,000,000","3,366,000,000",,,,,,,,,,
			SalariesAndWages,,"875,000,000","889,000,000","927,000,000","775,000,000",,,,,,,,,,
			OtherGandA,,"1,866,000,000","2,529,000,000","2,543,000,000","2,591,000,000",,,,,,,,,,
