name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalRevenue,"11,744,000,000","11,809,000,000","9,144,000,000","5,430,000,000","5,164,000,000","5,370,000,000","5,978,000,000"
	OperatingRevenue,"11,463,000,000","11,547,000,000","9,797,000,000","5,430,000,000","5,164,000,000","5,370,000,000","5,978,000,000"
CostOfRevenue,"7,138,000,000","7,272,000,000","6,333,000,000","3,908,000,000","3,674,000,000","3,526,000,000","3,756,000,000"
	FuelAndPurchasePower,"5,614,000,000","5,742,000,000","5,036,000,000","2,935,000,000","2,802,000,000","2,692,000,000","2,842,000,000"
	OtherCostofRevenue,"1,524,000,000","1,530,000,000","1,297,000,000","973,000,000","872,000,000","834,000,000","914,000,000"
GrossProfit,"4,606,000,000","4,537,000,000","2,811,000,000","1,522,000,000","1,490,000,000","1,844,000,000","2,222,000,000"
OperatingExpense,"2,628,000,000","2,544,000,000","2,320,000,000","1,299,000,000","1,365,000,000","1,528,000,000","1,978,000,000"
	SellingGeneralAndAdministration,"974,000,000","904,000,000","926,000,000","600,000,000","690,000,000","676,000,000","708,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,654,000,000","1,640,000,000","1,394,000,000","699,000,000","675,000,000","852,000,000","1,270,000,000"
		DepreciationAndAmortizationInIncomeStatement,"1,654,000,000","1,640,000,000","1,394,000,000","699,000,000","675,000,000","852,000,000","1,270,000,000"
OperatingIncome,"1,978,000,000","1,993,000,000","491,000,000","223,000,000","125,000,000","316,000,000","244,000,000"
NetNonOperatingInterestIncomeExpense,"-576,000,000","-588,000,000","-522,000,000","-207,000,000","-1,092,000,000","-1,288,000,000","-1,814,000,000"
	InterestIncomeNonOperating,"7,000,000","10,000,000","18,000,000","15,000,000","4,000,000","1,000,000","0"
	InterestExpenseNonOperating,"542,000,000","564,000,000","525,000,000","206,000,000","1,093,000,000","1,285,000,000","1,726,000,000"
