name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"291,727,000,000","264,829,000,000","257,143,000,000","244,180,000,000","244,640,000,000","232,708,000,000","274,098,000,000","225,222,000,000","230,461,000,000","220,005,000,000","227,251,000,000","202,352,000,000","186,959,000,000","188,804,000,000","168,130,000,000","165,958,000,000","165,968,000,000","167,468,000,000","170,795,000,000","164,735,000,000","62,614,000,000","55,143,900,000","53,964,100,000","24,856,200,000","24,156,800,000","24,271,800,000","29,544,200,000","28,099,500,000","27,881,600,000","27,998,500,000","26,219,700,000","24,729,200,000","21,245,100,000","21,090,900,000","19,788,400,000"
	CurrentAssets,"37,473,000,000","34,636,000,000","29,913,000,000","26,395,000,000","22,280,000,000","29,623,000,000","70,994,000,000","21,235,000,000","30,939,000,000","22,348,000,000","22,608,000,000","26,075,000,000","18,698,000,000","22,538,000,000","16,448,000,000","19,479,000,000","18,293,000,000","20,921,000,000","23,187,000,000","22,121,000,000","10,596,000,000","9,082,300,000","9,000,800,000","3,948,000,000","3,872,700,000","3,783,300,000","3,870,800,000","3,991,300,000","3,849,400,000","3,827,600,000","3,768,900,000","3,206,400,000","2,796,600,000","2,755,600,000","2,683,700,000"
		CashCashEquivalentsAndShortTermInvestments,"2,594,000,000","2,745,000,000","2,079,000,000","2,880,000,000","4,820,000,000","11,153,000,000","54,129,000,000","3,563,000,000","13,954,000,000","7,213,000,000","2,499,000,000","10,291,000,000","3,397,000,000","5,653,000,000","3,274,000,000","4,547,000,000","2,871,000,000","3,480,000,000","2,970,000,000","2,370,000,000","1,936,000,000","237,100,000","322,800,000","152,500,000","356,800,000","142,900,000","146,100,000","296,000,000","130,600,000","94,700,000","164,200,000","301,600,000","228,700,000","213,300,000","239,300,000"
			CashAndCashEquivalents,"2,594,000,000","2,745,000,000","2,079,000,000","2,880,000,000","4,470,000,000","10,598,000,000","53,528,000,000","3,093,000,000","13,362,000,000","6,668,000,000","2,009,000,000","9,782,000,000","1,153,000,000","3,219,000,000","776,000,000","2,290,000,000","699,000,000","1,438,000,000","979,000,000","757,000,000","1,097,000,000","237,100,000","322,800,000","152,500,000","356,800,000","142,900,000","146,100,000","296,000,000","130,600,000","94,700,000","164,200,000","301,600,000","228,700,000","213,300,000","239,300,000"
			OtherShortTermInvestments,,,,"0","350,000,000","555,000,000","601,000,000","470,000,000","592,000,000","545,000,000","490,000,000","509,000,000","2,244,000,000","2,434,000,000","2,498,000,000","2,257,000,000","2,172,000,000","2,042,000,000","1,991,000,000","1,613,000,000","839,000,000",,,,,,,,,,,,,,
		Receivables,"25,429,000,000","25,102,000,000","23,493,000,000","17,513,000,000","13,457,000,000","13,993,000,000","12,439,000,000","12,576,000,000","11,776,000,000","11,781,000,000","12,573,000,000","11,703,000,000","11,736,000,000","10,891,000,000","9,171,000,000","9,801,000,000","9,905,000,000","12,598,000,000","14,254,000,000","14,010,000,000","7,025,000,000","6,559,900,000","6,340,800,000","2,846,800,000","2,386,000,000","2,328,100,000","2,762,300,000","2,628,800,000","2,587,600,000","2,685,200,000","2,401,300,000","2,122,500,000","1,677,500,000","1,795,300,000","1,732,700,000"
			AccountsReceivable,"25,429,000,000","25,102,000,000","23,493,000,000","17,513,000,000","13,457,000,000","13,993,000,000","12,439,000,000","12,576,000,000","11,776,000,000","11,781,000,000","12,573,000,000","11,703,000,000","11,736,000,000","10,891,000,000","9,171,000,000","9,801,000,000","9,905,000,000","12,598,000,000","14,254,000,000","14,010,000,000","7,025,000,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,"26,162,000,000","25,867,000,000","24,432,000,000","18,358,000,000","14,339,000,000","14,732,000,000","13,084,000,000","13,217,000,000",,,"13,549,000,000","12,644,000,000","12,761,000,000","12,030,000,000","10,459,000,000","11,471,000,000","12,292,000,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-733,000,000","-765,000,000","-939,000,000","-845,000,000","-882,000,000","-739,000,000","-645,000,000","-641,000,000",,,"-976,000,000","-941,000,000","-1,025,000,000","-1,139,000,000","-1,288,000,000","-1,670,000,000","-2,387,000,000",,,,,,,,,,,,,,,,,,
		Inventory,"1,422,000,000","1,336,000,000","1,034,000,000","1,202,000,000","1,252,000,000","1,153,000,000","1,020,000,000","1,075,000,000","940,000,000","1,131,000,000","2,289,000,000","2,092,000,000","1,729,000,000","1,514,000,000","1,780,000,000","1,535,000,000","1,283,000,000","1,502,000,000","1,968,000,000","1,910,000,000","664,000,000","566,000,000","550,300,000","148,700,000","132,800,000","274,600,000","250,900,000","266,000,000","293,300,000","357,900,000","278,700,000","316,500,000","298,600,000","270,900,000","242,300,000"
