name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"294,500,000,000","291,727,000,000","284,875,000,000","283,108,000,000","283,947,000,000","264,829,000,000","265,562,000,000","263,303,000,000","264,516,000,000","257,143,000,000","254,682,000,000","252,978,000,000","246,731,000,000","244,180,000,000","239,498,000,000","231,870,000,000","244,587,000,000","244,640,000,000","242,073,000,000","240,753,000,000","235,790,000,000","232,708,000,000","226,293,000,000","224,427,000,000","221,562,000,000","274,098,000,000","276,675,000,000","223,346,000,000","226,186,000,000","225,222,000,000","231,082,000,000","226,072,000,000","222,921,000,000","230,461,000,000","228,032,000,000","223,756,000,000","228,108,000,000","220,005,000,000","220,852,000,000","226,251,000,000","227,347,000,000","227,251,000,000","226,404,000,000","224,999,000,000","226,851,000,000","202,352,000,000","204,861,000,000","200,646,000,000","191,293,000,000","186,959,000,000","185,619,000,000","184,760,000,000","184,284,000,000","188,804,000,000","185,679,000,000","183,843,000,000","182,814,000,000","168,130,000,000","168,301,000,000","169,377,000,000","164,882,000,000","165,958,000,000","162,897,000,000","162,438,000,000","163,421,000,000","165,968,000,000","165,006,000,000","167,626,000,000","172,053,000,000","167,468,000,000","169,099,000,000","168,293,000,000","171,325,000,000","170,795,000,000","169,503,000,000","170,173,000,000","167,798,000,000","164,735,000,000","157,528,000,000","157,013,000,000","66,052,000,000","62,614,000,000","59,022,000,000","57,873,000,000","54,975,000,000","55,143,900,000","54,998,300,000","54,715,700,000","54,314,300,000","53,964,100,000","52,890,900,000","24,978,400,000","25,216,200,000","24,856,200,000","23,908,900,000","23,795,700,000","23,808,600,000","24,156,800,000","24,546,000,000","24,819,900,000","24,312,200,000","24,271,800,000","24,517,900,000","28,685,600,000","29,452,600,000","29,544,200,000","28,776,300,000","28,763,000,000","28,882,200,000","28,099,500,000","27,896,100,000","28,144,700,000","27,582,400,000","27,881,600,000","27,995,600,000","28,069,100,000","27,996,000,000","27,998,500,000","27,960,000,000","26,621,800,000","26,251,400,000","26,219,700,000","24,729,200,000","21,245,100,000","21,090,900,000","19,788,400,000"
	CurrentAssets,"40,705,000,000","37,473,000,000","34,895,000,000","33,308,000,000","33,397,000,000","34,636,000,000","33,154,000,000","30,876,000,000","31,025,000,000","29,913,000,000","30,867,000,000","28,823,000,000","27,158,000,000","26,395,000,000","25,621,000,000","20,844,000,000","23,615,000,000","22,280,000,000","21,768,000,000","21,502,000,000","22,836,000,000","29,623,000,000","24,773,000,000","22,887,000,000","23,272,000,000","70,994,000,000","73,705,000,000","21,957,000,000","25,258,000,000","21,235,000,000","27,663,000,000","27,130,000,000","23,512,000,000","30,939,000,000","27,770,000,000","22,472,000,000","29,923,000,000","22,348,000,000","21,341,000,000","21,061,000,000","22,405,000,000","22,608,000,000","22,023,000,000","21,464,000,000","21,878,000,000","26,075,000,000","19,131,000,000","17,996,000,000","22,448,000,000","18,698,000,000","17,037,000,000","17,028,000,000","17,894,000,000","22,538,000,000","21,615,000,000","21,276,000,000","18,629,000,000","16,448,000,000","15,272,000,000","16,669,000,000","17,011,000,000","19,479,000,000","17,741,000,000","17,395,000,000","17,194,000,000","18,293,000,000","16,565,000,000","18,531,000,000","22,291,000,000","20,921,000,000","23,466,000,000","23,141,000,000","24,172,000,000","23,187,000,000","21,832,000,000","23,260,000,000","21,977,000,000","22,121,000,000","20,094,000,000","20,136,000,000","9,860,000,000","10,596,000,000","8,897,000,000","8,738,000,000","8,901,000,000","9,082,300,000","8,907,100,000","9,002,800,000","9,246,000,000","9,000,800,000","8,455,300,000","3,950,400,000","4,055,100,000","3,948,000,000","3,617,600,000","3,635,000,000","3,630,300,000","3,872,700,000","3,883,700,000","3,891,300,000","3,799,800,000","3,783,300,000","3,918,000,000","4,119,200,000","4,116,600,000","3,870,800,000","4,047,300,000","3,786,800,000","3,864,600,000","3,991,300,000","4,004,100,000","3,925,900,000","3,764,900,000","3,849,400,000","3,814,200,000","3,841,200,000","3,854,700,000","3,827,600,000","3,880,300,000","3,930,900,000","3,766,900,000","3,768,900,000","3,206,400,000","2,796,600,000","2,755,600,000","2,683,700,000"
		CashCashEquivalentsAndShortTermInvestments,"7,047,000,000","2,594,000,000","3,020,000,000","1,949,000,000","2,322,000,000","2,745,000,000","2,538,000,000","1,750,000,000","1,923,000,000","2,079,000,000","4,487,000,000","4,583,000,000","4,307,000,000","2,880,000,000","6,441,000,000","2,857,000,000","5,846,000,000","4,820,000,000","4,181,000,000","3,317,000,000","4,933,000,000","11,153,000,000","7,853,000,000","6,424,000,000","3,544,000,000","54,129,000,000","57,341,000,000","2,406,000,000","6,135,000,000","3,563,000,000","10,307,000,000","10,778,000,000","6,532,000,000","13,954,000,000","10,858,000,000","6,828,000,000","14,730,000,000","7,213,000,000","5,975,000,000","5,225,000,000","3,557,000,000","2,499,000,000","1,690,000,000","1,180,000,000","4,351,000,000","10,291,000,000","1,674,000,000","2,074,000,000","7,442,000,000","3,397,000,000","1,909,000,000","2,356,000,000","3,450,000,000","5,653,000,000","3,435,000,000","3,261,000,000","3,927,000,000","3,274,000,000","1,824,000,000","3,001,000,000","2,711,000,000","4,547,000,000","1,602,000,000","1,998,000,000","2,492,000,000","2,871,000,000","1,112,000,000","1,726,000,000","5,614,000,000","3,480,000,000","5,897,000,000","3,731,000,000","2,379,000,000","2,970,000,000","1,613,000,000","3,413,000,000","1,699,000,000","2,370,000,000","942,000,000","1,701,000,000","988,000,000","1,936,000,000","299,000,000","512,000,000","907,000,000","237,100,000","620,800,000","303,100,000","403,900,000","322,800,000","315,800,000","103,900,000","144,800,000","152,500,000","98,800,000","63,700,000","56,800,000","356,800,000","97,700,000","61,500,000","58,600,000","142,900,000","226,100,000","252,900,000","255,400,000","146,100,000","271,100,000","111,500,000","106,400,000","296,000,000","231,200,000","228,300,000","242,100,000","130,600,000","149,900,000","116,900,000","164,500,000","94,700,000","34,000,000","272,100,000","180,900,000","164,200,000","301,600,000","228,700,000","213,300,000","239,300,000"
			CashAndCashEquivalents,"7,047,000,000","2,594,000,000","3,020,000,000","1,949,000,000","2,322,000,000","2,745,000,000","2,538,000,000","1,750,000,000","1,923,000,000","2,079,000,000","4,487,000,000","4,583,000,000","4,307,000,000","2,880,000,000","6,441,000,000","2,857,000,000","5,846,000,000","4,470,000,000","3,875,000,000","3,008,000,000","4,386,000,000","10,598,000,000","7,218,000,000","5,776,000,000","2,907,000,000","53,528,000,000","56,710,000,000","1,788,000,000","5,475,000,000","3,093,000,000","9,714,000,000","10,001,000,000","5,909,000,000","13,362,000,000","10,324,000,000","6,240,000,000","14,007,000,000","6,668,000,000","5,394,000,000","4,761,000,000","3,037,000,000","2,009,000,000","1,216,000,000","820,000,000","3,979,000,000","9,782,000,000","696,000,000","582,000,000","5,485,000,000","1,153,000,000","715,000,000","656,000,000","1,301,000,000","3,219,000,000","1,846,000,000","1,186,000,000","1,249,000,000","776,000,000","616,000,000","1,405,000,000","692,000,000","2,290,000,000","616,000,000","608,000,000","600,000,000","699,000,000","746,000,000","820,000,000","4,135,000,000","1,438,000,000","5,651,000,000","2,962,000,000","1,015,000,000","979,000,000","1,365,000,000","2,616,000,000","689,000,000","757,000,000","828,000,000","1,346,000,000","360,000,000","1,097,000,000","264,000,000","232,000,000","368,000,000","237,100,000","620,800,000","303,100,000","403,900,000","322,800,000","315,800,000","103,900,000","144,800,000","152,500,000","98,800,000","63,700,000","56,800,000","356,800,000","97,700,000","61,500,000","58,600,000","142,900,000","226,100,000","252,900,000","255,400,000","146,100,000","271,100,000","111,500,000","106,400,000","296,000,000","231,200,000","228,300,000","242,100,000","130,600,000","149,900,000","116,900,000","164,500,000","94,700,000","34,000,000","272,100,000","180,900,000","164,200,000","301,600,000","228,700,000","213,300,000","239,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,"0","0","0","0","350,000,000","306,000,000","309,000,000","547,000,000","555,000,000","635,000,000","648,000,000","637,000,000","601,000,000","631,000,000","618,000,000","660,000,000","470,000,000","593,000,000","777,000,000","623,000,000","592,000,000","534,000,000","588,000,000","723,000,000","545,000,000","581,000,000","464,000,000","520,000,000","490,000,000","474,000,000","360,000,000","372,000,000","509,000,000","978,000,000","1,492,000,000","1,957,000,000","2,244,000,000","1,194,000,000","1,700,000,000","2,149,000,000","2,434,000,000","1,589,000,000","2,075,000,000","2,678,000,000","2,498,000,000","1,208,000,000","1,596,000,000","2,019,000,000","2,257,000,000","986,000,000","1,390,000,000","1,892,000,000","2,172,000,000","366,000,000","906,000,000","1,479,000,000","2,042,000,000","246,000,000","769,000,000","1,364,000,000","1,991,000,000","248,000,000","797,000,000","1,010,000,000","1,613,000,000","114,000,000","355,000,000","628,000,000","839,000,000","35,000,000","280,000,000","539,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"23,797,000,000","25,429,000,000","24,713,000,000","24,926,000,000","24,469,000,000","25,102,000,000","24,012,000,000","23,099,000,000","22,595,000,000","23,493,000,000","21,549,000,000","19,771,000,000","16,863,000,000","17,513,000,000","14,832,000,000","13,294,000,000","12,485,000,000","13,457,000,000","13,105,000,000","13,444,000,000","12,698,000,000","13,993,000,000","13,283,000,000","12,966,000,000","12,131,000,000","12,439,000,000","12,111,000,000","12,216,000,000","11,814,000,000","12,576,000,000","12,030,000,000","11,595,000,000","11,234,000,000","11,776,000,000","11,648,000,000","11,483,000,000","11,028,000,000","11,781,000,000","11,973,000,000","12,058,000,000","11,969,000,000","12,573,000,000","12,489,000,000","12,170,000,000","11,989,000,000","11,703,000,000","11,724,000,000","11,584,000,000","11,048,000,000","11,736,000,000","11,509,000,000","10,689,000,000","10,177,000,000","10,891,000,000","10,834,000,000","10,451,000,000","10,617,000,000","9,171,000,000","9,337,000,000","9,566,000,000","9,285,000,000","9,801,000,000","9,919,000,000","9,618,000,000","9,499,000,000","9,905,000,000","10,049,000,000","10,077,000,000","11,462,000,000","12,598,000,000","12,956,000,000","13,068,000,000","15,412,000,000","14,254,000,000","13,726,000,000","13,777,000,000","13,988,000,000","14,010,000,000","14,180,000,000","12,360,000,000","7,085,000,000","7,025,000,000","6,929,000,000","6,722,000,000","6,535,000,000","6,559,900,000","6,424,100,000","6,467,300,000","6,277,600,000","6,340,800,000","6,147,200,000","2,873,500,000","2,796,300,000","2,846,800,000","2,369,400,000","2,352,700,000","2,285,900,000","2,386,000,000","2,313,800,000","2,308,300,000","2,207,200,000","2,328,100,000","2,609,100,000","2,764,100,000","2,727,300,000","2,762,300,000","2,752,500,000","2,636,900,000","2,592,500,000","2,628,800,000","2,627,700,000","2,576,600,000",,"2,587,600,000","2,520,000,000","2,652,000,000","2,631,800,000","2,685,200,000","2,736,800,000","2,555,500,000","2,343,200,000","2,401,300,000","2,122,500,000","1,677,500,000","1,795,300,000","1,732,700,000"
			AccountsReceivable,"23,797,000,000","25,429,000,000","24,713,000,000","24,926,000,000","24,469,000,000","25,102,000,000","24,012,000,000","23,099,000,000","22,595,000,000","23,493,000,000","21,549,000,000","19,771,000,000","16,863,000,000","17,513,000,000","14,832,000,000","13,294,000,000","12,485,000,000","13,457,000,000","13,105,000,000","13,444,000,000","12,698,000,000","13,993,000,000","13,283,000,000","12,966,000,000","12,131,000,000","12,439,000,000","12,111,000,000","12,216,000,000","11,814,000,000","12,576,000,000","12,030,000,000","11,595,000,000","11,234,000,000","11,776,000,000","11,648,000,000","11,483,000,000","11,028,000,000","11,781,000,000","11,973,000,000","12,058,000,000","11,969,000,000","12,573,000,000","12,489,000,000","12,170,000,000","11,989,000,000","11,703,000,000","11,724,000,000","11,584,000,000","11,048,000,000","11,736,000,000","11,509,000,000","10,689,000,000","10,177,000,000","10,891,000,000","10,834,000,000","10,451,000,000","10,617,000,000","9,171,000,000","9,337,000,000","9,566,000,000","9,285,000,000","9,801,000,000","9,919,000,000","9,618,000,000","9,499,000,000","9,905,000,000","10,049,000,000","10,077,000,000","11,462,000,000","12,598,000,000","12,956,000,000","13,068,000,000","15,412,000,000","14,254,000,000","13,726,000,000","13,777,000,000","13,988,000,000","14,010,000,000","14,180,000,000","12,360,000,000","7,085,000,000","7,025,000,000","6,929,000,000","6,722,000,000","6,535,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"24,852,000,000","26,162,000,000","25,419,000,000","25,671,000,000","25,213,000,000","25,867,000,000","24,863,000,000","23,984,000,000",,"24,432,000,000","22,457,000,000","20,689,000,000","17,714,000,000","18,358,000,000","15,632,000,000","14,106,000,000","13,385,000,000","14,339,000,000","13,928,000,000","14,184,000,000","13,443,000,000","14,732,000,000","13,929,000,000","13,594,000,000","12,745,000,000","13,084,000,000",,,,"13,217,000,000","12,694,000,000","12,312,000,000","11,971,000,000",,"12,481,000,000",,,,,,,"13,549,000,000",,,,"12,644,000,000",,,,"12,761,000,000",,,,"12,030,000,000",,,,"10,459,000,000",,,,"11,471,000,000",,,,"12,292,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,055,000,000","-733,000,000","-706,000,000","-745,000,000","-744,000,000","-765,000,000","-851,000,000","-885,000,000",,"-939,000,000","-908,000,000","-918,000,000","-851,000,000","-845,000,000","-800,000,000","-812,000,000","-900,000,000","-882,000,000","-823,000,000","-740,000,000","-745,000,000","-739,000,000","-646,000,000","-628,000,000","-614,000,000","-645,000,000",,,,"-641,000,000","-664,000,000","-717,000,000","-737,000,000",,"-833,000,000",,,,,,,"-976,000,000",,,,"-941,000,000",,,,"-1,025,000,000",,,,"-1,139,000,000",,,,"-1,288,000,000",,,,"-1,670,000,000",,,,"-2,387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,633,000,000","1,422,000,000","1,538,000,000","1,167,000,000","1,417,000,000","1,336,000,000","1,270,000,000","1,102,000,000","1,285,000,000","1,034,000,000","1,276,000,000","1,116,000,000","1,194,000,000","1,202,000,000","1,318,000,000","931,000,000","1,142,000,000","1,252,000,000","1,319,000,000","1,149,000,000","1,076,000,000","1,153,000,000","1,206,000,000","1,073,000,000","881,000,000","1,020,000,000","1,193,000,000","1,040,000,000","798,000,000","1,075,000,000","1,223,000,000","856,000,000","1,063,000,000","940,000,000","1,153,000,000","1,270,000,000","1,245,000,000","1,131,000,000","1,010,000,000","985,000,000","1,113,000,000","2,289,000,000","2,554,000,000","2,775,000,000","2,195,000,000","2,092,000,000","2,485,000,000","2,216,000,000","1,672,000,000","1,729,000,000","1,786,000,000","1,793,000,000","1,780,000,000","1,514,000,000","1,650,000,000","1,698,000,000","1,647,000,000","1,780,000,000","1,503,000,000","1,373,000,000","1,460,000,000","1,535,000,000","1,389,000,000","1,362,000,000","1,309,000,000","1,283,000,000","1,280,000,000","1,245,000,000","1,536,000,000","1,502,000,000","1,612,000,000","1,843,000,000","1,770,000,000","1,968,000,000","2,259,000,000","2,047,000,000","2,049,000,000","1,910,000,000","1,487,000,000","1,385,000,000","589,000,000","664,000,000","624,000,000","584,000,000","555,000,000","566,000,000","571,200,000","604,900,000","544,500,000","550,300,000","516,000,000","191,400,000","175,000,000","148,700,000","164,500,000","146,400,000","135,500,000","132,800,000","282,200,000","289,600,000","298,000,000","274,600,000","265,000,000","271,200,000","247,300,000","250,900,000","247,700,000","247,400,000","255,400,000","266,000,000","291,000,000","301,200,000",,"293,300,000","313,500,000","346,500,000","359,300,000","357,900,000","341,100,000","314,900,000","309,100,000","278,700,000","316,500,000","298,600,000","270,900,000","242,300,000"
