name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"1,061,759,000","1,051,763,000","922,612,000","807,831,000","694,318,000","517,354,000","409,505,000","341,729,000","305,720,000","292,351,000","277,575,000","231,057,000","234,694,000","202,427,000","162,222,000","114,480,000","79,861,000","45,295,000","5,522,000","3,437,000"
	NetInterestIncome,"1,055,981,000","1,034,279,000","907,964,000","776,924,000","648,211,000","482,259,000","380,287,000","331,532,000","289,056,000","253,974,000","230,577,000","200,322,000","194,908,000","179,889,000","148,788,000","102,342,000","71,135,000","41,025,000","29,346,000","26,573,000"
		InterestIncome,"1,234,978,000","1,218,912,000","1,025,568,000","837,773,000","691,504,000","514,827,000","411,773,000","361,292,000","317,088,000","292,897,000","279,837,000","274,056,000","295,591,000","305,822,000","233,085,000","134,910,000","90,855,000","53,823,000","39,117,000","35,713,000"
			InterestIncomeFromLoansAndLease,"1,111,138,000","1,093,070,000","910,577,000","747,510,000","636,596,000","476,417,000","370,922,000","326,714,000","280,985,000","261,443,000","255,626,000","248,098,000","257,528,000","264,480,000","203,792,000","102,481,000","59,311,000","36,792,000",,
				InterestIncomeFromLoans,,,,,,,,,,"261,443,000","255,626,000","248,433,000","257,528,000","264,480,000","203,792,000","102,481,000","59,311,000","36,792,000",,
			InterestIncomeFromSecurities,"110,061,000","111,939,000","106,752,000","83,354,000","52,570,000","37,888,000","38,603,000","30,382,000","32,780,000","30,725,000","22,940,000","24,722,000","37,741,000","39,698,000","27,495,000","30,088,000","30,714,000","16,284,000","609,000",
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,"2,248,000","1,538,000","508,000","729,000","1,455,000","1,030,000","322,000","1,644,000","1,798,000","2,341,000","293,000","578,000",,
			OtherInterestIncome,"13,779,000","13,903,000","8,239,000","6,909,000","2,338,000","522,000","2,248,000","4,196,000","3,323,000","729,000","1,271,000","1,236,000",,,,,"537,000","169,000","38,508,000",
		InterestExpense,"178,997,000","184,633,000","117,604,000","60,849,000","43,293,000","32,568,000","31,486,000","29,760,000","28,032,000","38,923,000","49,260,000","73,734,000","100,683,000","125,933,000","84,297,000","32,568,000","19,720,000","12,798,000","9,771,000","9,140,000"
			InterestExpenseForDeposit,"155,133,000","158,405,000","90,464,000","41,965,000","29,722,000","21,795,000","20,012,000","16,335,000","16,794,000","27,977,000","41,329,000","61,905,000","69,136,000","98,128,000","65,612,000","25,546,000","12,123,000","8,158,000",,
