name,ttm,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalRevenue,"138,705,000,000","136,866,000,000","131,537,000,000","118,214,000,000","117,351,000,000","103,444,000,000","76,392,000,000","72,217,000,000","71,633,000,000","72,184,000,000","67,420,000,000","63,335,000,000","59,034,300,000","53,762,000,000","47,409,000,000","42,201,600,000","37,508,200,000","32,505,400,000","28,681,100,000","24,623,000,000","21,206,900,000","17,838,800,000","15,307,000,000","13,363,000,000","11,778,400,000","10,395,100,000","9,235,000,000","8,294,800,000","7,475,000,000","6,733,000,000","6,047,500,000","5,380,100,000","4,883,500,000","4,281,600,000","3,660,600,000","3,161,900,000"
	OperatingRevenue,"138,705,000,000","136,866,000,000","131,537,000,000","118,214,000,000","117,351,000,000","103,444,000,000","76,392,000,000","72,217,000,000","71,633,000,000","72,184,000,000","67,420,000,000","63,335,000,000","59,034,300,000","53,762,000,000","47,409,000,000","42,201,600,000","37,508,200,000","32,505,400,000","28,681,100,000","24,623,000,000","21,206,900,000","17,838,800,000","15,307,000,000","13,363,000,000","11,778,400,000","10,395,100,000","9,235,000,000","8,294,800,000","7,475,000,000","6,733,000,000","6,047,500,000","5,380,100,000","4,883,500,000","4,281,600,000","3,660,600,000","3,161,900,000"
CostOfRevenue,"109,249,000,000","106,790,000,000","100,745,000,000","89,052,000,000","87,477,000,000","76,520,000,000","54,823,000,000","51,098,000,000","51,291,000,000","51,692,000,000","48,444,000,000","45,722,000,000","42,391,100,000","38,518,100,000","34,240,400,000","30,413,800,000","27,310,400,000","23,706,200,000","21,076,100,000","18,048,900,000","15,235,800,000","12,768,500,000","10,951,000,000","9,518,000,000","8,367,500,000","7,350,800,000","6,496,300,000","5,854,300,000","5,285,600,000","4,744,800,000","4,286,000,000","3,784,700,000","3,409,600,000","2,947,300,000","2,506,200,000","2,158,000,000"
GrossProfit,"29,457,000,000","30,076,000,000","30,792,000,000","29,162,000,000","29,874,000,000","26,924,000,000","21,569,000,000","21,119,000,000","20,342,000,000","20,492,000,000","18,976,000,000","17,613,000,000","16,643,200,000","15,243,900,000","13,168,600,000","11,787,800,000","10,197,800,000","8,799,200,000","7,605,000,000","6,574,100,000","5,971,100,000","5,070,300,000","4,356,000,000","3,845,000,000","3,410,900,000","3,044,300,000","2,738,700,000","2,440,500,000","2,189,400,000","1,988,200,000","1,761,500,000","1,595,400,000","1,473,900,000","1,334,300,000","1,154,400,000","1,003,900,000"
OperatingExpense,"25,213,000,000","25,242,000,000","24,569,000,000","23,740,000,000","23,910,000,000","22,571,000,000","17,992,000,000","17,543,000,000","16,878,000,000","16,127,000,000","15,518,000,000","14,366,000,000","13,202,500,000","12,093,200,000","10,467,100,000","9,363,800,000","8,055,100,000","6,950,900,000","5,980,800,000","5,175,800,000","4,747,000,000","4,054,900,000","3,521,000,000","3,137,000,000","2,806,800,000","2,524,200,000","2,283,000,000","2,034,300,000","1,830,900,000","1,667,000,000","1,477,300,000","1,341,900,000","1,249,700,000","1,123,600,000","957,800,000","826,100,000"
	SellingGeneralAndAdministration,"25,213,000,000","25,242,000,000","24,569,000,000","23,740,000,000","23,910,000,000","22,571,000,000","17,992,000,000","17,543,000,000","16,878,000,000","16,561,000,000","15,518,000,000","14,366,000,000","13,202,500,000","12,093,200,000","10,467,100,000","9,363,800,000","8,055,100,000","6,950,900,000","5,980,800,000","5,175,800,000","4,516,900,000","3,844,800,000","3,332,000,000","2,973,000,000","2,659,500,000","2,392,700,000","2,164,900,000","1,929,600,000","1,738,800,000","1,582,700,000","1,406,900,000","1,278,100,000","1,190,300,000","1,069,900,000","914,000,000","791,700,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"230,100,000","210,100,000","189,000,000","164,000,000","147,300,000","131,500,000","118,100,000","104,700,000","92,100,000","84,300,000","70,400,000","63,800,000","59,400,000","53,700,000","43,800,000","34,400,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"230,100,000","210,100,000","189,000,000","164,000,000","147,300,000","131,500,000","118,100,000","104,700,000","92,100,000","84,300,000","70,400,000","63,800,000","59,400,000","53,700,000","43,800,000","34,400,000"
	OtherOperatingExpenses,,,,,,,,,,"-434,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"4,244,000,000","4,834,000,000","6,223,000,000","5,422,000,000","5,964,000,000","4,353,000,000","3,577,000,000","3,576,000,000","3,464,000,000","4,365,000,000","3,458,000,000","3,247,000,000","3,440,700,000","3,150,700,000","2,701,500,000","2,424,000,000","2,142,700,000","1,848,300,000","1,624,200,000","1,398,300,000","1,224,100,000","1,015,400,000","835,000,000","708,000,000","604,100,000","520,100,000","455,700,000","406,200,000","358,500,000","321,200,000","284,200,000","253,500,000","224,200,000","210,700,000","196,600,000","177,800,000"
