name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalRevenue,"1,233,965,000","1,240,442,000","1,189,249,000","1,055,765,000","982,991,000","904,170,000","830,549,000","787,778,000","771,666,000","740,810,000","747,504,000","675,753,000","477,739,000","714,069,000","727,900,000","738,226,000","687,868,000","646,002,000","591,300,000","529,577,000","455,337,000","396,143,000","319,600,000","227,900,000","141,300,000","109,300,000","96,100,000","72,400,000","45,800,000","27,000,000","22,400,000","20,900,000",,
	NetInterestIncome,"944,377,000","955,127,000","906,681,000","796,287,000","718,513,000","664,625,000","628,441,000","596,728,000","578,908,000","563,768,000","534,810,000","494,638,000","505,791,000","508,192,000","508,550,000","517,341,000","468,161,000","413,519,000","405,728,000","367,479,000","326,516,000","303,513,000","245,400,000","191,900,000","115,800,000","87,300,000","83,700,000","63,900,000","39,800,000","23,000,000","19,100,000","18,400,000",,
		InterestIncome,"1,142,863,000","1,154,583,000","1,055,167,000","913,605,000","821,913,000","760,040,000","718,941,000","687,640,000","693,502,000","699,723,000","706,186,000","745,342,000","869,273,000","995,595,000","1,014,738,000","871,847,000","732,108,000","658,718,000","692,034,000","757,235,000","738,911,000","645,792,000","622,500,000","445,800,000","265,500,000","218,800,000","173,300,000","134,300,000","88,500,000","68,200,000","66,200,000","67,100,000",,
			InterestIncomeFromLoansAndLease,"912,870,000","925,420,000","843,077,000","709,600,000","622,477,000","554,031,000","512,469,000","493,053,000","488,091,000","488,118,000","491,753,000","538,712,000","712,218,000","859,271,000","860,611,000","701,986,000","553,990,000","476,086,000","464,400,000","519,920,000","518,315,000","435,326,000","382,900,000","299,100,000","196,100,000","154,500,000","125,800,000","104,900,000","65,300,000","50,500,000","52,000,000","54,600,000",,
				InterestIncomeFromLoans,"912,870,000","925,420,000","843,077,000","709,600,000","622,477,000","554,031,000","512,469,000","493,053,000","488,091,000","488,118,000","491,753,000","538,712,000","712,218,000","859,271,000","860,611,000","701,986,000","553,990,000","476,086,000","464,400,000","519,920,000","518,315,000","435,326,000","382,900,000","299,100,000","196,100,000","154,500,000","125,800,000","104,900,000","65,300,000","50,500,000","52,000,000","54,600,000",,
			InterestIncomeFromSecurities,"229,993,000","229,163,000","212,090,000","204,005,000","199,436,000","206,009,000","206,472,000","194,587,000","205,411,000","211,605,000","214,433,000","206,630,000","157,055,000","136,324,000","154,127,000","169,861,000","178,118,000","182,632,000","227,634,000","237,315,000","220,596,000","210,466,000","239,500,000","146,800,000","69,400,000","64,300,000","47,500,000","29,400,000","21,400,000","13,900,000","13,200,000","11,300,000",,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,,"100,000","-100,000",,,,,"1,800,000","3,800,000","1,000,000","1,200,000",,
		InterestExpense,"198,486,000","199,456,000","148,486,000","117,318,000","103,400,000","95,415,000","90,500,000","90,912,000","114,594,000","135,955,000","171,376,000","250,704,000","363,482,000","487,403,000","506,188,000","354,506,000","263,947,000","245,199,000","286,306,000","389,756,000","412,395,000","342,279,000","377,100,000","253,900,000","149,700,000","131,500,000","89,600,000","70,400,000","48,700,000","45,200,000","47,100,000","48,700,000",,
			InterestExpenseForDeposit,"126,400,000","129,577,000","90,407,000","62,253,000","49,858,000","46,031,000","44,162,000","46,582,000","59,586,000","80,808,000","112,629,000","180,804,000","250,182,000","361,307,000","310,199,000","188,437,000","120,606,000","111,311,000","146,162,000","216,335,000","224,294,000","203,805,000","221,300,000","168,600,000","114,400,000","98,100,000","68,200,000","58,600,000","42,800,000","39,100,000","38,500,000","36,600,000",,
			InterestExpenseForShortTermDebt,,,,,,,,,,,,,,,,,,,"140,144,000","173,421,000","188,101,000","138,474,000","155,700,000","85,300,000",,,,"11,800,000","5,900,000","6,100,000",,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"56,885,000","51,926,000","44,588,000","40,700,000","39,014,000","32,523,000","26,950,000","23,530,000","33,974,000","38,975,000","42,847,000","69,900,000","113,300,000","126,096,000","195,989,000","166,069,000","143,341,000","133,888,000",,,,,,,"35,400,000","33,400,000","21,300,000",,,,"8,500,000","12,100,000",,
