name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"33,380,751,000","30,342,072,000","27,944,445,000","28,865,184,000","29,023,845,000","25,014,296,000","23,083,957,000","19,549,109,000","14,924,606,000","9,451,734,000","6,367,186,000","6,193,118,000","5,213,856,000","4,280,610,000","2,972,164,000","2,549,643,000","2,182,731,000","1,594,110,000","1,269,843,000","1,156,904,000","1,271,171,000","1,073,424,000","734,327,000","519,831,197","358,092,053","324,101,989","285,000,000","226,200,000","207,200,000","189,700,000","186,800,000","186,900,000","181,700,000","156,900,000","127,000,000"
	CurrentAssets,"1,880,118,000","1,700,407,000","1,686,961,000","2,392,161,000","2,344,050,000","1,661,515,000","1,117,057,000","2,448,181,000","613,629,000","539,627,000","258,052,000","314,330,000",,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"284,917,000","215,376,000","243,777,000","419,378,000","360,908,000","473,726,000","158,780,000","1,033,764,000","163,482,000","131,570,000","35,476,000","23,370,000","31,677,000","40,916,000","39,207,000","23,061,000","127,795,000","17,044,000","16,324,000","8,294,000","3,029,000","31,569,000","10,981,000","581,390","860,350","935,449",,,,"171,800,000","108,600,000",,,,
			CashAndCashEquivalents,"284,917,000","215,376,000","243,777,000","419,378,000","360,908,000","473,726,000","158,780,000","1,033,764,000","163,482,000","131,570,000","35,476,000","23,370,000","30,269,000","36,216,000","36,237,000","19,763,000","124,496,000","9,550,000","9,826,000","2,844,000","2,129,000","1,269,000","1,381,000","581,390","860,350","935,449",,,,"0","0",,,,
			OtherShortTermInvestments,,,,,,,,,,,,,"1,408,000","4,700,000","2,970,000","3,298,000","3,299,000","7,494,000","6,498,000","5,450,000","900,000","30,300,000","9,600,000",,,,,,,"171,800,000","108,600,000",,,,
		Receivables,"1,494,352,000","1,384,278,000","1,377,658,000","1,784,941,000","1,921,360,000","1,108,092,000","885,456,000","1,306,760,000","380,527,000","328,988,000","199,339,000","136,890,000","139,060,000","96,144,000","71,211,000","334,458,000","52,159,000","43,318,000","32,765,000","24,252,000","17,296,000","11,774,000","7,479,000","4,155,812","2,715,146","2,264,197",,,,,,,,,
			AccountsReceivable,"466,222,000","367,093,000","389,168,000","342,578,000","395,562,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"312,758,000","398,711,000","495,871,000","622,628,000","819,492,000","380,169,000","332,146,000","895,665,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"757,748,000","686,846,000","560,991,000","826,298,000","706,306,000","727,923,000","553,310,000","411,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-42,376,000","-68,372,000","-68,372,000","-6,563,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"100,849,000","100,753,000","65,526,000","187,842,000","61,782,000","79,697,000","72,821,000","107,657,000","69,620,000","79,069,000","23,237,000","154,070,000",,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"31,500,633,000","28,641,665,000","26,257,484,000","26,473,023,000","26,679,795,000","23,352,781,000","21,966,900,000","17,100,928,000","14,310,977,000","8,912,107,000","6,109,134,000","5,878,788,000",,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"536,433,000",,,,,,,,"13,649,843,000","8,155,529,000","5,658,440,000","5,378,794,000","5,012,620,000","3,935,851,000","2,661,925,000","2,190,427,000","1,741,537,000","1,306,818,000","956,851,000","1,121,419,000","1,222,211,000","1,027,706,000","713,557,000","512,894,007","351,923,723","323,583,083",,,,,,,,,
			GrossPPE,"536,433,000",,,,,,,,"14,844,319,000","8,992,495,000","6,336,291,000","5,979,575,000","5,490,993,000","4,282,858,000","2,936,800,000","2,409,963,000","1,893,977,000","1,420,397,000","1,037,395,000","1,174,387,000","1,257,957,000","1,047,330,000","725,326,000",,,,,,,,,,,,
				Properties,,,,,,,,,"36,115,000","23,441,000","45,686,000","48,054,000",,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,"1,116,756,000","727,050,000","521,055,000","504,907,000",,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,"13,073,747,000","7,627,132,000","5,185,328,000","4,653,871,000",,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"536,433,000",,,,,,,,"428,199,000","258,079,000","127,390,000","133,324,000",,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,"189,502,000","356,793,000","456,832,000","639,419,000",,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,"-1,194,476,000","-836,966,000","-677,851,000","-600,781,000","-478,373,000","-347,007,000","-274,875,000","-219,536,000","-152,440,000","-113,579,000","-80,544,000","-52,968,000","-35,746,000","-19,624,000","-11,769,000",,,,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","51,207,000",,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,"68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","68,321,000","51,207,000",,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentProperties,"30,312,456,000","28,090,430,000","25,743,578,000","25,947,564,000","26,069,193,000","22,471,027,000","21,348,075,000","16,527,344,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"583,423,000","482,914,000","445,585,000","457,138,000","542,281,000","744,151,000","479,629,000","438,936,000","241,722,000","237,107,000","5,816,000","1,030,000",,,,"3,298,000",,,,"5,450,000","26,224,000","30,286,000","9,635,000","768,451","845,297",,,,,,,,,,
			LongTermEquityInvestment,"583,423,000","482,914,000","445,585,000","457,138,000","542,281,000","744,151,000","479,629,000","438,936,000","241,722,000","237,107,000","5,816,000","1,030,000",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,"292,507,000","435,304,000","422,180,000","475,385,000","373,988,000","187,042,000","187,593,000","251,545,000","250,909,000","217,639,000","256,713,000","317,432,000","395,400,000","401,000,000","408,300,000","348,400,000","282,000,000","249,700,000","276,900,000","223,100,000","123,800,000","13,800,000","71,500,000",,,,
		NonCurrentDeferredAssets,,,,,,"69,282,000","70,875,000","66,327,000","58,584,000","32,960,000","22,698,000","23,579,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,"23,441,000","45,686,000","48,054,000",,,,,,,,,,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"16,874,124,000","14,755,473,000","13,018,993,000","13,583,712,000","13,847,960,000","11,541,247,000","11,327,626,000","9,028,590,000","7,612,309,000","4,714,081,000","2,559,735,000","2,970,929,000","2,799,813,000","2,297,361,000","1,541,408,000","1,214,364,000","1,033,052,000","696,878,000","511,973,000","458,297,000","564,175,000","439,665,000","264,403,000","194,295,056","170,494,257","134,922,214","100,900,000","107,300,000","93,200,000","113,100,000","112,300,000","115,100,000","111,900,000","93,400,000","84,400,000"
	CurrentLiabilities,"1,009,482,000","1,034,283,000","911,863,000","827,034,000","697,191,000","626,825,000","640,573,000","462,099,000","371,557,000","244,345,000","145,713,000","107,157,000",,,,,,,,,,,,,,,,,,,,,,,
		PayablesAndAccruedExpenses,"1,009,482,000","1,034,283,000","911,863,000","827,034,000","697,191,000","626,825,000","640,573,000","462,099,000","371,557,000","244,345,000","145,713,000","107,157,000","95,145,000","101,588,000","40,590,000","28,139,000","19,868,000","20,547,000","20,757,000","18,545,000","25,333,000","20,686,000","15,333,000","9,900,045","7,734,618","6,649,424",,,,,,,,,
			CurrentAccruedExpenses,"1,009,482,000","1,034,283,000","911,863,000","827,034,000","697,191,000","626,825,000","640,573,000","462,099,000","371,557,000","244,345,000","145,713,000","107,157,000","95,145,000","101,588,000","40,590,000","28,139,000","19,868,000","20,547,000","20,757,000","18,545,000","25,333,000","20,686,000","15,333,000","9,900,045","7,734,618","6,649,424",,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,,,,"151,000,000",,"109,500,000",,"119,900,000","177,500,000","171,600,000","78,400,000","92,100,000","106,700,000","70,900,000","35,000,000","78,900,000","62,200,000",,,,,,
			CurrentDebt,,,,,,,,,,,,,,,,"151,000,000",,"109,500,000",,"119,900,000","177,500,000","171,600,000","78,400,000","92,100,000","106,700,000","70,900,000","35,000,000","78,900,000","62,200,000",,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"15,864,642,000","13,721,190,000","12,107,130,000","12,756,678,000","13,150,769,000","10,914,422,000","10,687,053,000","8,566,491,000","7,240,752,000","4,469,736,000","2,414,022,000","2,863,772,000",,,,,,,,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"15,388,765,000","13,297,144,000","11,731,936,000","12,358,245,000","12,967,686,000","10,828,013,000","10,652,014,000","8,531,899,000","7,240,752,000","4,469,736,000","2,414,022,000","2,863,772,000","2,704,668,000","2,198,001,000","1,500,818,000","1,186,225,000","1,013,184,000","676,331,000","491,216,000","439,752,000","538,842,000","418,979,000","249,070,000","184,395,011","162,759,639","128,272,790","61,300,000","24,800,000","28,100,000","109,700,000","109,200,000","111,900,000","61,300,000","78,300,000","71,000,000"
			LongTermDebt,"14,915,072,000","13,226,476,000","11,659,698,000","12,284,318,000","12,892,197,000","10,743,964,000","10,567,556,000","8,450,347,000","7,156,756,000","4,460,855,000","2,414,022,000","2,863,772,000","2,704,668,000","2,198,001,000","1,500,818,000","1,186,225,000","1,013,184,000","676,331,000","491,216,000","439,752,000","538,842,000","418,979,000","249,070,000","184,395,011","162,759,639","128,272,790","61,300,000","24,800,000","28,100,000","109,700,000","109,200,000","111,900,000","61,300,000","78,300,000","71,000,000"
			LongTermCapitalLeaseObligation,"473,693,000","70,668,000","72,238,000","73,927,000","75,489,000","84,049,000","84,458,000","81,552,000","83,996,000","8,881,000",,,,,,,,,,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,"475,877,000","424,046,000","375,194,000","398,433,000","183,083,000","86,409,000","35,039,000","34,592,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"16,506,627,000","15,586,599,000","14,925,452,000","15,281,472,000","15,175,885,000","13,473,049,000","11,756,331,000","10,520,519,000","7,312,297,000","4,737,653,000","3,807,451,000","3,222,189,000","2,414,043,000","1,981,021,000","1,430,756,000","1,335,279,000","1,149,679,000","897,232,000","757,870,000","698,607,000","706,996,000","633,759,000","469,924,000","325,536,141","187,597,796","189,179,775","184,100,000","118,900,000","114,000,000","76,600,000","74,500,000","71,800,000","69,800,000","63,500,000","42,600,000"
	StockholdersEquity,"15,540,444,000","14,632,334,000","14,423,147,000","14,806,393,000","14,590,560,000","13,175,153,000","11,414,583,000","10,294,801,000","7,124,764,000","4,602,851,000","3,797,039,000","3,211,586,000","2,404,356,000","1,978,793,000","1,430,756,000","1,335,279,000","1,149,679,000","897,232,000","757,870,000","698,607,000","706,996,000","633,759,000","469,924,000","325,536,141","187,597,796","189,179,775","184,100,000","118,900,000","114,000,000","76,600,000","74,500,000","71,800,000","69,800,000","63,500,000","42,600,000"
		CapitalStock,"411,005,000","1,102,963,000","1,090,952,000","1,369,321,000","1,361,061,000","1,335,085,000","1,306,822,000","1,283,313,000","1,202,716,000","438,822,000","412,068,000","394,564,000","415,655,000","412,145,000","334,925,000","336,611,000","171,059,000","167,586,000","182,740,000","178,806,000","178,532,000","103,240,000","24,341,000","18,320,291","12,034,196","11,595,115",,,,,,,,,
			PreferredStock,"0","718,498,000","718,503,000","1,006,250,000","1,006,250,000","1,006,250,000","1,017,361,000","1,022,917,000","1,010,417,000","291,667,000","288,683,000","289,929,000","330,243,000","338,993,000","276,875,000","283,751,000","120,761,000","127,500,000","150,000,000","150,000,000","150,000,000","75,000,000","0","0","0","0",,,,,,,,,
