name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TotalRevenue,"2,848,604,000","774,313,000","723,210,000","666,027,000","685,054,000","671,883,000","557,793,000","507,762,000","435,949,000","437,168,000","632,018,000","574,695,000","525,450,000","516,193,000","510,820,000","481,645,000","428,664,000","383,141,000","371,290,000","385,101,000","402,412,000","375,094,000","337,897,000","326,465,000","329,944,000","279,457,000","290,621,000","278,001,000","255,126,000","229,747,000","225,056,000","234,734,000","220,310,000","224,676,000","210,878,000"
	OperatingRevenue,"2,847,186,000","773,966,000","722,843,000","665,689,000","684,688,000","671,486,000","557,520,000","506,991,000","435,726,000","436,949,000","623,956,000","565,328,000","524,259,000","514,339,000","510,245,000","479,228,000","428,129,000","382,560,000","370,448,000","382,638,000","401,497,000","374,012,000","336,064,000","318,450,000","327,904,000","277,887,000","277,699,000","272,107,000","249,361,000","224,619,000","205,138,000","230,039,000","215,670,000","220,075,000","210,878,000"
CostOfRevenue,"935,082,000","235,589,000","229,785,000","225,714,000","243,994,000","228,009,000","227,752,000","188,519,000","146,941,000","154,641,000","351,436,000","311,762,000","277,308,000","259,061,000","240,522,000","212,889,000","172,154,000","141,562,000","156,279,000","193,409,000","212,254,000","208,212,000","172,675,000","154,044,000","161,831,000","132,562,000","133,591,000","131,131,000","129,956,000","115,523,000","198,621,000","117,562,000","110,197,000","110,223,000","86,606,000"
GrossProfit,"1,913,522,000","538,724,000","493,425,000","440,313,000","441,060,000","443,874,000","330,041,000","319,243,000","289,008,000","282,527,000","280,582,000","262,933,000","248,142,000","257,132,000","270,298,000","268,756,000","256,510,000","241,579,000","215,011,000","191,692,000","190,158,000","166,882,000","165,222,000","172,421,000","168,113,000","146,895,000","157,030,000","146,870,000","125,170,000","114,224,000","26,435,000","117,172,000","110,113,000","114,453,000","124,272,000"
OperatingExpense,"853,336,000","218,132,000","219,842,000","222,622,000","192,740,000","181,958,000","141,244,000","137,471,000","127,113,000","115,625,000","111,008,000","103,673,000","99,269,000","99,530,000","101,651,000","97,537,000","99,153,000","99,078,000","93,396,000","99,047,000","75,070,000","76,019,000","69,559,000","68,887,000","66,745,000","56,959,000","60,580,000","57,368,000","55,964,000","51,453,000","21,072,000","55,860,000","50,833,000","47,232,000","82,497,000"
	SellingGeneralAndAdministration,"132,212,000","40,465,000","30,951,000","30,769,000","30,027,000","22,844,000","18,882,000","15,158,000","14,731,000","14,964,000","13,073,000","12,922,000","11,197,000","13,476,000","12,734,000","12,112,000","11,887,000","12,515,000","10,369,000","10,059,000","9,442,000","11,347,000","10,649,000","8,666,000","8,757,000","9,386,000","8,364,000","7,962,000","8,209,000","8,929,000","63,349,000","15,039,000","10,310,000","10,274,000","14,484,000"
		GeneralAndAdministrativeExpense,"132,212,000","40,465,000","30,951,000","30,769,000","30,027,000","22,844,000","18,882,000","15,158,000","14,731,000","14,964,000","13,073,000","12,922,000","11,197,000","13,476,000","12,734,000","12,112,000","11,887,000","12,515,000","10,369,000","10,059,000","9,442,000","11,347,000","10,649,000","8,666,000","8,757,000","9,386,000","8,364,000","7,962,000","8,209,000","8,929,000",,"15,039,000","10,310,000","10,274,000",
			OtherGandA,"132,212,000","40,465,000","30,951,000","30,769,000","30,027,000","22,844,000","18,882,000","15,158,000","14,731,000","14,964,000","13,073,000","12,922,000","11,197,000","13,476,000","12,734,000","12,112,000","11,887,000","12,515,000","10,369,000","10,059,000","9,442,000","11,347,000","10,649,000","8,666,000","8,757,000","9,386,000","8,364,000","7,962,000","8,209,000","8,929,000",,"15,039,000","10,310,000","10,274,000",
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,491,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,491,000"
	OtherTaxes,"63,543,000","18,476,000","15,504,000","15,281,000","14,282,000","16,285,000","7,844,000","10,954,000","11,754,000","12,382,000","11,385,000","11,215,000","11,924,000","12,294,000","7,048,000","10,670,000","12,093,000","10,350,000","4,893,000","8,355,000","8,801,000","8,523,000","4,669,000","6,564,000","7,113,000","7,041,000","4,724,000","6,649,000","6,086,000","5,785,000","4,690,000","5,328,000","4,833,000","4,837,000","3,277,000"
OperatingIncome,"1,060,186,000","320,592,000","273,583,000","217,691,000","248,320,000","261,916,000","188,797,000","181,772,000","161,895,000","166,902,000","169,574,000","159,260,000","148,873,000","157,602,000","168,647,000","171,219,000","157,357,000","142,501,000","121,615,000","92,645,000","115,088,000","90,863,000","95,663,000","103,534,000","101,368,000","89,936,000","96,450,000","89,502,000","69,206,000","62,771,000","5,363,000","61,312,000","59,280,000","67,221,000","41,775,000"
NetNonOperatingInterestIncomeExpense,"-309,096,000","-84,361,000","-75,189,000","-74,299,000","-75,247,000","-61,651,000","-48,459,000","-44,091,000","-40,472,000","-36,121,000","-31,943,000","-31,892,000","-32,072,000","-31,808,000","-35,534,000","-27,076,000","-9,204,000","-27,914,000","-27,310,000","-27,548,000","-23,379,000","-18,737,000","-16,841,000","-16,653,000","-16,639,000","-9,736,000","-9,589,000","-8,293,000","-7,929,000","-6,986,000","-6,117,000","-6,352,000","-4,935,000","-4,956,000","961,000"
	InterestIncomeNonOperating,"16,900,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,225,000","4,725,000","4,725,000","4,725,000","4,825,000","5,825,000","4,625,000","4,625,000","4,625,000","9,568,000"
	InterestExpenseNonOperating,"325,996,000","88,586,000","79,414,000","78,524,000","79,472,000","65,876,000","52,684,000","48,316,000","44,697,000","40,346,000","36,168,000","36,117,000","36,297,000","36,033,000","39,759,000","31,301,000","13,429,000","32,139,000","31,535,000","31,773,000","27,604,000","22,962,000","21,066,000","20,878,000","20,864,000","13,961,000","14,314,000","13,018,000","12,654,000","11,811,000","11,942,000","10,977,000","9,560,000","9,581,000","8,607,000"
OtherIncomeExpense,"-445,669,000","-529,911,000","97,839,000","-16,860,000","3,263,000","21,806,000","-31,909,000","18,513,000","-86,578,000","21,209,000","11,917,000","19,743,000","58,395,000","-19,581,000","12,097,000","25,504,000","17,950,000","9,805,000","-523,040,000","99,316,000","19,021,000","18,300,000","16,603,000","19,181,000","13,243,000","9,747,000","-251,000","-34,000","-7,000","127,000","-13,240,000","122,000","-1,667,000","58,000","5,170,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,700,000",,
