name,12/31/2019,12/31/2018,12/31/2017
TotalAssets,"361,980,724,000,000","340,447,183,000,000","316,295,461,000,000"
	CashCashEquivalentsAndFederalFundsSold,"6,392,566,000,000","6,747,894,000,000","6,908,286,000,000"
		CashAndCashEquivalents,"6,392,566,000,000","6,747,894,000,000","6,908,286,000,000"
			CashFinancial,"6,268,040,000,000","6,345,160,000,000","6,049,873,000,000"
			CashEquivalents,"124,526,000,000","402,734,000,000","858,413,000,000"
			CashAndDueFromBanks,"6,392,566,000,000",,
	SecuritiesAndInvestments,"56,319,214,000,000","47,308,297,000,000","38,080,323,000,000"
		AvailableForSaleSecurities,"28,588,683,000,000","29,244,874,000,000","5,978,077,000,000"
		HeldToMaturitySecurities,,"0","16,749,296,000,000"
		OtherShortTermInvestments,"27,730,531,000,000","18,063,423,000,000","15,352,950,000,000"
	LongTermEquityInvestment,"806,360,000,000","361,766,000,000","417,051,000,000"
	DerivativeAssets,"121,131,000,000","35,503,000,000","59,272,000,000"
	NetLoan,"285,524,467,000,000","274,970,929,000,000","260,391,679,000,000"
		GrossLoan,"287,106,313,000,000","276,759,313,000,000","262,172,889,000,000"
			CommercialLoan,"20,905,000,000","45,851,000,000","137,523,000,000"
			ConsumerLoan,"8,718,560,000,000","8,430,725,000,000","7,213,234,000,000"
			OtherLoanAssets,"278,366,848,000,000","268,282,737,000,000","254,822,132,000,000"
		AllowanceForLoansAndLeaseLosses,"1,575,020,000,000","1,778,076,000,000","1,770,222,000,000"
		UnearnedIncome,"-6,826,000,000","-10,308,000,000","-10,988,000,000"
	Receivables,"8,041,593,000,000","7,321,380,000,000","6,584,247,000,000"
		AccountsReceivable,"5,653,997,000,000","4,864,738,000,000","4,459,318,000,000"
		OtherReceivables,"2,387,596,000,000","2,456,642,000,000","2,124,929,000,000"
	PrepaidAssets,"213,316,000,000","179,596,000,000","148,608,000,000"
	NetPPE,"3,364,716,000,000","2,450,492,000,000","2,477,545,000,000"
		GrossPPE,"5,053,268,000,000","3,840,967,000,000","3,873,512,000,000"
