name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2000,12/31/1999
TotalAssets,"13,261,000,000","11,602,000,000","12,076,000,000","10,890,253,000","5,575,252,000","5,213,990,000","4,060,909,000","3,412,196,000","3,266,821,000","2,954,144,000","2,446,356,000","2,286,989,000","2,569,335,000","2,082,098,000","1,827,189,000","1,592,453,000","1,370,113,000","1,309,245,000","1,374,645,000","1,344,857,000"
	CurrentAssets,"2,742,000,000","2,842,000,000","3,463,000,000","2,408,316,000","2,175,189,000","2,011,287,000","1,649,082,000","1,751,413,000","1,756,156,000","1,475,960,000","988,378,000","798,989,000","1,092,185,000","849,787,000","902,863,000","671,938,000","412,847,000","336,573,000",,
		CashCashEquivalentsAndShortTermInvestments,"728,000,000","753,000,000","1,531,000,000","459,453,000","1,182,669,000","880,601,000","700,689,000","914,951,000","825,901,000","630,299,000","245,592,000","90,239,000","24,914,000","52,646,000","237,895,000","43,396,000","37,381,000","11,123,000","11,529,000","8,617,000"
			CashAndCashEquivalents,"728,000,000","753,000,000","1,531,000,000","459,453,000","662,525,000","880,601,000","461,301,000","790,078,000","825,901,000","630,299,000","245,592,000","90,239,000","24,914,000","52,646,000","237,895,000","43,396,000","37,381,000","11,123,000","11,529,000","8,617,000"
			OtherShortTermInvestments,,,,"0","520,144,000","0","239,388,000","124,873,000",,,,,,,,,,,,
		Receivables,"1,036,000,000","1,037,000,000","1,001,000,000","938,743,000","508,532,000","560,666,000","428,457,000","400,159,000","407,372,000","362,863,000","339,796,000","347,323,000","507,463,000","308,903,000","302,779,000","234,247,000","178,633,000","123,235,000",,
			AccountsReceivable,"938,000,000","952,000,000","961,000,000","809,730,000","424,443,000","512,515,000","398,876,000","378,035,000","380,432,000","362,863,000","339,796,000","347,323,000","507,463,000","308,903,000","302,779,000","234,247,000","178,633,000","123,235,000",,
				GrossAccountsReceivable,"960,000,000","975,000,000","983,000,000","827,721,000","438,538,000","525,983,000","410,617,000","389,207,000","391,401,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-22,000,000","-23,000,000","-22,000,000","-17,991,000","-14,095,000","-13,468,000","-11,741,000","-11,172,000","-10,969,000",,,,,,,,,,,
			TaxesReceivable,"59,000,000","57,000,000","7,000,000","90,414,000","60,748,000","8,919,000","20,820,000","4,011,000","16,113,000",,,,,,,,,,,
			OtherReceivables,"39,000,000","28,000,000","33,000,000","38,599,000","23,341,000","39,232,000","8,761,000","18,113,000","10,827,000",,,,,,,,,,,
		Inventory,"936,000,000","1,014,000,000","900,000,000","801,100,000","434,060,000","525,776,000","471,879,000","399,298,000","490,777,000","450,028,000","369,417,000","327,967,000","527,871,000","456,276,000","339,870,000","319,816,000","180,760,000","170,866,000",,
			RawMaterials,"368,000,000","357,000,000","351,000,000","300,239,000","180,722,000","224,867,000","239,221,000","198,358,000","255,947,000","236,904,000","178,570,000","162,296,000","38,058,000","36,499,000","27,790,000","26,552,000","24,840,000","26,428,000",,
			FinishedGoods,"568,000,000","657,000,000","549,000,000","500,861,000","253,338,000","300,909,000","232,658,000","200,940,000","234,830,000","220,426,000","198,091,000","173,982,000","332,882,000","290,048,000","186,241,000","172,056,000","107,928,000","103,646,000",,
			OtherInventories,,,,,,,,,,,,,"164,832,000","137,669,000","133,949,000","129,715,000","56,281,000","49,534,000",,
			InventoriesAdjustmentsAllowances,,,,,,,,,,"-7,302,000","-7,244,000","-8,311,000","-7,901,000","-7,940,000","-8,110,000","-8,507,000","-8,289,000","-8,742,000",,
