name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992
TotalAssets,"30,156,700,000","25,360,500,000","25,089,000,000","23,038,200,000","25,356,800,000","11,039,700,000","10,733,400,000","10,687,100,000","10,566,000,000","2,914,900,000","2,884,400,000","3,013,100,000","1,800,700,000","1,784,000,000","1,798,434,000","1,283,813,000","1,287,788,000","1,173,733,000","1,164,413,000","1,158,963,000","1,161,500,000","1,111,500,000","1,113,700,000","581,700,000","555,300,000","413,700,000","355,100,000","312,100,000"
	CurrentAssets,"4,974,300,000","4,785,100,000","4,490,900,000","3,912,600,000","4,160,400,000","2,432,500,000","2,416,400,000","2,189,800,000","2,228,900,000","709,000,000","658,300,000","709,200,000","494,500,000","485,600,000","462,216,000","385,440,000","363,227,000","288,643,000","271,082,000","269,243,000","243,400,000","216,200,000","217,600,000","189,300,000","180,300,000","142,500,000","150,500,000","131,100,000"
		CashCashEquivalentsAndShortTermInvestments,"151,600,000","636,800,000","298,100,000","340,900,000","228,300,000","32,600,000","36,400,000","37,200,000","41,700,000","15,900,000","12,700,000","52,800,000","10,900,000","6,900,000","26,839,000","56,891,000","14,173,000","6,560,000","5,191,000","5,449,000","4,500,000","5,800,000","3,300,000","50,900,000","21,500,000","15,200,000","51,200,000","25,300,000"
			CashAndCashEquivalents,"151,600,000","636,800,000","298,100,000","340,900,000","228,300,000","32,600,000","36,400,000","37,200,000","41,700,000","15,900,000","11,800,000","52,800,000","10,900,000","6,900,000","26,839,000","56,891,000","14,173,000","6,560,000","5,191,000","5,449,000","4,500,000","5,800,000","3,300,000","50,900,000","21,500,000","15,200,000","51,200,000","25,300,000"
			OtherShortTermInvestments,,,,,,,,,,,"900,000",,,,,,,,,,,,,,,,,
		Receivables,"2,193,200,000","2,010,700,000","1,886,800,000","1,592,200,000","1,690,000,000","1,118,700,000","1,134,900,000","1,075,600,000","1,109,600,000","333,500,000","305,500,000","304,300,000","230,600,000","230,800,000","199,493,000","177,378,000","163,096,000","154,592,000","157,782,000","156,155,000","139,000,000","118,200,000","115,200,000","78,000,000","88,200,000","70,300,000","56,600,000","60,600,000"
			AccountsReceivable,"2,193,200,000","2,010,700,000","1,886,800,000","1,592,200,000","1,690,000,000","1,118,700,000","1,134,900,000","1,075,600,000","1,109,600,000","333,500,000","305,500,000","304,300,000","230,600,000","230,800,000","199,493,000","177,378,000","163,096,000","154,592,000","157,782,000",,,,,,,,,
				GrossAccountsReceivable,"2,246,400,000","2,060,400,000","1,932,600,000","1,628,700,000","1,719,600,000","1,143,800,000","1,161,700,000","1,102,500,000","1,139,700,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-53,200,000","-49,700,000","-45,800,000","-36,500,000","-29,600,000","-25,100,000","-26,800,000","-26,900,000","-30,100,000",,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,"26,900,000",,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,"-26,900,000",,,,,,,,,,,,,,,,,,,,
		Inventory,"2,107,500,000","1,829,600,000","1,797,300,000","1,638,200,000","1,963,400,000","1,029,200,000","937,900,000","861,900,000","849,800,000","269,500,000","275,100,000","283,000,000","224,400,000","218,900,000","201,965,000","127,359,000","118,414,000","112,431,000","102,011,000","99,589,000","94,500,000","88,000,000","94,000,000","58,500,000","63,600,000","55,400,000","42,200,000","45,100,000"
			RawMaterials,"1,298,500,000","1,098,200,000","974,900,000","871,400,000","1,030,700,000","691,000,000","647,600,000","569,800,000","577,100,000","168,900,000","156,400,000","113,400,000","71,900,000","70,600,000","59,905,000","42,437,000","37,675,000","37,637,000","35,488,000",,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,"91,751,000",,,,,,,,,,,
			FinishedGoods,"938,900,000","867,000,000","905,000,000","800,600,000","983,300,000","421,800,000","370,900,000","325,400,000","331,100,000","149,600,000","154,200,000","163,300,000","152,100,000","140,000,000","134,144,000","97,139,000","13,246,000","85,012,000","79,357,000",,,,,,,,,
			OtherInventories,,,,,,,,,,,,"49,900,000","34,300,000","35,400,000","30,735,000","14,976,000",,"14,344,000","11,631,000",,,,,,,,,
			InventoriesAdjustmentsAllowances,"-129,900,000","-135,600,000","-82,600,000","-33,800,000","-50,600,000","-83,600,000","-80,600,000","-33,300,000","-58,400,000","-49,000,000","-35,500,000","-43,600,000","-33,900,000","-27,100,000","-22,819,000","-27,193,000","-24,258,000","-24,562,000","-24,465,000",,,,,,,,,
		RestrictedCash,,"0","5,900,000","25,500,000","7,300,000","8,800,000","9,300,000","40,600,000","41,100,000",,"0","19,200,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"25,800,000","59,500,000","173,600,000","0",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"496,200,000","248,500,000","329,200,000","315,800,000","271,400,000","243,200,000","297,900,000","174,500,000","186,700,000","90,100,000","65,000,000","49,900,000","28,600,000","29,000,000","33,919,000","23,812,000","67,544,000","15,060,000","6,098,000","8,050,000","5,400,000","4,200,000","5,100,000","1,900,000","7,000,000","1,600,000","500,000","100,000"
	TotalNonCurrentAssets,"25,182,400,000","20,575,400,000","20,598,100,000","19,125,600,000","21,196,400,000","8,607,200,000","8,317,000,000","8,497,300,000","8,337,100,000","2,205,900,000","2,226,100,000","2,303,900,000","1,306,200,000","1,298,400,000","1,336,218,000","898,373,000","924,561,000","885,090,000","893,331,000","889,720,000","918,100,000","895,300,000","896,100,000","392,400,000","375,000,000","271,200,000","204,600,000","181,000,000"
