name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,09/30/1992
TotalAssets,"30,960,300,000","30,936,800,000","30,156,700,000","30,812,100,000","30,693,000,000","30,666,900,000","25,360,500,000","25,135,700,000","25,439,700,000","25,136,900,000","25,089,000,000","24,870,000,000","22,950,100,000","22,871,100,000","23,038,200,000","23,446,400,000","25,268,400,000","24,831,200,000","25,356,800,000","10,835,700,000","10,820,900,000","10,897,800,000","11,039,700,000","10,970,700,000","10,549,000,000","10,591,400,000","10,733,400,000","10,710,600,000","10,644,600,000","10,542,100,000","10,687,100,000","10,591,100,000","10,603,700,000","10,575,300,000","10,566,000,000","10,764,400,000","2,913,400,000","2,859,000,000","2,914,900,000","2,784,100,000","2,815,300,000","2,824,600,000","2,884,400,000","2,861,100,000","2,833,500,000","2,881,300,000","3,013,100,000","3,023,600,000","3,041,300,000","1,798,800,000","1,800,700,000","1,799,900,000","1,811,400,000","1,769,000,000","1,784,000,000","1,797,300,000","1,783,000,000","1,781,316,000","1,798,434,000","1,810,113,000","1,263,432,000","1,274,094,000","1,283,813,000","1,254,560,000","1,289,659,000","1,269,665,000","1,287,788,000","1,285,447,000","1,231,260,000","1,148,037,000","1,173,733,000","1,172,242,000","1,161,993,000","1,141,652,000","1,164,413,000","1,147,901,000","1,152,361,000","1,146,051,000","1,158,963,000","1,156,088,000","1,139,514,000","1,173,700,000","1,161,500,000","1,146,000,000","1,121,000,000","1,106,300,000","1,111,500,000","1,120,800,000","1,118,600,000","1,110,500,000","1,113,700,000","1,091,300,000","1,053,700,000","576,500,000","581,700,000","571,400,000","548,800,000","543,800,000","555,300,000","536,500,000","528,900,000","417,600,000","413,700,000","405,700,000","382,100,000","369,700,000","355,100,000","312,100,000"
	CurrentAssets,"5,492,200,000","4,952,600,000","4,974,300,000","5,193,700,000","5,214,000,000","5,226,000,000","4,785,100,000","4,626,200,000","4,576,700,000","4,465,200,000","4,490,900,000","4,358,300,000","4,992,500,000","4,035,200,000","3,912,600,000","3,885,200,000","4,449,200,000","4,008,300,000","4,160,400,000","2,304,800,000","2,273,100,000","2,322,300,000","2,432,500,000","2,374,400,000","2,266,200,000","2,266,800,000","2,416,400,000","2,333,500,000","2,243,800,000","2,125,000,000","2,189,800,000","2,085,800,000","2,205,400,000","2,203,800,000","2,228,900,000","2,286,200,000","710,600,000","653,100,000","709,000,000","613,700,000","631,500,000","625,300,000","658,300,000","640,300,000","609,900,000","625,200,000","709,200,000","674,500,000","673,600,000","495,800,000","494,500,000","489,800,000","501,000,000","478,400,000","485,600,000","489,200,000","467,400,000","453,085,000","462,216,000","470,434,000","376,877,000","378,418,000","385,440,000","363,869,000","375,486,000","342,647,000","363,227,000","329,134,000","298,971,000","272,456,000","288,643,000","289,831,000","275,279,000","258,914,000","271,082,000","258,880,000","262,949,000","256,042,000","269,243,000","272,512,000","258,209,000","247,500,000","243,400,000","236,700,000","219,300,000","207,600,000","216,200,000","220,700,000","222,000,000","216,700,000","217,600,000","223,700,000","221,200,000","173,400,000","189,300,000","183,500,000","166,700,000","163,200,000","180,300,000","174,300,000","173,000,000","138,600,000","142,500,000","139,000,000","121,800,000","114,700,000","150,500,000","131,100,000"
		CashCashEquivalentsAndShortTermInvestments,"640,200,000","156,400,000","151,600,000","179,100,000","154,200,000","260,700,000","636,800,000","452,600,000","266,500,000","306,400,000","298,100,000","225,200,000","385,300,000","493,300,000","340,900,000","258,700,000","367,600,000","236,900,000","228,300,000","43,200,000","39,700,000","32,800,000","32,600,000","40,000,000","32,200,000","24,600,000","36,400,000","42,300,000","51,300,000","31,000,000","37,200,000","19,500,000","34,900,000","41,000,000","41,700,000","51,600,000","11,900,000","10,000,000","15,900,000","11,400,000","12,400,000","14,100,000","12,700,000","18,900,000","11,200,000","12,700,000","52,800,000","56,900,000","56,600,000","35,600,000","10,900,000","8,100,000","11,600,000","6,300,000","6,900,000","8,000,000","8,100,000","16,495,000","26,839,000","27,295,000","59,735,000","63,188,000","56,891,000","46,975,000","73,216,000","50,875,000","14,173,000","8,205,000","5,422,000","6,803,000","6,560,000","4,255,000","3,310,000","5,919,000","5,191,000","2,964,000","3,075,000","8,875,000","5,449,000","7,354,000","3,063,000","5,600,000","4,500,000","3,100,000","2,000,000","8,600,000","5,800,000","7,600,000","5,000,000","2,800,000","3,300,000","4,200,000","7,200,000","44,100,000","50,900,000","46,800,000","27,400,000","25,600,000","21,500,000","7,000,000","4,600,000","5,000,000","15,200,000","13,400,000","2,200,000","5,400,000","51,200,000","25,300,000"
			CashAndCashEquivalents,"640,200,000","156,400,000","151,600,000","179,100,000","154,200,000","260,700,000","636,800,000","452,600,000","266,500,000","306,400,000","298,100,000","225,200,000","385,300,000","493,300,000","340,900,000","258,700,000","367,600,000","236,900,000","228,300,000","43,200,000","39,700,000","32,800,000","32,600,000","40,000,000","32,200,000","24,600,000","36,400,000","42,300,000","51,300,000","31,000,000","37,200,000","19,500,000","34,900,000","41,000,000","41,700,000","51,600,000","11,900,000","10,000,000","15,900,000","11,400,000","12,400,000","14,100,000","11,800,000","17,400,000","10,300,000","12,700,000","52,800,000","56,900,000","56,600,000","35,600,000","10,900,000","8,100,000","11,600,000","6,300,000","6,900,000","8,000,000","8,100,000","16,495,000","26,839,000","27,295,000","28,505,000","63,188,000","56,891,000","46,975,000","73,216,000","50,875,000","14,173,000","8,205,000","5,422,000","6,803,000","6,560,000","4,255,000","3,310,000","5,919,000","5,191,000","2,964,000","3,075,000","8,875,000","5,449,000","7,354,000","3,063,000","5,600,000","4,500,000","3,100,000","2,000,000","8,600,000","5,800,000","7,600,000","5,000,000","2,800,000","3,300,000","4,200,000","7,200,000","44,100,000","50,900,000","46,800,000","27,400,000","25,600,000","21,500,000","7,000,000","4,600,000","5,000,000","15,200,000","13,400,000","2,200,000","5,400,000","51,200,000","25,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900,000","900,000","1,500,000","900,000",,,,,,,,,,,,,,,,"31,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,222,100,000","2,061,700,000","2,193,200,000","2,398,100,000","2,367,000,000","2,315,500,000","2,010,700,000","1,980,800,000","1,950,200,000","1,804,300,000","1,886,800,000","1,902,400,000","1,563,500,000","1,517,500,000","1,592,200,000","1,596,600,000","1,662,800,000","1,491,000,000","1,690,000,000","1,025,900,000","974,000,000","1,016,800,000","1,118,700,000","1,080,000,000","1,001,000,000","981,200,000","1,134,900,000","1,111,000,000","1,067,400,000","1,000,700,000","1,075,600,000","1,065,900,000","1,054,500,000","986,300,000","1,109,600,000","1,127,900,000","330,100,000","284,400,000","333,500,000","304,600,000","297,300,000","264,900,000","305,500,000","279,300,000","264,000,000","270,100,000","304,300,000","296,800,000","292,500,000","212,600,000","230,600,000","234,900,000","231,700,000","207,900,000","230,800,000","222,300,000","203,600,000","192,751,000","199,493,000","201,344,000","161,299,000","154,970,000","177,378,000","168,194,000","168,539,000","153,991,000","163,096,000","160,715,000","151,815,000","135,040,000","154,592,000","157,431,000","151,945,000","135,515,000","157,782,000","143,673,000","155,359,000","136,982,000","156,155,000","147,608,000","145,257,000","130,800,000","139,000,000","128,300,000","118,300,000","102,100,000","118,200,000","111,500,000","112,700,000","109,000,000","115,200,000","101,000,000","93,200,000","68,000,000","78,000,000","73,800,000","75,100,000","73,400,000","88,200,000","83,500,000","78,700,000","66,400,000","70,300,000","72,500,000","67,800,000","55,300,000","56,600,000","60,600,000"
			AccountsReceivable,"2,222,100,000","2,061,700,000","2,193,200,000","2,398,100,000","2,367,000,000","2,315,500,000","2,010,700,000","1,980,800,000","1,950,200,000","1,804,300,000","1,886,800,000","1,902,400,000","1,563,500,000","1,517,500,000","1,592,200,000","1,596,600,000","1,662,800,000","1,491,000,000","1,690,000,000","1,025,900,000","974,000,000","1,016,800,000","1,118,700,000","1,080,000,000","1,001,000,000","981,200,000","1,134,900,000","1,111,000,000","1,067,400,000","1,000,700,000","1,075,600,000","1,065,900,000","1,054,500,000","986,300,000","1,109,600,000","1,127,900,000","330,100,000","284,400,000","333,500,000","304,600,000","297,300,000","264,900,000","305,500,000","279,300,000","264,000,000","270,100,000","304,300,000","296,800,000","292,500,000","212,600,000","230,600,000","234,900,000","231,700,000","207,900,000","230,800,000","222,300,000","203,600,000","192,751,000","199,493,000","201,344,000","161,299,000","154,970,000","177,378,000","168,194,000","168,539,000","153,991,000","163,096,000","160,715,000","151,815,000","135,040,000","154,592,000","157,431,000","151,945,000","135,515,000","157,782,000","143,673,000","155,359,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"2,280,300,000","2,114,800,000","2,246,400,000","2,448,600,000","2,413,900,000","2,363,400,000","2,060,400,000","2,029,800,000","1,999,100,000","1,850,200,000","1,932,600,000","1,951,700,000","1,602,600,000","1,556,000,000","1,628,700,000","1,635,100,000","1,699,100,000","1,522,300,000","1,719,600,000","1,050,000,000","998,700,000","1,043,700,000","1,143,800,000","1,104,100,000","1,024,400,000","1,004,000,000","1,161,700,000","1,140,600,000","1,094,100,000","1,028,000,000","1,102,500,000","1,089,300,000","1,083,500,000","1,017,900,000","1,139,700,000","1,158,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-58,200,000","-53,100,000","-53,200,000","-50,500,000","-46,900,000","-47,900,000","-49,700,000","-49,000,000","-48,900,000","-45,900,000","-45,800,000","-49,300,000","-39,100,000","-38,500,000","-36,500,000","-38,500,000","-36,300,000","-31,300,000","-29,600,000","-24,100,000","-24,700,000","-26,900,000","-25,100,000","-24,100,000","-23,400,000","-22,800,000","-26,800,000","-29,600,000","-26,700,000","-27,300,000","-26,900,000","-23,400,000","-29,000,000","-31,600,000","-30,100,000","-30,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
