name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalAssets,"36,620,583,000","31,244,849,000","27,915,970,000","25,668,553,000","22,917,166,000","20,010,727,000","18,097,783,000","17,519,613,000","15,893,808,000","13,980,156,000","12,215,620,000","10,658,326,000","9,368,859,000","9,571,852,000","8,177,042,000","6,419,048,000","4,747,398,000","3,721,555,000","2,705,422,000","2,102,806,000","1,679,382,000","1,348,000,000","1,053,400,000","706,000,000","470,890,000"
	CashCashEquivalentsAndFederalFundsSold,"2,451,036,000","1,491,794,000","1,340,833,000","1,250,502,000","883,577,000","1,229,144,000","759,438,000","1,350,771,000","918,991,000","1,038,155,000","1,184,279,000","568,913,000","271,564,000","324,551,000","353,605,000","180,987,000","174,777,000","261,340,000","124,222,000","230,236,000","83,844,000","60,400,000","178,100,000","94,100,000",
		CashAndCashEquivalents,"2,450,727,000","1,491,736,000","1,340,776,000","1,247,651,000","879,236,000","1,223,573,000","748,982,000","1,320,474,000","897,299,000","1,019,265,000","1,160,796,000","342,803,000","180,600,000","188,330,000","170,376,000","133,127,000","118,157,000","110,089,000","72,267,000","65,595,000","83,844,000","60,400,000","178,100,000","94,100,000",
			CashFinancial,"286,167,000","392,142,000","277,534,000","267,194,000","271,454,000","225,136,000","253,408,000","284,731,000",,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,"219,794,000","170,190,000","169,071,000","158,136,000","128,166,000","111,929,000","105,671,000","71,575,000","65,413,000","81,297,000","52,500,000","93,000,000","75,400,000",
			CashAndDueFromBanks,"2,164,560,000","1,099,594,000","1,063,242,000","980,457,000","607,782,000","998,437,000","495,574,000","1,035,743,000","897,299,000","1,019,265,000","1,160,796,000","123,009,000","10,410,000","19,259,000","12,240,000","4,961,000","6,228,000","4,418,000","692,000","182,000","2,547,000","7,900,000","85,100,000","18,700,000",
		MoneyMarketInvestments,"309,000","58,000","57,000","2,851,000","4,341,000","5,571,000","10,456,000","30,297,000","21,692,000","18,890,000","23,483,000","226,110,000","90,964,000","136,221,000","183,229,000","47,860,000","56,620,000","151,251,000","51,955,000","164,641,000",,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"309,000","58,000","57,000","2,851,000","4,341,000","5,571,000","10,456,000","30,297,000","21,692,000","18,890,000","23,483,000","226,110,000","90,964,000","136,221,000","183,229,000","47,860,000","56,620,000","151,251,000","51,955,000","164,641,000",,,,,
	FederalHomeLoanBankStock,"100,739,000","91,354,000","89,989,000","133,494,000","101,581,000","91,582,000","79,261,000","79,564,000","100,434,000","82,407,000",,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"4,292,522,000","3,229,929,000","2,631,110,000","2,362,361,000","2,601,662,000","1,793,284,000","2,176,787,000","1,796,659,000","1,294,287,000","1,501,181,000","1,362,589,000","789,072,000","1,305,408,000","1,842,040,000","1,800,994,000","1,347,076,000","910,550,000","553,237,000","385,350,000","193,105,000","205,795,000","214,100,000","106,900,000","74,400,000",
