name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994
TotalAssets,"3,956,526,000","3,790,649,000","2,757,109,000","2,642,362,000","2,539,965,000","2,397,202,000","2,205,684,000","1,859,964,000","1,781,434,000","1,663,233,000","1,696,422,000","927,017,000","829,767,000","735,497,000","705,466,000","654,294,000","615,999,000","582,395,000","584,628,000","533,723,000","550,700,000","563,400,000","348,100,000","348,800,000","349,599,000","323,318,000"
	CurrentAssets,"1,271,228,000","1,114,797,000","1,021,189,000","944,424,000","947,476,000","1,008,644,000","957,113,000","903,477,000","817,793,000","719,142,000","696,244,000","538,055,000","438,605,000","381,234,000","369,573,000","308,796,000","259,272,000","248,686,000","261,468,000","234,293,000","247,400,000","247,000,000","209,700,000","206,100,000","209,015,000","181,279,000"
		CashCashEquivalentsAndShortTermInvestments,"97,573,000","79,959,000","87,552,000","81,090,000","82,202,000","115,287,000","48,556,000","61,829,000","74,539,000","105,579,000","100,863,000","109,833,000","71,635,000","83,718,000","84,597,000","48,895,000","24,058,000","29,828,000","10,542,000","9,315,000","10,400,000","12,400,000","15,000,000","13,100,000","12,451,000","10,272,000"
			CashAndCashEquivalents,"97,573,000","79,959,000","87,552,000","81,090,000","82,202,000","115,287,000","48,556,000","61,829,000","74,539,000","105,579,000","100,863,000","109,833,000","71,635,000","83,718,000","84,597,000","48,895,000","24,058,000","29,828,000","10,542,000","9,315,000","10,400,000","12,400,000","15,000,000","13,100,000","12,451,000","10,272,000"
		Receivables,"599,628,000","438,217,000","421,558,000","364,126,000","344,053,000","353,432,000","395,136,000","361,871,000","300,070,000","266,683,000","225,928,000","178,128,000","162,287,000","119,041,000","112,733,000","99,277,000","89,589,000","76,406,000","102,008,000","105,153,000","115,500,000","108,200,000","91,800,000","80,900,000","81,880,000","69,778,000"
			AccountsReceivable,"416,205,000","412,567,000","367,715,000","346,308,000","323,137,000","291,584,000","389,937,000","354,386,000","297,614,000","248,513,000","209,626,000","178,128,000","152,826,000","117,254,000","107,403,000","99,277,000","87,807,000","76,406,000","102,008,000",,,,,,"81,880,000","69,778,000"
				GrossAccountsReceivable,"424,113,000","412,567,000","367,715,000","346,308,000","323,137,000","291,584,000","389,937,000","361,603,000","299,936,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,908,000",,,,,,,"-7,217,000","-2,322,000",,,,,,,,,,,,,,,,,
			TaxesReceivable,"8,099,000","6,397,000","19,376,000","20,358,000","21,838,000","6,574,000","14,071,000","7,485,000","2,456,000","18,170,000","16,302,000",,,,,,,,,,,,,,,
			OtherReceivables,"175,324,000","23,191,000","38,243,000",,"2,919,000","62,352,000",,,,,,,"9,461,000","1,787,000","5,330,000",,"1,782,000",,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-7,908,000","-3,938,000","-3,776,000","-2,540,000","-3,841,000","-7,078,000","-8,872,000",,,,,,,,,,,,,,,,,,,
		Inventory,"516,836,000","549,596,000","473,505,000","461,683,000","447,664,000","451,944,000","431,744,000","398,229,000","381,555,000","295,034,000","302,339,000","208,317,000","172,500,000","149,172,000","149,336,000","138,708,000","126,289,000","127,112,000","131,160,000","102,990,000","104,300,000","106,400,000","83,200,000","92,100,000","92,831,000","80,272,000"
			RawMaterials,"134,878,000","80,999,000","59,034,000","54,246,000","63,896,000","60,442,000","67,599,000","312,287,000","272,837,000","208,596,000","231,069,000","134,469,000","103,545,000","97,139,000","102,305,000",,"82,168,000",,,,,,,,,
