name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"2,258,842,000","2,362,969,000","2,339,017,000","1,918,249,000","1,257,345,000","1,452,619,000","2,424,176,000","1,998,051,000","1,623,938,000","1,757,889,000","1,613,683,000","1,009,794,000","1,970,347,000","1,431,166,000","1,267,144,000","1,118,622,000","674,929,000","454,212,000","209,570,000"
	OperatingRevenue,"2,258,842,000","2,362,969,000","2,339,017,000","1,918,249,000","1,257,345,000","1,452,619,000","2,424,176,000","1,998,051,000","1,623,938,000","1,757,889,000","1,613,683,000","1,009,794,000","1,970,347,000","1,431,166,000","1,267,144,000","1,118,622,000","674,929,000","454,212,000","209,570,000"
CostOfRevenue,"1,520,355,000","1,483,667,000","1,126,452,000","975,691,000","920,448,000","1,298,797,000","1,378,852,000","1,022,072,000","851,819,000","327,086,000","266,145,000","232,533,000","300,681,000","258,386,000","225,400,000","151,295,000","37,476,000","137,984,000","57,515,000"
GrossProfit,"738,487,000","879,302,000","1,212,565,000","942,558,000","336,897,000","153,822,000","1,045,324,000","975,979,000","772,119,000","1,430,803,000","1,347,538,000","777,261,000","1,669,666,000","1,172,780,000","1,041,744,000","967,327,000","637,453,000","316,228,000","152,055,000"
OperatingExpense,"282,334,000","299,085,000","251,556,000","213,054,000","168,953,000","188,988,000","235,152,000","80,132,000","201,321,000","592,585,000","436,177,000","429,633,000","858,917,000","636,126,000","534,207,000","367,971,000","389,780,000","165,586,000","90,380,000"
	SellingGeneralAndAdministration,"118,347,000","122,241,000","103,745,000","106,252,000","98,424,000","94,247,000","96,161,000","91,745,000","76,347,000","64,205,000","60,973,000","50,978,000","54,590,000","66,669,000","50,531,000","38,456,000","227,768,000","49,327,000","27,995,000"
		GeneralAndAdministrativeExpense,"118,347,000","122,241,000","103,745,000","106,252,000","98,424,000","94,247,000","96,161,000","91,745,000","76,347,000","64,205,000","60,973,000","50,978,000","54,590,000",,,,,,
			SalariesAndWages,"26,079,000","26,398,000","22,895,000","26,256,000","24,523,000","19,559,000","15,001,000","14,279,000","21,919,000","18,949,000","12,353,000","9,254,000","10,090,000",,,,,,
			OtherGandA,"92,268,000","95,843,000","80,850,000","79,996,000","73,901,000","74,688,000","81,160,000","77,466,000","54,428,000","45,256,000","48,620,000","41,724,000","44,500,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"390,461,000","304,222,000","265,699,000","547,404,000","459,883,000","392,610,000","256,155,000","124,251,000","88,774,000","49,231,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,"459,883,000","392,610,000","256,155,000","124,251,000","88,774,000","49,231,000"
	OtherTaxes,"146,220,000","148,953,000","125,169,000","89,864,000","61,946,000","84,764,000","128,793,000","112,732,000","86,994,000","126,468,000","121,781,000","75,634,000","130,490,000","93,630,000","91,066,000","73,360,000","37,761,000","27,485,000","13,154,000"
	OtherOperatingExpenses,"17,767,000","27,891,000","22,642,000","16,938,000","8,583,000","9,977,000","10,198,000","-124,345,000","37,980,000","11,451,000","-50,799,000","37,322,000","126,433,000","15,944,000",,,,,
OperatingIncome,"456,153,000","580,217,000","961,009,000","729,504,000","167,944,000","-35,166,000","810,172,000","895,847,000","570,798,000","838,218,000","911,361,000","347,628,000","810,749,000","536,654,000","507,537,000","599,356,000","247,673,000","150,642,000","61,675,000"
