name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"14,128,000,000","12,270,000,000","12,601,600,000","11,698,400,000","12,643,200,000","2,761,200,000","780,241,000","413,208,000","127,641,000","56,672,000","49,039,000","41,682,000","23,724,000","21,609,000","18,454,000","25,065,000","12,982,036","3,593,689","2,192,817"
	CurrentAssets,"3,342,000,000","3,688,000,000","3,587,900,000","3,073,600,000","2,957,200,000","1,233,100,000","172,172,000","320,934,000","99,141,000","27,565,000","19,034,000","14,824,000","8,653,000","6,948,000","5,723,000","10,902,000","7,290,699","3,357,015","1,324,326"
		CashCashEquivalentsAndShortTermInvestments,"377,000,000","502,000,000","396,900,000","373,400,000","289,800,000","644,100,000","21,524,000","252,293,000","74,007,000","561,000","495,000","1,107,000","800,000","79,000","386,000","854,000","2,029,298","3,758","39,489"
			CashAndCashEquivalents,"377,000,000","502,000,000","396,900,000","373,400,000","289,800,000","644,100,000","21,524,000","252,293,000","74,007,000","561,000","495,000","1,107,000","800,000","79,000","386,000","854,000","2,029,298","3,758","39,489"
				CashFinancial,,,,,,,,,"74,007,000","561,000","495,000","1,107,000",,,,,,,
		Receivables,"2,500,000,000","2,596,000,000","2,725,300,000","2,444,600,000","2,432,700,000","559,200,000","135,731,000","63,814,000","23,534,000","25,620,000","17,569,000","12,202,000","5,663,000","5,354,000","4,434,000","7,522,000","4,402,657","3,057,832","1,116,997"
			AccountsReceivable,"2,500,000,000","2,596,000,000","2,725,300,000","2,313,300,000","2,266,400,000","543,800,000","134,227,000","61,245,000","22,425,000","24,272,000","17,569,000","12,202,000","5,663,000","5,354,000","4,434,000","7,522,000","4,402,657","3,017,091","1,008,576"
				GrossAccountsReceivable,"2,558,000,000","2,648,000,000","2,767,700,000","2,339,600,000","2,283,300,000","553,600,000","137,766,000","61,848,000","22,781,000",,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-58,000,000","-52,000,000","-42,400,000","-26,300,000","-16,900,000","-9,800,000","-3,539,000","-603,000","-356,000",,,,,,,,,,
			TaxesReceivable,,,,"91,200,000","115,800,000","15,400,000","1,504,000","2,569,000","1,109,000","1,348,000",,,,,,,,,
			OtherReceivables,,,,"40,100,000","50,500,000",,,,,,,,,,,,,"40,741","108,421"
		Inventory,,,,,"48,900,000",,,,,,,,,,,,,,
		PrepaidAssets,,,,"110,500,000","142,300,000","13,200,000","3,935,000","1,555,000","426,000","257,000","158,000","372,000","492,000","265,000","326,000","988,000","818,744","295,425","167,840"
		RestrictedCash,,,,,,,"2,141,000",,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"9,200,000","3,041,000","1,406,000","955,000","314,000","353,000","493,000","1,549,000","1,069,000","500,000",,,,
			CurrentDeferredTaxesAssets,,,,,,"9,200,000","3,041,000","1,406,000","955,000","314,000","353,000","493,000","1,549,000","1,069,000","500,000",,,,
		HedgingAssetsCurrent,,,,"18,800,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"465,000,000","590,000,000","465,700,000","126,300,000","43,500,000","7,400,000","5,800,000","1,866,000","219,000","813,000","459,000","650,000","149,000","181,000","77,000","1,538,000","40,000",,
	TotalNonCurrentAssets,"10,786,000,000","8,582,000,000","9,013,700,000","8,624,800,000","9,686,000,000","1,528,100,000","608,069,000","92,274,000","28,500,000","29,107,000","30,005,000","26,858,000","15,071,000","14,661,000","12,731,000","14,163,000","5,691,337","236,674","868,491"
		NetPPE,"4,949,000,000","2,605,000,000","2,663,700,000","2,537,400,000","2,852,200,000","221,900,000","56,571,000","13,090,000","2,979,000","2,960,000","2,797,000","3,141,000","2,312,000","2,488,000","2,229,000","4,120,000","3,072,010","211,063","321,808"
			GrossPPE,"7,003,000,000","4,190,000,000","3,773,200,000","3,127,300,000","3,061,500,000","269,200,000","68,374,000","18,413,000","6,916,000","6,250,000","5,448,000","5,361,000","4,046,000","3,898,000","3,135,000","5,233,000","3,072,010","211,063","321,808"
				FlightFleetVehicleAndRelatedEquipments,"1,726,000,000","1,561,000,000","1,463,700,000","1,194,200,000","1,453,800,000","17,400,000","2,723,000",,,,,,,,,,,,
				LandAndImprovements,"334,000,000","356,000,000","410,100,000","442,000,000","359,500,000",,,,,,,,,,,"100,000",,,
				BuildingsAndImprovements,"648,000,000","555,000,000","557,600,000","503,800,000","476,800,000","33,200,000","1,115,000",,"1,115,000","1,115,000","1,115,000","1,115,000","1,117,000","1,117,000","871,000","459,000",,,
				MachineryFurnitureEquipment,"2,050,000,000","1,718,000,000","1,341,800,000","987,300,000","771,400,000","218,600,000","56,567,000",,"5,409,000","4,790,000","4,092,000","4,018,000","2,616,000","2,523,000","2,009,000","4,674,000",,,
				OtherProperties,"2,245,000,000",,,,,,,,,,,,"313,000","258,000","255,000",,,,
				Leases,,,,,,,"7,969,000",,"392,000","345,000","241,000","228,000",,,,,,,
			AccumulatedDepreciation,"-2,054,000,000","-1,585,000,000","-1,109,500,000","-589,900,000","-209,300,000","-47,300,000","-11,803,000","-5,323,000","-3,937,000","-3,290,000","-2,651,000","-2,220,000","-1,734,000","-1,410,000","-906,000","-1,113,000",,,
		GoodwillAndOtherIntangibleAssets,"5,542,000,000","5,720,000,000","5,998,900,000","5,860,500,000","6,487,100,000","1,270,800,000","548,627,000","78,420,000","25,012,000","25,505,000","26,134,000","22,546,000","11,687,000","9,752,000","8,196,000","8,830,000","1,550,446",,
			Goodwill,"4,450,000,000","4,467,000,000","4,563,600,000","4,325,800,000","4,610,600,000","929,300,000","363,448,000","55,947,000","16,959,000","16,959,000","16,959,000","14,915,000","7,737,000","5,527,000","3,567,000","2,634,000","1,550,446",,
			OtherIntangibleAssets,"1,092,000,000","1,253,000,000","1,435,300,000","1,534,700,000","1,876,500,000","341,500,000","185,179,000","22,473,000","8,053,000","8,546,000","9,175,000","7,631,000","3,950,000","4,225,000","4,629,000","6,196,000",,,
		InvestmentsAndAdvances,,,,,,,,,,,,,"104,000","143,000","439,000","131,000","104,943","25,611","31,850"
		NonCurrentNoteReceivables,,,,,,,,,,"126,000","30,000","63,000",,,,,,"0","450,000"
		NonCurrentDeferredAssets,,,,"2,700,000","113,600,000",,"72,000",,,,,"0","377,000","2,069,000","1,504,000",,,,
			NonCurrentDeferredTaxesAssets,,,,"2,700,000","113,600,000",,"72,000",,,,,"0","377,000","2,069,000","1,504,000",,,,
		NonCurrentPrepaidAssets,,,,,,"4,800,000",,,,,,,,,,,,,
		OtherNonCurrentAssets,"295,000,000","257,000,000","351,100,000","224,200,000","233,100,000","30,600,000","2,799,000","764,000","509,000","516,000","1,044,000","1,108,000","591,000","209,000","363,000","1,082,000","963,938",,"64,833"
TotalLiabilitiesNetMinorityInterest,"11,232,000,000","8,300,000,000","8,591,600,000","8,660,800,000","9,582,400,000","1,106,100,000","324,398,000","168,149,000","19,281,000","22,659,000","20,635,000","15,155,000","5,522,000","6,271,000","7,168,000","7,763,000","4,655,822","2,634,484","1,410,252"
	CurrentLiabilities,"3,258,000,000","3,313,000,000","2,997,100,000","2,731,600,000","2,694,400,000","381,100,000","99,333,000","49,027,000","16,071,000","15,251,000","18,064,000","10,396,000","4,872,000","4,870,000","4,381,000","7,188,000","3,853,377","2,634,484","1,410,252"
		PayablesAndAccruedExpenses,"2,571,000,000","2,738,000,000","2,776,500,000","2,465,800,000","2,355,500,000","370,500,000","92,621,000","46,747,000","11,354,000","12,798,000","9,351,000","8,131,000","4,623,000","4,458,000","4,042,000","5,395,000","1,989,013","874,210","770,791"
			Payables,"1,320,000,000","1,430,000,000","1,426,900,000","1,229,200,000","1,217,000,000","252,700,000","43,111,000","22,108,000","8,565,000","8,756,000","6,769,000","6,578,000","892,000","1,034,000","924,000","2,081,000","1,492,896","706,407","623,677"
				AccountsPayable,"1,157,000,000","1,258,000,000","1,250,700,000","1,056,300,000","1,063,700,000","252,700,000","43,111,000","22,108,000","8,565,000","8,756,000","6,769,000","6,578,000","892,000","1,034,000","924,000","2,081,000","1,492,896","706,407","623,677"
				TotalTaxPayable,"163,000,000","172,000,000","176,200,000","172,900,000","153,300,000",,,,,,,,,,,,,,
					IncomeTaxPayable,,,,"27,400,000",,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,251,000,000","1,308,000,000","1,349,600,000","1,236,600,000","1,138,500,000","117,800,000","49,510,000","24,639,000","2,789,000","4,042,000","2,582,000","1,553,000","3,731,000","3,424,000","3,118,000","3,314,000","496,117","167,803","147,114"
				InterestPayable,,,,"36,400,000","56,800,000","15,100,000",,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,"37,300,000","38,700,000",,,,"2,234,000",,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"552,000,000","367,000,000","103,700,000","147,500,000","164,800,000","1,800,000","2,028,000","491,000","1,675,000","1,680,000","7,745,000","1,235,000","50,000","117,000","242,000","1,663,000","2,175,374","1,709,097","639,461"
			CurrentDebt,"84,000,000","367,000,000","103,700,000","147,500,000","164,800,000","1,800,000","2,028,000","491,000","1,675,000","1,680,000","7,745,000","1,235,000","50,000","117,000","242,000","1,663,000","2,175,374","1,709,097","639,461"
				LineOfCredit,,,,"11,000,000","29,500,000",,,,,"0","6,530,000",,,,,,,,
				OtherCurrentBorrowings,"84,000,000",,,"136,500,000","135,300,000",,,,,"1,680,000","1,215,000",,,,,,,,
			CurrentCapitalLeaseObligation,"468,000,000",,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,"47,300,000","62,400,000","2,100,000",,,,,,,,,,,,,
			CurrentDeferredRevenue,,,,"47,300,000","62,400,000","2,100,000",,,,,,,,,,,,,
		OtherCurrentLiabilities,"135,000,000","208,000,000","116,900,000","33,700,000","73,000,000","6,700,000","4,684,000","1,789,000","808,000","773,000","968,000","1,030,000","199,000","295,000","97,000","130,000","-311,010","51,177",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"7,974,000,000","4,987,000,000","5,594,500,000","5,929,200,000","6,888,000,000","725,000,000","225,065,000","119,122,000","3,210,000","7,408,000","2,571,000","4,759,000","650,000","1,401,000","2,787,000","575,000","802,445","0","0"
		LongTermProvisions,,,,,,"7,500,000",,,,,,,,,,,,,
